melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085
0.3291640344	0.5814202363	1.064213489	-0.1473642693	0.4073628053	-0.2077320125	0.2105731071	0.3454248001	1.760890255	0.3994342134	-0.616232494	0.4727884465	-1.391073375	-1.649418191	3.138883544	-1.327164553	0.3422779483	-0.7882647711	-0.5199013332	0.04160192595	1.50500255	-3.003357904	-0.831747163	-1.014623106	-1.210206768	0.526019156	0.659464872	1.734050112	0.9964087046	1.284570617	0.1518940912	0.8690618895	0.7979981092	-1.662591945	0.6575788913	1.115867943	-1.314206768	-0.398126363	0.5504579441	0.344879468	0.2176493772	1.671996161	-1.392870236	-0.4918556487	-2.093681499	0.2994775315	1.155504044	0.6651796799	-0.6363126347	-0.7344060163	-2.091349038	-0.8759761789	-2.625867284	-0.5971637559	-0.3495525015	0.0861617332	0.7360376285	-1.435446103	0.1499965117	-0.5692719891	-0.4995279809	-0.8252297166	0.3867239977	-0.2023330627	1.138671608	0.4314036767	-0.2666927355	-0.9648169899	-2.256213386	0.4758358635	-0.9606407158	0.008351655378	-1.492632318	-1.293146764	1.304980414	-0.6173367286	-0.9376442653	-0.2134546356	0.7798734543	-2.42173189	-0.4313247564	-3.099520174	2.285053768	-0.169378233	0.6194729819	-1.220823978
0.2161686284	-0.0330395334	0.1970118947	-0.3649712839	0.07441404867	-0.7448730662	-0.1984932554	-0.4514813512	2.033091553	0.9253183403	-0.3155628733	-1.171321603	-1.610617623	-1.658532402	3.398605015	-1.143093763	0.4794503373	0.4072650357	-0.1433240074	-0.8349692306	1.953136394	-2.655555859	-0.5556974407	-0.3023030369	-0.4809385693	1.051344015	-1.065603169	2.360387501	-0.07678313109	0.2058106251	-0.7788452304	1.168199649	0.5804258926	-1.151976626	1.15625822	-2.000116762	-0.8779854056	-0.3224392947	0.7635041304	0.4484236852	1.732053982	2.006531828	-0.8686646983	0.03354802124	-1.58877872	0.1972983035	0.3440486249	-0.6716347339	-1.287285091	-0.2022518356	-2.144773782	-0.6808645751	-2.086324076	0.06149080125	-0.587734875	-0.340620849	1.270306321	-0.2967568071	-0.08146457517	-1.77947294	-0.4318107317	-1.063629027	0.3990092338	-0.1823934933	-0.3996534104	0.8162897511	-0.1265557992	-1.271068117	-1.78072443	0.789935826	-0.03570645759	0.713854244	-1.592769451	-0.1395885712	-0.2024811613	-0.8475422263	0.3097061145	-0.3263775287	-1.413386484	-1.890104886	-0.1385857426	-1.912882163	1.103468957	1.971508694	1.078480209	-1.585292033
1.187642434	-0.3727247487	1.082095517	-0.5737897024	-0.0447907639	-0.4296059336	-0.2842243931	0.8354236033	2.065542501	0.8558781932	-0.5920861535	1.249154445	-1.920741373	-0.5057762065	3.439863191	-1.2762394	0.53500595	-0.8030916162	-1.038350953	-0.3449950504	1.444580391	-2.228085387	-0.0537707806	-0.9619029823	-0.298455493	0.6678616159	0.4512887328	2.498434094	1.58389796	-0.09319157157	0.21436546	1.108179514	0.375746735	0.2629972153	1.848942709	0.3789080937	-0.6537288131	-1.267233294	-0.05791706265	0.7041603779	1.866389232	0.5259992132	-1.388554884	-0.4401368193	-1.050063272	-2.17968704	-0.8982490963	1.094051079	-1.155461352	-0.2837046546	-2.090698376	-0.5007395677	-1.0025911	0.809106973	-0.232668478	-0.05955715825	2.2146807	-0.4717979528	0.781082099	-1.206918314	-0.8112554979	-0.6894546454	0.01979058507	1.211915551	-1.816197282	2.004873983	-0.9018896237	-1.361094566	-2.07894576	1.988904721	-0.5387520813	1.063438448	-2.870088949	0.5404935398	1.438179557	-0.6801394766	0.5455810192	-0.5456831972	0.1161105614	-2.694091805	-1.229300944	-3.309974776	0.9286057454	0.80524486	1.160922157	0.1590699929
0.2821811451	0.1122832011	1.142081606	-0.2333172303	0.04592450861	-0.1563842487	0.3062356809	-0.01250053803	2.158411839	0.7535856663	-0.4675867306	-0.4071423579	-0.2002730347	0.53945948	3.76428128	-1.054252804	0.9821643928	-0.02918575855	0.2534438727	0.04755268566	0.2837240233	-2.565931016	0.5624874384	-0.4727165115	-0.9500944847	-0.1151053637	-0.003761193839	1.911316279	0.7964681729	0.07502776015	0.3967154055	0.7100268696	0.3266924128	0.03793896635	1.611670902	0.2055958787	0.4490637745	0.3584340081	-0.09683715948	0.9765673927	0.6427146582	0.1655079197	-0.7896745861	-1.335635697	-1.934555991	-1.660456361	-0.6369405757	-0.8341055531	-1.172246921	0.2245060972	-1.767013631	-0.2362249534	-0.5975088193	-0.3537105836	-0.8849645672	-0.2978433202	2.6093531	-0.1927798788	0.719503786	-0.6485777638	-1.454514506	-0.400964888	0.2101152733	0.4746946191	0.1000763116	1.712611752	-0.3371778445	-0.282966238	-1.055620983	0.7692604347	-1.773335878	0.5640892835	-1.272018794	0.5259147145	-0.1994740311	-0.8715515613	-0.08952375365	-0.2081533518	-0.1691658671	-1.293164167	-0.8427942178	-2.908455792	1.775060202	0.6109865563	1.220050766	-0.7479364088
-1.163396173	0.6589223014	0.08911073682	-0.5288400018	0.0685065408	-0.7353346866	-0.257287075	-0.8110109732	1.90549491	1.255338456	0.06945596458	-1.190086202	0.7629613119	0.1359744607	4.058932558	-0.6715730329	0.9912122199	-0.004077155745	1.221554735	0.9232078251	-0.647469461	-2.143754875	0.5262508078	-0.3949826837	-0.2623481264	0.1716101269	0.2853506928	3.651176744	0.01784395253	-1.070108072	-0.4085912249	-0.1682406124	-0.1634174431	0.5757692986	2.224565224	0.1099563724	1.391905813	-0.6148369153	-0.3757024007	1.064980232	0.928307582	-0.2425729766	-1.128908952	-0.1758796344	-0.3848135842	-0.3269209713	-1.495361421	-0.4881753049	-1.476351751	-0.7809696754	-1.123360509	0.3000151235	0.4174038546	0.7506402519	0.1717567144	-0.4144834995	2.279672999	0.6713438391	1.075570255	-0.9576241056	-1.490506006	-0.2847602938	-0.4044806259	0.3920823432	-0.4734942525	1.309058752	-1.29192662	-0.2066952334	-0.2148209523	1.259026049	-1.197776263	1.003591712	-1.255721423	0.3642159747	0.08077221471	-1.092267054	1.013955175	-0.5625415632	-0.1596072498	-0.5196240746	-1.080960912	-2.87868542	1.475730064	1.091816334	1.982384843	-1.340677383
0.6807708748	-0.1480849945	1.267302712	-0.4412619813	-0.2080335181	-0.2353864242	0.2560408687	0.1139469684	1.960509622	0.02834640809	-0.1603619309	-0.04969870671	1.507247146	0.4884551218	4.134250798	0.115822989	1.315837792	-1.068161073	1.422178661	0.1512116088	-1.622559113	-2.510832027	-0.5732001867	-1.362102231	-0.6570499224	-0.2184623953	0.2333046105	2.628516769	1.199682102	0.4312285492	1.109470644	-0.1372260208	1.210397978	0.1765190026	1.724816496	0.2319308473	1.660445397	0.005303192263	0.284973982	0.532360287	-0.6325827885	-0.555226913	-1.288606785	-0.3748849377	-0.1230717565	-0.2879774906	-0.5282341873	-0.2566234432	-0.1764251242	-1.354517801	-1.136362254	0.3828032812	0.1616276233	0.3895060469	-0.9232397054	0.3555419125	2.238380887	0.3320978572	1.865900303	0.1087863989	-1.400457014	0.08233467052	0.3080953386	1.125241778	0.7138862416	1.609464983	-0.7195711344	-0.7272322581	-0.7479110237	0.7184565243	-1.471748802	0.4740637214	-0.9359822786	-0.7283514081	0.9838115555	-0.7859459894	-0.1605604719	-0.5486302378	-0.2186440003	-1.1930186	-0.5000713929	-2.847073374	1.884057351	-0.2269203887	1.625497452	-1.381272529
-0.4973505463	0.0861712794	0.617992448	-0.5652688234	-0.4610733076	-0.7216283604	-0.01951376002	-0.6392084747	1.718211953	-0.612433258	0.1621549024	-1.231696441	1.895938347	0.5955011287	4.35445996	0.9673120496	1.70403603	0.171021648	1.707063225	-0.07116105748	-0.9772660015	-2.613192699	-0.03445126779	-0.665131915	-0.9712494763	0.2597214581	-0.05985920351	1.982986324	1.009656715	0.7696900714	0.6867464007	0.2416661737	0.9755839054	-1.01490433	1.966087013	-0.5842124254	1.906932843	0.2365399273	0.02775877345	0.164190427	-1.779814154	0.7525575502	-0.6032219599	-0.7100570582	0.5342312893	0.9390279071	0.3381628154	-1.341438445	0.6100750797	-0.8076449253	-0.1541436271	0.7689870168	-0.03709952819	-0.3062463527	-1.115323176	0.7652400022	2.386297791	1.445143305	0.4287096367	-0.1954274758	-0.7219167137	0.4709476242	0.4727261771	-0.2710949898	0.615923487	0.03590148135	-0.8051516962	-0.6555843321	0.2380617585	-1.08111373	-1.427184903	0.2238550883	0.3561909284	-1.719622507	0.02966883172	-0.7275329558	0.5243444777	-0.2925270151	-1.138425669	-1.066459847	0.2246197699	-1.230722809	1.566806378	0.8989656789	1.390904737	-2.685449677
-0.7347178663	0.1614110526	0.4662146193	-0.4198004419	-0.2046265662	-0.2737304927	-0.4724908048	-0.1041791838	-0.2175281065	-1.028177975	0.2816813341	0.08131054807	1.023761288	-0.659758308	4.09478075	0.4599777654	1.427090097	-0.1868561876	0.2106657803	-0.08694276584	-1.217914524	-1.855622234	0.2509404127	-0.8165904326	0.6258069592	0.2957172415	0.2684335275	3.194634784	1.369514028	-0.589642464	-0.3319840102	0.1519529258	0.3148359602	0.6952670547	2.274048782	2.471042703	0.948679275	-1.440743856	-0.7380502931	-0.5301873177	-0.9541342644	0.09897097568	-0.964865151	-0.1768717096	1.106379523	-0.01908289483	-0.1070185358	-0.8471289591	0.8409755453	-1.385093886	0.0355782601	0.422463981	-0.6921005738	2.29177904	-0.7606130322	0.7525272671	2.581392192	1.426164387	0.2516262963	-0.04122403689	-0.4056510675	0.7297333737	-0.4501954319	-0.6648316093	0.4387414585	-1.212224899	-1.313150901	-0.5904678604	-0.4286321113	-0.4609084321	-1.348236212	0.8895472776	0.4564228919	-0.8147285803	2.545660469	-0.623264923	-0.1360021453	-0.23299141	-0.7327184333	-1.757665294	-0.280656044	-1.620624619	0.6570769148	-0.2675174134	2.16710718	-1.691361204
0.7256883369	-0.05795196571	1.380653744	-0.4551201209	-0.6686091285	-0.1687885307	-0.04387929901	0.2448599423	-1.554430353	-1.334522255	0.1367851473	0.4547800047	0.5339620803	-0.01526590357	3.712568063	-0.5913928343	1.370598628	-0.8026437953	0.2505278075	-0.2452786233	-1.257640091	-2.303236416	-0.2851988345	-1.518872873	0.1101624525	-0.7756689608	0.2725519069	3.055752151	1.191832117	0.02348720658	0.1705181842	-0.1657548087	0.1578414585	-0.5999750122	1.393978224	1.45991984	-0.0732006467	-0.268340258	-0.09443874742	0.2395562524	-1.470068397	-1.477405817	-0.3106751388	-0.607192799	-0.5621602525	0.09072939153	-0.2383405709	-0.4241369335	1.168343549	-1.302182625	0.7422087888	-0.06345445555	-0.8983784422	-0.04540372783	-2.327449009	0.1087268372	2.399297673	0.6640062435	-0.1360424971	-0.01044246602	-1.003106489	1.310890708	0.2574680526	-0.5428147731	0.9847609689	-1.082789982	0.06790341147	-0.5238714729	-0.6929507245	-0.7899423895	-0.6349415786	-1.156601799	1.185071522	-1.486691625	0.8030695202	-0.5151590892	-0.5636380629	-0.08071746802	-0.04693401245	-1.801540718	-0.0360032708	-0.9599753629	0.7254120221	-1.262278094	1.3480889	-1.568381445
0.1145215206	-0.4918592367	0.5115155702	-0.478695519	-0.639293883	-0.7865365713	-0.8301826118	-0.4677568732	-1.014959793	-0.7989367969	0.1948765042	-0.4824010766	0.5543649764	0.2014849559	3.846929157	-0.6445156208	0.7127015827	0.4521656489	1.133514859	-2.061148985	-1.275121044	-2.385621381	-0.5032177562	-0.9841419865	-0.4262050172	0.1104247842	-0.8821918227	3.450114573	0.1988636203	-0.2640146434	-1.121160575	-0.5743064078	0.268572538	-0.8116747866	1.289820771	-0.1669857847	-0.3574551556	-0.8252188406	0.5785440648	0.2550855366	0.5588582152	-0.9074898828	-0.2598869538	-0.2710188931	-0.3583380529	1.145999722	0.5581695054	-0.4612498777	0.737830929	-0.7665675151	0.7671062631	-0.1800828002	-0.6766324292	0.7062924324	-1.533001614	0.1471547502	2.350594292	1.478736537	-0.3244446828	-0.08205464635	-0.03177304861	1.199388317	-0.8961999249	-0.1163569689	1.135013152	-0.4877270821	-0.5983905272	-0.4455664073	-0.06966507138	-1.344268287	-0.6292586003	0.2785541478	0.5668596975	-0.1584368843	0.09719096362	-0.3194957589	0.8528899619	-0.3732104285	-1.383690049	-1.844864248	-0.00715088195	-0.5622732778	1.109498259	0.7712865038	1.927614746	-2.41515975
-0.7770990182	0.5863036383	1.416840131	-0.2941755996	0.2933326763	-0.3509002884	-0.2234612254	-0.9925524183	-1.427261603	-1.461643738	-0.04467096361	0.2854179223	0.4579641539	0.4721555003	3.372896369	-0.7262950974	0.4829313534	-0.5617869468	-0.1643401958	-0.07982988486	-1.102907239	-2.333814658	-0.3117932712	-1.839806368	-0.3772438989	0.421523917	1.056019491	2.614581415	1.658724929	-0.3245650724	-0.2365672537	-0.8939737901	0.2792661751	-0.5106717823	1.519453026	2.124275079	-1.15591325	-0.9784765202	-1.014903364	-0.8105280155	-2.116946342	-2.058866577	-1.424283898	0.3044479681	-1.053836494	-0.9830259416	0.4171622622	0.6618447201	0.6100655303	-1.040753479	0.05656465116	-0.2670105901	-0.5240460355	0.6391547786	-1.393699933	0.7045804033	1.847767262	1.12246438	0.7903672939	0.9999967081	-0.165532952	1.089487737	-0.4586501659	0.280985455	-0.3825040553	-0.4034124009	-0.6264301652	-0.3212992942	-0.5147068878	-0.9213247485	-1.967579395	1.067509252	-0.2824173155	0.2705562726	0.3946266211	-0.940862634	0.1751504252	0.1023598426	1.719625824	-2.316730816	0.05342038885	-1.337345274	1.400830697	-1.038807872	1.805839779	-1.938361831
-0.9919584137	0.9068707889	0.618814129	-0.2070274091	0.5456511308	-0.4206687278	-0.315573853	-0.9452775532	-1.558450716	-1.282023582	-1.18672561	0.01178433048	0.6568949667	0.7233660235	3.315794119	-0.1172155607	0.6999114123	0.6499682612	0.2250298331	-0.8419651205	-0.6165764796	-2.009575776	-0.3229143018	-1.539655676	0.3128517776	-0.07980119167	-0.4840500075	2.31031533	1.340816671	0.4671567083	0.2756868672	-0.6161550155	1.140605282	-1.266061981	1.09473911	2.090275098	-0.897258901	-0.2839661434	0.03354133384	-1.148334312	-1.071656729	-2.36544437	-1.263626524	-0.2142638054	-0.9704223803	-0.516429816	0.7697356713	-0.9760339902	0.465685077	-0.7347061306	0.2113911433	0.4795019211	-0.3828247198	0.506020802	-1.667715758	-0.6323457845	1.538069607	0.4712532641	-0.382015948	0.3889581739	-0.6329596039	0.522669948	-0.3834406269	0.2163816975	-1.17745316	-0.8235749574	0.08085778077	0.2987700864	0.4838923531	-1.15600773	-1.428596001	-0.1870737645	-0.1510581372	-0.1377281609	-2.158027199	-0.7565921255	0.7256696288	0.5156949794	1.837433013	-1.187056029	0.6146625254	0.3262084993	-0.5777544128	-0.4699008404	1.692751372	-1.119029156
-1.592384583	0.6144842778	-2.084358126	-0.08783189989	0.3763839274	-0.6347151644	1.011289156	-1.086732363	-1.196644725	-1.138175418	-5.389320599	2.210659036	0.5295778127	0.1817812018	3.147877407	0.3042047539	0.2881323211	0.6305457947	-0.4297836903	-1.303971285	-0.7367680033	-0.5681887561	-0.3616429235	-1.103634325	-0.2739592242	-0.2681470692	-2.144139099	2.280151534	0.9756959475	-1.697446684	-2.046821853	-0.6372144382	-2.355078397	-0.03840983187	0.7834698579	-0.5456307239	-2.623376973	-0.8354609141	2.18141314	-1.895389014	-1.189123778	-1.621116737	-1.191615919	0.6494429881	-0.1998068039	-1.511972719	0.5298320064	-0.8942477697	0.9527759869	-2.985766611	0.04017467403	-2.074815642	-0.4105594266	1.441430763	-1.992727958	-0.4524658629	1.776437899	0.2794596379	-0.5573393693	0.4180017725	-0.6955194314	0.4398070566	0.05741687093	-0.9500196604	-1.20990473	-0.7295415661	1.722423202	0.6481623412	1.606845342	-1.298374904	-0.9472147765	-1.066300537	-0.1746796621	-0.5762402668	-0.9145330921	-0.2145427318	1.625794834	2.137743808	-1.528037361	-0.8330500175	2.879929097	1.751890846	-0.7916606336	-1.229500623	2.515119634	-0.007412618489
-1.102922796	1.194950573	-1.576542529	0.3335848344	1.425444645	0.1409121673	1.462332	-0.9836805679	-2.242649628	-0.8771514494	-2.111873583	1.818057664	0.9062243013	1.048124978	1.394185856	0.326039764	0.6374029343	0.03729650321	-0.4586257913	-1.347296685	-0.7459970338	-1.044178448	-1.437458195	-1.587419731	0.3203390011	-0.6501008972	-1.01941219	-0.2673983098	-0.68044696	0.2432472826	-1.169827812	-0.3641520654	-0.416263136	1.007239224	-0.8596937233	-0.3801831456	-2.322958228	1.284081842	2.990873576	-3.022872332	-1.475401063	-1.290357347	-1.19826833	1.096253626	-0.6474397098	1.038881722	0.8004772693	1.985989135	1.431869524	-1.471849316	1.510977369	-0.5120689906	-1.201608738	0.3021008479	-1.728352811	-0.8443977766	-0.4968135496	-0.4491928823	0.1539859375	0.8711204842	0.5448908535	1.665879688	1.068909946	0.3511372345	1.0761483	-1.295349853	-2.132714018	1.873608898	1.441604921	-1.449340177	1.007659425	-3.256674258	-0.1184452784	1.914706423	1.500862448	-2.143267132	0.5427575557	1.278464559	-0.7893910761	-1.625051806	0.8867305789	0.5443721278	0.746751481	-1.169628628	2.417711414	-0.9794163057
-0.8377432748	-0.3366562705	-0.1259605421	2.213169291	3.338201517	0.3912637651	-0.3642097255	0.745422544	-1.988190427	-0.1769252003	0.77793409	-2.16511094	0.6021170556	1.618196795	0.5148637773	1.41529101	0.8214147192	0.8682582742	0.8787138114	-0.5149039974	0.2129243237	0.472591584	-1.96954723	-1.212316782	1.032533125	-0.315716809	-2.343325212	-0.5579090012	-0.8494092359	-0.7202851127	-1.279886289	0.9651527166	0.6189896594	-1.668232015	-3.340861532	-2.143403844	0.04840850031	1.113369993	-0.03973152168	-1.145255468	1.04993408	0.7786620686	-0.7577767401	1.806631977	1.293849921	5.285049004	3.969547248	0.6349538883	1.601252897	2.109009436	2.242986368	1.198349153	1.529516253	2.124534126	0.7507397821	-1.38493138	0.3394291283	-0.6239370224	0.4860829349	-0.7732752511	2.194314001	0.6884208692	-1.70586426	1.865057528	1.883795644	-1.045415	-4.441822831	1.313991083	0.9850278179	0.3903356219	5.195702797	-0.8690185427	1.739670786	6.352229456	5.064406121	-2.293638198	-0.2951935247	-0.4696688569	-0.6580077452	2.569027954	-3.798622675	0.1395295707	-1.372445192	-2.223807255	1.442611778	1.335893875
-0.3411489838	-1.823047439	-1.807683394	1.758699731	-0.7714458823	1.604236293	-0.7481572842	0.6336710563	-0.6800397022	0.4189371495	1.137301857	0.1187372809	-0.2646045371	0.8682136648	0.6302057574	1.055703924	0.4940007829	0.6749883884	0.1101028491	2.00993062	0.1218226569	1.726245383	-0.07833481485	0.7750147717	0.01570878728	-1.650762628	1.772071172	0.5804377549	-0.252331878	-1.438459966	1.046795739	1.091010228	-1.195655995	0.5422037972	-1.554334457	-1.874969609	0.4141069112	0.9875877055	-0.7243176378	0.7625673854	2.594152102	0.4352178693	0.7839591396	0.05982564711	1.024383237	-0.4946599658	0.3034984478	1.586533918	1.73903712	0.4069529442	0.6370549825	1.268359967	1.913142923	-1.440757229	1.909189823	-0.1563469968	0.8974997829	-0.4829794579	0.2396470586	1.453433794	3.471787671	0.06153724767	-0.9523462672	0.8613698116	-0.6914007115	0.05075506789	1.34466194	0.8290735731	1.284150153	1.245058634	0.2823771761	-0.1858292556	1.340622956	-1.239805217	-0.1915689505	-1.247930239	-0.6694459769	-0.697775858	-0.2019079999	3.485519041	-1.64666214	0.9970416234	0.1881159073	0.515848635	-1.374510073	1.895146923
0.7350954809	-0.9790552558	-0.6759764937	1.117552546	-0.66669794	2.102305834	-0.4025642929	1.539756008	-0.7845744593	0.01344197505	0.5709713464	0.2846038507	-0.7037580348	0.4356720164	-0.9843799406	0.5231966814	0.25420411	-0.3141147275	-0.3988261912	2.974830307	-1.623228343	0.5770996072	1.266330519	0.4443890654	-1.492934109	-1.234679756	3.119784289	-2.062455995	-0.7905595791	-0.6475789417	1.547812286	0.8616261927	-1.979509241	0.2208016845	-1.574577971	0.251764596	0.5994379827	0.2500794711	-0.8112950224	-0.1776030978	-0.4838620325	0.1148700522	1.990340202	1.683612535	-0.5849461909	0.8185751139	0.8089479425	1.233472054	1.645751997	-0.4124679976	1.166951322	0.4601834451	-0.2935222532	-2.868344236	1.191240679	-0.06850562789	-0.7375283109	-0.9030726388	-1.119437542	1.078340375	2.743099294	0.8458185029	0.344930625	-0.1472911448	1.34788331	-1.266034646	-0.4629635381	1.939641483	0.5586020665	-0.5170843448	1.722661564	-1.907130726	1.805584313	0.02716028749	-0.5009025895	-1.286666243	-1.629779036	-0.07696586577	-0.5797296756	2.99431892	-1.592089897	1.076606546	0.2843106715	0.6775250512	-1.879900085	0.6026391573
0.4361886524	-1.966391102	-1.59735294	1.407231094	-0.6726660678	1.810203932	-1.337734556	2.671501891	-0.7306210255	1.29406733	0.9668174046	-1.252207416	-1.800065502	-1.221288472	-1.18035784	0.1609543544	-0.2205544231	1.482072209	-1.52910349	0.5160928057	-1.172209249	1.296511519	0.7628109218	0.9068976751	-0.006440482464	-1.481587751	0.410550133	0.01897353832	-0.36375621	-2.797252721	0.457799355	-0.166403029	-1.227562467	0.5925944154	-1.43224021	-0.7798521189	0.2891890168	-0.8602868202	-1.37882085	-0.9965584713	1.692069758	-0.5240100255	1.370950114	0.8759683736	-0.5255395151	-1.346421204	-0.4692352632	-0.3789653707	0.4653446018	-0.7068607117	-0.02204258952	0.8181077893	-0.2694414194	-0.5640368806	1.946284877	0.08473325141	-0.1850758041	-1.011051838	-0.8157464883	0.6921250168	1.356383294	0.6210967531	-1.306777803	-1.812912929	-0.3913342479	-0.5397788747	0.02147241884	1.217499814	0.5565025857	-0.2399093967	1.420725407	0.721266898	1.089989576	0.3145455386	0.2333960669	-0.917039329	-1.70159447	0.2143393199	0.1606968134	1.772850014	-1.143508852	1.44654625	-1.521913403	-0.5804124214	-1.99280453	0.3658785318
0.4495488866	-1.342517041	-0.9613731721	2.45951339	0.06459272661	1.599203737	-1.001057966	2.19360036	-0.234762272	0.5712309844	1.056379266	0.1536073311	-1.382727773	-1.008717252	-1.403166499	0.09809892201	-0.780620587	0.7464270318	-1.441352145	1.757272703	-0.5865721279	0.4613136232	-0.826437555	0.4366536629	-0.2350493395	-1.324894339	1.599842794	-2.006270688	-0.5102492505	-0.6584545429	0.3550039161	-0.04462431123	-2.531216235	-0.07857359552	-2.204172598	0.03399062409	-0.3661275485	-0.2990375002	-1.290492944	-0.5948846952	0.1900425804	0.3048273684	0.4041049015	-0.3579988285	-1.501495506	-0.05757662537	0.142147803	1.125488381	0.6339341669	-0.4781940176	-0.01278759216	-0.12653041	-0.4682722291	-1.196789089	2.042271791	-0.644189825	-0.9238576574	-1.381208137	-0.9620420213	0.4576516273	0.3890489755	0.03713677756	0.05821169145	-0.7466559861	0.3010946644	-0.02001920843	1.55063154	1.183318558	0.7873301175	-0.5551058464	1.729389294	-0.8696146717	-0.08283485545	0.1381751694	-0.8476985642	-0.1803014085	-1.091729089	0.2214968698	-0.7538160594	1.473708103	-0.9053105271	0.8226834915	-0.2906532037	-0.9127351257	-2.497573376	0.3008816121
-0.1289979987	-1.873616119	-1.843543097	2.302286783	-0.4592656949	1.603853205	-1.353801611	0.961766722	0.558853065	1.558425836	1.492384949	-1.348629255	-1.64141859	-0.8538402493	-1.492159548	0.3700706969	-0.8657704337	1.671545382	-1.040071831	0.07483946484	0.2079412896	0.7277958933	-0.7613440167	1.716176163	-0.2475909116	-1.772483622	0.1300224738	-0.2128294378	-1.831415143	-1.150375554	-0.847242917	-0.212994559	-3.391028417	0.1383557742	-2.348931593	-2.815247706	0.1318236916	-0.3099795627	0.3981432444	0.8584033909	2.754000963	0.8907140718	0.6617481601	-0.5932270458	-1.118313293	-0.7713353025	0.7440655151	-0.2286261296	0.05257296836	0.3933415046	-0.2148825232	0.6122840689	0.2797391466	0.02894759842	2.798002576	-0.5598330802	-0.7367948442	-1.322160564	-0.5392937517	-0.7678762139	1.14799437	-0.2551525887	-1.029350121	-1.009439109	-1.105395815	0.4255099775	0.8611888261	1.448602698	1.252079752	0.3479503305	2.151066441	1.849146106	-0.2389571033	0.3699474289	-0.8785634429	-0.01547456478	-0.4459426832	-0.0383488453	0.1244773517	1.857389617	0.02094582054	1.827104795	-0.05398067356	0.3648725821	-2.432505621	-0.001564256915
