melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114
0.2996802033	-0.4329462327	1.247595237	-0.9121159721	0.1551956141	-0.1424197338	-1.066445775	-1.633040773	0.910747023	-4.261226784	-0.3883606984	0.9840739859	-2.843241679	1.181969322	0.1333320443	2.111345945	0.1808617867	-0.5550002917	-1.049195718	-0.4638059109	1.409419206	0.3579214522	-2.478328985	0.280353548	1.256146124	1.054437305	-0.5270008336	-3.831411037	0.1468160891	1.143223291	-0.6440435602	-1.731953387	-1.458554941	-2.914850247	-1.134284506	2.734460851	0.3208016581	-1.166791934	-0.2440747533	2.001749506	0.2782810242	-0.2162087754	1.05182657	0.007118720463	-1.724233496	0.362626251	-2.315108221	-3.494493293	-3.498116564	-2.079987325	-0.9992933239	1.151551931	-1.98626787	-2.648373122	-2.85666244	-1.239705202	-0.3764382801	1.189693948	1.496830095	0.8875900071	0.5128190854	-3.218617163	-0.2958196586	-0.7410608974	0.6973849201	-0.8114876786	-2.364505244	-2.020277509	0.3388071295	-1.2590747	0.3566124576	-1.358362558	0.7875870239	-2.040042249	-2.503968769	-2.233706052	0.9253855337	-1.483873398	0.5834401544	4.940206962	-2.477769156	-0.9808243213	1.156139114	-0.4059205452	-0.03647772093	-1.402681656	-3.401349384	-2.041645772	-1.452319524	0.6187014027	-0.5463565977	-1.622659094	-1.9177361	0.792058364	2.498163328	0.2023439065	1.909454358	0.4714231628	-0.2274175295	-1.308777106	-1.29018526	-1.6948965	-1.838503838	-0.4647899547	-1.080186882	1.015042019	0.806691335	0.9866258961	-0.1170026548	0.01629130539	0.503349217	-0.8937800025	0.1349868765	-0.8312886841	-2.648902074
-1.139605983	1.70940185	-0.4873770567	-0.2576627503	1.287196373	0.7289799249	-0.1521115783	0.4215933691	0.7096809937	-3.603472127	-0.1359182608	2.064668928	-2.52844381	-1.06144761	-0.2038428835	1.480107482	0.3872178817	0.6039587982	-0.4013439529	-0.2498353048	0.497107381	-0.9620532256	-1.317654069	0.3234858762	0.8266180035	-0.5926904862	-0.0693771316	-2.542495371	0.841306855	-1.572381665	-0.5157037133	-0.8347912285	-0.9753094633	-1.081834121	-0.6634425403	-1.098616444	-0.3033306537	-0.8314029777	-0.3529193993	-0.4539091035	0.9497479808	1.691654645	0.2518265047	0.08018569822	-1.444587826	0.248901323	-0.6145020784	0.6381185309	0.02858140746	-0.05420123958	-1.511381803	2.172731631	-0.1781442649	-0.1860644379	-2.26005065	-0.0720203616	-1.044057991	0.3682124698	-1.443562155	-1.082039848	0.664690709	-1.890279895	-0.5820061273	-0.1455696071	0.709351825	-0.3910169659	-1.270323562	0.7109510473	-1.204565187	-0.4122476987	0.5431979561	0.06500221381	0.2582841804	-1.389249983	-1.375725069	-1.371672205	0.1307958669	1.009390724	-1.490300348	0.412127292	-2.178372423	0.5135391318	0.5483124254	0.3910287889	0.9520376803	0.2075789527	-2.245301713	-1.515490682	-0.346026367	0.3082357209	-0.2560244774	-0.6252990655	0.2588131403	-1.008814191	0.9479687598	0.2223259111	1.498456933	0.1823690086	0.9020890056	-0.798476335	-0.5425244819	0.4277777413	0.2005134331	0.8809813383	0.5587408308	2.26408196	-0.8062558172	0.8229950839	-0.05209789146	0.2512214134	0.5697187259	-2.057558952	0.940766162	1.45802759	-1.202003065
1.372525751	-0.3902723899	0.2408719667	-0.7063094465	-0.6561973942	-0.5662284431	-0.840472362	-1.035930252	0.742878582	-1.202218456	-0.3185090707	-0.7959549027	-0.9895986824	-1.571370697	-1.75425868	0.9820759333	-4.319897652	1.095923998	-0.09387728273	0.7414291195	1.638463578	-2.198881947	-0.3766654264	-0.4926098605	-0.2910884614	-1.539875417	1.579858551	-0.6909930986	0.9852780731	-2.196002911	-0.2143381053	-0.02464116525	-0.6110643474	0.2602742111	0.8514915148	-0.5005659035	-1.667004504	-0.1369428478	0.6959658757	-0.474335487	0.1914581511	-0.02987089815	-1.15611492	0.2421808528	-0.4541346823	0.857342811	0.04077304039	0.54497046	-1.223505074	1.905271116	-1.018677676	2.335897459	0.8416809795	0.9056047928	-0.9012764494	0.02589027352	-1.53450004	2.064939083	0.5568501002	0.3524135802	1.266637471	-0.01691051031	-0.5001418179	0.009357700219	1.688106288	-0.6315166903	-1.129293683	1.157090367	-0.5094651261	0.01694816506	0.2484081625	0.5006898457	0.13995359	-2.107004602	-1.087934861	-0.08159545235	-0.007084858711	0.01536243592	0.04195660697	-0.2386960105	-0.3462522344	1.09898008	0.8772905283	1.402395512	1.787964109	1.717831651	-1.139984559	-1.158978839	-0.6706410487	0.2396362387	1.191474816	-1.983979842	-1.001086792	-0.8323683704	0.8266917039	0.5082142233	1.169342722	0.5949667672	0.986915283	1.011798885	-0.04222199889	1.405767628	0.587396153	-0.2044715824	1.2501719	3.338215514	0.5096384322	0.2160450967	3.07005499	-1.10992071	0.2841995133	-0.2908586097	1.337021315	1.690725448	0.7712759764
-1.464768521	-0.9474299575	-1.430569636	-0.07094209093	1.109602498	1.14996557	0.2676767354	1.173564124	1.526526177	-0.470173913	1.353081048	0.5943869893	-1.980758148	0.2315488142	-1.304210848	1.557881636	-1.126585077	0.9317332538	-1.104936923	-0.3951007363	2.207447996	0.8375807148	0.6225000698	-0.2341126379	-1.024001663	-0.1993963536	-0.9968593882	0.01642294154	1.380301549	0.01178054495	-0.333085517	0.08438459884	0.7137318741	0.8123167304	0.7545966938	-0.6644429669	0.3937119128	-0.3886367605	1.981698243	-2.181681869	0.2687686395	-0.4908494446	-1.139170542	-0.1713246133	0.1170024574	2.053833819	1.033286766	0.6558764551	-0.05009839326	0.6449480524	0.1363376677	1.990543282	1.170963368	0.4241541111	-0.2879878514	0.719692041	0.7329212038	0.3587295623	-1.927900807	0.549916304	2.027621338	0.4019532724	-0.7328229884	-0.5193487677	0.5526988555	-0.5830818171	0.3900590477	0.1955193473	0.001705259514	-0.1184511489	-0.06919617824	-0.2285497845	-0.3285922091	-2.496045444	0.1363835881	-0.6302880983	0.9353680575	0.6844450217	0.5082843194	-0.314228003	0.02786834785	1.850711489	-0.9492033394	0.5702025836	1.238619363	1.725169784	-0.3925082444	-0.4506442382	-0.005224002207	-0.260158135	-0.08809756014	1.466118515	-1.367415193	-0.694458496	1.135117901	-0.7114629264	0.0867296775	0.1827219604	1.792515013	-0.5689250458	0.997562581	-0.9433931048	-0.2600212658	0.1148455055	-0.3198235006	1.334846678	-0.7875728535	1.309116504	-1.01766274	0.8815217281	-1.162327206	-1.657940533	0.3249966836	1.645775272	0.9971442554
-0.7281245748	1.814422506	1.409124978	-0.7244953097	-1.014266268	-1.08351319	-1.050131809	1.213564651	1.07662843	0.1501088383	0.1444102524	0.6547343788	-1.49103318	0.6830948085	-0.2157152043	1.086453554	-0.6075635088	2.241984634	-0.5321815238	0.1813866121	2.633515325	0.6144346443	1.602427318	-0.2152257351	-0.180053743	0.0780904699	1.122416654	0.8211110241	0.1824719633	-0.2143950791	-1.102406755	0.2139199284	0.2051115612	1.973151877	1.290211508	-1.311840711	-0.4384843571	0.04617149898	0.6097916516	-1.361150719	-0.2583794861	1.819604142	-1.471060352	1.776733024	0.4268919374	-0.08718953703	0.583238116	1.767737921	0.9685502418	1.271974573	-1.132635875	0.2243730038	0.8340029597	1.239798955	0.6976549136	0.9539015571	0.7505826421	-0.1110685582	-0.1936787786	-1.344281004	1.250097678	0.9349608583	-0.5959447984	-0.374758407	-0.4484837948	-0.4387484574	-0.6944460942	-0.05820965032	1.31000454	0.008382812901	1.281794447	-0.4203306713	-0.4732934555	-1.233221519	0.1538136847	0.4790960431	1.968529068	-1.936418525	0.4534717865	-1.675494116	0.2674123854	1.180507143	-0.2522659819	1.819746157	0.9510889405	2.14419793	-0.1248972341	-0.07372632582	0.4196481342	-0.7112041116	0.05278474938	-0.5756990063	-0.5476270084	0.1582506381	-0.1232895559	0.3889653011	-0.0786901415	0.08963719853	0.4897277534	0.7311094085	0.04735332553	-0.1610712965	0.5732874344	-0.8025121426	2.120905401	1.164383667	0.1221028264	1.134462661	-1.178189835	-0.4247703586	-0.6252957221	-0.4712211363	0.07529382781	1.81067177	0.8988723133
1.862598346	-0.390890599	0.5221932446	0.5578491626	-0.6542868715	-0.1694014814	-0.2835853034	-0.9768809605	1.428586512	1.077803001	-1.003280576	-0.8746987623	-1.874477976	1.607616885	0.4686569275	1.289644699	-0.00843943987	2.052006353	-0.6501637906	0.2309462708	3.434690777	-0.1997958026	1.297852241	-0.459372488	-0.1761480637	0.5535324913	-1.460133218	0.7041998099	0.6795024077	-0.2896813771	0.322020612	0.9783780177	0.8621606311	1.813650693	1.522858436	1.95933861	0.06451383085	-0.08874393805	1.35137115	0.6534711177	-1.052315233	-1.487979621	-0.002554477798	1.773757891	0.816763962	0.4171210869	0.8656448293	-2.005492373	0.2614554231	1.464116744	0.1537607099	1.934082526	0.6552500763	0.2862857829	0.4320714295	0.9165695203	-0.1507195228	0.359197226	0.03834573472	-0.3624222057	2.927423737	0.8414270183	-2.04615232	0.1920604483	0.3010712891	0.5803555191	-0.004108261642	-1.999716266	1.854772686	-0.1853777692	-1.03235971	-1.39149034	1.207119414	-0.908475847	0.2539437543	-0.002657015055	2.62191425	-0.4543365543	1.139383637	0.2038284181	1.891332348	0.448528601	-0.3206361541	1.242910238	1.938468515	1.085904977	0.2089650497	-0.411082971	-0.5430269017	0.294042287	-0.4688365295	-0.1054623606	0.3550580558	1.63475215	1.850470013	-1.597428903	0.01237093227	0.1783782729	-2.197623761	-1.337698455	0.02784224793	-2.677376631	-0.4423769768	-0.07459124159	0.4677861236	0.6827567825	-0.6745789045	0.8568821958	-1.675198324	-1.758355374	1.340960658	0.9513667624	-0.6804064764	0.7482819784	1.706757172
-0.2261901631	-1.121184171	-0.9142067458	1.520849713	-0.2978509869	1.502565956	1.856790391	-0.8143374716	1.567228635	0.978926826	-0.4107541568	-0.5865559896	-1.95804123	0.6374056901	1.202051322	1.460836729	0.5299452503	1.398050481	-0.5669806854	0.2913683245	1.564846363	1.022118721	1.184194895	-1.385069667	-1.885831676	-0.4905197468	0.6630889329	1.261397671	-0.220181927	0.3706614303	1.722865911	0.9329506398	0.147431206	2.547198955	1.952251574	0.8665240778	-0.3567591554	-0.115509991	0.7211988679	-0.3180766396	-0.08246353913	-1.522116527	-0.805113134	0.11802897	1.269672796	-0.6277387605	1.247461428	2.225567719	0.7120818053	1.487600052	0.2533305342	0.6129330695	0.4945154866	1.530411731	1.200465129	-0.5351482285	1.069090794	0.5898595707	-1.631809299	-0.4753840401	2.616420568	0.8886622597	-1.589783292	0.1751451708	0.4097583445	1.043331306	1.273353183	0.6956916616	1.584817192	0.5516502403	0.06906057894	-0.9655184831	0.1403680418	-0.6336854924	0.7941568267	0.5003475359	0.2147725714	-1.525768336	1.384528066	-1.415311438	0.3109610966	-0.05566237659	0.3458865277	1.818643207	-1.545515976	3.110778007	0.4736863368	1.175279979	-0.07441369281	0.8055489338	0.4475736481	-1.317245843	0.4458157263	-0.08959515154	1.456874489	-1.378873014	-0.6350792467	-0.0248167452	-1.492429674	-0.9159926629	1.337368944	-1.337875836	0.1367139334	-0.7476378898	0.6286418743	0.8348467857	-2.341353369	0.783905063	-1.266486542	0.260641363	-1.009465737	-0.8078765728	-0.8717122119	1.059332717	-0.1213158295
-0.9542132402	-0.6876200676	-1.256943564	-0.2969166409	1.379464061	1.086229469	0.3206878043	1.244541699	1.328521611	1.494805759	1.169291911	1.447007544	-1.254192801	0.8502427419	-1.060281408	1.079878104	0.2510982293	0.5804119328	-0.4953106447	-0.02641729802	-1.363752873	1.746187089	1.22032866	-1.277745354	0.8239967314	-1.443203472	1.05135581	1.431988073	-0.8245838571	0.09069311405	-1.61708805	0.8446363553	-0.2086735052	2.368504849	1.370275714	-0.199867737	0.6462905745	-0.01573344466	-0.6392755549	-1.931903095	-0.8042983221	-0.8313519906	-0.1485764502	-0.6508394129	1.370497497	0.07667120596	0.8852847965	2.49045447	0.8714872621	1.601068495	0.4125590217	-0.04915618057	0.565153286	1.697008136	2.047115468	-1.568517229	1.051326899	1.138721828	-1.892070234	0.7386659112	0.6612344894	1.816433219	0.9642538874	0.619977345	-1.041145213	1.140249887	0.766189054	-0.2512013701	0.02713953766	0.3637172621	1.076795313	0.6000020824	-3.118761924	0.4464641725	1.243393513	1.29823972	-0.7289051818	-0.1548321722	2.005497774	-1.822259444	0.1375173728	-1.611505109	0.6281956357	2.112622306	-1.478034917	1.770109838	0.6713459646	0.8830855635	0.8455778133	-0.9796040686	2.007496918	-0.3021416803	0.2107435773	0.4270950506	-0.05612087444	-0.01774596976	-1.338077387	0.7870122311	-0.1127468813	0.1300975079	0.8533962376	0.3500958437	0.7095280111	0.05337305542	1.467284039	0.8175460869	2.346454954	0.2830088196	-0.159473781	-0.5452614301	-1.34099849	-0.4551279379	-0.7709451098	1.424318382	0.6671781165
-0.9925279123	1.588555652	-0.319356905	-1.078368875	0.1613757946	-0.6362669645	-0.4288713197	0.7175496942	1.768680964	1.607808317	1.155833359	1.583193949	-2.048069943	0.8366605881	-0.9899622798	1.656519484	0.3111028946	0.0582537303	-0.01357994474	-0.942305334	-2.06017515	-0.8214909951	0.9402312984	1.870821778	1.028497776	-0.3954876287	-1.422378786	0.05067129826	-0.8694346098	-1.166949838	-0.2387825614	0.7865329903	1.289754949	1.393093258	-0.7603586008	-0.2057638438	0.5373702613	-0.7455563014	-1.323781571	-0.6551744839	-0.4983878449	0.9214197808	2.778596446	-0.5891096271	1.726888742	-0.5463674761	1.192263271	0.9169133824	0.7434164516	0.6290648647	0.8483084697	0.1979683758	0.812470102	0.2645166089	-0.2317556847	-0.8599399327	0.3622360094	0.8841424212	0.04086708413	-0.4932703006	0.1328794885	2.013466131	0.5920694317	0.8885409662	0.211524707	1.768925644	1.866949794	-1.003848331	-2.323990357	-0.02036090153	0.002554381312	-1.891944314	-2.573535127	1.470086831	2.923229789	1.295750695	1.147979526	0.7437644387	0.3444738717	-0.2931182286	0.8667863382	-1.215902494	-0.392814064	0.8311097717	0.05824443625	-0.04048584159	0.9930701667	0.9612692868	0.4865070268	1.01555732	1.641645211	0.1001725127	0.22098566	0.1541963236	-0.6544909192	-1.085597181	-0.538337038	0.1144781328	-1.313342891	-0.2906159052	-0.2646284923	0.3005476786	0.7697153968	-0.1146218231	-0.6660288727	-0.4095036955	-0.2206890976	1.02767972	-0.5490284368	-0.3241525273	-0.8171406973	0.3309276459	-1.501572643	1.385453148	0.8987146363
1.459219483	0.3600790477	1.596428657	-0.4671435064	-1.5221988	-1.265204264	-0.6088494109	0.3000117928	1.419112651	1.036085806	-0.4880763051	-0.9412862546	-1.453080132	0.06663751081	0.2394929309	1.399849917	0.1888374535	-0.07905116575	0.6084457558	-0.3374339775	-1.684966903	0.503005817	1.247265921	-0.6857001292	-1.549510203	-0.2385102297	-0.2131859683	-0.06751610747	-0.9985476222	0.391290029	0.6327414817	-0.2988549974	0.3995318604	1.562704527	0.2260164318	-1.16855234	0.6523743013	-0.6572950597	-1.118432493	1.7172035	-0.4148688289	0.4700072832	-0.01531536529	1.107862842	1.605331703	-0.2278881544	-0.1186487723	0.7887761613	1.047985141	0.05758737014	0.9599025838	-0.83091447	-0.4140856791	-0.8016438526	0.4250287378	-0.8347272397	-0.9747302177	1.038646618	-0.2866206428	-1.875573891	-0.3985278619	1.218917835	-0.04628552657	0.958452945	-0.09055064727	1.931854122	1.197277017	-0.04632465237	-1.919052684	0.1315915029	-0.7121977026	-0.4844968738	-2.435945806	1.571645069	1.871698413	1.707932982	-0.0438213666	-1.637535751	-0.4645289116	-0.9770456867	-0.140094775	-0.8785195835	-1.669703451	0.8220197304	0.1556842891	1.467012897	1.437767889	1.983068658	-1.301642154	-1.028588327	1.455751709	0.8321406452	-1.025623883	0.02435484125	-0.4339784283	-0.01588330186	0.5820999832	-0.3747424001	-1.670287152	-1.042730929	0.3013731407	1.02962696	2.163000175	0.1631925675	0.4661581679	0.4436818049	-0.07076422656	-1.667067743	-0.2148038453	-0.5461760109	-0.3092167461	0.3520538063	-0.7052009414	0.4227795044	-0.09189424367
