melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104
1.279128769	0.2830748466	-0.2265685838	0.2761992424	-0.06296919494	-0.7898306815	0.6338736852	-0.9325092729	-0.9328859355	0.6566402735	-0.9640754846	1.130223567	-1.359255031	-0.6714308366	0.3936195009	-1.363738861	-1.038930271	0.464765259	-1.772522671	-0.9447492351	0.2151951934	-0.01082183413	-0.4619413519	-1.409911958	2.0514174	2.346073342	0.1353208776	1.304488535	0.7175501174	-0.1752296194	0.2190049229	-1.707610927	0.9856203517	-1.287467579	0.228890272	0.5126985859	-0.638927862	-0.8241804801	1.780880587	-1.012590356	-0.7758407798	2.406710352	-0.2009310518	0.8329765392	-0.0979892003	-2.562521293	0.2728405334	0.8376913569	1.312050239	-1.605900581	-0.231113935	0.5930708345	-0.5149718389	2.035016748	-0.09832193692	-0.1899246801	-1.452415323	-1.211692702	0.03534702694	0.8801855088	0.285896074	2.019294777	1.457917024	-2.179598085	-1.141106078	0.04761841092	0.06826244089	-1.031027603	-1.468212099	-1.531457741	-0.4215138151	0.7836038832	-0.5632519552	0.7034502933	-0.6271040968	-0.6334119878	-0.1362103345	-2.032421653	0.7514256833	-0.771949892	-1.526781534	2.118337845	-0.3658804644	1.303283424	0.1111274213	-2.322213819	-1.231782173	-0.8017781504	-0.3735586573	1.33921781	-0.4826753293	1.387335273	-0.7611809195	0.5660150685	0.7250174271	0.5725983107	-0.8397861897	-1.12575587	-0.6550064135	-0.8469451886	1.710303041	1.747912057	2.630041056	0.2151385465	-1.021489254
0.7533919961	-1.130249848	-0.3335531539	0.1846625165	-0.5495500829	-0.4827651546	0.9626153018	-0.744065526	0.5688681661	-0.8301870985	-0.2636471659	-0.2391766791	-0.9978939342	-1.806503607	-0.8048814271	-1.228199247	-0.4924584863	-1.15973975	-1.26764858	-2.174875116	-0.3207309519	-0.07048959652	-0.2293932006	1.855041297	1.153626763	2.4029009	0.5358697979	1.009279586	1.103924338	-0.3440729944	0.3550805792	-1.535047919	0.9082157614	-0.7981608463	1.124080482	0.04213266599	-1.314608703	-1.489259585	0.6395264199	1.037187254	-1.75814702	0.8856981165	0.1031355927	-0.3134920403	0.2548898284	-2.057671117	-0.3223198878	-0.7443570145	1.031277786	-0.9373184427	-0.3484235366	-0.4881948922	-0.8026171191	0.524977871	-1.609912938	0.5872955288	-1.794696797	-1.370703276	0.8328018756	-0.8557375594	0.04299820649	1.194556118	0.6399311575	-1.753170795	-2.024433425	1.442282254	-0.1757497502	-0.8031887442	-0.3723562757	-0.3606914209	-1.168866377	-0.08905115758	-1.606432499	-0.6759675345	-1.26913327	-0.7293789919	-0.4570683706	-1.358276633	-0.8419693238	-0.3434378736	-1.526263479	1.657237185	-0.4970063848	0.2036955643	-1.43104363	0.907692529	-1.233501132	0.08310885835	-0.1587273261	-0.2403303926	-0.7029724061	-1.299419912	-0.3100297777	0.09090627222	0.2585594783	1.61205237	0.09945829952	-0.9251297388	-0.9241270155	0.07225378724	-0.5308886895	1.020563217	1.434251441	-1.531373263	0.4757594931
-0.3056876666	-1.054124291	-1.147004923	0.9449246546	-0.6323943778	-0.07461914239	0.6342551257	-0.07464934349	1.6996324	-0.6778456407	-0.5534351081	-0.6110110777	0.6360638067	-1.203012722	-0.64340898	-0.3198759145	-1.243098141	-1.442879058	0.2635880067	0.507495904	-0.2983288236	-0.8299125551	-0.4444494372	-0.1261796698	0.4074650683	2.508162563	-0.02499539552	0.6382631941	0.9889092912	-0.2835353395	-0.04343928758	-1.027216527	1.207282409	-0.4898167929	2.21402833	-0.1828885015	-0.5293998736	-0.5304713729	0.6480552349	1.195074369	-2.144153378	0.2125334685	-0.5842681869	-2.634951968	-0.6577715306	-1.973621802	-0.9527798719	-0.3176243948	1.257186827	-0.8104570865	-0.5965587065	-0.6222193876	-0.6695822243	0.4252085118	-1.18546084	-0.3885054985	-1.004051234	-0.8543972719	-0.6431839615	-1.645850375	-0.2614301035	0.6028785666	-0.8896975786	-0.1945815119	-0.9002418157	0.03198557055	0.2702873641	-0.6548576774	0.2574076164	1.294843423	-1.463138004	-0.7746786149	0.5760273296	-1.060225321	-1.591523844	-0.7688240419	0.5854482602	0.3494392504	-0.4084060684	-0.0951087339	-0.3971040983	0.03294319456	-2.579500735	-0.7540790967	-1.873780013	0.259343595	-0.1419080527	-0.6493241166	0.2940957065	-1.335649408	0.3416286508	-1.00031746	-0.7407076012	-0.1789286739	-0.3750833863	0.6198049486	0.8210454502	-1.092653653	-0.2148892577	0.4367247182	-0.8416892384	1.247037517	2.244642211	-1.409693062	-0.1924010672
-1.0113728	-1.415897281	-1.03504749	1.769686499	-0.2928005223	-0.2299959851	0.7126598531	0.6756111153	0.5761113602	-0.9442184822	-1.590807493	0.001866415315	1.656726295	-0.6199743028	-0.5852196642	0.5942599461	-1.700119579	-0.7906608053	0.9691124844	0.2601674621	0.4345306383	-0.7731392898	-0.9709767733	-1.267142606	0.2969757792	1.301974996	-1.633000304	0.8993386331	0.8762908519	-0.2142219973	0.3747218695	-0.1332031976	1.543147325	-1.154379195	1.651982418	0.0133318298	-0.8046499761	0.2124128967	0.722924703	0.2675718036	-1.705832222	1.189272312	-1.00450172	-2.111064803	-1.390811028	-1.469913973	-1.826266175	0.6018838875	1.939471631	-1.15450267	-0.4779864237	-0.1802998653	-0.3895623672	1.002309878	-0.2061457941	-1.372992367	-0.5496820239	-0.2891823264	-1.267332594	-1.2763422	-0.2598798462	1.391186256	-0.7733470877	0.2768510456	-0.619390391	0.6338915742	-0.7762013637	-0.9478429384	0.791598439	1.0703798	-0.7476460983	-1.56161264	0.9316113034	-0.5648982719	-0.5384418751	-0.1989454291	1.778191594	1.345219266	0.172784614	-0.3121050004	0.2809229658	-1.380344166	-0.2929700497	-1.135917042	-0.9396788928	-1.12884928	-0.2436682989	-0.6393753605	-0.2340167028	-2.299085093	1.126042149	0.2456751665	-0.6435351646	1.236571119	0.1421340062	-0.4681412091	0.6727504982	-0.3883737548	0.5785379875	0.7995062735	0.5017975395	1.119802523	2.642600544	0.06009653858	0.140021531
-1.438724474	-1.075480792	-0.2832944887	1.255680289	-0.4226775441	0.2619867438	0.3540295042	0.1652791101	-0.06564776744	-0.2828184794	-0.7013070991	0.1541726586	2.060726603	-0.5089413071	-0.9273312527	1.447864977	-0.9308063118	0.8031167739	0.5774775943	0.8103372506	-0.08458228854	-0.6936169784	-1.017104269	0.1165030004	0.7990105007	0.2289946061	-0.305498796	-0.3627223336	1.137440626	-0.1296291025	1.2786876	0.2931486681	1.51466259	0.1625706322	1.868365306	-0.5189244333	-0.4563688329	0.6266307459	0.2986112746	0.5005868242	0.588582249	0.4490200988	-0.6930992957	-0.1220758799	-1.449476181	-0.4754640399	-1.666554585	-0.1007005462	0.9302548762	-0.0780841359	0.2142759213	-0.1080401419	0.2927822026	-0.6544817881	-1.548156964	-2.359596758	-0.3240137811	-0.1652653475	-1.091566983	-1.368345912	-0.758844344	1.677194589	0.4602786958	0.9972283496	0.4364841592	1.175540758	0.8658127652	-1.307881958	0.882695859	0.8886815936	-0.956273646	-0.9854357545	-0.2799516665	-0.06444889673	-0.5851189198	0.02172906466	1.87537835	1.501233751	0.5467068425	1.886751401	1.18382198	-0.6314704904	0.07774595081	-0.8974305059	-0.8188363969	-1.922810675	0.4868604252	-0.7356532994	-0.3476288141	-0.9381820845	0.7474369163	-0.8551488369	0.1622936447	0.09755035607	-0.1070182408	0.5500690492	0.9370397663	-1.567512634	0.4670460709	1.248472652	-0.08550844421	0.6275533347	2.59776328	0.9707465804	0.437350637
-1.388006503	-0.3931441004	-0.3722386668	0.8323385257	-0.3866164823	0.9138451217	-0.2768800718	-0.2108897309	-0.7623005621	-0.04992382584	0.6064452866	1.227020355	1.691484618	0.1054792518	-0.9222497324	1.882910326	-1.058985627	0.4987887427	0.8818374163	0.3112019653	-0.6277251629	-0.3463115104	0.133395191	0.9504137484	1.328353277	0.61442824	1.685814362	-1.234622602	1.140197493	-0.2884804511	0.7304485021	0.2900931577	1.847550394	0.9752137757	2.392430138	-0.5877215011	0.1989148389	0.4298441876	-0.7244117685	1.222451221	0.8042079594	-1.883291055	-0.3772377464	1.161892775	-0.4008612673	0.3037916904	0.2213862503	0.2512094876	-0.9612719585	0.8314863611	0.3557080784	0.1775574124	0.4379917416	-0.6378033751	-1.366801506	-1.480651136	-0.3537455605	0.009195739544	-0.4144258306	0.02707862214	-0.30744916	0.8572894354	0.5495344097	1.9256659	1.299721725	0.105425258	0.2843970306	-1.179763168	0.9537380992	0.09020215938	-0.585135139	-0.507282651	0.003757610818	-0.1601617439	0.2714422542	-0.2606722822	1.31317577	1.903731007	-0.5083451587	0.224406241	1.39055454	0.6990740375	1.28711001	-0.9615484838	0.02817737882	-0.5717623645	1.44374357	-0.2364621166	-0.01834733468	0.2427125704	0.04546167431	0.028541559	0.552236312	-1.110166515	-0.3312295466	0.7373559847	1.059670388	-1.449274537	0.2701361354	-0.0362201508	-1.148794783	1.639242765	2.067393199	-0.4087753147	0.3807747576
-0.6262290127	0.7878647284	0.33562416	-0.2360025645	-0.2895315328	0.5699594317	-0.01882932258	0.3592273383	-1.308526992	1.380534083	-0.7716347301	1.696643399	1.441336477	0.1761248907	-0.6177993991	2.11559934	-0.8697237934	0.3078101705	0.8617159428	1.057583428	0.3207635777	0.7947934059	0.02784169031	0.9003920389	0.8911921109	-0.4566371938	0.1887405866	-1.009644857	1.030722418	0.2313776224	0.407534654	0.2629425225	0.9690539579	-0.242770193	1.058615112	-0.6455220173	0.1659652986	0.2299818084	-1.424228876	-2.40413577	0.1510146371	0.6991257242	-0.7321022551	1.240897321	-0.3888053594	0.4458523441	0.6728400659	0.6880681703	-1.606280507	-0.3328023402	-0.5026817673	0.1611458829	0.8584782088	0.8671757392	-0.9444306834	0.6371626635	0.1421667089	0.1304130422	-0.8525084642	0.217064312	-0.07106579566	-0.155819786	0.03546327192	1.790529262	1.841112623	-0.7706640776	-0.5122427703	-0.3917480034	0.5658416131	-0.8837480652	0.0847958919	-0.8610805768	0.04249872869	-0.6899067351	0.4225070402	-0.4802118345	-1.259312375	2.039351747	-1.214673017	-1.777146519	1.322333252	1.064688737	0.9161575084	-1.295109313	-1.567934111	-0.7016076229	2.15722828	0.08946257679	0.8890407085	1.229786292	2.529510095	2.231510935	-0.7502942539	0.4991572647	0.3147737371	0.4222938765	1.214007304	-0.5188636941	1.240771473	-0.9594688491	0.5870288831	1.171472333	1.495972127	-1.978534098	-0.1072064217
-0.4184628939	1.137418914	1.130280408	-1.074481683	-0.1465405896	0.109333102	0.1344761903	0.1668072857	-1.344499856	1.655535931	-1.515801107	-0.4445120012	1.368443691	-0.2579849592	-0.08243414766	1.236918263	0.6145766585	0.5506965135	0.3984599772	-0.335123132	0.1648705625	0.620730325	-1.254311175	0.191271548	-0.4917957742	-1.296762063	0.1991161639	0.2223880672	0.782798326	0.3423462473	1.626239084	0.09651398618	0.1173538407	0.613260546	1.198088644	-0.8035529103	-0.6586577768	0.06170315925	-1.055180228	-0.6047900453	-1.419366781	0.2418225753	-1.230503311	-0.1465745343	1.647784914	-0.9453912385	-0.2750766246	-0.1964040594	-0.5494062713	-0.7059914188	-0.7879272603	-0.4111430371	0.7493811765	0.1065327801	-1.241300495	0.7101289268	0.9942354553	-0.4607923277	-0.3277891197	-0.6080044886	-0.07911755073	0.493567704	0.798417727	1.187368118	-1.110428754	1.709735955	-1.616377565	-0.3398211517	-1.204262073	-0.3603801969	0.1882153868	-0.5139735226	-0.2442411475	-0.9158260103	-1.062031926	-0.2878468407	-2.002636835	2.186070573	2.238772604	0.08157785989	1.384470706	-0.1740564053	0.1096400573	-1.155176438	0.188979343	-0.5892477608	1.350187261	-0.2206166655	-1.099681188	1.730491791	0.999688694	-1.023600642	0.2814313799	-0.6791108665	0.1977580938	0.7676784699	1.319031755	-0.9377929172	0.4214390179	-0.7008237465	-0.3846835347	1.568012085	0.438114548	-1.257159177	-0.3699057584
0.5292402706	1.676954639	0.7634743009	-1.041367367	-0.1533138369	-1.128723212	0.5137741726	-0.02103369752	-1.094826826	0.07361785701	-0.8329835681	-0.1031337251	0.6802833699	-0.1158754227	-1.595007888	0.9493885928	-1.000736747	0.7752212819	0.7628552163	0.238280936	-0.02985165858	-0.7638556132	-0.3680275419	-0.5888003378	-0.8436446581	-0.7091584518	0.1333032543	0.7234959629	0.9055932512	0.2406706139	0.7525824085	0.5088919891	1.029500344	0.4535176234	0.5893119865	-0.980768521	-1.243290002	-0.190677764	-0.5185552982	-0.5213969137	-1.306539821	0.02601111661	-0.3225436686	0.2914580628	0.2274648686	0.1587324788	-0.4412633018	-0.5298440587	-0.8231696398	-1.206647769	-0.7522314289	-0.4280888368	0.92354092	0.3064736067	-2.059253247	0.2890477997	0.8601778768	0.3216592716	0.8455319128	-0.4599481701	-0.3241321789	1.472752701	-0.2000354681	1.430634221	-0.5315896226	0.06831715461	-1.546880989	-0.03043071106	-0.5946541813	0.731544404	0.03711114418	0.9231450473	0.5756443088	-0.9584116234	-0.5552315534	-0.06134365099	-0.9595715918	1.577840487	1.118704839	-0.844617295	0.652407335	-1.016584562	0.1481704914	-0.3107347949	0.2890771679	-1.677530401	0.5873075499	-0.3878834302	-2.49696848	1.274731456	-2.010881928	-0.9469338844	0.6113310934	-0.5742937829	0.02612117478	0.6872088253	1.49153445	-0.003932223082	0.2404111558	-0.3658495526	0.7794889643	0.3489965297	0.6988074619	-0.946759678	-0.4278317915
1.317867547	1.35260725	1.14939173	-0.5950008723	-0.2736299094	-0.9742051825	0.508154396	-0.6641334598	-0.5011936722	-0.7384960016	-0.3468452176	0.2227601052	0.8581494094	-0.3907733697	-0.3975269442	1.006195323	-0.8940338302	1.239489851	1.14050602	0.7540193222	-0.1016188699	-0.5747943594	0.1414040627	-0.7470061938	-0.9178363354	-0.06382824102	-0.6966966464	0.1875358823	0.8063655384	0.106020559	0.3108198607	0.8263600138	1.305304904	-0.4721905175	0.3340413045	-1.250902092	-1.215443035	-0.232750953	-0.3460058273	-1.276254915	-0.4298451393	0.5412153228	0.2698810927	1.264912931	-0.7166214219	0.4173133705	-0.08850722092	0.4071757401	-1.219999747	-1.242227158	-0.2557885624	-0.407596524	0.8195370819	-0.04540939698	-0.6442190473	-1.002722256	0.149921434	1.19274075	0.1446895189	-0.4231364711	-0.2395479079	1.155451584	-0.5499435644	1.958956347	-0.6115802971	-0.3347825277	0.4389075564	-0.7466526309	0.5287494696	-0.9039590729	-0.09678912543	0.7754664603	-0.2653072435	-0.1488258434	-0.3683015855	0.1890114771	-0.2203362341	1.043680014	0.6728787689	-1.432744551	0.7087526823	-1.555992501	-0.07545076248	-0.1878256479	0.314170488	-1.568308811	0.231449321	-0.8578316747	-1.731259136	1.674248054	-3.100756252	1.080374605	0.1997521657	0.898813019	0.4857253051	0.9521434504	1.122849271	1.27487991	0.3652272443	0.08081509912	1.286787251	0.273917274	1.3973432	-1.079891085	-0.4233512073
