melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148
-0.8288398194	-0.8627724504	-0.7271257563	-0.8399074861	0.2226591898	1.248578268	-1.416469474	0.797744359	0.8817587457	1.44143403	-0.1301929528	0.7016983405	0.1525874158	1.086997998	-0.03052965151	-1.092254064	1.54181045	0.8934399036	1.457255924	1.384499852	-1.265796985	-0.1619913719	-0.5892792758	-0.0612029291	-0.3393578652	0.2966259611	0.004464484001	-1.239501086	-0.8029694451	0.4049354577	1.415725175	-1.828486415	1.276939332	-0.004659665692	1.453211939	-1.047573481	-0.9878921406	-0.9942786897	-3.517892122	-0.07898715028	-1.014488369	-1.729211172	-1.808880669	2.185687974	1.033377046	-0.1005503396	-0.2747858095	-0.06261318405	-0.02426031563	-0.5585877178	-0.7774516975	0.3729364066	-0.100550966	0.6213041947	-0.2622617201	1.320474253	-3.319537223	1.359985458	-1.097293825	-0.3130834116	-1.528376675	0.09998197011	0.7293115372	-3.148411527	1.144388979	1.036316762	-1.198418841	1.656500394	1.371158928	0.2644798714	0.2506478811	-1.660541429	0.3432888024	-0.3237218278	-0.02162832938	1.861273544	0.8967289908	-0.1618706102	-0.663839745	-1.903741947	-0.5410544435	-0.8720283991	-2.300282494	-2.973855378	-0.8135723981	0.1715776823	1.187819699	-0.1570307829	-3.280956024	-0.6027366178	0.5903591973	-1.663796599	-0.2179654228	-0.8787350007	0.2650158229	0.1540788448	0.5383851062	-0.7209623011	-1.671753927	0.3563810727	1.475352002	0.1526276994	0.18186945	-1.005109528	2.340552464	-0.5554623938	-1.06234185	-0.145734882	0.644556161	-1.358967948	-0.6150585268	-2.379782531	-0.3460060114	-0.2010056834	-0.7931890991	-0.2154005128	0.1476029735	-0.4316516738	0.6823836929	1.455095488	0.0877132146	1.078767425	-0.6236696443	-0.08095720611	-2.118787274	-2.122747477	0.6532575991	-1.049128954	0.1666378674	2.168427478	1.328788721	-2.183126501	0.7645419219	0.5720835109	0.5278605253	1.043877468	0.7045143145	0.2240469235	-0.3933755339	0.4022675412	0.05108055672	-0.7426768783	0.9552441761	-0.370307319	-1.046356296	-1.182574782	0.5172101149	-1.37611825	-1.31394544
-1.117742839	-1.405322099	-1.541149328	-1.173846257	-0.1972526619	0.9867345272	-1.894351389	0.3253929798	-0.7203484648	-0.2331886189	-0.5578961998	-0.7089169493	-0.2543975263	1.164833504	0.1068255588	-1.833500767	1.909962145	0.277714722	0.09386440789	1.039151725	-0.6791647005	0.2477194775	-1.088515165	-0.8376443852	-0.1946166097	0.08204112905	0.003459053023	0.2604415912	1.455515181	-0.8157680453	1.023621539	-1.455252538	0.6141035113	-0.8995023912	1.003519736	0.9635003127	-2.167958075	-1.075065651	-3.306334642	-0.3982335716	0.8033740364	-2.155344756	-1.976756515	0.1164545062	-0.02312813888	-1.066979875	1.680426421	0.5277044457	-1.252914364	2.046218056	-0.1080726886	0.4188852261	-1.007291463	0.4340902212	0.460872835	0.7381228818	-2.596782947	1.103977275	-0.3816452409	2.751869598	-0.6423428295	1.584076412	-1.443022917	-3.078075666	1.468396639	0.9780387304	-1.304893366	0.7520343529	1.702892354	-0.3821328397	0.3314916808	-0.2942745359	-0.3327867941	-1.443445711	0.4826508189	2.020890674	1.045431185	-1.682965205	-0.1364981426	0.2713177703	0.412073397	-0.7601688128	-1.474413672	-1.121452042	1.509585944	0.6542339708	0.8193444801	0.7624761679	-2.443531315	-0.001122631092	1.105204218	1.315159224	-0.8380535274	-0.7367714608	0.8658071222	0.3701236002	-0.1976509742	-2.345295396	-0.6150666539	0.7525949048	0.8481125137	-1.456757281	0.7241891651	-1.035537605	1.784580931	-1.637581051	-1.198425468	0.3007679044	-0.727296958	-0.4996171992	-1.07279315	-1.139963367	-0.1427789936	0.06272476104	-1.08259895	-1.02014843	-2.723514552	-1.05532198	0.3468094326	1.397865012	-0.2833313066	-0.8067756185	-0.1947739288	-0.1107041793	-1.552678706	-2.264409496	-0.3972991395	-0.662833481	0.845440861	2.816721819	-0.8424519	-0.8466749339	1.169397788	0.07145942664	1.230099676	1.833055876	-0.89652683	-0.1543347439	-0.8768432938	0.4258693048	-0.3186389198	-0.6701716352	0.5773316758	0.4834425176	-0.6020982895	-0.7593090477	0.7640927718	-0.5999712364	-0.133313749
-1.011007707	-1.331594904	-1.259099137	-0.5910643557	0.154433363	0.6925379488	-1.804856158	0.386251545	1.948210911	0.5353433154	-0.7535123404	1.122348401	-0.17279001	1.172107826	0.2435085236	-1.433217324	1.145432564	-0.2721423975	-1.224546094	-0.01305620233	-1.037098875	-0.1174737093	-1.263983505	0.7675232773	-0.2285625919	-0.2102755437	-0.07294703977	-0.4438889398	-0.6044284221	-0.9156973992	0.2222662446	-0.2364413098	0.6745337861	-1.66769209	0.562923735	-1.089815528	-1.327817713	-1.099275367	-2.049026834	0.4380906304	-0.8832617396	-1.905175461	-0.8554399952	0.5315503861	-0.1726824437	-1.243309456	0.6326988653	0.7844118502	-1.224520206	0.4615557487	0.122775056	0.5206591778	-1.458720341	-0.3750159965	0.1209098588	0.396578783	-1.124187047	0.05554919692	0.2552096439	-0.04466998378	-1.108085511	0.6640324232	-0.5802210503	-1.239450748	0.8521831367	0.5487254998	-0.9318366257	-0.1602043645	1.286438076	-0.5392619336	0.597382152	-0.09504750576	-1.035541938	-0.6905474612	0.3213947964	1.291883726	1.290492835	-1.025082145	-0.2396498502	-0.8255417522	0.5867660578	-0.3072887458	-1.201586403	-0.2285608867	0.5070314614	0.3048323003	-0.0787574692	-0.8796484906	-2.047300573	-0.5983171443	1.458050533	0.4759851941	-0.7810484394	-0.2625919572	-0.4823199398	-1.02330188	1.23819862	-1.075906995	-0.5657645706	-0.1726316526	0.05429836932	-0.1761240833	0.2091151248	-0.3335665702	2.056609979	0.3603120823	0.3438037458	-0.3988161048	0.8725522903	-0.4622968899	-0.3628457006	-0.5851308094	0.6751123495	-0.5720150525	0.8055305528	-0.5572081411	-0.1065217134	0.5327293619	-0.04824201437	0.07545882708	-0.5098591232	-1.198281384	-0.6690772638	0.09509258002	-0.6634051525	-1.345021373	-1.873867355	-0.6287853035	0.5673230952	0.4955759295	-1.745928312	-0.3273907518	0.9599080852	0.2854694546	1.276375434	1.220706067	1.366083293	0.8652699316	-0.9467652816	0.8472438284	0.5291645306	0.7184368514	0.2888689574	0.5019435396	-1.684890241	-0.288750574	-0.1288843176	-0.9086962388	-0.1528105336
-0.8446058515	-1.304858801	-1.272432166	-0.4762373014	0.2404497217	0.6852215967	-1.777969389	0.4923289967	-0.8832910178	-0.2902740067	-0.970394433	-0.9819932255	-0.2050210255	0.1431866373	0.2388517004	-1.396782543	1.028221481	-0.4373709538	0.2740655527	-0.3786115771	-1.05524274	-0.1356662573	-1.468862876	-1.028777969	-0.4121557339	-0.4481642468	0.2080993978	0.4096126029	1.757226151	-0.8542023317	0.7142687788	0.3605376252	0.8031520258	-1.702727176	0.3352762333	1.470155839	-1.120216724	-0.9649224006	-0.9307900266	0.6828316027	0.9767544852	-1.61364872	-0.1925899678	-0.3046600197	0.3317682371	-0.4960514583	0.8049979987	0.4531175779	-1.699951591	0.7582178222	-0.8340848536	-0.03162082659	-1.509073611	-0.3399245244	0.01404150825	0.6981749573	-0.5656789056	-0.5110341667	-1.196247108	1.091249051	0.191565358	-0.04311747348	-0.800264976	-0.4713463116	0.7522237537	0.4684858964	-1.250955449	-0.8653055136	1.169204273	-0.3543836369	0.4423436506	-0.4341663506	-1.149946698	-0.1471048548	-0.008934698324	1.31885455	-0.9718428114	-2.160461266	-0.5410105147	0.8247112642	0.5254491565	-0.3168468841	-0.3948086718	0.03872102105	1.507858952	1.597744676	0.01016652875	-0.3284499388	-1.121431126	0.2929982721	1.033368491	0.8053567477	-0.787241214	-0.3645584451	1.194025179	1.033622834	0.4438781342	-0.4529922393	0.02345797489	0.09855743791	0.4434603017	-0.5534498197	-0.6009962772	0.0868230825	0.6079148566	-0.2133503494	-0.2061400622	0.490190347	0.322145364	-0.5438576817	-0.550676014	0.03531591204	-0.804455341	0.6381838652	1.488860053	-1.556617954	-1.548900492	-0.3897413735	-0.4302525185	1.168938563	0.7750317503	-1.886663796	-1.766939874	0.1168078297	0.2360561106	0.0219936206	-1.699855448	-0.8372464631	0.9838748984	0.6338600646	-1.206772152	0.9077043917	-1.513754532	0.4129605889	1.501386948	0.9492990806	0.6773358051	0.111191155	-0.9577185847	0.4874606866	0.7197805813	-0.3980178808	0.5182883764	0.09668443112	-1.176158038	0.5157150753	-0.5393721712	-0.3208851092	0.3204279263
-0.9101350353	-1.099054108	-0.8942778156	-0.2056944608	0.5021528014	0.7037680587	-1.650129289	0.7666894201	-1.13827032	-0.9550100707	-0.57915607	1.225019614	0.113618296	0.7642287853	-0.04117700042	-1.727631975	1.500796297	-0.3721444873	-1.026495524	-0.9640139487	-1.04739039	-0.3856783976	-1.550995228	1.621327683	-0.3393188054	-0.167976266	-0.3107147948	-0.8293798552	-0.9651089277	-0.8101027778	0.7169592076	-0.461810719	1.252469827	-1.903544883	0.4181799413	-1.268774195	-0.5573160794	-1.074970921	-0.846788589	1.212246837	-0.7847204699	-1.22211325	0.6729615773	-0.8359037867	-0.2927140626	-0.9515719009	0.4186956477	0.5150966943	-1.244907106	-0.3111405088	0.4935719425	-0.1266055137	-1.632209129	1.253532713	0.7262435371	0.9979592025	-0.5532315483	-0.2690831659	-0.1963731997	-1.446394043	-1.077948891	0.0585654446	-0.2572034934	0.2261510316	0.5804902124	1.099236774	-0.5518590826	1.127725426	1.167564469	-0.4467882637	1.550323091	1.74454672	-1.475195226	0.1107988293	0.3441806906	-0.1949471277	-0.5348179061	-0.9898862176	1.309081901	-0.3952091547	-0.6093064663	-0.01391126108	-0.6541309789	-0.2681084587	0.07635905969	-0.3521602629	-0.1188686754	-0.01112640751	-1.072853712	1.350854807	-0.8776423003	-0.645194316	-0.8103369903	-0.5232410752	-0.9030275393	-0.5261863634	2.409135804	-0.1679317476	0.8147892581	0.1349124989	-0.2828067594	-0.7967859056	0.6296178823	0.5064896022	0.4918279866	0.1879000872	-0.309937089	0.2142470463	0.5378649641	0.005655307482	-0.4278261308	-1.281841713	0.2561813043	-0.002569066842	1.781344611	-1.247735376	-0.3309235171	-0.721534034	0.3471028632	0.1722624484	-0.8455537076	-0.6936460529	-1.631179175	0.3954128141	-0.1463307319	-0.6608686103	-1.502440155	-0.6184061407	1.138161926	-0.4237762656	0.008617121691	-0.5651957961	-0.2868515871	-0.2913004067	1.187033034	0.5841182427	1.086680986	-0.2169067472	0.5952923833	1.51062007	0.8874054336	-0.6141963158	0.8585650392	-0.7135743939	-0.1409856261	-0.2070971386	-0.3780003919	-0.06808554368	0.3524239974
-0.8825204722	-1.620352817	-1.541669408	-0.6386668349	0.08830092928	0.2602245684	-2.002706181	0.9731334399	0.4038332421	1.157934712	-0.5245076259	0.2059329342	-0.6363603871	0.7465327338	0.1732507597	-2.176907793	1.232427918	-0.8133532742	1.677762833	-1.717367167	-0.8439218796	-0.6390474145	-1.779575709	-0.5195068294	-0.3818253322	-0.4802148483	-0.07163055507	2.168016414	-0.5503896666	-1.346990304	0.6118913258	-0.6189193659	1.125070452	-1.547268838	0.195541436	-0.6141564755	-1.18988318	-0.9205123954	-0.2299923951	0.05845051273	0.5664183696	-1.479746823	0.2964901885	0.8868649652	-0.5699993984	-1.052664948	0.8444573572	0.4459189343	-1.430240379	1.008362766	-0.4915555766	1.031570262	-1.922512662	0.6082459026	-1.769454559	1.238240168	-1.460254919	0.5149546176	-0.6910525664	0.4865209176	-0.7456463108	-0.174703101	-0.9696397831	-0.4254937544	-0.03238291271	-0.4520034333	0.7396355701	-0.1009305091	1.981943148	-1.107359846	-0.8915184476	-0.1597047262	-1.580398076	-0.07581762192	0.1275364562	-0.2230181131	0.3602346687	-1.657179297	0.1201172206	-0.06103377087	0.5809475801	-0.2360997497	-1.09134599	-0.2855120766	-0.9770005803	0.5544581292	0.8676208122	0.899903246	-1.434859038	0.8751421898	1.121510725	0.55723138	-0.9741510879	-0.8380543035	0.8009000172	0.7097825444	-1.104403898	-0.7678270903	-0.04088793858	0.3192838107	-0.4362838552	-0.5695377421	0.1685885441	0.7705480912	0.2194061573	-0.3582918906	-1.230410265	-0.06213541696	-0.2181915042	-0.5963048329	-0.233659634	-0.4525081997	-2.192374322	0.1762677045	0.0500870156	-1.21417904	0.4039645276	0.1122603265	-0.2971614658	1.27247544	1.153414877	-0.7864753482	-0.6127417568	0.1714117107	0.3497602168	-0.8030206889	-1.620253311	-0.6240478062	0.1371941773	1.424522586	-1.785123449	-1.175647165	-1.727196817	-0.3898804563	-0.1543506191	-0.005344807716	0.2057721473	-0.6170296598	0.9721763306	0.7812234497	0.4548302154	-0.3735166153	-0.06129698669	0.1686508916	-1.124883488	-1.660520193	-0.9953972128	0.3769054285	-0.3408495763
-1.064754763	-0.7677896993	-1.130535976	-0.2842776987	0.3849452486	0.8277176314	-1.92296757	0.9876600374	-1.04259379	-1.30973482	-0.6776577314	-1.044870444	0.2029591225	1.082900817	0.4562065372	-1.451405441	1.69245142	-1.056549886	-1.020463628	-2.068999798	-0.8482174706	-0.4433589079	-1.523760297	-1.200617098	-0.4722741932	0.08668972204	0.03544815515	-0.6306119346	0.4277367556	-1.510902821	0.8067454841	-0.3748435332	1.825936433	-0.9912112468	0.9795648146	-0.2357522422	-0.9162167601	-1.00646276	-0.4741515115	0.583396898	-0.6596016583	-1.52461272	-0.8389903853	-0.6167204555	0.2929333189	-0.6581175234	0.4039258157	0.9577076551	-0.8254236724	1.243427711	0.851948835	0.7105855126	-0.5342484236	-0.9923448647	-0.3800889799	0.5854956769	-0.4427715749	-0.361517267	1.702893425	-1.277396577	-0.0653457941	0.9689018129	-0.04139888418	-0.9014235004	0.544292864	1.712554629	2.052813758	1.136316549	0.6517781462	-0.662544089	-0.9201170744	-0.1623527648	-1.237374922	-0.7966299461	-0.03649068302	-1.277005863	-0.1131316384	-1.376473688	-0.8900834742	0.8689934632	-0.851764699	0.2776848302	-0.8740709674	-0.4530468345	-0.2653210864	-0.3878325446	-0.8114282691	0.6416479006	-0.3825067337	-1.025432283	-0.5029632009	0.558996964	-0.3160969699	0.01592475811	-1.009306296	-0.1904444031	0.224559625	0.05831207098	1.001191762	-0.9726706932	-0.3031172609	-0.8402551758	1.708507576	0.6749163516	0.5864413357	-0.1749790011	-0.3481137829	0.672604073	0.3635579741	0.5682146055	0.04825317608	-1.349481759	-1.74658657	0.1639107043	1.136358394	0.6589730856	0.8962798279	-1.756751448	-0.4751493235	0.8292798028	0.45507855	0.2151578896	-0.4729146143	-0.5274887984	0.5384857295	0.5783983743	-1.773572455	-1.468484357	0.8639674103	0.8028084776	0.2190606615	-0.747297116	-0.4806324735	0.1093878083	-0.01310057862	-0.1524099954	0.4873894613	0.654226027	1.278908882	0.0943789875	0.1013070881	-0.7220634119	-0.3330637943	1.227580508	-1.157892838	0.09008799752	-0.06685124171	-0.1142158283	-0.8156691874
-1.078960681	-1.171061083	-1.622795681	-0.258019181	0.3770371096	0.6747012726	-1.984035116	1.189650591	1.394928173	1.95858076	-0.8796414873	0.6785768248	-0.3775357038	0.8943515472	0.3678256574	-0.9500484697	1.131873567	-1.031255705	0.9536449658	-1.870852695	-0.7185736094	-0.8338790887	-0.220668575	0.06572148455	-0.07724910967	-0.1643710092	0.04037048349	-0.6732364018	-0.5302152432	-0.8910475062	-0.0125297702	0.5490389503	1.541588493	-0.9576936658	0.760688693	-0.3401970642	-0.7718282265	-0.8936226067	-0.07857871403	0.145710461	-0.3129085931	-1.653906532	-1.52545138	-0.09669696952	-0.2602580864	-0.5562542332	-0.01689530273	0.6107077057	-0.479673145	0.2663293162	0.1029720569	1.076220316	-0.2336199869	-0.8815795563	-0.1914379302	0.9379071474	-0.9690117333	-0.07456112301	-1.059792439	-0.4738818408	-0.585937178	0.5949353641	0.2376505914	-0.7025778319	0.5148857261	1.104553207	-0.04878279869	1.396985512	1.233507318	0.2156129963	0.5823405093	-0.01749998925	-0.6913061752	-1.217781352	0.2982557612	-1.460477029	0.4190537612	-0.6085981365	-0.1081103641	-0.03257727984	0.427571715	0.258232163	-0.8187748953	-0.5394476901	-0.21090601	0.7231625911	-0.4384341469	-0.07189990399	0.7278695437	-0.6566603823	1.106982962	-0.5367708474	-0.181891629	-0.4842087774	-0.4985459569	-0.3637667756	0.2926112952	0.2078190949	-1.094402272	-0.2134633272	0.4318762643	0.228208484	1.392735622	0.8456423642	0.8147334822	0.3738167647	-0.4084185131	-0.6978844074	0.2014715233	-0.7970941388	-1.27383291	-1.059568455	-0.07817282394	0.2050541041	-0.5340596376	0.4752051299	1.195827356	0.5164876189	-0.5722864243	1.576090069	0.4970472264	-0.4159955426	-2.204134735	-0.7864653587	0.8220840977	0.4407547694	-1.028102072	-0.5754919507	0.1762059942	1.160445654	0.1449092421	-2.013016395	-0.2588545098	-0.1792381513	0.07143648025	0.08338550963	0.3993625318	0.1397957588	-0.1173172607	0.3690215233	-1.218936043	-1.361190998	-1.731786449	0.2054273903	-1.447359299	-0.1381663823	0.133621121	-0.7270828298	-0.1917086024
-1.02111925	-0.9486513851	-1.424307094	0.02694226534	0.560662631	0.9702123524	-1.962496712	1.203447004	-1.067283091	-0.771491005	-0.9753547741	-0.8316933248	-0.2019069206	1.38105857	-0.009542554365	-0.270581496	1.450630668	-0.7971459199	-0.5067729362	-1.723945486	-0.3695818793	-0.7252833665	0.1184940279	-1.230975416	-0.01213838026	0.2060386184	0.523681229	-0.1034857064	1.191658066	-0.2458395575	0.6599808196	0.5019076342	1.48123463	-1.100807448	1.368952171	1.624874766	-0.8629560795	-0.5766113407	0.04685025275	0.7657012982	0.799945629	-0.9979084182	-1.991522034	0.7662175187	0.3152345709	-1.011514878	1.464373365	0.6591048418	0.1022161181	0.8430366853	-0.003754178977	0.2822098091	0.8117027314	-0.657254548	0.3249198813	0.4387566419	0.2773364471	0.164710054	-1.222252045	-0.6984461028	1.821013228	-1.679065277	-0.005193354535	-0.05727597003	0.9487150745	1.625802327	-0.6552267047	-0.212162335	1.055556012	0.3828588099	-0.3980552464	-0.4084119507	-0.6903402766	-0.6045886726	0.4357185749	-1.677449854	-1.532194896	-1.251181658	-0.6852784434	1.789229589	-0.9143950831	0.5726486381	-0.8613743853	-0.1395031315	-0.07766100107	-0.4649259088	-0.6161980489	0.1572137802	0.5301733387	-0.7618137808	-0.6390768547	-0.509379681	0.7531931855	-0.04724858317	0.6820217241	1.895528457	-1.067451598	0.3658344329	-0.1516146549	-0.4284350455	1.080429165	-1.141993597	0.5013892466	0.6530310037	0.630893848	-0.7302410025	1.192413063	-0.09374111755	-1.280081784	-0.03659772632	0.07776323481	-0.7719498985	-0.6481976438	1.075902951	-0.1368666148	1.488358662	-0.7508167972	-0.411454363	-0.9968103588	1.592589094	-0.5668433176	0.222544019	-1.437709579	-0.1373733942	1.607346595	1.270993387	-1.683658222	-1.257202534	1.536924062	0.2368569865	1.149687952	-0.5610536025	-0.1134513547	-0.2412340855	0.9545470298	0.4502404491	-0.8422612573	0.3153165319	-0.6520499843	0.2261615984	-0.4039327835	-0.7790833884	-0.834963021	0.7587764482	-0.9041512479	0.7617777754	0.9411906969	0.01576712252	-0.72652751
-1.09738652	-1.370835709	-1.542727659	-0.1408225609	0.7152251685	0.4475667829	-2.156139902	1.349669946	-1.226705215	-0.7083726687	-0.5015049303	1.006551934	-0.2884882339	1.467605782	0.4510174527	-0.2004021841	1.27272525	-0.7327066595	-1.178497503	-1.691105356	0.06636529597	-0.5900674603	0.5090017034	1.710193782	0.4743264065	-0.2456419858	-0.266383055	-1.017557405	-1.065919498	-0.1641731953	-0.1245774596	0.26471186	1.557207892	-1.034324094	0.2026077325	-0.4820208601	-0.7465179464	-0.149273274	0.2053426378	0.5982259352	-1.019808132	-1.195912519	-1.516877254	-1.10353324	-1.231867896	-1.43653157	0.9324633971	0.6710111329	-0.1538242944	1.028841439	0.06112457583	0.671535115	0.2181638273	1.453310028	0.6835771408	0.5043200138	-0.4452160493	-0.4088476841	0.04018296775	-1.213501211	-0.356251783	0.1643591195	-0.6663722803	0.3023034048	0.663705426	1.33505409	-0.2992252211	0.8215834684	1.905345039	0.3315713698	1.164463603	1.760593747	-0.6970834139	-0.8539643603	0.8957810786	-2.799770275	-0.6652216589	-1.307045149	1.814782911	-0.6866342523	0.1488336643	0.4283220848	-1.165139854	0.2903109304	-0.549128655	-0.3268813158	-0.5345457767	-0.3615066676	1.060231707	0.2837115031	-0.3486576959	-0.05469858497	0.6481836521	-0.2440943387	0.1183915245	-0.9945581527	1.131839574	-0.6419040228	0.8954818012	1.011552611	-0.8467956909	-1.360701345	0.6570169087	1.152930526	1.402972771	-1.481784844	1.087482052	-0.1835571521	-1.022200065	0.3222050774	-0.2843449838	-1.162277582	-0.139271142	-0.6048338525	-1.053874921	-1.127407735	-1.273092447	0.6238531012	-0.4977214282	-0.01675197194	-1.18110862	-1.456435501	-1.126325436	0.9757670547	0.897707766	-0.4328549961	-0.9804137802	0.8380731934	1.012751637	1.228394061	0.3027320231	-0.3429204709	0.0697477736	-0.3663397701	-0.334915289	1.789507341	-0.04297985605	0.1309873481	0.6650138503	1.071044911	-1.467045236	-0.2827679896	-0.2168444645	0.5407335111	-0.4889677729	0.1804492708	0.7971112992	-0.3034586825	0.1495004829
