melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058
0.1160669042	-0.106248451	-1.082071121	0.6640405857	0.2538487193	-1.369721246	0.1370858822	-1.109771505	1.61838736	-0.934168943	-0.6429601153	-1.39701444	0.6397916522	-0.1086043296	-2.595829866	-2.670744502	0.1480609529	-1.240721765	0.986336451	-0.8952572265	0.1316325098	1.233114736	-1.048288862	-1.475478236	-1.736204617	-1.829758014	-0.31172364	0.00753273059	0.6448927898	-1.635600828	0.1209116526	0.3075713099	-0.5073121248	-0.423825348	-0.2386268756	-0.8432966962	0.6911586345	-0.3006990921	-2.311577978	-0.5961381651	0.4471419099	-0.1332765124	-1.656288234	-0.4396849498	-1.35141011	-0.07249569602	1.401674451	-1.863371252	-0.3823699127	-2.176736825	-0.07705229914	0.03697000201	0.5076451239	0.06570942475	0.04737635838	0.09454949651	0.004709431899	-0.567489173	-1.678317979
-0.8599846743	1.721255906	1.545276432	-1.593065431	-0.1648266393	0.3161259921	0.1766394252	-0.7468949076	-0.3491056855	-0.01150236179	-0.1696786798	-1.248408876	0.719064669	-0.3054543851	-2.192791732	-2.485083916	-0.4234624432	-0.6158397887	0.940487487	-1.542834507	-0.1495172524	1.335107451	-1.381183538	-1.716918623	-1.733606692	-1.848461157	0.1300525699	-1.172461515	-0.1366792947	-1.535124405	-0.01120860728	-0.3636192027	-0.3252123764	0.3844084922	-0.3597538459	0.1059666472	0.5865615466	-1.185047698	-3.097236504	-0.5225049248	-0.175877443	0.1478422749	-0.05339865087	-0.2006233217	-0.56412976	-0.7891764924	0.2511855599	-1.354603291	0.322583021	-1.44046743	0.8194348968	-0.3458976684	-0.4859183367	-0.08323249546	0.0550752045	0.4390042152	-0.944402578	-0.8149677014	0.3301733205
-0.7563832512	-0.4456323102	-0.6594273858	0.02285641056	0.5447214101	0.4301200594	0.1273302758	-0.2940276479	-1.043695697	-1.540787908	-1.114243979	0.8239517693	-1.850458468	-1.264772633	-1.328080265	-1.010490803	-0.6087843512	-0.1007355261	0.0853506078	-0.3910365316	-0.2953069834	0.240408364	0.621144231	-0.9874419524	-0.1824593538	-1.653843384	0.2243489448	0.1813825443	-0.4969259644	0.3921124463	0.130541936	-0.4887554253	-0.7470395241	0.1512903659	1.151971836	0.01715862434	-1.24208866	-0.6678620825	-0.07947811972	0.9065609046	-0.4932934976	-1.072224921	-0.8665322994	-1.337727972	0.6169586417	-0.5446730903	0.838176784	-1.238267757	-1.20795747	0.4035663469	-0.8013634525	-1.058936998	0.8660235273	1.730764252	1.283239372	1.481707022	1.014782683	-1.450573584	-0.3727387514
1.881327481	0.9199503548	0.1940162513	0.2065822817	-1.023044723	-0.4498877708	-0.5797956628	0.3525152846	0.3386942089	1.213359004	-0.4887682376	1.347608982	-0.3498062241	0.434795982	-1.036237216	-0.08293075684	-1.289984778	1.005464478	0.5114299926	-0.3071666304	-0.2652401227	0.3122630985	-0.1694527907	-0.5287883133	0.3414302853	-2.456349821	0.625326277	0.0670200608	-1.193593909	1.09310788	-0.5363386786	-1.298891924	-0.7952692108	0.4461803741	0.3130132023	-0.1393111057	0.9219935792	-1.302620978	-0.7980174035	-0.6410552873	-0.1951735104	-0.8446236167	0.3120662934	-1.260077566	-0.7975523254	-1.405602989	-0.1327966068	0.09655887481	-0.143321503	0.3421878339	-0.8640850481	-1.221591249	0.2433956013	1.460232317	-0.2543831023	-0.4716735433	-0.2383628488	-0.2188719018	0.7611500723
-0.9681618508	-0.6798818344	-0.6787982471	-0.646393871	0.3819491059	0.8439123676	-0.1160556132	-0.2691376608	-1.757153189	-1.21171306	0.6509865122	1.527256404	-0.6824179355	0.1744304363	-1.453713163	0.3465252047	-1.383640863	0.7958957976	-0.3455857518	0.4762230759	-0.4201889435	0.05812910937	0.2204221838	0.6413271587	0.869700975	-1.202041765	0.3439724062	-1.172725945	-0.7486273762	0.4009051524	-0.8368943589	-0.6221413045	-0.1372556499	0.3682163746	0.4669596169	-1.47014231	-0.5403507882	1.298911294	-0.67329445	0.5069709248	-1.499996219	-0.05456339006	0.1594168688	-2.188604895	-0.7099640336	-1.186698069	-0.06760943004	-0.4043306646	0.3808899415	-0.2166761835	-1.009683684	-1.557923274	1.21855503	0.2848470417	0.7715509902	0.1141032943	1.074836292	0.05701221995	0.5553713989
1.517950564	0.4202895509	-0.1513481674	0.894685326	-0.8852595199	-0.9569747438	-0.5551551945	-0.7273739449	0.3266454283	0.9545832607	-0.7304192449	1.329617651	-0.5943330818	0.8369953794	-1.839701008	0.3628543006	-1.510161559	1.010616528	-0.2824902535	-0.8874734233	-0.2183148638	-0.2215012424	-0.4065082502	0.4309202567	0.4170657485	-1.552654641	0.5784879049	0.988915734	-0.5152906514	1.026808063	-0.5741662856	-0.5863008761	0.06203990288	0.361947357	0.02333823823	-0.0939469107	1.217608766	-1.465100755	-1.026135724	-0.6731325308	-0.122819945	-0.5099417417	-0.8046094377	-1.350880396	-1.333614231	-1.372248174	-0.3852595313	-0.2724017284	-0.5501482818	0.6892284512	-0.340369872	-0.9224067817	0.2665053878	0.5031760806	-0.314630919	0.1433248605	-0.556801622	-0.7880578218	0.1053179357
-1.081058068	-0.9608493456	-0.5372077015	-0.8531809361	0.05310235794	0.03384236542	0.1690483076	0.07918212442	-2.188796655	-0.8262782632	1.603933668	1.76884214	-0.5979709473	0.979847625	-1.250872529	0.472308329	-1.305316451	0.9215871435	-0.1943729583	-0.07397173219	-0.2542397635	-0.850185846	0.4651566092	0.8275306335	0.8194504892	-1.192495781	0.006968688099	-0.08929147314	-0.161135954	1.196565863	-0.04605176604	-0.0747427207	0.08413018406	0.8027444721	0.4016203746	0.7308520319	-0.9777325002	0.1485698598	0.8066326234	-1.236204153	-1.875081493	-0.2999240659	-0.3770536408	-1.924540419	-0.01344148828	0.2118547526	-0.5009991995	-0.5166058946	0.88475205	1.329158017	-1.069277677	-0.8446111504	0.6054492355	0.3460026929	-0.1755673061	-0.9273855409	-0.2175799513	-0.3353734385	1.019322775
1.489529398	0.2724878028	-0.7045294323	0.821798392	-0.9682492637	-1.100350738	-0.2715646402	0.01620198434	0.0456756414	1.20172921	-0.9041611981	1.416453975	-0.5833054348	0.610403591	-1.030002672	0.6593518149	-0.8790556406	0.8745402185	0.2378530594	-0.1216255395	0.0334744878	-1.349913427	-0.07306295651	0.8457149483	0.7730654382	-0.9763743841	-0.0005225259116	0.288746456	-0.6244759584	1.094930102	0.4668953677	-0.1352734257	-0.1817923857	0.887305668	-0.787713931	0.3860043497	-0.1377774462	-0.5448898375	-0.3381411641	-2.31387314	-0.5073347289	-0.3160197803	0.04887670868	-1.552623773	-0.67447443	-0.4466969953	-0.2586728337	0.04688229231	-0.7953683989	0.5216810796	-0.5501575601	-0.6389093126	0.2632083175	-0.006359502686	-1.075932715	-1.246062849	-0.68786671	-0.3892451167	0.5072446333
-1.221778333	-0.9592343742	-0.5202421521	-1.100096892	-0.4519024541	-0.1780337583	0.2867335138	0.6428856298	-1.594571615	-0.2830285033	0.3860242706	0.4948845229	-0.5632204964	0.5551380344	-0.1691929624	0.7891793658	-0.6911732636	0.3081368124	1.05958968	-0.1908152327	0.7639815947	-1.344054869	0.1451824185	0.7071579777	0.8955459349	-0.1990765314	0.7569091074	-0.5959074796	-0.9297525382	0.07057266068	0.04045748605	0.6684534529	0.3455157516	1.448800987	-1.870597943	0.08009237537	-0.2261558346	-0.6797437435	-0.1310874842	-0.3970669528	-1.567709448	0.08615670365	0.6130697093	-1.470824951	0.7532768896	0.3269010291	-0.212243133	-0.1452188112	-1.01911893	0.662876403	1.060712658	-0.4874980141	1.13765381	-0.139567904	1.060722342	0.8226240165	-0.6255023285	0.3228040496	0.3899326619
1.333589892	0.4455863665	-0.1608106724	1.860022356	-0.7330625806	-2.527308824	-0.04552316018	1.080055978	0.8623327696	1.6413669	-0.07316518996	0.179761624	-1.283947198	-1.194070689	0.05245395083	0.8502783394	0.4247205735	-0.4518753937	1.587554065	0.659695379	0.2107925871	-0.1411626565	-0.1119383659	0.7643934501	0.3323788849	-0.7751887361	1.772293963	0.6120945946	-0.8727476858	0.3258842269	-0.9473050081	0.261026175	0.3083011019	1.372555251	-0.1793453517	-0.2473576634	1.267240698	-1.240487008	0.02385800286	-0.5119508433	0.1578029077	-0.4140931421	2.037196767	-1.180542804	-0.9768352027	0.9440476962	-0.3727451498	-0.03863997231	-1.880372935	0.7570406519	-1.313927663	0.07476826456	0.8024660183	0.3513688291	1.214275016	0.5093329094	-0.2373718045	-0.6871500141	-1.431911288
