melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102
-0.6732322902	1.320718952	0.2464034798	2.112464024	-0.5627884642	-0.8335725144	-0.3331181607	1.128120698	-1.516452524	0.5909987762	-0.3975312539	-0.5786075424	0.4348252841	0.4072480597	0.6567635372	-0.1146088748	1.44635888	1.761564017	-2.650573475	-0.6939450952	-0.1053621516	0.06442411424	-0.8771411774	1.937774741	1.217245602	0.9039127006	-1.159228223	-2.040552406	-0.8482234213	-0.879571558	0.653742474	-0.9490700375	-1.415511221	-2.952303092	-0.1901667231	-0.502728779	-0.8710680873	0.257003871	-0.5703875553	2.454762569	-1.451000319	-1.959197258	-0.4883298008	-0.4963354358	-1.329561499	-3.405579969	0.1720043087	-2.177297458	-0.7786624323	-1.39339146	1.501040331	1.17472251	-0.6788388048	-0.130255977	-2.428492171	0.01090343462	-1.32396942	-0.7012188702	-1.349475511	0.4950845577	-1.466939695	-0.7079914495	-0.104738249	-0.263783291	0.3013912961	0.3087622001	0.847832843	-1.11398012	-1.458130157	-0.9777127034	-0.5653558391	-0.4348236865	0.1243783167	0.2319079146	2.323871879	-0.2642713003	-0.9949909372	-0.7264338331	-1.228134228	2.259424204	0.6476709299	0.08595655469	-2.14875372	2.24522324	0.4265314899	-2.252059822	0.710682464	-0.971066977	0.6213383489	-1.14551653	-0.2274682894	1.169288526	1.096970028	-1.806593558	1.314503914	2.555511477	-0.5316952283	-1.63598287	1.822307344	-1.821887684	1.493165032	-0.5437913689	0.6490279666
-1.725505904	-0.9311898889	0.05918797204	-1.215077193	-1.762597424	0.09617637068	-1.839613825	-1.464595747	-1.41854538	-1.415290174	-2.384011939	-0.5569846577	0.5382317379	0.9205333234	1.326024332	-0.07747381273	0.759831769	1.077516305	-2.087243359	-0.7182165158	-0.03232175493	-1.382001776	0.3112225603	0.6561543809	1.316034012	-0.08754409887	-0.5593836265	-2.6255849	-0.9377880556	-0.6111270328	-0.1850749413	-1.022094765	-1.091099205	-2.11070764	-1.145437844	-0.01311886888	-1.454790448	-1.503541414	-0.8650909433	2.374904066	-1.9139022	-1.960396227	-0.4136931606	-0.6275493058	-1.481477315	-2.16389513	1.381518995	-1.215995326	-1.074657665	-0.1465222981	-0.02593856936	-0.9787810356	-1.255850436	0.6605965679	-2.291522609	1.801284367	-1.179462374	0.4160141764	-1.055468212	0.2061548133	-0.7919225112	-0.6496986404	0.4696124784	-1.90569869	-0.07711974435	0.7737613	-1.077825405	-0.4573583664	-0.6835260851	-1.535531129	-0.1016051585	-0.5980279985	-1.516897979	-0.4276451811	0.6110670332	0.08783937961	0.1009467503	0.2214429824	-0.6329291985	2.385535139	-0.3970448388	-0.9343776205	-1.772574932	1.42129925	0.06978689759	-0.8571581914	-1.403859277	-0.6749419115	0.3236652778	1.086724829	-0.5051294288	1.801950498	0.2034206638	-1.113143073	0.2413239436	0.3547744068	-0.708461912	-1.724289658	-1.940081916	-1.534977016	0.961012152	-1.362569371	0.9830107447
-1.430123505	1.345192196	-0.5162812292	0.9418473017	-1.337877467	-0.397073593	-0.4217290277	-0.697425984	-0.6076410593	-2.358288844	-1.637087101	-0.7683171853	-0.1928153066	-0.3360028593	1.581640784	-0.06571681887	-1.808769833	-0.5159111702	-1.693782476	0.4119009146	-0.1273272733	-0.2090696951	-1.014228804	-0.3874078898	0.5444105022	1.233309225	-0.9276610733	-0.4203688853	0.8762130046	1.183436508	0.6840302108	0.4293418915	0.4545827626	-0.2983173038	-1.964452059	0.06685980468	-0.9979444601	-0.8685780551	1.29361512	0.7194820113	-0.9304796606	0.4834474764	0.4457791107	0.8855847168	-1.240228274	1.037851721	1.820765196	-0.5179720539	-0.6671482026	0.4980823692	-1.817292469	0.02938901422	-0.2568965754	-0.3527964454	0.5888326852	-0.4085764439	-0.7797563083	0.1088716185	0.9384555743	-0.9302248207	0.2426156222	0.3394420935	-0.992351258	-0.9575970147	-1.021743485	0.3038770411	-1.12587831	0.6404405058	-0.9336216743	0.2896588113	0.06987008763	-1.166562147	1.090346338	0.6868408054	0.4676903951	0.221751115	-1.35909416	-0.06627609365	0.06874928417	2.880001096	-0.808630018	-2.375437551	-0.197344627	1.35341563	1.545392497	0.2481709775	-1.309678971	0.7252063053	1.047956105	0.9495742435	-0.8312697108	1.719664925	-0.4628359795	-1.462625905	0.6321273007	0.4983157779	0.6239646639	0.2030228488	-0.9600759646	-1.198391903	1.087976407	-0.8488023604	-0.6564145751
1.331170296	-0.150026533	-0.8870307635	-0.415202536	0.5510141809	-0.4504851937	0.5989974051	-0.06543345662	1.376875974	-0.9021518707	0.7525215588	0.7362505687	0.03288517416	-0.1872509927	0.3809649435	1.091899507	0.3743419262	-0.4556287488	-1.354335124	1.93564316	-0.1691342877	1.754309558	-0.6323945676	0.7935044334	-0.1825874791	0.5218131753	-0.966720147	0.613045184	2.208785293	0.9435655377	2.065944373	2.487693365	0.616024027	-0.1686471395	0.06419085907	-0.1982386091	-0.1451431296	1.066702326	0.9132893085	0.5829731706	-1.224771801	1.960752006	1.104330678	-0.5607110535	0.1466799608	1.583046413	0.447778377	-0.2003047092	-1.075659036	0.1347067315	-0.4483655415	1.648445779	-0.08356141602	-1.112182324	0.8495058403	-0.1444011529	0.5530447597	-0.01773921031	1.711151136	-0.4113045035	-0.7699911766	1.081492458	-0.1513919641	0.4137996604	-0.1635399201	-0.4552730215	0.4188504378	0.9552811122	-0.4152312571	1.122703243	0.6941013571	0.5345187534	0.07228132975	-1.009522943	2.168232035	-0.343824191	1.22266829	-1.055858277	0.1734312741	2.593588205	-0.1811254134	1.022055929	0.6725764888	1.742682981	0.2778509043	1.347933372	-0.9057728008	0.4772224974	-1.158729782	1.74563779	0.6647393945	1.519080057	-1.509666406	-0.4464840903	2.831375704	-0.7848961788	0.1308045252	1.076241858	0.01004444439	-0.6164939701	0.8731956334	0.7438103176	-2.057411563
0.5842237397	-1.229857616	-0.3653939915	-0.8519241869	0.007167236819	-1.314690878	0.6769070082	-1.24935839	-1.312077139	1.498879319	0.6463608977	-1.268945961	0.1638484788	0.7267483355	-0.040365965	1.143124612	1.255167398	1.024613983	-1.849622928	-1.427295368	-0.3981444715	-0.6932602517	-0.8510558389	1.451750813	-0.4356629603	-1.182868955	-0.9416001717	-0.3958573167	0.933452847	-1.439016429	1.029056852	1.296652491	-0.7971747077	-0.6918250463	0.4917257609	0.3118557078	0.2385126457	3.219819921	-0.7654328986	-1.075982119	-1.674962121	1.110394156	0.05951719453	-0.5180927528	0.2879671802	-2.101190306	-1.259987442	-1.159801925	-0.7625415881	-1.605007554	0.431906051	0.02507352028	0.1788531037	3.654343265	-0.4517803265	-0.5323834649	-0.4204959977	0.1763416484	-0.225905875	0.2644859943	-1.185684861	-0.2169148018	-0.7812074323	-0.1974662494	2.437328581	1.015481455	0.3235970277	-2.089060159	-0.5002580398	-0.1587938083	0.09404355707	-0.2809854737	-0.5894597355	-0.8839433517	1.548023623	0.08990178506	0.9348539009	-0.5646466532	0.08744924011	2.01380297	1.892377548	1.253131345	0.9172997751	2.81886821	-0.5783000614	-0.2069764136	0.1451916541	-0.2948631888	-0.6085216474	-0.8796798972	-0.799118755	0.2699868644	-0.5975611618	-1.434942768	1.412422618	-0.1402546997	-0.773449551	-0.1936087308	-0.1815331212	-0.1445476334	2.736833728	0.2007897641	1.174586604
-1.690278173	-0.4527580008	0.1553625295	0.2504175349	-1.443658545	0.2510821355	-0.06407534448	0.73516076	1.25819717	0.5317910563	-1.107432485	0.1025100787	0.2678450823	-0.4604092904	0.7147584882	0.1999450127	-1.471367636	0.7781266608	-1.665061676	1.637445384	-0.05426332146	1.229149645	-0.9227754159	-1.259775912	-0.2520783919	-0.9928964819	-1.051789935	-1.670558494	-0.1275779665	-1.235924044	0.033508884	0.02483502003	-0.9313443771	-0.8694426789	-0.9423344062	0.7528900494	-1.596866612	0.493993533	-0.8165132513	1.868634254	-1.449409895	-0.3333080953	0.9278536467	-1.286973726	-1.907563305	-1.687082615	0.2140300312	-2.110251651	-1.493960944	-0.6964349223	-0.1838304439	-0.8475321395	-0.7545753246	-0.3706685428	-1.112148508	-0.9392658346	-0.1580451818	-0.9412127103	-0.7805020365	-0.2983993396	-0.006676509736	-0.6231562941	0.220795472	-1.600595492	-1.30109096	-0.152275048	-1.148864057	-0.783275536	-1.646536205	-0.4627396781	-0.4122488483	-1.258483736	-1.301016288	-0.7051304442	-0.06123271026	0.1738146021	-0.3090520358	-0.6428300561	-0.9277343122	2.037071536	-0.7316085142	0.3871096137	-0.04861254151	1.739469882	1.018524559	0.7797754796	0.4880523807	-1.346333099	-0.1233435533	0.9881143839	0.3219961266	0.9577897728	-0.5032965556	-1.747477722	-0.0605481631	-0.1541678372	-1.440751083	0.6790149422	0.7242890913	0.2498808796	0.7860877853	-0.9041749525	0.06906923944
-1.161852415	-0.5113129997	-0.3088037542	-0.6463796955	-1.094124499	-0.7364948637	-0.4491966308	-1.056393764	-0.5191260017	-1.788970738	-0.8501116215	1.240408288	0.1990237583	1.04482921	0.2659204373	-0.06003239005	-0.8259950866	-0.4982422141	-1.467408346	-0.1201255129	-1.06910671	-1.447962541	1.709661984	-1.723863594	-0.3185445641	0.773947142	-1.10241042	-0.1442322238	0.435264271	0.8906509441	0.3864906838	0.6698880145	0.9669926551	0.59783575	-0.1071657781	1.879745584	-0.1964619973	0.5057726893	1.319215058	1.985967923	-0.8803510584	0.5224355318	0.2300393192	0.719387991	-1.022970321	0.4956143185	-0.1879311495	-1.128299366	-0.5774906511	-0.6977763691	-0.9250447628	-0.8096998295	-0.1118294915	0.951373352	1.672666249	1.671054558	0.07539825187	0.620478585	0.5581313452	-1.348285186	0.3045838918	-0.02603499882	1.880551764	-1.285035718	2.102858075	0.8600394397	0.9080080518	0.4669098315	0.3669067	0.763913314	-0.004786276358	0.2290376641	-1.238023471	-0.6692960998	-0.2244411754	0.6204895609	-0.01985535128	0.9193615301	1.009125963	2.880896762	0.264388319	-1.433492796	1.619238318	0.6631468561	-0.4512592208	-0.3973929167	-2.106969768	0.7709971806	0.8634256552	1.288278834	-0.7509946135	1.655793483	-0.8042855205	-3.539444956	-0.04159804811	1.277111423	-1.149489131	0.7159780273	-0.1884412558	0.06672685714	-0.4580465326	-0.670306762	-0.4767385161
1.023943367	-0.6241216608	-0.6384850066	-0.7782721311	0.6107297191	-0.6511597977	0.2995792876	-0.5230981915	-1.068385304	-0.3734046672	-0.2113029975	-1.158520039	-0.2668994248	-0.3612331592	0.1127039379	0.8722026626	0.1488347227	-0.5335959533	-0.9166103876	-1.075799101	-0.07573319722	1.413508519	-0.4377327301	0.03342346439	-0.5118413454	0.4099854509	-0.5512806216	1.769943012	0.8649658345	0.2575841768	2.464850803	0.6530705602	0.6369325657	1.184438663	1.292305374	0.7026221755	1.061210881	-0.03608590209	0.5641727361	0.5644192149	0.03348610952	0.8843885836	0.8045694997	0.2529249697	-1.090041953	1.315326408	-0.08889885152	-1.140785396	0.242690506	-0.1090179499	-0.2964788208	-1.380874821	0.9163784975	-0.175575734	1.534784809	0.3776066411	0.8531062445	1.345779122	0.2918773827	-1.366277867	-0.6781541274	1.257260202	-0.8719594953	0.219439419	0.587892445	-0.1900470174	1.260241491	-1.281656001	1.645377692	1.035128421	0.4048043251	0.5107338552	0.4179392762	-1.328703881	0.7313570602	-0.2868900645	0.7686760737	0.2399607315	-0.129992196	2.574600368	0.04526414277	1.385981061	1.330164484	2.238646278	-0.3217822962	-0.512947642	-0.7854575366	0.8870922425	-0.1196577917	-0.4861864769	0.1358010534	1.665011954	-0.6103261125	-0.1348503935	1.618809372	0.5343710878	0.9644722563	1.289206067	0.3476279784	-0.6676063011	-0.9584568068	0.6766062189	0.6090302475
0.4535290505	1.239705028	-0.5384404411	1.96340127	0.6387684064	-0.5683987641	0.2889861544	0.3984479086	-1.298167881	0.8991999523	0.3697150044	-0.6212590293	0.2812048812	0.3282637878	0.9097244662	-0.1521389125	1.257810617	0.08347029338	-1.021874864	-1.001378833	-0.8130815144	-0.4327942508	-0.4109284965	1.180016832	-0.9194424391	-2.096587653	-1.119693388	1.437121744	0.1300039101	-1.34106763	0.1242952011	-1.202316882	-0.2574583298	0.07068360302	-0.2506299266	-0.4524803235	0.2228664139	-1.037158972	-2.43834871	0.908364247	0.3084475001	-0.6038060086	-0.4305507511	-0.1562812047	-1.165505016	-1.402081471	-0.03290218637	-2.260360509	0.04358390018	-0.07828546383	1.235767954	0.4351309932	-0.244971032	-0.4110037802	-0.2779170102	-1.719250507	-0.1035736345	-0.4863707848	-1.781035874	-0.267629044	-0.2629646556	-0.3711535095	-0.6541861482	0.5682647717	-0.7579000794	0.5771501628	0.246975489	-1.531718426	0.7909367701	-0.4146763203	0.7124071753	0.5780598098	1.444930007	1.699338071	0.764611584	0.6316276655	-1.633438498	-0.5997358263	-0.6267839488	1.980684521	-0.08933580697	-0.1584165215	-0.07798987432	2.398431216	-1.113015894	-1.708571979	1.094588309	-0.3652988691	-0.7521902332	-0.6948900001	0.549781131	0.1706037678	0.9709477155	-0.3767472977	-0.5154878417	0.9988275269	-0.8636465345	0.8221652799	1.279025905	-0.2709777724	-0.3343990248	-0.8515278818	0.4937300706
-0.9106030583	-0.8735752097	-0.09475158168	-0.7860597491	-1.079703721	-0.5165718834	-1.497500914	-1.461627259	-0.2861335097	0.09391925159	-0.8747885479	1.020699896	0.2593418061	-1.053908806	0.5269352	-0.06553548247	0.3747606616	-0.4130392412	-1.054383972	-0.2605152834	-1.453796659	1.098931929	1.622893104	0.7506606501	-0.7566961395	-1.237273253	-1.522320921	0.4202456731	0.17815368	-1.36387615	-1.74251836	-1.613866101	0.08246527173	-0.673078142	-0.753208762	1.144409869	0.2015695058	-1.232819652	-1.558547191	0.4565211571	-0.2409897938	-1.117925298	-0.5751027275	0.02354537591	-1.52687932	-0.8378445724	0.5901605607	-1.6692262	-0.7625650237	-0.02349053836	0.06564570965	0.08177168398	-0.7995751682	-0.6914509477	-0.9797479191	-1.171914131	-0.470442539	-0.3022265914	-1.444123247	-1.100304695	-0.5625666004	-0.4680135753	0.1292711149	-1.063956854	-0.6245032203	0.8203346888	-0.7353502764	-1.438141376	0.5896796265	-0.308031785	-0.2513376356	-0.5523265484	-1.233461522	0.05909604712	-0.6527620429	0.9887534296	-0.4861557026	-0.2671138483	-1.60396606	1.542077159	-0.1356264154	0.8293827225	-0.3341474122	1.399253068	-0.986534105	-1.102862283	0.1097249731	-0.981475039	-0.8088051734	0.3282022324	0.2803962225	0.944538654	-0.6141195283	-0.4436513409	-2.095842107	-0.1443828478	-1.890055194	-0.2917220346	-1.546363079	0.2476768535	0.5482491821	-1.240033013	0.7977994853
