melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140
-0.6957968903	-0.601795372	-0.8155946546	-0.8374424597	-0.7103303019	-1.207381444	0.02650310809	-1.254454907	-0.801701112	-0.7012347756	0.8201581166	-0.8367252322	0.8624968792	0.7272708213	1.64834522	0.5361910117	-0.02089045627	0.2823075816	-0.3959735502	0.2920938258	-1.218833796	-0.6750407596	-0.5101404588	-0.1881371718	0.5021916455	0.6276361418	0.2976614358	0.7000221477	0.7656577796	-0.2494468453	0.354896101	0.2287012304	1.190077126	-0.8301464558	0.7058327962	-1.0890115	0.5093010976	0.8866116909	0.438226579	-1.770514458	-1.597321264	-0.328906906	-0.1228785533	0.354526663	-0.3650656767	-0.7050221963	0.5085064865	-0.06186337697	0.3461109734	-1.617644984	2.110608585	-0.4953653101	1.802067139	0.748675864	-1.198923816	-1.302170746	0.5209780693	-0.790291819	1.387221258	0.2439629943	-0.1043549213	-1.016373209	-0.3445962709	-0.7088517889	-1.544097755	0.7181576356	-1.550981209	-0.7878113461	1.160004721	-1.201979692	-1.520828848	0.2755692076	-1.724647031	-0.2296250015	0.1473448897	1.235900047	0.6168343548	-0.3892998264	0.6318269375	0.4050229372	0.1170228689	-0.2750007466	-0.9969090674	2.05645807	-0.656038393	0.4245892108	1.54330221	-1.641456767	1.756165064	0.4879396284	1.444782454	0.5173312907	-1.000947295	1.22824855	0.2329056017	-0.3839470047	1.996585982	-0.5709926396	-0.1164262781	-0.5189342367	0.706549155	1.778598934	-0.5664570522	-2.078491896	0.635207138	-0.5675235223	0.3240118062	1.932345323	-0.4470895989	-0.703819038	-1.432100393	0.5997678475	0.9377657057	0.361320897	1.913042217	-0.423025714	-0.6634853453	0.2577047788	-0.8403731089	-0.7894893581	2.515759809	-0.5532179928	-1.512903166	3.138786091	1.656430235	-2.747080039	0.5446504206	-2.126727206	-0.396540053	0.1286632517	-0.7684771488	-1.622229186	-1.177120142	-2.052483552	1.517604034	-0.345617529	-0.6315321684	0.02757509259	1.762800704	1.609732263	0.03875583427
-0.6404736292	0.5296732397	1.681083383	2.282168509	-0.6919147472	-1.101547107	0.06790883185	-0.9086153155	0.9457232343	-0.2080130985	0.2100112619	-0.390092318	0.5150139117	-0.4905353378	-0.3276490571	-1.434669167	-0.3065093553	0.6007176432	0.5823308379	0.2076223735	0.7403203246	-1.257492966	-0.7241745705	-0.6196953461	0.5308625965	0.7368276624	-0.1489175757	0.3242379482	1.332727518	0.6830760372	-0.0975379538	-0.2600647656	-0.2241145795	0.258872478	-0.7003032204	-0.6761752061	-0.7205035948	0.2389621748	0.177474021	-1.413880654	-0.5319373868	-0.5156193902	-0.5759373427	1.372541942	0.1054117943	-0.7526009171	1.254657844	-0.07978702772	1.458161713	-0.5584741191	-0.6010363902	-1.206865736	-1.623751694	-0.05933584884	1.497075139	1.243095071	0.8861664469	-0.6124178814	-0.1790295417	-0.3679505767	-0.7558831708	-0.6883268041	-0.1138723971	-0.1718844943	-0.438396458	-0.7338102637	-1.749631506	-0.3389093753	0.8528704923	-0.8475261545	-0.9115706518	-1.874417104	-1.226967323	0.01273332121	0.04598636756	-1.016923911	-0.02194905319	1.450779662	0.2418622697	0.3279194265	-0.2535896721	-0.6820687533	-0.1383851173	1.796513149	-0.5832468639	-0.08981354559	0.5500609484	-0.5266270616	1.180307858	0.08052609363	-0.6869433804	-0.7151358643	1.179115505	0.7447112404	0.4186991676	1.16434992	1.237195267	0.361251766	-0.4254902345	-1.76646089	1.189953463	-0.2993558537	-0.03687400997	0.1787002286	0.2860866511	0.477592806	0.7817777638	0.7661281279	0.7309980051	-0.6416484505	-1.1453175	-0.6438815219	-0.5776328238	1.312417299	0.17128058	-0.6211135442	-1.064460983	-0.8662171248	-0.3653325347	-0.6467995026	1.744581293	0.4108729119	-2.564747876	2.077994407	1.057367835	-1.052239726	0.2251954221	-2.828600659	-1.047135954	-1.625136047	0.2550367694	0.05832098533	-0.769314697	1.216186774	0.844301558	-0.8217521432	1.554717243	0.4077259379	1.255267192	-0.2616881627	-0.1952532877
-1.047537665	-0.9186634605	-0.7450224924	-0.5807247275	-0.2327244081	1.053651423	0.2113464328	-0.4218780399	-0.4004920551	0.01024078718	-0.3407246961	-0.7011706238	-1.349558648	-1.293166127	1.402846692	-0.1807105691	-0.3562466524	0.2537832561	-0.1411956403	-0.1805714985	1.43611304	1.085410848	1.74992152	0.8214883471	-0.7279828928	0.2180023738	-0.618022937	0.6184572388	-0.7981271727	0.8122349571	-0.9973533417	-0.7318413515	0.6026484008	-0.03800121554	-1.024932649	0.3087537647	0.2241137609	-0.4702872508	0.7350138126	0.1629927394	0.4441637173	-1.281478611	-0.2742856993	1.149793851	0.170292096	-0.3078353034	1.469771475	0.4141206829	-1.371777647	0.5610921642	-1.796322467	-1.779453738	-2.170911588	-1.654153879	0.9099355185	-1.266306571	0.2142768773	0.4580670651	1.304076589	-0.4636705606	0.1665559309	1.450590138	0.9078060319	-0.323945641	0.2843694669	-3.288294485	-0.5004655936	0.2284834138	1.789481775	-0.03943219498	-0.4743004444	-0.4062376622	0.4301846343	-0.4645284004	0.2634171484	-0.4836286734	-0.6762614755	1.301256495	-1.148621002	-0.4365446698	-0.03090115323	2.057387881	0.519196121	-0.6087056448	-1.039885297	1.15639754	-2.455486567	0.6283446718	-1.216800843	-1.272344651	-1.040319939	-1.638022829	-0.3509565672	1.390081568	0.3161045557	-0.5755991802	-1.833516437	-1.091210846	0.8953990906	-2.194306565	0.5788086934	-0.1939771099	-0.1357800741	0.7410001035	-1.257908383	1.871501184	1.773805675	1.20086686	0.2768513434	-0.4092221628	-2.363372653	-0.7936023307	-0.2762156296	-1.490144373	-2.583094942	-1.693754794	2.056943653	-0.6341371162	1.970794178	-0.8231707264	1.27739602	0.4473566394	1.391433012	1.210579668	-0.7751686672	-2.099365028	4.288672129	-0.2158753331	-2.798904035	4.789839182	-1.233182795	-1.203014337	-0.03313949774	-0.4367889601	-0.6321565743	0.7891239183	-0.3924516973	-0.09999637446	1.069292523	-0.07714195311	-1.001351292
-1.578418852	-0.7638748779	-0.9724336909	-0.891043379	0.01173853004	-0.5685132394	0.2452931406	0.166057724	-1.036575323	-0.3754375168	1.105393598	-0.9000913815	1.024599869	-0.4866072161	1.209683077	1.228269593	0.1540173957	-0.4635973715	-0.4427637746	-0.2644120497	0.9020335898	0.653820667	0.02928538242	-0.06118625783	0.8439534895	-0.7811360891	0.2948894274	-0.3580179465	-1.197129645	1.134557172	-0.04551846793	0.578816052	0.3429522101	-0.7495961786	0.1412753846	-0.6089620921	0.1443104864	-0.4722923491	-0.3810629442	-0.3655749916	-0.1432184272	-1.747572566	-0.8364783269	0.03524838799	-0.9112480816	-0.364597957	2.203887177	0.645744106	0.3703577646	-0.7735341466	-1.032253467	0.3372458006	1.731049556	-0.2017902088	-0.6873114965	-1.283230117	-0.0358108564	0.620348769	1.552776245	-0.834096444	0.7425328294	0.7603100362	1.366853739	-1.543766899	0.8324120221	-1.110924155	0.3840209412	0.06916067053	0.3710830731	0.4779819299	0.4726228789	-0.05568566149	0.7175026562	-0.04229886358	0.4091321563	-0.3715193527	-0.4826233941	-0.001708668698	0.2823224772	-0.3730761584	0.6019453152	2.756326405	0.9671942692	-1.643986673	-0.5418105538	0.931729703	-0.7396343295	-1.301987262	-0.6703052806	-0.03521377814	1.03346334	-1.32322261	-0.9315687282	1.000521134	0.593299082	0.632221575	-0.7690667163	-1.044107144	1.427700084	-0.7944213928	0.8325734599	1.451686522	-1.793931666	-0.6982919751	0.4099629333	0.9577799112	1.539599014	0.6741891	0.4103069725	0.05037100129	-1.098201414	1.398585223	1.21675468	-0.6258424597	2.314249093	-1.03990977	-0.6561912381	-0.6998386332	0.9177330066	-0.2475503713	1.526170629	-0.4506003996	-0.9510687507	0.247596553	1.040871156	-0.7774475893	-0.1436855269	1.638990363	-0.06647973345	1.664049751	-1.331793495	-2.10980698	-1.276434667	-2.270557268	-0.9896812833	-1.386280342	0.06514309174	-1.569543742	0.02988815428	-0.5439492224	1.533222208
-1.791557733	0.0724513024	1.812856199	0.5667587384	0.7796887118	-1.12268966	0.2406140155	-0.08064109996	-0.6125751922	-0.2409405967	1.339862865	-0.3149173683	0.6219879289	-0.8454613001	0.1495141397	-1.398531115	-0.5638794824	-0.413866666	-0.08616136892	0.5055702197	1.686258958	-1.412400195	-0.3439346151	-0.2759463598	0.0967583723	-0.6090137594	0.2319598089	-0.8299719941	-0.4518536006	2.029351325	0.1067621743	-0.2791475094	-0.4312083128	-0.2205032861	-0.6153445228	-0.4778906095	-0.9396507206	-0.7951073787	-1.700889964	-0.4880490413	-0.450307212	-1.359024569	-1.028433224	1.035983301	-0.2938893348	-0.8173696179	2.642762654	0.5304840683	-0.9381456347	-1.369653147	-1.732477837	-0.2336666326	-0.1181322664	-0.8176149424	1.837689791	0.5402567443	-0.9761529861	0.5865152229	-0.2280197595	-0.9711278891	-1.504210599	0.6798261363	2.177184701	-1.456266667	0.8686721221	0.7851295015	0.06904391418	-0.37106246	0.5502202154	0.5469123189	1.008752177	-1.09030183	0.6849371552	0.4628098217	-0.77825967	0.5314953614	-0.06064453936	1.085928033	0.1640543843	-0.2224516818	0.8908601258	2.635774412	0.4465533196	1.859071838	-0.6273998391	-0.3042772893	0.6226028211	-0.3939093787	0.7313163707	-0.6380566254	0.08182475783	-2.038434389	-0.7270029775	0.3162927686	-0.2915624941	1.346899324	0.2099964979	-0.19541459	0.4686836007	-1.042299847	1.148112314	0.8191312104	-1.514606404	-0.3503774065	-0.0832894453	1.5903704	0.8235870894	0.188549062	1.462270231	-0.06502973624	-0.8639060868	0.5863559505	-0.520115869	0.4674434503	-1.178756714	-1.553967155	0.267576785	-1.157872784	0.6764221173	-0.299400577	1.437689376	-0.8692844709	-2.05174398	0.3554491089	0.8317475405	-1.422234355	-1.146796137	0.1990963034	-0.4528260312	-0.8582036622	-1.527003361	-0.1434294993	-0.6068407939	-0.1447447538	-1.066985634	-0.3641666181	1.159945265	-0.3662670574	0.1515087765	-1.556204874	0.8243910005
-1.857728887	-1.03371798	-0.4035791002	-0.03501095984	0.4964112641	1.639950828	-0.1338135235	0.260995449	1.087227499	0.01866151251	0.6930580081	-0.3689617479	-0.7047496541	-0.7940354134	0.9431742549	0.1348165159	-0.1209306551	-0.5634899494	0.6937222629	0.7745035313	-0.0635254574	0.2301849757	2.050621977	1.02942354	-2.042266282	-0.2612622973	-1.508804296	-0.6662968828	-0.690400083	1.547954333	-0.3059329625	-0.4828743074	0.4909184459	-0.3924341872	0.1696950802	0.8806715274	0.2454622374	-0.6324619657	-0.870108381	0.7279840516	0.5942002934	-1.131222832	-0.7005580015	0.431145479	-0.02338041225	-0.2293372218	0.1625565602	-0.02016798859	-1.230162342	0.5015953985	-1.389910791	-0.5482872436	1.481834587	-0.7980669234	0.3256321375	-1.280519091	0.2256424527	0.3702377557	0.3964389197	-0.03957278693	-0.5569352719	0.03221864626	0.5238694933	0.1079722255	1.149582967	0.2630645639	0.1659725879	-1.306457643	1.458276168	0.4444971004	0.9877527636	-0.05161601759	1.018686621	-0.1582441466	-1.082374334	1.876111338	-1.150137157	-0.1601369563	-0.2507838844	-1.245570145	0.4865923664	2.354383496	0.5605410147	0.05592989347	-0.1575967928	0.9044054931	1.253987107	1.386906731	-0.3291102429	0.9366809728	-0.6788613088	-0.9821363195	0.2367822156	0.761905018	1.163724426	-0.3585691607	-2.405700211	-1.535288573	1.401996556	-0.9419049812	0.8529332023	-0.2929494534	-0.343773407	1.151569083	-1.057189509	-1.683875504	1.189046827	0.5738262026	0.0467606694	0.1759965869	-1.213067622	-0.999694142	-0.7039898823	-0.7259387648	-1.558694285	-0.2191270887	0.09820106041	-0.3769234889	-0.520895588	-0.1294910386	-0.3612059386	0.7004889389	-0.4450936124	0.626193917	-1.048341172	-0.02800835506	-0.02319830228	0.1814842599	0.4313927857	1.049157747	-0.6530549195	-0.5417999708	0.2903034742	0.5350818027	-0.5185200464	1.695987495	-1.939149831	-1.901070913	0.08683479966	-0.9852999342	-1.768373081
-0.5992822178	1.344028339	-1.132605042	-1.029945217	-0.03035622826	-0.4038436541	-0.01562433773	0.03719978093	-0.3388908718	0.08964262393	-0.3939564503	-0.8467703041	0.5682618565	0.2086049297	0.4868279744	1.296110166	0.2239588731	0.02185684301	0.6951334498	-0.5249299486	0.01949663425	0.8067644902	0.3622567	0.4364194379	0.7142176582	-0.5926351743	-0.2509817478	-0.3708299734	-1.160611029	-0.1172819746	-0.6003552489	0.3707551552	1.087045665	-0.7570400022	1.872995986	0.9071265553	-0.3487226788	1.034928693	-0.1166264603	-0.1100523223	1.313965033	0.9483081828	0.2560896733	-0.2968892828	0.2104972805	0.1998753231	-1.19112383	-0.2666259057	0.128529428	0.7153282789	1.428075992	-1.191739224	-0.2066337155	1.262087874	-1.359981951	1.565475415	1.072521477	1.025797509	-0.4412602726	0.07796561167	1.665365421	0.4107524315	-0.6409982857	1.292352705	1.166559838	-0.4054186333	0.5757131675	0.5134853066	0.6775718896	0.5122676268	-0.06766230699	-1.171510145	1.360859199	-0.6828766474	-1.614637008	0.08652575671	-0.8265503318	-1.168982137	-0.2459143398	-0.7793590322	0.9454963511	0.5251657262	1.102843101	-1.949987287	0.2767764889	-0.2405042649	-0.8833763525	1.913092961	-1.304166756	-0.3912304187	0.4470710688	-0.151246121	-0.4242688164	-0.477564949	1.503814766	-0.4641786901	-0.3023078569	-0.8675788475	-0.05111045131	0.5993857444	-0.06260896956	-0.2875030097	-1.352071714	1.305107518	-0.1671398622	-1.902356222	1.081180698	0.2715404886	-1.803542352	-0.6468393302	-1.47503426	-0.07745406588	0.7291646203	2.454786652	1.793697923	2.008764091	0.1873663855	-0.939183513	-1.00936016	0.06190139566	-0.4013502092	1.509313824	0.5423125854	0.921518805	-0.578061351	0.3886964913	-1.065134953	0.4191577864	1.824595522	0.03412579561	1.129668716	0.2320796168	-0.06105078557	-1.572943984	2.938599577	-0.7452455051	-0.55482822	-0.707243744	-0.1672289616	2.133387957	-1.785773565
-0.1619073385	0.4344350359	1.873919551	1.16307219	0.2494106934	0.193222533	-0.2512714583	0.2079969755	-0.524829251	0.2292699642	0.5261739607	-0.6787895052	-0.2123035774	0.103698921	0.4356224057	-1.873276315	0.1480801609	-0.2353830252	0.8658867398	0.007366194428	0.179619366	-1.0166012	-0.4130945802	-0.9093883216	-0.5925881843	0.2921336667	-0.2069907198	0.1075142974	0.4455929584	0.1002319933	0.02558925124	0.1897313391	0.6094685874	-0.2864665851	-1.383510126	0.7993925805	-1.41756731	-0.5918187661	-1.092810185	0.1374627051	0.8884418158	-0.1288751413	-0.1017640326	0.5048200807	0.6189435215	1.088698542	0.02083087034	0.1865618338	-0.2568466761	0.2924381836	0.3003861312	0.08544673961	-0.5033360616	0.4519398946	0.316206738	0.7379349325	1.255753153	0.7613635519	-0.4293071086	-0.2368104024	1.114225822	0.4354857699	-0.4862938247	1.074958655	1.183611264	0.8778934855	1.116479916	0.191982844	1.867292058	1.854094423	0.7098271594	-2.370954094	1.324798794	-0.6422810419	-0.4325615711	0.7971662066	-0.6850606958	0.4306709218	-0.1395446596	0.07799154329	0.467554486	-0.3862291551	1.559997838	0.4205033274	1.293450167	-0.1059743677	0.2567490121	-0.4568534287	0.443095139	-0.7794614956	0.7496132123	0.1324766136	-0.6262466119	-0.4417130432	0.605116255	1.009980346	-0.0009259421558	-0.08138415492	0.1487193534	0.001254573448	0.2984310383	0.1452880845	-1.033804377	1.086810514	0.4471364087	0.1503929917	0.9210494715	0.1897269883	0.5559589908	0.602590252	-0.7555003088	0.1092416736	-0.2611306007	1.147879851	0.1895652128	-1.684478224	-1.097674895	-1.005299989	0.880290431	-1.407688373	0.2720906767	-0.8780833635	0.237331158	0.8748230173	0.4147775942	-0.7077768135	-0.7861737843	0.08635564508	-0.6504462788	-1.01071273	0.8531478855	0.0328627854	-0.3680606887	-0.1875796981	1.103656687	-2.013052156	1.625121487	-0.68709545	0.9291894895	-0.7768369094	-0.9263346709
-0.7243040511	-0.3901202046	0.1404453571	1.504052017	0.3532876435	2.432471687	-0.03116225512	0.3480652235	1.285402173	0.274434614	0.08625719839	1.777597378	1.121667534	-0.6936351157	0.6273745065	-0.7699568837	0.3817000798	-0.4030856438	0.3500478499	-0.3326958003	0.05677561669	-0.1277737132	0.0602130593	0.7983924123	-1.273792087	-0.5574999505	0.0297423251	-0.3047107716	0.3554675002	0.7916330291	0.7987296473	-0.1597363718	-0.5592173362	-0.4450854426	-0.1370420215	1.193435272	1.772277247	-0.8853319228	-1.566465531	-0.1258593442	-0.2873659102	0.6551178377	-0.8517748728	0.4433052009	-0.9168829482	0.940266738	-0.6450914183	-0.1739866057	-0.3545963744	1.041246415	-1.544843682	0.1441475475	-0.1158711746	0.1929765196	0.6283369965	-0.2632971089	0.2241429121	0.7526561707	-1.018101042	-0.06026824622	0.7697419097	-0.4711066377	-1.269572393	0.9206655145	0.5351027808	1.494048842	0.9507715956	-0.1798767677	0.5124651498	2.344011308	0.4177466194	-1.283223903	1.310280605	-1.18414596	-1.29313731	0.8388183893	-0.4932472812	1.856709397	-0.7686268353	-0.1286409431	-0.2829670019	-0.9131033439	0.7062534706	-0.2353545048	0.5142562783	-0.7360788625	0.8166014664	-0.7401998712	-0.7198186115	-0.2421962139	0.3957696277	0.1961081557	1.323874329	-1.71397781	0.7026858222	0.4936692547	-0.6966369759	-1.008843141	0.3382403155	-0.409821923	-0.03609694339	-0.1449742907	-0.6102579289	0.2524496545	-0.6001004023	-0.3087051248	0.9992503506	0.08181070041	0.8820728176	0.3649982954	0.3290584153	0.2366235932	-0.4051992248	0.5960003864	-0.4272024602	-0.5999555248	-1.981765785	-0.3313601097	0.5273134078	-1.424820363	-1.695962727	-0.8841452559	-0.887607705	0.3067293012	0.3439681646	-0.1120953781	-0.9840879608	0.6643386811	-0.06416917186	-0.7675338513	0.8547936954	-0.09364948821	1.143563855	0.9854671226	0.7534326774	2.461443217	-1.692888953	-1.167920375	-0.1524548296	-1.443856782	1.015709994
-0.7745109325	-1.429891043	-1.343961365	-0.6306909985	-0.7289521481	-0.1633454901	0.09258353375	-0.6168588032	-1.549220097	-0.4515117705	-0.1632882642	2.062964642	0.6888904505	-0.4013242201	-0.3294376026	1.73713348	0.4317727761	-0.2074143413	-1.535204682	-1.511391735	-0.470886649	0.5052198554	0.986930696	-0.8978435528	0.5935843838	-0.8570176035	0.160175249	-0.7596013345	0.4545487257	0.4707704412	0.165759486	0.9404847583	-0.297176357	-0.8743511544	2.491042779	0.08223734183	1.400910531	-1.360098836	-1.815759409	-1.510939077	-0.9426020374	0.6163445761	-1.105402004	0.2065358471	-1.425221948	0.3560638983	-1.174568332	-1.760996248	1.114732494	-0.258266791	-1.016228182	-0.3920257493	-0.8920679352	-0.04364236033	-0.3027519352	-0.3912037408	-0.352743663	-0.9133459591	-1.289053189	-1.27236896	0.2644163405	-1.681250097	-1.645865971	-0.4537870603	-1.031141771	-0.7208662671	0.3332763453	-1.392586531	1.112113385	0.9570719106	-0.9385900414	0.1926150663	0.3632844337	-1.782200056	-1.38308979	-1.065664696	-0.7587271354	-1.118291076	-1.280901578	-0.2696558267	-1.263448309	-1.571003262	-0.7777882228	-1.749611776	0.7795028268	1.532938742	-0.02702256619	-1.121915011	-0.5288312006	-1.001441854	1.140040922	-2.003705062	-0.5131057677	-2.643643964	0.1119560092	-0.1040236398	-1.19189475	-1.071812771	-0.7691796775	-1.019541705	-0.7416955021	1.374850365	-1.002730649	0.04421098545	-0.708849532	-1.172352358	1.857633927	0.2575317553	-0.2999571577	-0.5001782699	-0.1141656879	1.728805762	0.5153132258	-1.724595967	-0.2585377244	0.875037538	-0.849215224	-0.6528407611	0.7544178588	-0.763878375	-1.514809902	-0.8501675906	-0.7630527464	-0.478680933	-0.2572956853	0.8166079429	0.505849102	0.6132075147	-0.1960372475	-0.5039344496	-0.7515424304	-0.3312156658	0.4727441363	0.5616100421	-0.9712427681	1.83462876	-0.6293859114	0.7125641468	-1.019773277	-0.924866594	0.9768490978
