melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094
1.116140492	0.06292573476	0.212910105	-0.4408882986	-0.1881500969	-0.3593806222	-0.8406006373	0.8925209459	0.8236026113	-0.3952920481	-0.4532279284	1.12646238	0.8124259304	0.06425297244	-0.5279639493	1.504318013	-0.3345882387	-0.2125587539	-0.5928258126	0.6537836453	0.7261065986	0.3030544042	-1.301861565	-0.2193596419	-0.1642191796	1.360734012	2.294496587	-0.6646784709	-0.9169328856	-1.341498846	-1.076784534	1.037951298	-1.257725556	-0.4995918862	0.6061679239	0.2273310784	0.3735840084	-0.7362573732	0.6182810647	-0.5846997955	-0.3484612854	-0.2330507934	0.08667479037	-0.07264073876	0.2157079473	-0.9963570862	0.2044141868	1.338609774	-1.050720012	1.093756299	3.255031579	-0.01844681297	-0.3423810999	2.05203924	0.5627044356	0.7692061183	-0.5329799836	-0.08846853035	0.3331182199	-0.5865506193	2.417529864	0.3420240262	0.2900458867	-1.674731142	-0.4086586323	-1.772503862	-1.060382169	-2.014723378	0.1394044557	-0.09591221399	1.026548525	-0.8818526612	1.988810739	-0.09552766559	0.5348923581	0.2833791907	-0.2986653193	-1.570181255	-1.448008667	-1.123429886	-2.358776084	-1.743726967	-1.440154291	1.326429726	1.469085088	-1.532250891	-1.301930419	1.487543132	-1.743271209	-0.2913909011	-0.08437021547	-0.8780817058	0.1926294033	0.6865073859	-0.9597901807
0.4029790736	-1.146021661	-0.07787048359	1.502464185	-1.168883183	1.261111185	-1.008690232	-0.588108768	-0.7302243921	0.821560161	1.323929029	1.29371571	1.205855377	-1.171213407	-0.2767050598	-0.6718687388	-0.4467328032	0.8090627066	-0.2009276794	0.6294176842	-0.7218942338	1.009571831	-0.5400606766	-0.05664879666	-0.2749236927	1.277924436	-1.221173619	-0.4053071087	0.2806217626	1.463249572	0.4893861836	0.6184363436	1.156292602	-1.202255486	-0.6570255068	1.262077296	-0.5865193989	-0.1091133917	0.3373022069	1.075480974	0.4512284091	-0.7771302878	-0.1857470411	-0.5974678785	1.986106376	-1.226970242	0.665562041	-0.02059738063	-0.9800341897	0.1109354423	0.7237728628	-0.5455701479	-0.9529162902	-0.02927481697	0.1173207454	-1.393854587	0.6568681236	0.2077827144	0.991571962	1.131127406	0.3693832669	-0.1752067741	-0.9489349368	-2.514177791	1.41901296	-2.041114484	-1.350175806	-0.4622134672	0.4919153552	-0.4497332816	0.6150820051	0.7454119511	-0.8472142423	0.381094692	-1.192221345	-1.195868535	-0.5688352441	1.067899292	-1.368476723	-0.5539027691	-1.086770912	-1.162662388	-0.1830223505	1.42127218	0.6637503396	-1.486182262	-0.1070589028	1.117893203	-0.5512256612	-0.4537425058	-0.659471988	-1.495123104	0.8065169294	0.4573757713	-1.011017186
-0.6870056698	-0.453104702	-0.6157452128	0.8001423715	-0.2807975043	0.3240786281	0.6419811721	-0.4099986925	-0.3121556403	1.386183385	0.5008808344	-0.9142339602	-0.6167917644	-0.03693491105	0.3742549404	-0.5981563104	1.026573638	0.6710177099	0.8807375491	0.3179077435	-1.297464315	-0.5904086306	-0.0367981114	0.5873627804	-0.7846656266	-1.655938228	-0.8325586049	0.3739921804	0.6169077688	-0.283174078	-0.6315974105	-0.6380227593	1.115646276	0.03992935132	-0.7640214844	0.917059608	1.138428466	-0.7062279581	-0.633683661	-0.2226944699	0.3744638701	-0.8383920445	-0.7250189056	-0.6743768896	-0.829324039	-0.4983375126	-1.048924718	0.0898745773	-0.113418939	0.2346452544	-0.1287408172	-0.5950361366	-0.6504138049	-0.6652347912	-0.08195489375	-0.6585984124	0.09293545829	0.3665401969	0.3085289859	0.7593627044	1.411183086	0.3198186276	-0.4326345115	-0.07357121501	0.4214543065	-0.9093429677	-0.6435182058	0.0286485021	-0.909623742	0.21275895	-0.3798222936	-0.03242432816	-0.1119691208	-1.143793408	-1.65654724	0.5462067276	-1.832455557	0.3342264959	-1.098522575	1.074325614	-0.2532015144	-0.3100194344	-0.5596938351	0.3433662743	1.997388265	0.5894215417	1.491692937	1.031445335	-1.04214273	-0.2909240083	0.0269526596	-1.360310176	0.8515954247	0.7597435369	-0.0417979613
-0.9506713943	1.093128824	0.3673514555	-1.209239636	0.7059586311	-0.5444341537	1.298970481	-0.9284233241	-0.2905872367	-0.2880027362	-0.3589502258	-1.385137014	-0.7423865318	0.7053514494	0.4221494079	-0.5170685059	0.9725450954	0.140647057	0.677159247	-1.609262124	-1.142767374	-1.110418896	0.3569080252	1.011792525	0.2587122308	0.614696114	-0.2988803437	-0.05167045632	-0.5381855313	0.04783312594	0.9635989024	-0.07936161463	-0.9824009559	1.457030107	0.2182738199	-0.4723228336	1.168866766	-0.2087678604	0.2593882444	-0.3479729089	0.4649471266	0.7491187433	-0.5026068801	-0.4393247063	-1.760927747	0.4693263352	0.3081505256	-0.9110337355	1.122661592	1.489831193	0.7520829176	-0.201448624	0.1881011568	-0.770578679	0.1609234986	0.1622701399	-0.1286634329	0.1638611762	-1.262826992	-0.6852976012	1.95584315	0.5517802232	0.3197072949	1.044511867	-0.5100038126	-0.308029693	-0.7704280754	-0.08181975497	-0.9472116311	0.2308206419	0.2174114642	-0.4973596428	1.376141648	-0.8031525572	-0.2927668147	1.282341112	0.2677190086	-0.8539885274	-0.3456088522	-0.740057587	-0.1548805187	-0.3055398149	-1.077921149	-0.886867438	1.595971998	-0.3438951442	0.7245145928	0.8556927161	-0.2800190174	0.4322078578	-1.473343595	-0.6517087651	0.882465054	0.7786251266	1.026015913
-0.5217692233	0.7829778273	0.6237599655	-1.262642226	-0.03052417441	-1.234187236	0.4595866686	0.700519201	0.7972238835	-0.9091408821	-1.036195254	-0.5173675968	0.5443259456	0.888640596	-0.1917211906	0.7251700251	-0.8201246503	-1.055053735	0.04155191056	-0.3135258107	1.518618201	-0.7558967021	0.8487860796	-0.9622929898	0.8047538282	1.277241915	-0.04453442681	0.3176503057	-0.8546417728	0.7109426923	-1.397195781	0.8266108252	-2.043291776	0.3994919327	1.207743779	-1.237474694	0.06172253529	0.7063008048	-0.1154988466	-1.395312971	-0.5102921867	1.806725125	0.4272584674	-0.09355943525	0.8652092278	0.7469166004	-0.04794183939	-0.2280495732	1.426845622	-0.1438830964	0.5673217256	-0.578404354	-0.4139963511	-0.9875247018	0.8860159641	-0.1540714298	-0.6976770463	-0.317391353	-0.26110334	-0.8208359065	2.063041518	0.4841630495	0.7046571704	1.373005835	-0.714554322	-0.5692771423	-0.6451436058	-0.1308393585	-0.7905177214	-0.2989052966	0.07022323434	1.424024283	0.08825704087	0.7105442988	0.4879317344	-0.3981778651	0.772747838	-1.582934951	-0.02856923367	0.1874127878	-0.6778786744	0.09088829556	-0.688819905	-0.6501574835	0.7835583924	0.6022057575	0.173216474	0.4265346704	1.466036769	0.2784663765	1.087952682	-1.227865473	0.2530986425	-0.06681976374	-0.0583708619
1.396395225	-0.3536154376	-0.1520569541	0.399005221	-0.2999068582	1.797876262	-0.9379857501	1.153864792	1.998263632	-0.3183831271	-0.339665577	0.9177255382	1.947941399	-0.3988911988	-0.4987250461	1.178039292	-1.129311726	-0.9489776885	-0.9326359315	0.6749273562	0.467688604	1.53445098	-1.456433984	-0.843756636	-0.619288734	-0.8757551584	0.3071116253	0.1752684786	-1.014744377	0.126916011	1.607377453	0.3766363479	-0.1978694598	-0.5307252024	1.462187718	0.9140930498	-1.650669027	0.6984001969	-0.06378521751	-0.3278817517	-1.426621024	-0.5329967851	-0.0009316052277	0.2107790015	0.8919996829	0.6473165169	1.307874234	0.07045316709	-0.05111272656	-1.280221194	0.8609143442	0.07945454065	-0.6359254767	0.3222834398	-0.1262101492	-0.9792013536	-0.2208017382	-0.1238390354	1.300241151	-0.8668521205	1.350902992	-0.3165377417	0.6596762335	1.196126277	-0.05647735526	-1.246233722	-0.3436830338	-0.5538656759	0.9844528848	-1.163228781	-0.1053336211	-0.1110093506	-0.7945401935	-0.00703352722	1.348533918	-0.7941719811	0.04818989826	-0.1096334799	-0.5468919976	1.256125779	-0.9063762037	-0.3379747389	-0.6987449527	-0.739419422	-1.827633407	-1.306271357	-1.452968948	-0.3127020176	1.201497305	-0.3862634391	1.459897769	-0.1171516816	0.9220064915	0.9988243393	-0.2784332272
-0.5156589151	-1.338425699	-0.5762726124	1.099486989	-1.023644997	-0.2862265367	-0.4844931211	-0.2992215445	-0.7636996459	0.9577872101	2.031520345	-0.06966680425	-1.035190458	-0.04924986979	-0.005739686981	-1.160123017	0.08980811292	1.184451624	0.01024319731	-0.013018467	-0.6965567047	-0.5539118226	-0.4438975793	0.691473956	0.3459049784	-1.384763348	-0.5503302227	-0.9579991951	1.676560889	0.01141339557	0.2986358256	-0.1922482215	0.5981722592	0.9100326328	0.3889366144	1.049532387	-0.8044493444	-0.6444163058	0.3749586768	0.3722184236	0.3760734732	-1.232620377	0.1624279457	-0.7395491309	-0.4430250294	0.5462892965	-1.173063898	-0.2228402338	-0.9328350891	-0.63661398	1.66132769	0.4083374264	0.9791691759	0.09080857826	-0.9907741008	-0.7617908689	-0.5686981405	1.361402532	-1.417282264	-0.7654285784	-0.2904898966	0.2165548911	-0.6569499655	-0.1805215313	1.277389793	-0.9048555771	-0.1681211984	-0.2279735932	-0.7067206573	-0.3474664338	0.1009691816	0.4855188946	1.518820142	-0.7193533634	1.597415286	-1.031355655	0.8849124897	-0.2342477707	0.1984529009	0.3968908186	-0.2775246484	-0.4378119593	0.00831124354	0.9994835111	-0.05961424048	0.182676619	-0.6688362784	-0.8189660671	0.1228872668	0.3718718652	-1.326346214	-1.433929271	0.7048389502	0.3088323638	-0.08521843598
-0.5944335994	0.1790416587	-0.05505668535	-0.5207693901	0.1623401536	-1.045308819	0.7247682769	-0.7175434691	-0.800113208	0.6949808982	-0.04372001559	0.1149755108	-0.8208417597	1.014745393	0.3882380382	-0.2743410004	0.9107463994	0.7563805362	0.9895322576	0.2070289228	-0.2133948402	-1.087578618	-0.2852051369	1.364923666	-0.6837744557	-0.1419255598	-0.8698355974	-0.5894744619	1.290972385	-0.7129166489	-1.470127801	-0.3610345651	0.226350563	1.183795685	-0.3188346182	-0.8122136206	-0.05143697634	-1.484486777	0.2058135303	0.5372656061	0.7526605129	0.1040547099	-0.1766494381	-1.171104822	-0.9886201769	1.534182319	-0.7310334194	-0.3223411988	-0.1722896158	-0.3176640004	2.146196009	-0.6817108453	0.7695746776	-0.8343792024	-1.191424601	0.7851292616	-0.8991022189	0.8013631325	0.1004337934	0.3318199983	1.265922722	0.902116271	-1.318940181	-0.06260150019	-0.3753704566	-0.1826802743	0.0474516557	-0.1138145983	-1.171167651	0.656487223	1.214012572	-0.4957014559	2.546827303	0.2744424521	0.2485395498	0.7894172826	0.8922578916	0.2137409716	1.284795365	0.6310350353	-0.159368992	0.06177586461	-0.953021568	0.876697189	0.6825530042	0.2497373357	0.4877057089	-0.7302065208	-1.369478436	-0.3603286136	-0.636562737	-1.104097564	0.1779573154	-0.2580592611	-0.09734619484
-0.6923297131	0.8579849287	0.5424881093	-1.407680033	0.8548954343	-1.295728762	1.113421539	-0.6590754626	-1.009971055	-0.8132751398	-0.9110049177	-0.3766923065	-0.3677328049	1.496671378	0.234918161	-0.2811178039	0.2995189992	-0.4427281998	1.048582243	-1.461249088	-0.6616060753	-0.9984263269	0.6479834864	-0.6077789255	1.322298143	0.2281501012	-0.3519156465	0.1411036966	-1.086296534	-0.2244061595	-1.082028191	1.380033216	1.2448878	0.4493723222	0.6103599738	-0.4013654315	-0.09448034254	-0.8212155813	0.3088282536	-1.279253633	0.5599837399	0.6069728163	0.6287552586	-0.7978888216	0.216580882	1.646152476	0.3251009223	-0.5393383027	0.5071001382	0.8823113679	1.387414529	0.8130965789	0.3177633434	-1.347047676	-1.86851547	1.336800867	-0.8452926383	0.6890738378	1.89933284	-0.5444468108	1.011550567	0.8112645751	-0.3255886829	-0.8452725201	-1.171144628	-0.152750385	-0.8292966486	0.2397482469	0.1712670699	-0.5298308917	1.458463544	0.7602815484	2.336756267	0.1130520178	0.2757973797	1.192169032	-0.414292985	-0.3311099311	2.018854346	-0.3854699922	0.03923496228	0.7422900455	-0.8745084788	-0.201219897	-0.2879193039	0.3178048942	-0.2912820293	-1.153100098	0.8502026913	0.1310288285	-0.4546612257	0.4308658108	-0.4544682301	1.187027468	0.6035267302
0.8241480876	0.005775457362	0.2509066298	0.8983831999	-0.05781157924	0.03791271635	-0.7077869095	1.59634113	1.629525454	-0.1685125778	-0.6264585765	1.173844003	-0.3480727775	0.829213879	-0.705920062	1.867842195	-1.061808844	-1.314764926	-0.6049781088	0.5280394515	1.069226164	0.3095488107	-0.5311288628	-1.452002368	1.431582296	-0.02005214986	1.877573118	-0.4226468989	-1.017225641	-0.4601474346	-0.8570323371	2.263975686	0.1214537682	-0.8172532823	0.8986989034	0.1934731521	-1.247249143	-0.8214840386	0.05195968032	-0.2606089796	-0.8444592726	-1.112594862	0.7574574949	0.1137005993	-0.2278210328	1.224505177	-0.2866206657	0.7139458335	-1.247952217	0.5867507297	0.4617485556	1.202550007	-0.7445108276	-0.07804781802	0.5038449249	-0.3967023935	-0.1705216712	-0.09299382926	0.007137882927	-1.210856236	-0.5432909915	-0.3917808803	0.1363444589	0.2487582577	0.4698330454	-0.1140012102	-1.308416689	-0.2363231685	0.5496108714	-0.8906516986	0.6190357962	-0.383696208	1.444945653	1.136344346	0.2522813226	-0.0357588325	-1.547016882	-0.6948745628	0.8126070849	0.4829435901	0.02954280092	0.9786857082	-0.2206708828	0.4085619197	-0.9283416416	0.4376102488	-1.583117087	-0.9031573906	-0.5886609991	-0.2499833147	1.331710889	1.110303332	0.03770592088	0.3229475012	1.181866642
