melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113
0.1380864921	-0.4742495523	-0.5867566431	1.163611103	0.07098681235	-0.530346891	-0.3380235124	0.739347385	0.7670444996	-0.6032256874	1.017610607	0.3132435989	-0.06916076108	1.55860143	-0.1099708149	1.856449375	0.4333100193	-1.296564596	-1.514521319	-0.1821105485	0.7624611662	-1.405593896	-0.2394412953	-1.05603569	1.686728399	0.2891635345	-0.5692131736	0.1133319077	-0.1480963593	-0.4662593168	0.7308355414	-2.402277045	-0.2059371406	1.642388565	-0.7944434472	1.17373541	-0.7389326412	-0.1226704365	-1.348628946	0.103237048	-2.41341369	0.4322451221	-1.180930039	-1.33347127	-0.2613329768	0.2928651509	-1.460720582	-1.479612629	0.8573863822	-0.3955667225	0.9702810088	-1.68575305	-0.9029780613	-0.08220484799	-1.298451462	-0.6941593383	2.055467142	1.144882648	-1.755662586	0.7264467446	-0.8592242872	-0.845642219	0.6972151735	0.7118931235	-3.702211698	-0.6026709662	-1.049829955	-0.4986304822	-1.898974428	-1.137567259	-2.816444813	-0.5428091887	-1.650871857	-3.616389602	-3.417391828	-1.818655524	-0.9263028565	-1.468318798	-2.727637303	-2.711188984	0.8460336776	-1.088785335	-2.403471507	-0.845602631	-1.613755197	-1.97385341	-2.922456892	-1.197240633	-3.159986761	-0.3775550711	-1.463119765	-1.810583837	-0.9752584582	1.085300908	-2.2709197	-2.351551388	0.1127976219	-0.8655449827	-0.4696847384	-2.520963065	-1.573171993	1.567303301	-1.782712956	2.957730552	-0.7121747031	-1.296196957	1.228240941	-2.006836541	2.965560614	1.769363518	-0.9128287425	-1.717407912	1.449603249	-0.6663622484
-1.750286323	1.747515414	-0.6789828721	-0.1084175285	-1.310223829	1.991123746	1.013383295	1.412770294	1.825081274	2.665874082	1.288046101	-0.9723885893	1.772991879	-1.04669462	1.848135883	-1.506840728	0.08414192764	0.9613023272	0.7798281332	2.310365831	1.476920624	1.446224742	-0.1710111502	2.491033441	-0.174227909	-1.477175755	-0.778594906	0.7312480466	0.3641807317	1.569059025	-0.6802418743	-2.647603437	1.572059821	0.1066974301	0.5235227395	-2.074177364	-2.820333731	-0.8019518668	0.8154043573	-2.080429255	-3.809875545	-3.369130515	0.7655183039	0.4634868416	1.461294861	0.4926341034	1.692037099	-1.905670539	-1.080010061	-0.1205223453	3.331830429	0.7423442657	-2.244125954	-1.664282846	1.487855938	-1.660790781	-0.7736792137	-0.9754553747	-0.7453569875	-1.377224006	-1.841109386	-0.2694141337	-3.05803756	-1.374082681	-2.246108964	-2.687106886	-0.001853697153	-0.9066937456	-1.019423809	-1.848913118	-2.830482498	-0.9978160993	-2.013419121	-2.025674175	-1.312588134	-0.4324952617	-0.4512987913	-2.500801343	-1.118143056	0.6525116333	-2.113603346	-0.6301819994	-2.445290121	-0.5108580262	-1.823071452	-1.259006709	-4.030726774	-0.8326981781	-2.135679085	-2.686811525	1.448763294	-2.231672883	3.319123363	-1.942749663	-1.493007424	-2.120427265	-0.08783202341	-1.561163945	-0.9996365044	-0.209655738	-0.6901331537	0.08936983062	-0.01315589997	-0.6303057005	-1.664737267	-0.5300661575	0.4312930011	1.639274229	4.444165339	0.3611644538	-0.5603014926	-2.103339623	2.03589079	1.073701565
-0.5085756853	-0.289627797	0.1567196327	-0.5218779548	0.0805933491	0.4010931756	-0.1561825112	-0.1526740272	-0.3874498639	-0.761163848	0.1335801177	-0.5093947761	0.4939000583	-0.8524640789	0.1377838904	-2.249964291	1.47115736	0.1563845908	-0.2359256318	0.1725321836	2.699172543	-0.706892609	0.3004352553	0.2125774648	-0.4842291504	-0.4575725812	-0.3352036221	-0.4319955215	0.1270596144	-0.1116842339	0.8948505945	-1.373858277	-0.4335385936	-2.265028539	0.4061328899	-1.456744892	-0.2680265543	0.5784282283	1.109002323	1.055744689	-3.404287646	-2.049221251	1.27998198	1.039974043	1.695302206	-0.5745749091	0.7543084961	-2.124723426	-0.07225356037	-0.5595721698	0.2600587764	0.8269152024	0.8075894982	-0.2163742173	-0.2179442953	-0.07705399244	0.3205621055	1.111422455	0.7208634681	-0.1649027474	0.4849230316	0.2889559416	0.2191418145	-3.099427577	-1.30530777	-1.069622224	-0.5298793452	0.1992001619	1.332083352	-1.244387348	-0.732499731	0.4651872432	-0.30657381	-0.6942058357	-0.8783045401	-1.196733731	0.654945041	-1.787053174	0.8748756253	-1.780216038	-1.27773459	1.429180366	-1.614346377	0.5292818803	-1.730863577	1.264482891	-3.165706084	-0.3245770299	-0.8576182559	-0.9470353535	2.615323929	-2.089776614	0.5019571819	-0.2998427829	0.7610547751	0.4628062419	0.7489302503	-1.541182094	0.4833347436	0.3851614475	-0.9022293042	2.938902591	1.473734418	-0.3619581019	-0.602778301	-0.4194939466	1.024670308	0.6959041464	3.540137884	-0.3662611609	0.8430354831	0.8196875877	0.7177529165	1.508994205
-0.895785071	0.6891726389	-0.5968655465	0.3528038577	-0.4149920129	1.669612471	1.131430046	1.249321855	1.597127531	0.7889519133	1.266019543	-0.1348797353	1.402488529	-1.338048987	0.3976698109	-0.7348786454	0.5460894318	-0.6499670872	1.746941574	2.165691307	2.778137018	0.319718186	-0.2697911427	-0.3224041359	0.2574550945	-0.4536924392	-2.151260013	2.535077674	-0.3076344311	1.705662894	-0.9530683674	-0.3964921441	-0.09329256733	-1.850742087	-1.222983177	-1.505552032	-0.8866719193	1.661543817	-0.6374010002	0.5268419879	-2.660721011	-1.532050655	-0.3832290565	0.1552735556	0.234603768	-0.2043319286	-0.8699872683	-2.119225523	-0.790758878	-0.4128942509	-0.6823398411	-0.7845099113	0.8031233173	0.3128619663	-0.4535751408	0.3127179423	1.398967644	-0.2173316989	1.459345396	-0.5222945483	1.196103453	0.8999171059	-0.592705453	-1.236604591	-1.244180067	-1.817009139	0.5692938452	-0.08680000131	0.3828283087	-1.041001955	-2.309787113	-0.3828672051	0.3246321165	-1.165336524	0.1717064168	-0.4165679346	1.500353406	-0.5630553948	-0.8805392064	0.5447173722	0.7430932179	0.5595345745	-1.279477282	1.352542363	-2.164024986	-0.4314744754	-2.447060098	0.4677150001	-0.656494341	0.1884426254	-0.9791396447	-3.270273859	0.3976335578	-0.9707342338	0.4464833245	0.1187128083	1.795159423	-1.565449845	-0.8321709636	1.006403822	-1.237765244	2.024586158	1.082899449	-0.6757624305	-0.1684830384	-1.744391978	-0.1866729223	-1.532438096	1.999891372	-0.3344449141	0.5001205961	1.033714432	0.1440384933	1.265702162
-0.4375314274	0.2240195097	0.1233601834	-0.1546430767	-0.2276823893	0.09855758019	-0.4248917915	-0.1761629683	-0.1623272019	-0.6776867684	0.3457489877	-0.549940411	-0.04934460006	-0.8730793645	-0.2595218255	-1.329617367	1.742628613	0.02048463644	-0.3266750192	-0.3109646623	2.74025564	-0.1010603801	0.4411193021	-0.314154978	-0.766200557	-1.008409903	-0.3143434245	-0.6183056589	1.220409273	-0.3013188969	-1.157746521	-0.9434310325	-0.9248806016	-2.460760677	-0.6554412648	-0.7971750457	0.3402743284	0.397087969	-0.08345648244	-0.1607317115	-0.7591514502	-0.03041968697	1.264769754	-0.4041433538	0.8856395209	-0.9655879755	-0.4608263025	-0.8168517803	-1.395871029	-0.9955880636	-0.6469629119	1.849147833	-0.2015935052	0.1264991515	-1.032171272	0.7286601072	0.8302411524	0.2838137966	-0.871490077	0.09342247124	-0.8305293872	0.3771826576	0.7923187521	-1.541289315	0.2355792285	-1.273908044	0.06701647128	0.3404107774	-0.2801197289	-0.6126525239	-0.8382441331	0.5211174246	-0.6330139994	-0.1858154531	0.2828523211	-0.99910226	0.5815396046	-0.5674958379	0.4155842247	-1.502360367	0.8433543046	-0.3435391891	-0.7872661203	0.9386202697	-1.291964584	-0.9860312965	-1.374876102	1.276822416	-0.3586528457	-0.9476334717	0.648661749	-3.693940809	-1.221063788	-0.240836108	1.153572742	0.4839365697	0.7457459855	-0.6685037575	-1.137415725	0.6071456585	-0.656722308	1.306235325	-0.3253235166	-0.04536013138	-0.2157710868	-0.864789365	-0.118019382	0.5292113698	0.2829116074	0.5356105601	0.5029865415	0.1070988253	0.3325044572	-1.843303624
-0.3982222382	-1.17980226	1.804779247	0.1130350776	1.068202219	-0.3822772935	-1.271873261	-1.890576385	-0.3133099086	-1.148374304	-0.5616778514	0.2494499735	0.5866022142	-0.8965381103	-0.9062906704	0.1220448893	2.250023231	-1.05574402	-0.246360761	-0.7320408186	2.610124507	-1.38666401	-0.856446152	-0.2831684503	1.153192428	0.39974802	0.4323053978	1.517508423	0.1935784952	0.6868734403	-1.347079067	0.6184187963	-1.345314768	-0.9285642439	-0.109767661	-2.495494932	1.982158598	0.5331478414	0.3222118518	1.98777938	0.02891960507	0.0681335582	-0.5822795612	0.7567435106	-1.466152129	1.292730124	-1.654099294	-0.4273249161	-1.430601706	-0.2988227532	-1.969116415	-0.5888499682	0.5386498136	1.145692365	-0.3122272005	0.1106745979	1.214543534	-1.183721454	1.211885124	-1.238391278	0.04377081519	0.504437532	-0.5187635825	-0.8432280093	0.546473686	1.535966012	-0.1603033038	1.924555178	1.445820458	-0.8874606151	-0.5819231925	-0.1723784792	-0.6362432001	-1.384760183	0.5187493865	-0.3475617665	0.05997877998	-1.362686038	0.6349705209	-0.7253809845	0.3748608093	0.8103289997	-0.5923632472	1.499760062	-0.8990812135	0.4025772127	-0.8825517044	-0.2035581464	0.1774925507	2.101608508	-2.591084033	-2.800057767	-1.088024123	0.6955081384	3.048526784	0.3736074698	0.8218369451	-2.571095132	-0.1570601684	1.796604182	0.1236247068	2.153675876	-0.7101731096	0.6344882368	-0.3680945465	0.7989627678	-1.556462132	1.291385039	-1.129565225	-0.01243143348	-0.4129847485	0.9916833393	-1.248240387	0.6955728894
2.744378426	-0.4476546443	0.8007100145	4.405276383	-0.6762586596	-0.2091764494	-1.908004613	-0.3487703979	0.8084870716	1.660725761	-1.194571497	3.596203064	-0.7149441802	7.228308213	-0.6206886412	4.641284977	0.1658255575	1.127216191	-0.6055168369	0.9813647053	-3.829335437	2.64583369	-1.810811525	1.033899531	0.3957617863	0.8566850949	2.532057147	-0.2142565986	-0.1285767044	0.6356041317	-1.895778453	0.5572335389	0.9775878996	-2.879208102	3.289743164	0.2579145606	0.4864670611	-2.127178351	2.419909329	-0.2685928304	0.5239547297	3.286483162	1.133459312	3.01236629	-0.9328402998	-0.8637722732	-0.8967232469	6.446636444	-1.354245114	-0.6493190301	-0.8589533426	0.6196528105	0.1300418744	-1.297527607	-0.2071991542	2.899763805	-0.6118189487	-4.629995602	0.9197967015	-0.6272811443	0.631586063	-0.5317249487	5.100130811	0.2199861717	1.789707831	1.021009853	1.628826591	1.841393777	1.179653791	1.780785182	-0.09528991772	-1.805068751	1.268370495	-1.527532476	0.3835243302	4.375087849	1.953041517	0.3361025394	0.6367664088	0.06700902427	0.9993852266	1.159828091	0.4559392314	2.990443015	2.135990546	3.146085611	3.146794393	2.397502936	1.640255109	-0.05439576574	-1.797300274	4.527108605	-0.4110091967	3.069792917	2.086665758	-1.974855498	-4.986183855	-1.478948708	1.10539688	1.37775745	2.903055708	-1.761070947	1.142792433	5.188082874	0.1065736369	0.3544124131	-0.1774192055	3.567036481	-3.174458498	-2.446197849	-1.981065502	2.491777519	-2.061341018	-0.5616722597
2.527446089	-0.4391411471	-1.478344944	2.228374479	-6.449856267	-1.33696299	-2.493447149	0.5019391233	-0.3201199061	1.06210317	0.08737770193	0.7604784484	-1.279275524	-0.4517267672	-2.771440291	1.940879835	-2.572002448	2.051713664	-1.07341932	-0.03216121198	-10.01997465	-0.4102614257	-0.733764546	2.609543334	-0.5170123916	1.552623639	2.307948913	-0.984441004	-1.667612627	0.4265081907	-0.3223966725	-3.500066505	1.733597279	-0.04333591549	0.5255263651	2.118406062	0.06735220858	-2.871226454	1.905016549	-2.019756397	-0.5759497112	2.263400457	0.4095503295	0.0001818822311	-1.338225538	-0.6760862006	1.294352813	1.99340434	0.8015282018	1.464749237	-1.412226108	-0.1862912829	0.87146906	-0.5190145547	-1.917174567	8.236414478	-2.248697053	-2.028354537	-1.619847183	-1.369325969	1.791654195	0.7260793034	0.4769851531	3.906604137	2.140071992	-0.5387119736	1.837525807	0.09594464547	-2.209005538	0.3261675705	-1.348221249	-1.345422125	0.5605898708	-3.460685069	-0.6737744527	3.949287582	1.829824738	1.210389269	1.621900343	-0.6753343231	0.7180500064	-0.4950276156	-0.8681814247	3.160712858	2.464351616	-0.2785982206	3.945726335	0.3988959148	-0.2421036495	-0.6994824028	-5.181042764	3.784691305	2.449964259	0.9453159563	0.3999150244	-3.442304754	2.375628483	0.945850821	0.7104900246	0.1107146024	3.686719775	-3.710171787	1.733839202	8.89023867	-0.2360037606	-0.4154536985	0.4937261072	3.229044844	-4.741638588	0.2792840968	2.99101275	-2.741323339	-4.286051486	3.287999281
1.237193964	-0.2767630047	-0.1091020257	-0.8770466378	0.3913065481	0.5234999814	0.6395665493	-0.3820848645	0.2745300905	0.2942296301	0.4094178652	-1.296936233	0.5226274374	0.5223430736	0.3203116372	-0.24386107	-2.043277316	0.7856041386	0.5066164067	-0.5216465107	-8.749142038	-0.8356190278	-0.106397761	-0.9237563946	1.375811995	1.223840284	-0.8936229868	-0.7878989049	-0.1847614978	-1.564493656	2.223546718	-1.36329248	0.2283337281	4.694805283	-1.106892949	-0.7065029239	-2.854227983	-2.166874405	0.1245448348	-0.5026953748	-2.42067723	-0.02246006746	-1.255968344	-0.3420674852	-4.755726914	-1.03903288	-1.114308844	2.905172683	4.536433731	0.1854123664	-2.864418446	-0.5028036354	-0.83140581	-1.433680231	-3.185440744	8.400762085	-0.2043950722	1.307192879	1.693375667	-1.614055411	2.516774065	1.215915932	0.7455422572	1.628269229	1.695596346	-1.584527573	-2.254990114	0.3834869565	-1.618847843	-2.26203148	0.187424092	-1.707103972	-1.536996526	0.1064184679	-1.663583057	-0.5981799541	0.06827147124	2.518007294	1.194593865	-0.6913420107	1.260521539	-0.668871412	1.516762372	0.05093885215	1.63567928	-0.7556995972	1.85173004	4.250947144	0.4784100251	1.886248031	-1.140806735	-0.2557805985	1.057964914	0.7846284513	-0.5352966201	0.7574708188	-2.203019877	-1.957273864	1.603393304	-1.01426344	-0.1151036702	-2.248147622	-0.3119517499	2.23232364	2.398084982	0.3381400242	2.384253268	1.461870603	-0.1263357732	0.4539030539	-0.2117119403	-1.054660079	0.03032532869	-0.9857095657
-1.340260791	1.298608153	-1.222732493	-0.8708508791	-1.711353367	0.9840802723	1.536853014	1.614151573	1.722665777	3.863641335	0.4698308259	-0.288602216	0.3095601236	-0.04505996473	1.798952642	0.1118720357	-3.796777008	1.407936173	0.8436790199	0.4817676816	-5.357274916	2.716422028	1.095092226	1.223138448	0.06279727727	0.01399001863	-0.9815559537	-0.3060300202	-1.134899818	-1.892631344	2.405909717	0.930606567	1.333486214	3.288397099	1.153118225	0.05605624623	-0.3660015058	-2.428382526	-0.9449728256	-2.827719138	-0.92185351	-0.8349701126	-2.442532542	1.557965873	-0.4204507136	0.1246848705	1.372965005	1.990093938	1.03971797	-0.376079007	-3.274643971	-0.2284499869	-0.9130642106	-2.563468871	1.67564009	1.086376598	2.749296538	-1.823841125	1.309823758	-2.449814496	0.6227294294	0.9677169722	-0.8697864662	2.111869095	-0.03296465197	-3.036116508	0.03701695583	-1.299074123	-2.017719089	0.08022463481	-1.30795435	-0.3215759821	-1.598298328	1.25664164	-1.500297116	-2.021583679	-1.475559008	0.262028155	0.6563704715	2.645721402	-0.7851731766	-1.180012193	1.780352295	-0.3764975285	2.175393484	-1.227211806	1.568469888	2.872164964	0.6015002263	-0.1666674649	-1.038468389	3.152459641	4.634279983	1.933374332	-2.129134532	-1.760133356	-0.2464660908	-2.334757563	1.83167561	1.043692186	0.8790285532	-1.871448646	1.212217037	-0.1339274709	-1.232537169	-2.048489369	-1.143874981	0.6588961468	1.799897447	-0.503729372	-0.9093107331	-2.331428557	-1.693500185	3.019268746
