melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086
1.3330864	0.2728853996	-0.8223853489	0.05671084081	-0.4883603499	-2.551350402	-0.7403830079	-1.018995691	-1.037123347	1.398893676	-0.4814914865	1.627083316	-0.5080648851	2.475108123	-1.435175725	-0.7695075589	1.177018085	0.383954984	-0.9525032095	-1.202524884	-1.224459822	1.687814096	4.920941843	1.787051942	-2.767909656	-0.8851304731	2.331228558	-3.671952583	0.0683881212	-1.488271219	-3.39510836	-0.5543083	0.8497268987	1.514580457	0.4132622892	3.280018941	-2.100929898	-0.3164081467	-1.119269447	-0.7254746036	-3.019161864	-1.215116	-1.669738405	-1.406668526	5.966207729	2.163403829	-0.7698210539	0.4298708297	0.513313116	-0.1040239324	0.394985994	1.622825137	1.086995122	9.360715514	2.595981326	-0.8449791309	0.4226197294	-0.9825805414	-1.782524067	1.371562095	-1.407951597	2.118777346	3.377272594	-0.857383062	0.9137254865	1.467537713	-0.2004073178	2.689286849	0.2383968278	-1.65678559	4.631014579	2.877035099	-4.164662755	3.39340804	6.014695661	0.9747874637	-1.506995943	-2.354972096	1.172537002	-0.9143313677	1.932134682	2.533377186	-1.373261037	2.237878617	-3.805914121	-2.067185599	0.4017398545
-0.2490705033	-0.1562615165	0.6228444309	0.8664892158	2.256524722	-3.068039864	1.722261347	1.449462429	1.49874996	0.2235339406	-0.2224693454	2.627212308	-1.688636033	1.192142448	0.342237652	-0.2787755326	-0.002406515389	0.2275786206	-1.588669069	1.013727927	-0.7535328368	0.8545719172	0.106194076	0.8622439474	3.492502822	-2.219903434	-0.8939428673	-3.244208121	0.7347163037	-1.365936551	-3.759686365	-0.7502887425	-1.711854673	1.990547201	0.4101899864	0.2797571431	-0.6103822466	-0.3663483433	-1.189427841	-0.2915795521	1.038445045	-1.956391479	-0.3079164863	-1.027352631	1.646355282	-0.1487725824	-0.6161249207	0.9189004736	0.435235844	-1.743738818	-1.322281338	-0.04479673981	-1.676829116	7.057354891	-0.375849383	1.552841929	-0.2163451565	0.3945907699	-0.3180607801	-0.166464232	0.3556529988	-0.06604717379	3.016431874	-2.943306607	-1.255468479	0.9368722944	-0.7595036428	2.156849452	0.6269828838	3.471164828	-1.078375607	-0.2581115772	-1.157744242	-2.025936999	5.579474595	3.108827446	-1.141402045	-1.872370166	3.214381577	0.3524391768	1.19517212	2.785089197	-0.8294163062	1.033236456	-1.002167902	-2.078766523	1.682014876
-0.1202764553	-0.2450378979	0.4917488116	-0.926105237	1.636669664	-1.19448415	1.076640892	0.8100089114	1.338988399	-0.02710357247	1.022152282	1.641647714	-0.7044508921	0.4245349662	0.8138171216	0.05796031894	-1.237554013	0.8317620805	0.5042629686	-0.6417966871	-0.4153880848	0.540049259	-0.8844636442	1.745838266	3.199962215	-0.9258525377	0.3557404437	0.09678190201	0.6970718471	-1.99067576	-0.9161583853	-0.4716375514	-0.4342174314	1.410951014	1.144815668	0.1572083232	0.02182768926	-0.03853067582	-0.003748793864	0.7372249997	-1.386646685	-2.102610399	0.6600483274	0.5400393298	0.3333873755	-0.1261289355	0.1897735369	1.01047733	1.964961522	0.5154220113	-0.4518624905	0.4626544586	0.7749480409	-3.861065067	0.6558289499	-2.714947207	-0.4037923243	-1.096402987	-0.867235119	0.02896295229	3.02687572	-1.608324172	1.144410141	0.4336357445	-1.005508211	0.4995560323	1.179044148	-0.5964695312	0.007641981518	-0.04449522023	-3.209210897	-0.1689440957	0.7529272488	-2.982115301	0.3050676055	0.3831890272	2.025113206	-2.262494707	-2.137489481	0.490551814	0.6207199433	1.04638597	1.446484719	-1.493245694	0.1151439431	-2.203554667	1.719432414
1.01280118	1.288832545	0.5098166124	-0.6119597477	-0.6792211413	-0.7443204939	-0.04665227703	-0.5454045325	-0.3915075611	-1.134686981	1.908627973	1.176118322	-0.2003138439	0.3809049114	-0.8761616623	-0.6966782297	0.3864855161	1.041995798	0.657783586	-0.8817691504	-0.5244431963	-1.147504222	-0.6726572106	1.876083125	-0.1356901996	-0.789596359	0.7137738385	0.02524913773	-0.4448470573	-1.492794615	-0.4786891349	-0.2199729998	0.4206497895	-0.1648993315	0.4587686486	-0.8378809387	-1.144198573	-0.8305025166	1.243387614	0.2706635807	1.44264351	-1.976561055	-0.7178607418	0.7206587826	0.5298963868	0.07326125344	0.5795517402	-0.1919047505	0.4871185295	1.105849359	-1.316319352	-0.05750293867	0.5790379349	0.5329939562	2.330857779	0.2403497575	0.5458114138	-1.040800218	0.3553963819	-0.150510683	3.543462048	-0.687998495	-0.7793897796	-0.6484683292	0.05921573906	-0.3602234981	0.6560451821	0.2595878033	-0.06834330474	1.211934256	1.500540377	-0.6481592976	1.82589632	0.7367219576	0.5060287701	-0.6065013089	1.64771336	-0.2804422575	-0.4402025581	-0.5782668889	-0.9578928133	-2.580368818	-0.7465392586	0.5368615281	-0.9167389707	-3.025709296	0.6311743182
-0.4064045105	-0.2182422295	0.06316711412	-0.5601305378	0.9424489368	-1.312416954	-1.205936153	0.9660561469	1.698056808	-2.883460214	1.581741618	0.3986506256	0.2119621383	0.02771772106	-0.4989970573	-0.2279576558	1.863034933	-0.5617163881	0.02270268867	0.256729937	-1.347812757	-3.043050586	0.06991134741	1.316165054	-0.2803342914	-1.292435879	0.1191161836	-0.7900782265	-0.02312880912	-1.571618138	-0.2186135501	-1.032846681	2.668190474	1.048032157	-0.6035137717	-0.03111729552	-1.903342343	-0.7496349775	-0.40341874	-0.09455206956	-1.647431846	-0.9878683134	0.8189586192	0.6134856787	0.2703809371	0.144030047	0.3029506006	-0.4342131544	-1.034831757	0.598154953	-1.956968261	-1.13287208	1.486099377	-0.7823817786	1.396001769	0.1787945872	-2.229429557	-1.809925247	1.09799281	-1.187401337	1.367558282	-0.9509198153	-1.015795028	-0.6989904177	0.5100057123	0.1194321115	-0.956715544	-1.128449419	0.1073645629	1.885148592	-0.1587023981	-1.694800955	0.8204032048	-0.02145408454	0.1507024589	0.4732826218	1.087065682	2.036613796	0.05415498453	-0.8258947294	-1.610638705	-2.449152307	-1.132621409	2.196281077	0.3884440648	-2.911098066	-2.116192107
-0.4756048524	-0.799876783	-0.9574192518	1.774379513	-0.5702369519	-1.460816297	1.114335672	-0.9031256008	-0.6510965847	-3.634793444	-0.5963974	-0.7846527565	-0.890842132	-0.7346592312	0.3754893347	1.64393799	0.7562016097	-2.745730182	-0.7213361382	0.726357411	-2.216439216	-4.408170672	-0.9092195814	0.8999426417	0.377812228	-1.523090784	-0.7489558003	-1.685736548	-1.351579742	-1.808813852	-0.4417999075	-0.6510963339	1.662073413	2.278777489	-1.238494954	0.8576720729	-2.807768352	-1.039001509	-1.309852946	-1.26443828	-0.5953662071	-0.6164706528	1.830644599	-0.6862593321	0.1799046579	0.1553520496	-0.2552686692	-1.556657743	1.71097173	-0.1973475968	-2.072856273	-2.205446241	-1.023023685	-1.206022815	0.3028338326	-0.8347413251	-2.772251601	-2.039055789	-1.165059063	-0.9053442527	-1.233157772	-0.7736022963	-2.141207027	-0.07735327565	0.2172121433	1.270810077	-1.643605217	-1.229900839	-0.9777173582	1.325743475	-1.621708226	-2.329758295	0.09914540431	0.9883016873	-0.4964115045	-0.6107008837	-0.5333209049	1.129349597	0.9905724904	-0.1727160593	-0.5553684345	-2.748909533	-0.7849567893	0.3356890392	-1.131708424	-3.061579504	-2.877331115
1.146911902	1.909275991	0.726805249	0.06408833519	-0.2589060782	-1.879585015	-0.2122047393	-1.452664616	-0.5201193214	-3.252287228	-2.425009618	-2.222229925	-2.144943865	-1.832051636	-1.857965265	-0.4180134842	-1.684885166	-1.801626543	-1.621651453	0.2601573373	-2.913512958	-3.51112676	0.9532225906	-0.2443729574	1.232451204	-0.6239152751	-2.007245728	-1.826919635	-2.299277487	-1.32386632	-0.2610179272	-0.9282165118	-1.646177262	0.6555760223	-0.5236413289	1.282630389	-3.627453071	-1.765335957	-1.123163221	-2.026024122	-0.6423127054	-0.8307462406	-0.1608368334	-1.178709744	-0.5660235759	-0.7513276367	-1.298927254	-2.413007693	-0.3482709905	0.3802958005	-1.310233551	-3.10569401	-0.7681206445	-1.224649365	-1.736798712	-0.90734395	-1.887636902	-1.498085079	-1.572058767	-0.4257424588	-2.278324201	-0.1756123175	-1.944413625	-0.498417989	-0.2513940062	0.456149875	-1.726121209	1.256619187	0.6252768399	1.435279753	-0.1044377991	-2.737447941	-1.271480367	0.3569423091	-0.6876147061	-0.9121136125	-1.047165169	0.7024664221	-0.01425996126	2.22772603	0.0005744354923	-0.6872005022	-2.471164766	-0.9145690439	-3.007442442	-1.20814637	-0.3219080398
-0.879511374	-0.6494231936	-0.5049291988	-1.114021264	0.2298571766	-2.017097662	-0.7072407832	-0.02923104957	1.528025545	-1.782617198	-2.526392174	-2.002233736	-2.311525861	-1.234827718	0.2929575781	-0.5354210027	-2.76776503	-0.4030581563	-2.033510719	1.782125794	-2.194425353	-0.9483931089	-0.7620147922	-0.9170354437	0.7312586118	-0.9198082161	-0.2501795284	-1.662515291	-2.379045538	-0.602502012	-0.4667725807	-0.7977173586	0.01276387645	-0.6951075105	-0.4972238316	-0.8146263223	-1.93279797	-1.217947525	-1.210370985	-1.764023852	-1.570785322	-0.361486015	-0.1259446834	-1.598398418	-0.6007911782	-1.872741555	-1.322287199	-1.663743247	-1.672261117	-0.3518289724	-0.7241441822	-2.162876893	0.1764056048	-1.425958671	-1.691853901	-1.606477381	-0.04888964783	-1.466845857	0.999119584	-0.7808078955	-2.791898831	-2.379383233	-0.4944561855	0.774155897	-1.074615881	1.036535386	-1.282979557	0.9183702085	1.060971078	1.785381658	-1.815308735	-1.919725586	-0.0230057692	0.787829329	0.9275131115	1.542380391	-1.115889733	0.8668437709	-2.024585479	0.0657970461	0.6725006259	0.1701060593	-0.7347071081	1.101894044	0.1518863048	-1.708592298	-0.2508515235
0.7489175243	-0.8814231401	-0.8732068014	0.8154349086	-0.7321609443	-1.727181136	0.3919481212	-1.449106973	-0.8929142015	-1.350635943	-1.417240125	-0.6719776781	-1.91609969	0.4223907181	-0.5277745053	1.003858929	-2.299680377	-0.218688529	-1.768909948	-0.1228057262	-1.537827334	-0.1389446268	0.2851706437	-1.798074619	0.7672992501	-0.4719885083	-0.05231762607	-1.137620796	-1.519511932	-0.4121500153	0.5060979226	-0.5983762516	-0.274099009	-2.116120686	-0.3068372079	-1.496436202	-1.871410321	-1.692040109	-1.108800245	-1.183851462	0.91923378	-0.6591823155	0.9887616138	-2.007644636	-0.1952503418	0.86008816	-0.9848634627	-1.612337366	0.840218464	-1.01181363	0.298853314	-0.9955308427	0.06891620167	-1.605290388	-1.683184597	0.09359065997	0.6516970382	-0.278142783	0.235003831	-0.07664311397	-2.480834779	-1.801226362	0.7747356135	2.018490016	-2.062539061	0.80988224	-1.298721479	-0.3783346207	-0.5862475059	1.842095598	-0.7657478974	0.02168323443	0.371235573	1.399366074	-0.1339978489	1.494048104	-1.241968675	0.962765405	-0.3356296256	0.02743214122	2.333845578	-0.8045801798	-0.9350103752	1.403236123	0.5578820477	-1.018912163	-0.8255503272
-0.08871897801	0.3134994087	0.6748293931	-0.8284066265	0.9014990776	-1.585544006	-0.8295403	1.482460394	-1.244918289	-0.7692524351	-1.048379938	-0.09793994732	-1.867994803	0.6608744506	-0.09445736032	-0.1581356562	-1.353978069	-0.9048799613	-1.931687844	-0.6159521516	-1.347456317	0.1606470191	0.1035275938	-1.935261774	-0.6835678844	-1.016956948	0.2592811556	-0.5364775256	-1.672311237	-0.0133323865	0.8179274278	-1.251933429	-1.533820261	0.1684647294	-1.157885542	0.0244843979	-1.939031324	-0.913333815	-1.189141853	-0.7507650133	-1.874301121	-0.2202086786	-1.703245486	-1.778319631	-0.7100143384	-0.6796540103	-1.105063812	-0.5809535695	-1.540980091	0.7746159598	0.510452332	-1.003032715	1.087110205	-0.4504609538	-1.39726208	2.465615861	0.8885060394	-0.712839068	1.796211215	-0.2074768246	-1.125568239	-0.572995888	1.049892467	-1.457580884	-1.308529526	0.6711660576	-2.389945626	-0.6136683145	-0.1102370583	0.9624729654	-2.375899926	0.9860293321	1.364759295	-0.04448562543	-1.117104131	0.2366062369	-1.382954553	0.519457937	-0.7535584721	-0.3829214471	0.2559325674	0.06354923756	0.04433732494	-0.559055521	2.073343545	0.2712346241	-0.9869387036
