melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079
-0.7485911892	0.5584971298	1.996685601	-0.4857473106	-0.1159325634	0.1218512058	0.3564235768	-0.5761438734	0.732292731	0.3556766504	0.6206570487	1.018826364	0.4750292367	2.388065203	0.2034710149	3.576016349	0.4600804208	-2.099309198	0.4516310973	-1.44660609	0.7609807618	-0.9208693851	-0.265142131	-0.04872955865	0.4490545313	-0.4742963331	-0.1928270423	-0.7302555516	1.549612612	0.3573827357	1.22247567	-0.05655230731	1.849907696	2.762140955	-1.066347329	0.2401359919	0.07808013842	1.189823151	-0.265236494	0.6292958372	3.240497484	1.061683872	-1.66674564	0.01668614361	0.4210302599	-1.160485996	0.2144227332	0.996875179	2.16832317	-2.381455212	-1.222181913	1.713119805	-0.8395036546	-2.753313986	0.48018307	0.5912361768	-0.2228921046	5.216878965	0.633497572	-0.366358112	0.7435748702	-0.7309096481	2.024147886	-2.443875436	-0.296372508	1.652649309	1.233484575	-1.005249578	1.701087389	0.1206381372	-0.4364024369	0.7736838451	0.2212417108	1.881740128	-0.8852781885	-1.797582511	-0.4137679851	-0.6349245481	-3.191040267	-0.6490761716
-0.2858510082	1.516271347	1.840609245	-0.3399160655	1.68375461	-0.966270667	0.2643450967	0.3567482177	0.7847411929	-0.4711983449	1.235145854	2.341772318	0.4409984336	-0.6468110981	1.685063562	2.683569375	-1.006538732	-2.219020575	0.2635398409	-1.408476318	0.7090756441	-0.6496113061	-0.6506819419	-1.082105037	-1.958666575	-1.057439474	3.243113626	-0.8035430205	0.6998563632	0.19072519	3.653203059	-1.008107323	1.51508361	1.034167408	-0.3447168995	-0.7488228324	1.252462199	1.060031247	-0.03269578748	-0.4642612921	1.299117331	0.6084076626	-2.079968393	-0.07010402453	0.08811459941	-1.036752527	1.634827245	2.179157552	1.579354896	-1.925526433	-1.71967994	2.060669975	-1.380020792	-2.6447288	0.6837843958	1.879325247	-0.6096290657	2.281918846	0.9527555307	-0.7821202784	-0.5431050641	-1.161150288	0.5861970031	-2.559864745	0.1160647865	1.517346351	2.428723796	-0.2264440417	0.1287308167	-1.834494884	-0.1625929639	0.6378406194	-1.329966059	1.456935715	0.3221835141	-1.449452841	0.05897075276	-1.204244446	-2.318610354	-2.773994053
-0.629581448	0.4348573521	1.266810515	-0.7237502837	-0.3149120734	0.6533354036	0.1792342203	-0.290297305	-0.6360372247	-0.02353684628	1.115825011	-0.256272165	1.304500389	-0.4125287442	-0.1238599797	1.614837619	-0.3402691866	-2.103616179	0.5395114594	0.2011651724	-2.238633864	0.4328006166	-0.8979891074	-1.0866041	-0.2942906584	-0.7387249748	0.8896573383	0.8512170429	0.7855226916	-0.4756448429	0.2505704521	-0.9395481973	0.8075017129	-0.3250935425	1.037290943	0.9705720275	-1.696938638	0.8710052791	-0.1908496932	-1.653201593	1.317986138	0.07657280048	-0.3984057445	-1.024706183	0.2026736884	-0.7644892191	-0.2779238785	1.351574387	0.5013596268	-0.8372965855	-1.439406832	0.6999651495	-0.4272818054	-1.017554291	0.8340976614	1.489880009	-0.7071439963	-0.05363916036	0.6672041717	-0.008978772861	0.6450338392	0.775172658	0.8307951684	-1.059728017	1.098245613	0.6478733554	1.617118614	0.1624980932	-1.282088919	-0.1416445091	-0.2231872406	1.078076641	1.821685071	0.7775107784	-0.2251510056	-0.8256878219	1.3203949	-0.6983715744	0.5649773448	0.314149282
-0.4147662873	0.5057001909	0.9438018162	-0.9429702438	-0.7309281262	0.164191951	0.7251884347	0.1094861631	-1.042363279	0.6209600234	0.4167234733	-0.6415194302	-0.2248669742	1.049620032	1.031725818	1.454276901	0.02517851105	-1.427550604	0.6494925315	0.8654787597	-2.649976592	-0.1425698519	0.04118830169	-0.775884536	1.803803011	-0.4065431717	-0.3745447043	1.281624199	0.8643620833	0.6230429085	0.5633626503	0.3768703796	-0.09215861156	-0.1055867898	0.5091292295	-0.1995521851	-1.285418857	0.06644540085	1.341831323	-1.121418402	0.4973101868	0.7647843684	0.02873112778	0.1065269657	0.2135895933	-1.116233844	-0.8633735467	0.3504660672	-0.7614976147	0.1083099105	0.3146696565	0.1911482985	-0.4582167996	-2.097118356	0.0291258988	0.06351844012	-0.65787144	-0.4728296143	-0.6963931273	0.05231474905	0.4768151134	-0.5394359411	1.164448582	-0.4655273902	1.353492251	0.520387366	0.8337111004	-0.5764595256	0.4465525468	1.043704064	-1.644767098	0.6665019918	0.5983005423	-0.2021063344	0.167224623	-1.660217658	1.136542193	-0.001378171878	0.8830095846	2.712608776
-0.7834968797	0.9876566378	1.206953974	-0.8644029033	-0.04448704534	-0.9618444666	0.2217016343	0.1505607981	-0.3830068517	-0.4221164573	0.9647126646	3.04156738	0.3228742737	-1.537941205	-0.03331514528	0.6749143486	-1.160220451	-0.132425361	0.2380120073	0.768877448	0.355153414	-0.2584939077	-0.9079560655	-1.096961174	-1.475268755	-1.212228292	4.195600909	1.158845981	1.04992061	0.9859855774	0.7207425875	-0.8187365947	-0.8748483018	-1.022118125	0.2629985567	0.07992944492	1.629410484	0.1429963202	3.353356367	-1.155704789	-0.678633256	1.301156607	0.06315131585	0.1983094787	0.1048872805	-0.02855043877	1.467220268	-0.3601388084	-0.6353908177	0.01790545534	-0.04346853682	0.4619611065	-1.198331892	-1.1437085	-0.0641202014	0.6864156017	-0.0458364848	-0.6277691203	-0.9330035376	0.05513965333	-0.6357409101	-0.4158188578	0.02230186968	-0.6076275146	0.5744030493	-0.02889808154	1.444805567	0.6680800336	-0.8021180317	-0.9900775378	-0.5334596238	0.2962262269	-0.01957366165	-0.8427266293	0.7963718278	0.2250378426	1.161805097	-1.018326494	-1.006073581	-1.150371485
-0.8686401841	0.05440667706	1.266715358	-0.4851936295	-0.8122758195	0.6768026995	-0.1729696132	-0.2995659441	0.1928508732	-0.6822332217	-0.6839737271	0.5209366411	1.168337467	0.1204687438	-0.2752187045	0.01357045851	-0.2306031042	-0.0553757588	0.6572220391	1.192573346	-0.5011371476	0.5822590493	-0.6304309489	-1.470530617	-0.01587965917	-0.7700403849	-0.02291673698	0.5745151252	1.479940838	1.56532494	-0.2657272005	-0.9828116594	0.1965214533	-0.4589775511	1.210255897	0.9536078679	-0.6623432127	1.700338963	2.983695419	-1.495953564	0.2196018102	1.4166423	-0.0159634481	-0.290020932	0.9325785287	-0.4164084994	-0.5007978233	-1.307454217	-1.065166927	-0.6891233093	-2.352307936	-0.7285686545	-1.041504358	-0.4652373002	0.3375390666	0.6482996369	-0.3576582401	-0.9987852191	-0.4246118317	0.2516919917	0.647930057	0.2894606272	-0.4195339648	-0.197551459	0.6239986135	-1.314325268	0.5472268474	-0.268496117	-1.012513707	-0.2398121279	-0.5075600144	0.3378938638	1.404625337	-0.4132559838	-0.1904863206	-0.6786622605	1.216866746	-1.832516439	-0.08552323364	0.8424451469
-0.6720993458	0.4520316081	1.026371087	-0.07069018702	-0.6958410366	-0.2106538471	0.02105103284	0.2653263576	0.1740911988	-0.6199685701	0.201072246	0.3513523501	-0.4350796511	1.444634796	0.3627651754	0.4274206072	0.153881848	-0.4946230053	1.028062125	1.220472506	0.08191616189	-0.2684682905	0.5354548332	-1.071542549	1.584392367	-0.3079453684	-1.03569262	-0.5858360352	1.801724557	0.2389338496	0.6276228638	-0.565800289	-0.3526344276	-0.1429485514	1.467755176	-0.3541199648	-0.6135376676	1.131051237	3.205682424	-0.5848563376	-0.4350944283	1.466030951	-0.4711626034	0.3529669801	0.1877173545	-1.359776563	-0.1543523439	-0.8839851434	-0.958824839	-0.8067270152	-1.643421073	0.5621494178	-0.538974128	-0.8938926608	-0.4528988443	-1.009626002	-1.046193639	-1.005780568	-0.7688149169	0.1231484848	1.095138084	-0.2154688782	-0.495903022	0.4902611462	0.7914058048	-1.005340669	0.9724957746	-0.5801387117	0.9997085443	0.4805947945	-0.6571775388	0.4561709819	-0.7394711798	-0.1185078658	0.4213351618	-0.6206143707	0.5391384238	-1.06819253	0.7577730461	3.031632513
-0.5090662882	0.5246479893	1.50568061	0.08037357563	-0.5099362236	-0.5661916822	-0.2926737653	0.3437501036	0.8535202811	-1.107543287	0.01974002558	-0.0939314525	0.07408888707	-1.179495071	0.1439870517	0.02912372609	-1.194706652	0.4289956909	0.9328762551	0.8026594694	0.1000191973	-0.007276851809	0.187198845	-1.186126105	-0.2801269903	-0.5976667335	0.1033352905	-1.010271694	1.212385696	-1.413187263	-0.002569795061	-0.513766253	-1.478350814	-0.842381543	0.8113857616	-0.3577822223	1.570008513	-0.4393306009	1.520784675	-0.7911213337	-1.358069003	0.155209513	-1.256780632	-0.009450968229	-0.0302077289	-0.4333090126	0.4416543864	0.5852222616	-0.3119440532	-0.1373848065	-1.492366499	0.9561158336	0.008920507933	0.3892295519	0.2997807543	0.4239170219	-1.004294654	-0.9030683005	0.4840735238	-0.07367482786	0.6062907843	0.1240182793	-0.8741031562	0.4358059628	0.5204420016	0.06675143805	0.7883607103	-0.4250171469	-0.133968036	0.1901671371	0.5045529599	0.8374556324	-0.7111328019	-0.1262429397	-0.6125813173	-0.1236191179	1.045793581	0.1718432029	-0.2170618626	-0.4870290421
-0.9481000138	0.02909492919	1.0449266	-0.5214388968	-1.093547156	0.7513682094	-0.7150844881	-0.2707120101	0.890317522	-0.9878714495	-0.5984730492	-0.3705875266	0.3006080996	0.3177128705	-0.9618707649	-0.2634375973	-0.5412236956	0.3962879057	0.7567240962	-0.1061977907	-0.2266813408	0.2417258962	-0.003530196889	-0.5219511325	0.6969603554	-0.3805279196	-0.5432564316	-1.109966878	1.186234038	-1.133715311	-1.094806398	-0.9358930398	-0.5347973532	-0.3403939881	-0.2844893729	0.3017269798	-0.7354113228	-0.3398805068	-0.9251685962	-1.456178831	-0.5031643228	0.1614057115	-1.198618722	0.5534108389	-0.3762166295	-0.2271672476	-0.1113977458	0.2517995506	-0.3442753364	-0.6498388537	-1.812362131	0.8613988091	0.1790534722	0.7109399174	0.4297927097	0.1338820848	-1.664917779	-0.7213231621	1.028408132	-2.25175694	0.9198851542	0.1168489223	-0.2450492244	1.030877628	0.6722902548	-0.6685911691	-1.114220728	-1.635739048	-1.522247542	1.27268716	-0.9144251819	-0.2969165672	0.02949412751	-0.3930410869	0.4643934977	0.02746710237	1.079931974	-1.365848316	-0.7727751965	0.02048025736
-0.4653101334	0.730522959	0.7720960918	0.4231654752	-0.5865679812	-1.215338714	0.03657319773	0.629822868	0.7183321932	-1.311563483	0.9388675183	0.8324028045	-1.186623098	1.404712001	1.232363564	-0.170035616	0.2271321975	-0.1887472819	0.1254134631	-0.3149353852	1.202271168	-0.5833026022	0.8730651307	-0.2689582071	-0.5186794614	-0.2702522698	-0.1145763438	-1.113431351	1.356046067	-0.5591640788	1.192821937	0.2298914572	-0.5157385249	-0.8620532989	0.3219790457	-0.4912079702	-1.359451657	0.1869326094	-0.6131049016	-0.6098454579	0.962763927	1.702294899	-0.68404279	0.2643188278	-0.7554710754	-0.3407877951	0.13665433	1.770998769	0.1922155079	-0.05939341045	-1.463551304	0.4506638819	-1.187651223	0.1211205869	0.5256724873	0.3643015291	-1.978174965	-0.3350993351	1.162538908	0.4464107172	1.217852057	-0.6450314605	-0.2604584022	1.341990512	-0.1244456313	-1.618023812	-0.6300887129	-1.284706976	1.083383194	-0.007776393022	-0.9076623516	-0.120751775	-1.63527268	-0.4796514876	0.6593501964	-0.6740475616	0.4416268246	-0.6685025525	1.331981493	-0.6477488946
