melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111
-0.715654801	0.3493864046	0.9933702255	-0.2591751076	0.5483915447	0.1895058725	-1.02369368	0.7221693774	2.096777194	-0.2675469693	-0.5141245022	-0.2442893553	0.2502359941	0.3172709432	0.3197266119	-1.207132814	0.04227307991	-0.5865259427	-0.1643499568	-1.179438195	2.698514752	-0.582493814	0.3046841019	-1.301166492	-1.701559119	-0.2050436442	0.1208144439	-0.9461508152	0.3893006389	-1.235567513	1.006820281	1.434716921	-0.6516482725	0.007414047766	1.281507977	1.512420589	1.560304878	-0.5356854446	0.02771505155	-1.518708784	-1.587787305	-1.391524808	-0.05727384277	0.08898508904	-1.095686878	1.470159832	0.3685833744	-1.044924056	-0.2752113889	0.6843405064	-2.275236516	-1.101469097	-1.114154516	-0.1024704833	-1.345451446	-1.011627759	-0.6810581257	-0.482452111	0.194945152	0.8641056422	-1.807181223	0.8401168985	-1.290324695	1.066746868	-0.8433954186	0.1752144388	-0.3137888048	0.5883619293	-0.513560608	-0.7922608115	2.439385922	1.769017424	-0.3113783651	1.787920025	2.114214737	-0.7653257809	0.8020086944	-1.774036233	2.361506812	0.6746640247	0.2531620438	0.01043152656	0.763332963	0.1056938063	-0.8590342186	1.89248434	-0.5903087487	-1.47476726	-0.4669981229	0.1970832593	1.056070162	-0.1811587622	0.7739433716	1.656658714	-0.02089179848	-0.3138947501	-0.7773730736	-1.28074305	-0.6114958852	0.9043932607	0.3295144337	0.1090774562	0.1367165922	-1.176887969	0.1149006766	-0.3186804757	-1.27659582	2.060797679	-0.1349872128	-0.3765697234	-2.023324445	-1.114462517
-1.216421108	1.361534328	0.07756975078	-0.1465394557	-0.06788984071	1.094543433	-1.262382774	-0.5928201187	-0.2403590844	-0.8168116932	0.4591714626	-0.3595305966	-0.2934570248	-0.2652491924	0.04474475414	-1.484785871	-0.005442772855	-0.5806347862	0.1890297626	-0.4634914452	0.7386834577	-1.768138204	-0.2813893167	-2.25266272	0.2629246532	-1.096397621	-0.12109773	0.1165336578	-0.576135732	-1.031585204	-0.2671492771	0.862781762	-1.281613248	-0.5631499046	0.8095291246	-0.04295553423	2.302271484	-1.386133171	-0.01640899222	0.07017818223	-0.3425840882	-0.5170507058	0.3764023548	0.2348144704	-2.098192738	1.179474936	1.531827636	-0.5038542619	-0.9831330409	0.7677888987	-1.5818754	-1.352154687	-0.5739947387	-0.05861275708	-1.136986094	-1.172487626	-0.4649713228	0.8312832855	-0.9414938539	2.227831637	-3.684242156	0.7611671989	-0.1777293893	0.318476425	0.4686018641	0.5896358283	-0.8136658212	-0.2098025208	-0.9744538854	-2.174207274	2.452690937	1.876299216	-1.063220985	-0.747004191	1.717659666	-1.160487824	-0.4645371925	0.4138319219	2.220770567	0.9041294504	1.080970903	-1.40197752	1.503367704	0.5297516489	-1.628277361	1.206588798	-0.1625138509	-0.7503136096	1.06218778	-0.04336756062	0.9762991944	-0.6671330679	-0.880171908	1.245880418	1.747291615	0.104833075	-0.779343375	-1.082284391	-1.040211785	1.58890869	2.277026944	0.9662160106	0.7715384114	-0.48517325	0.6555050374	0.1710504826	-1.085486557	2.400145928	1.483475932	-0.208008533	0.08954132708	-0.3258670937
-1.467158035	0.286225144	-0.8284125862	-0.3407234466	-1.430493937	0.9075074095	-0.8735275284	-0.6262568584	-0.46755887	-0.6589472936	0.01881947771	0.3797340112	0.03122178559	-0.2108685723	0.5235682058	0.651327453	-0.5406165029	-0.3514890121	1.372232777	0.1928990637	-0.5264774988	-1.069915811	-0.06080842993	-0.8106839059	0.3137503683	-1.453283096	0.6782370748	-0.9172401447	-0.276963412	-0.6482302317	0.6347660701	0.009219690551	-1.168707772	0.03171058108	-0.04172981797	-0.4064278273	1.942128785	0.4238771429	0.4516755032	1.333366264	0.9703188258	0.9261786115	1.550967605	0.07855286126	-0.4564773987	1.082899586	1.871206747	0.1315181353	-0.2538183672	0.006788412094	-0.8326302036	0.6096336741	1.315858553	-0.23111647	-1.655490564	-0.8118758716	0.4856810589	-0.3147017644	0.611113295	1.422937506	-1.943052782	0.02551495878	0.4266181882	0.6069322365	-1.130536678	0.5959116254	1.115278084	-0.5585455685	-0.3365123517	-0.5688826019	1.440683252	1.842041397	-0.7983485988	-0.3922381846	1.367494496	-0.4367678327	0.4112474051	0.7600406893	1.447566075	1.116422776	1.671489755	-1.044505341	0.48725602	1.147188415	-0.7901152531	1.100337813	1.250178741	-0.2867605447	-0.8448838627	0.6502959558	-0.1915831914	1.77457945	0.3759062344	1.830867375	1.734422952	0.4072447821	-0.3320277608	-0.08713967023	-0.1488980828	0.5265383891	2.254500749	1.359965876	-0.7700528639	-0.5680516294	0.7267419505	-0.009274219474	0.3810555345	0.5367906024	1.247251965	0.1596293588	0.681989908	-0.3079056835
-0.1868741935	-0.795026588	-0.8087703277	1.792881634	-0.8203628978	0.3360588005	1.407022855	-0.7295640667	-1.050195637	-1.569148811	0.4984841875	0.6734610465	-0.4384509109	-0.1657356685	0.2694421182	-0.04284645874	1.310407181	0.03222320762	1.653177939	0.1844742553	-0.2638905362	0.5164732105	0.2153471076	-1.218981854	-0.4728149612	-0.2001545914	0.1731440317	-0.5460513682	0.03755988255	0.1586643674	-0.1558390862	0.1505791581	-0.3210249769	1.168004792	-1.18807619	0.04352452834	1.214674463	0.4284945865	0.7494562913	1.675253638	1.221955421	1.376698663	0.7936761036	0.8152624422	0.4358279965	-0.01047559607	0.441124531	-0.2557890143	0.7643485167	-0.3698144524	0.775667951	0.5274416677	1.51781049	-0.3984378498	-0.7347260525	0.4139957066	0.7948184644	-1.046557082	-0.7382666665	0.3644973372	-0.663699788	0.1681166047	0.08917935679	-0.3441130694	0.03209448312	-0.1215083617	2.384195122	-0.5314233313	0.3621666455	-1.832469614	-0.0518444073	1.845848558	-0.8121873064	-0.1553953373	0.6468003464	-0.6279358331	0.2881955074	-0.2889347388	-1.464752544	1.013399349	0.03771018341	-0.6051927158	1.077001845	1.202400854	-1.306324951	1.755333609	1.384585619	-1.220893085	1.126794792	-0.238663806	-0.8243519911	0.6203622275	-0.8709696148	0.5995471304	0.6882224155	0.2642260739	0.251120223	-0.6241869714	0.4794765836	-0.5930513128	0.3256115425	0.4778601199	-0.3704376854	0.7585433752	1.033840478	0.3589981241	0.7798085213	-0.1862687125	1.672195238	0.3798629316	-1.280811776	0.5412451269
0.5740928006	-0.9871276996	-0.9025027321	-0.9356903893	1.153103506	-1.684865059	0.07863414246	0.2818274417	0.6671694831	0.4690945531	1.431576146	1.377436497	0.8418873918	-0.1447578027	0.937300097	-0.63754635	0.1238430769	-1.484030053	0.8464667805	0.2248754259	-0.2514354378	1.563716577	-0.605453028	-0.1825198594	-1.087794733	1.216992724	0.30821456	0.1733149836	0.794258364	0.3818759376	-0.005143642243	1.149255762	-0.08265283685	-0.4835051071	-0.7541698053	1.267211009	-0.1630956917	0.1680902951	-0.4987260416	-0.4541906187	1.32539159	1.560031831	0.2043576011	-1.470173542	0.2076330776	-0.7050076948	-0.4913913894	-1.578908454	0.7227911876	0.6435819733	0.975485809	0.2728617381	1.260472042	0.9640731172	0.5334826273	-0.6034370483	0.5965635766	-0.7329361982	-1.017985582	-0.811663166	1.143433827	-0.06878137463	-0.3781876636	1.267828162	-0.2724069365	-3.65238838	0.8647166535	-0.1218525858	-0.1828489794	-0.385714959	-0.9791245954	2.038929115	-2.509616576	0.1929133762	1.508713494	0.2837118659	0.1871450161	0.5309710769	-0.3707339753	-0.4775608265	-1.662894307	0.5358820307	-1.219669382	-1.471529609	0.966478329	0.6898058341	1.202112881	-0.69806992	0.492902071	-0.07375953297	0.589402061	1.443263074	0.07126913375	-0.3868392968	-0.125349779	-0.3229347231	-0.3817622934	0.5354822904	0.008285980805	-1.151965318	-1.66475942	-0.3633300352	-0.4414452763	0.1290130682	0.7650165517	-1.096713033	-0.04774120825	0.2262317936	0.8455616253	0.7903286169	0.3675394271	0.2750493063
-0.06873585062	1.196080896	2.161592177	-1.11283631	0.5628340174	0.4386210984	-0.001011623214	1.469552396	0.7389830641	2.161154121	-0.5207310993	1.323560073	-0.6881803252	-0.8713668503	-0.294789165	0.268558735	-0.8294197468	0.580501991	-0.1523265811	-0.3253282794	1.476865841	0.1154204138	0.7898702217	-0.3877074599	0.3667547577	0.6183706784	-0.3192204866	-0.7462500986	0.082830575	0.0502137271	-1.139695538	1.132708563	-0.7316788668	-1.715143021	0.1164691973	-0.6148710025	-0.1689066969	0.3035794623	-0.8024229776	-1.243894728	1.010114237	0.9260081097	0.6669855296	-0.1798175347	0.4583089606	-1.266090277	-0.2496497258	0.4497578018	-0.1960594279	-1.093914768	0.7380443493	0.5530794979	0.5921444444	-0.2715166507	0.3692394157	0.4656916918	0.1650473792	0.7852674333	-2.083043516	-1.580318375	1.026875055	-0.3135728731	0.7315218623	0.3731544599	1.547166643	-0.9284289243	0.1410014036	-0.5202840752	-0.4953045815	0.2311005784	-1.356292052	-0.5472180035	-0.4516540509	1.646056977	-0.08318794468	-0.05140074405	0.9157166786	-0.7515726411	-0.6630135738	-1.362951886	-0.8303850727	-0.08573141825	0.2264792405	-1.143034678	0.2915613278	-1.377123748	-1.289791311	-0.7547253566	-0.5810693938	-0.4110257865	-0.452525125	-0.7348472218	0.2357720215	-0.5929693759	-0.06867341642	-0.1604753972	-0.3830716027	1.589459699	-0.7749028549	-1.069645791	-0.2850412388	-0.4455585749	-0.7968012306	-0.9266857631	1.372782918	-0.677213126	-0.3037296429	0.2567037433	0.5648555087	-0.327453701	0.92172576	-0.8196006853
-1.687921395	1.12596818	-0.3075862246	-0.8028459326	-0.590427129	0.8021093408	-1.206269977	-0.3361386673	0.03590148875	-1.394558676	0.7062187161	1.257449684	0.006133642923	0.06340120532	-0.1919313575	0.6553610434	0.02643638942	-0.5222547605	-0.7240502473	-0.9026662703	0.5704981338	-0.9109258883	-0.5296021001	-0.8908684797	-0.05624477572	0.5868436852	0.1813838072	-0.4924299902	-0.2334288754	0.007625136168	0.4892095486	0.3152745001	-1.107180875	-0.3018595857	-0.05744530306	-0.9002202148	-0.08452357562	0.6273691758	0.1234916	-0.3789477896	1.674575771	0.5011339635	0.2409318734	-0.09439755662	0.8095868702	-0.7810228125	0.2938846521	0.3754902884	0.3144138591	-0.2883774899	1.020714724	0.1626375008	0.197499698	0.2415517271	0.1963597468	-0.2354552336	0.5954789627	-0.2108371027	0.6612664966	-1.294001112	0.007949151516	-1.307319355	1.877695296	-1.077874315	0.1639187802	0.09880371224	-0.02225071581	-0.4558413502	-0.02510952298	0.09693944069	-0.6918861448	-1.359870384	-1.48927252	0.6626427254	-0.4818969899	0.02991976142	0.4970780207	0.2037264158	-0.6794495525	-1.057721807	1.55601912	-0.6519703958	-0.04573542311	-0.4911376721	-1.001990068	-0.3068976984	-0.2857946873	-0.7873357143	-0.2400591721	0.03304492562	1.01254749	-1.323610167	-0.1492933633	-0.1533835629	1.03134591	0.265762198	-1.116898018	0.9707296644	-0.687429146	-1.468477721	0.1419194098	0.3653807032	0.2674748757	-0.2851203863	-0.4522227841	-0.3878507421	0.6740697979	0.06808643979	-0.7683318106	0.3182406939	-0.9384266762	0.07512273592
0.7887444972	0.02115077645	-0.5870807417	2.414975795	-1.654863198	1.371882948	2.44783267	-0.877636504	-0.5080897912	-1.578825106	-0.3197478544	1.086669463	-0.1797187448	-0.1429943488	-0.5344397532	2.532117295	0.1572704775	0.5193726646	-0.518037806	-0.9665387366	-0.67457904	-0.1759806363	0.5200331048	-0.9278523399	-0.2126769818	0.7416460127	0.6861896205	0.6800833391	-0.912451471	0.06247215144	-0.6508629495	0.003237690151	-0.8684684485	-0.5962649665	-0.01672147715	-1.188937827	1.028734201	0.1571378772	1.341283466	0.5733807689	1.581997932	0.9124457819	-0.5802891724	0.1079910351	0.47023648	-0.2507844301	-0.3880079183	1.63032803	0.1939059797	-0.8662837256	1.396047824	-0.2946456724	-0.6397314787	0.2753320181	0.7126798648	1.411928164	1.009113806	-0.06125708726	-1.071662103	-0.9157718735	-0.4153613982	-1.37308109	1.546241037	-2.092153189	1.272563017	-0.9779477141	0.5397562191	-1.588297261	1.273851553	-2.853703861	0.7985297354	-0.8008412416	0.1340217004	-0.9088787642	-0.9406346078	0.1883894391	-0.02754186631	-0.3657412917	-0.6294909012	-0.5066834876	0.1234642279	-1.392211918	-0.2867016152	-1.17413029	0.6597674647	-1.817048669	-1.420553096	-0.7592774188	-0.1914331162	0.2561788024	0.815560775	-1.71971186	-1.36731239	-0.475600443	0.1885941325	0.9152945389	-0.1880058221	1.206661669	-0.3464694126	-1.550390224	0.4093514822	0.5012067874	1.323003327	0.4177756161	-0.7274982653	-0.3388753149	-1.27923979	-0.4387324177	-0.7207501103	0.0687100323	-0.2589961878	0.5227684534
0.7912255689	-0.7400930122	-1.268789988	0.4264258227	0.155850632	-1.063326377	0.2361601895	-1.493251201	-0.2107145132	-0.4889572931	-0.3293845511	1.023835609	0.4165351492	-0.1640137344	0.3921821315	-0.2597463026	-0.04078079456	-1.684285967	-0.385578696	-0.7145714556	0.1210049109	0.869621016	-0.1927224693	-0.7281777117	0.6137150811	1.249147525	0.9358522779	0.7121674437	-0.1527413828	0.4913843735	-0.08048459742	-0.7734959109	-0.6252118394	0.4679402948	-0.2022243155	0.09010422539	0.2291115995	-1.254912779	1.459196029	1.546185737	1.908409114	1.46966538	-1.643040799	0.5966863254	0.7463734977	-0.3446053811	0.8899057826	0.3936024861	0.05815148274	1.016636612	1.232284204	-0.9194726967	-0.3563902836	0.3261572588	0.4659376596	-0.3969776868	0.4553256182	-0.3091801429	0.142055069	0.6697592676	-1.390407449	-2.008084982	-0.663642241	-0.3571988546	-1.435534948	0.2457439038	-0.0310365422	-0.9900645792	1.412818589	-0.9393645687	1.624934932	-0.04010400952	1.098967398	-0.2369882684	-0.8824629316	0.883790845	0.1157010538	0.7910811363	-0.8331949484	-0.8478206302	-1.774974484	-0.2079830664	-0.342927142	0.8478362092	0.09195736568	-0.6057220869	0.7876910028	0.1577219918	1.291715444	0.3567496189	1.026218481	-0.3413127923	-0.05861155886	-0.5144978214	0.9260212801	0.5408840637	-0.2757841775	0.6476753803	-0.107054733	-0.5187646497	0.4651443505	0.7679071581	0.5653283497	0.5810000837	-0.9566372106	-0.08646618743	-0.02821317141	-0.9656421662	0.05971321311	-0.288099871	-0.886917391	-1.191714119
1.36744393	-1.221004261	-0.9308282791	0.8634995427	1.218358101	-0.7973175605	0.8801130658	-0.3598567623	-0.8301757668	-0.1868105251	-0.6938392775	0.7179413533	-0.3826750358	-0.5205899146	-0.5943747529	-0.2694721679	-0.5537399675	1.631722088	-0.4090787059	-0.4739930998	-0.8856546229	0.3502050274	0.7901953542	-0.9599494743	1.341313291	0.5923249218	0.5540635659	2.388301682	-0.2843293745	0.9068034328	-0.08641841568	-0.6573821216	0.09319591441	-0.2199336516	-0.9576797524	0.03309040241	0.4291821001	0.1724601123	0.8673803542	0.4463237141	1.100565043	0.3065398406	-0.5444997827	-1.913353425	-0.9739299289	-0.4002041942	-0.2135164141	1.778972667	0.3674950087	-0.1953743009	0.9841171387	-1.088888162	-0.7580181623	-0.2503778143	-0.3415833291	0.4462438253	-0.597780911	-0.712666575	-0.7377608095	-0.06127508046	-0.1736235906	-1.666602904	-0.001326611407	-1.256690431	1.574335446	1.343897796	-1.249891304	-0.7732839693	1.588258021	-0.9355631276	1.202832791	0.4190751548	0.1260818856	-0.4986178172	-1.490999052	1.041425147	0.198582573	-0.8942561334	-0.4872097939	-0.5824842987	-0.2976201645	0.03847847194	0.5293346937	0.5892622567	1.150457318	0.2377250614	-0.1529126916	-0.5977581229	0.1036548468	0.1458632753	-0.1250485935	-0.9892859204	-0.5075747659	-1.687470841	-1.658014382	0.4819414062	0.8435557798	0.5681235565	1.451355237	-0.5820738208	-1.067217812	1.081996235	0.6379524635	1.55748968	0.8110650626	-0.4031005733	-1.260374507	-0.2971393812	0.03077285172	-0.4212494547	0.1895784893	-1.040100988
