melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141
-1.248875417	-2.019955052	0.009930811182	0.02765994774	-0.4462433409	1.430725317	1.227159609	-0.09553511469	-0.08206064297	0.8683276969	-0.3640235279	-0.934532644	-0.2857767663	-0.6298716588	0.7052506567	1.097636462	0.3363472787	0.2330307436	0.9678901209	-1.052344298	2.116234355	-1.418430912	-0.1942358224	0.3034917702	-0.7303490895	-0.980510608	-2.495315933	-0.06662350009	-1.702357668	1.169075224	0.19862567	-1.784174214	-0.8042718945	-1.640613353	-1.396963911	-0.3304143351	1.09748929	-1.551046941	-2.91137367	0.5777028728	-0.954033492	2.196120905	1.386323412	0.1969667763	1.66687114	-0.1057059157	-2.942356473	-0.4597422548	1.434842413	-0.1959692954	0.8834440807	-0.8669171374	-0.8337362676	-0.277071874	-0.5445378588	-1.263530848	-0.392599893	-3.21035714	-1.059790565	-1.662364299	-0.7807601396	1.211919721	-0.5593604779	0.4499744206	-0.1451480073	-0.05521453563	-1.165888489	-1.532021188	-1.019283787	-1.424271764	-1.307904072	1.436963448	0.7649983545	-1.950575323	-0.4603484534	-0.5878980026	0.1940668701	-0.383859403	-0.1671991163	0.5142070039	-0.2333227343	1.297113164	-0.1965043761	-0.6327535607	-0.4937506412	-2.442876617	0.9769721655	1.560129424	-2.116541451	0.5104963785	-0.2342877969	-1.242795018	0.95192307	1.07027435	0.1785373646	0.5404204575	-0.5985765487	1.999600469	1.178433131	-1.384878665	-1.235496793	1.724845801	0.8428823688	0.7501264451	-2.047232747	-0.6482754544	0.5857191063	-3.38405457	-2.191351338	-0.7505396761	0.1226293813	-0.1940840503	-0.6599431776	-0.7051364035	0.7233690367	1.570492745	-0.7804708227	-0.2629774759	-0.6876642932	0.1872483198	0.3023456343	1.788376858	-1.490204296	-2.415185002	1.418133767	-1.038369387	-1.077705972	0.5167703442	-0.3991499932	-0.00416805837	-0.02535745775	-1.014205619	-1.332823542	-1.608059399	-0.02783137147	1.572531509	-0.5206773134	-2.527935482	0.3074300482	0.9047397254	-0.08134058536	0.09900114246
-1.796840705	-2.152413448	-0.1345060896	0.532030238	-0.6982263866	1.593071107	0.9533008506	-0.4083210164	-0.04811748467	0.4564877637	-0.6203394653	-0.6850475286	-0.6623969665	-0.4079230052	0.1810488417	-0.2512066617	0.4894081637	1.034614231	0.9381659341	0.02051761258	2.446763004	-1.829504002	0.8166717383	-0.4858029512	-0.611793132	-1.559070244	-3.578771487	-0.5797515664	-2.498728308	0.5716101049	0.4642005541	-1.087417778	-0.3354229926	-1.697340513	-0.9220321368	-0.6482669133	1.070742615	-0.7310357343	-2.116661735	0.5219105806	-1.707991678	2.807213678	1.241551282	-1.077540663	0.4232041506	-0.763386384	-2.549422403	-0.1504171307	0.05003451455	-0.1603797135	-0.07592957098	-0.6902246648	0.3041427562	0.3462288784	1.444415589	-0.7567443642	-1.679750355	-2.812215368	-0.3076197972	-2.093264181	-1.455309522	0.5394121648	-0.6013395883	0.1026881959	-1.054254742	-0.2293759268	-1.150908091	-1.153183177	-0.7573863784	-2.659079481	-1.132109273	1.163554959	1.502301483	-1.555607184	-0.446501886	0.315010846	-1.874035894	-0.6273764765	-0.2549047312	0.6006465015	-0.8487757911	-0.6147907635	-0.3644709833	-0.02313493367	-0.2031109715	-1.812516407	1.188992123	1.322262053	-1.239477554	0.4122501335	1.462959692	-1.152940005	0.3542200721	-0.102127128	-1.323745206	0.6424264284	-1.125224569	1.968457197	1.133845638	0.5823836991	-1.607642048	0.8997412928	1.354810309	0.6449111489	-1.353005352	-0.08873025393	-0.8724307908	-2.941202022	-0.9825338966	0.1381088656	0.6602669336	-0.3981788827	-1.115451748	-0.5112060427	0.3036787486	0.6639794102	0.1686397576	0.6026186463	-0.8305146875	-1.75562106	-1.555867454	1.549539786	-0.5936544368	-1.817319395	1.124622828	-0.9699092766	-1.076183428	0.7688044512	-0.4264057053	0.2512157985	0.9183650815	-0.8516200149	-2.00463682	-2.129929048	-0.5030374113	0.9191816474	-1.517828341	-1.098417924	0.4894780918	0.7042282841	-0.4151865545	-0.3245361251
-1.79317656	-1.531208812	0.009548840086	0.4201178647	-0.5723934812	1.587311059	0.8087774743	-0.03094406227	0.1763536624	0.7065889853	-0.9609053482	-1.863248884	-0.971152828	0.1961766614	0.5972668175	-0.8216607392	0.229113689	1.092577887	0.7393916625	-0.2516513192	2.116802869	-1.778504858	0.5938239106	-1.244437612	-0.5384591287	-2.34250581	-2.198545034	0.1940636984	-1.165520502	0.1392372826	0.06890367506	-0.06701535092	-0.387752087	0.849096339	1.351224424	-0.01222765844	1.060409644	1.558623348	0.240304467	0.3915384838	-0.120932283	3.215648057	1.61276878	1.032468651	1.564376097	-1.306009343	-1.069085046	1.194451238	0.6208619128	0.005325838027	1.214666418	0.7560584259	1.609068253	0.4754576574	0.1187880738	1.144133589	-1.806211464	-0.3727783957	-0.7851518273	-0.2337773449	-0.8631469963	0.4396336691	-0.02928171298	0.2316661059	-0.5910709656	0.9517895312	1.233350185	-0.3912960237	1.055276878	-1.875793847	0.1442181874	0.4505889557	1.590955804	0.4488236731	-0.075973639	-0.6789788438	-0.5022560429	-0.5110106413	-0.5306688972	0.5720168569	-0.6128092973	-0.09690479821	1.479885563	1.033949097	0.7163094861	-0.8509139204	1.449413145	1.335461431	-0.9525986684	1.517992332	0.7850314032	-0.5562204519	-0.582286052	1.989498186	-1.055084978	-0.8825908556	1.563567142	0.5483159613	0.6345249759	-0.7314278362	-0.9374637182	1.639742605	1.173033244	0.8850753872	1.003270544	-0.5546816059	-1.492839863	-0.8257877373	-0.6504133728	1.203480712	2.913963338	1.360009504	0.3102148507	-0.1198377167	-0.9798004976	0.2630950746	0.6389535853	-0.5938549692	-0.7800450235	-2.510736292	-1.222223507	0.4671803275	-1.027501685	-1.01450099	1.090601842	-1.105083244	1.42341053	0.920283833	-0.4183321049	-0.5356373692	0.2023415961	-0.1873885484	-1.282963687	-2.013671491	-0.4569729715	0.8078498177	-0.1665196426	-1.090226157	0.1601401325	-0.5530170245	0.6987725056	-0.6893796769
-1.617160488	-2.141576959	0.01116369027	0.05946231352	-0.4444512948	1.301861066	1.257011208	0.01417875255	0.2150581696	0.3085736947	-0.9298893956	-0.1135412637	-0.951094016	-0.013131124	1.070079902	-0.9241680455	-0.7629463251	0.809901459	0.4975341447	1.235961864	1.425328658	-0.755163216	-0.1558897407	-0.3807384298	-0.9981125443	-1.609845326	-0.4813163981	0.5655643127	0.4849764082	-0.3676314727	0.01893516848	-0.2573695675	-0.7008050055	1.355325912	1.932951162	0.6292422391	0.7802451677	1.602064321	0.7556093944	-1.264849348	0.9930007967	2.93255576	1.608707419	1.415340425	-0.03943466933	-0.3577943236	-0.950760092	1.40272302	0.4000570743	0.4243215623	1.161343086	0.5912436166	1.379807724	1.515701608	0.9909117826	0.5204195652	1.068923237	1.102715815	-1.63899691	-0.02382115254	-0.6794006039	-1.338808717	1.138822336	0.2273154896	0.816523505	1.198269275	-0.6552836806	0.5596599859	0.8252427416	-0.7875511514	0.09291550002	0.004272347525	0.7089935439	2.504548191	-0.5010487238	0.5221984255	-0.597087641	-0.7009049033	-1.122502918	1.524262911	-1.184346705	-1.10130971	2.223099965	1.794757263	0.9264064671	-0.2571804876	0.9657050814	-0.2841334975	-0.2252830175	0.968824486	-0.03901317972	-0.01492863821	-0.3384288893	1.699406478	-1.509741475	-1.42812097	1.607689568	-0.1574500294	-1.079257525	0.01882365468	-0.7157821803	2.646201674	0.6185782476	0.1761931006	1.039530136	1.792969536	-1.520039063	-0.8275220618	0.001486410403	0.9025175841	0.5897297445	2.471323046	-0.01829392855	-0.7117831079	-0.6313655025	0.6560512207	-0.5552635258	0.1061174364	-0.3536676162	-1.655584845	-0.2164719438	-0.2703452774	0.4204078801	-1.468269451	-0.139332533	-0.979447478	-0.2042562439	-0.306911547	-0.5096732978	0.4567609626	-0.6524119481	-0.2661189158	-0.4254043362	-1.307992849	-0.3211135978	-0.2018863547	0.5257730137	-0.9680819823	0.8288123572	-0.464631671	2.335872294	-0.7224320249
-1.952567091	-2.458104922	0.08785457036	-0.001167158067	-0.6933018443	1.407608588	1.328832149	-0.0679490727	-0.06054016518	0.007371452487	-1.150949716	1.117859951	0.4039039694	-0.2526743272	0.5228348702	-0.2796329795	0.06104914926	1.003665118	0.01950077102	2.313016944	1.758948462	-0.8344219979	-0.9624596533	0.7238646591	-1.331955243	-0.6872121856	-0.1334305929	0.1931385294	1.362610589	-0.08114224616	0.1964672985	-0.2672106568	-0.6805143724	-0.3723409582	2.000184945	0.4652014876	0.7956797652	1.162787398	0.3416705446	-0.1337993973	1.863861224	2.990989691	1.662440884	0.6452198513	-0.1411090534	-0.3920955183	-0.1520921511	1.718136464	-1.468321341	0.8169558897	0.494553404	0.01339821599	1.913569185	-0.435793772	0.7961439128	0.8693014936	0.7068539586	1.566046152	-1.585836149	-0.097322012	0.6610717824	-1.11657699	-1.478951038	-0.7188926766	0.7457855755	2.025245145	0.2755402742	0.4086114065	0.4462071478	-0.486998433	-0.2784280755	-0.267932064	0.8232114143	2.691039131	-1.074437915	0.427178561	-1.150067343	-0.3513809806	-1.330050424	2.753955585	0.01937885995	-1.54130928	-1.451569293	1.431781713	0.4053217798	0.1352340034	1.164634528	0.008802389911	-0.6596427726	0.5066341648	-0.4118835765	0.7738358571	0.2971924588	-0.01176662497	-0.9382772635	-1.009901731	2.033320901	-1.230866443	-0.4987071479	0.5644103881	-0.9426271953	1.956619508	0.8791675938	-0.4280181925	0.7705760928	1.945060599	-2.061041244	0.9366128631	0.6103388778	1.398890311	0.009063017835	2.822722894	-0.565947934	-0.1544850514	-0.4821747898	-1.313392143	-0.3122915207	0.5875190389	-0.8492318738	-1.805030393	0.2314079853	-0.6742215629	1.152910178	-1.621705852	0.9718315282	0.01771609942	0.3075100862	0.2754014539	-1.43582785	0.7416398058	0.2215212602	-0.9069741384	0.9920455153	-0.09162958024	0.7198013313	-1.399461516	0.3310280938	0.09721483981	0.8241910491	-0.2260513774	1.145305799	0.3813238376
-1.439089713	-1.288874043	0.3307832553	-0.2851524178	-0.6034495732	1.485111489	1.130984865	0.418613305	0.2051109236	0.0750773624	-0.8581602156	0.9785528779	0.4361281874	0.4453812881	0.2402237139	-0.1915332138	0.3824783492	0.9690837309	0.08245480241	0.5105872719	1.531518377	-0.4686090644	-1.840810785	1.653320271	-1.006199219	-0.7381437143	-0.3315859599	0.4410704469	1.172459762	0.7824923046	0.01275734484	0.605441196	-0.7922894027	-1.031833311	0.9082066663	0.1150924114	1.064115446	2.227450402	1.227151748	1.256991553	2.682175168	3.272120612	1.548949983	1.461747496	-0.05540938404	-1.366635024	0.5716815513	0.8233737345	-0.3405404009	0.5967558174	1.17339271	-0.3191297709	1.830697638	-1.118914476	-1.036614526	0.7234184815	0.6953978704	1.791039584	-1.07862348	0.5969117762	-0.05079028292	-0.5708059655	-1.695270288	0.09183605668	0.1780494325	2.106071068	1.286039473	0.0785915882	0.9362033926	0.2504486423	0.01851652604	-0.5412985014	1.005536831	2.194626945	-0.6390033308	0.005394376639	0.4014580665	1.715920828	1.485576101	1.26491809	1.065432197	-0.3500777684	-0.7864476965	0.2005181027	-0.4978782704	0.7611540772	1.429459699	0.674876262	-0.6790619743	0.665615164	0.3305706003	0.2623730065	-1.24812382	0.873030245	-0.5049618934	-1.458896774	2.097878605	-0.339687303	0.02081397481	-0.7284005522	-0.31909649	1.590166298	1.309875565	0.01347274226	1.982063561	1.759351603	-1.144263357	1.928549129	0.1723600662	1.419271974	0.3448081603	2.933545997	0.6821197119	0.8619839948	-0.6728744434	-0.5006954077	0.9460612896	-2.422714018	-0.2182782441	-1.035647177	1.472286885	0.1049709349	0.2349592675	-0.8545395957	-0.1067790197	0.1880566506	1.263584446	0.7356394293	-0.2818885614	-0.7067633128	-0.1926905588	1.869044679	1.068064162	-0.413801341	0.1823239022	-1.007066258	-0.3483425752	0.0156658126	-0.6100961631	1.823905329	2.768238489	0.9550984737
-0.8855137216	-1.69587858	0.3178532213	0.3097301523	-0.5684727822	1.235935136	1.370203533	0.298986576	0.442577255	0.3862746216	-0.3020760361	0.6816267098	1.277387705	0.2136108782	0.3107825855	-0.354962807	0.5067934494	0.6128290295	0.7346033734	0.08580750346	1.304350164	-1.014817303	-0.4038650647	1.773202569	-0.9876660459	-1.111798998	0.4034902898	1.25696034	0.02382086836	0.5357812092	0.5360135698	1.424199346	-0.6353900493	-1.286198811	-0.791652953	-0.3352338602	0.8862087693	1.601822787	1.100518767	0.4645528347	2.251951275	2.528666914	1.473557476	1.144076523	-1.404316509	-0.02585107487	-0.2251409286	-0.1716401905	2.082685691	0.6981962324	1.160386265	-1.119393367	2.167528174	-0.7827481465	-1.016537304	0.1974027494	0.5113783167	1.933163652	-0.1649542343	1.258987465	0.2402191199	-0.3655017138	-0.505165422	0.7878414814	1.127323245	1.879636169	0.6098675377	-0.3032885376	0.598108229	0.1866326455	-0.7170371142	0.361693003	1.485200624	1.561844064	-1.027922318	-0.5951211455	1.523840322	0.9558132294	1.341470024	1.30546705	0.8734111292	0.9344916352	-0.1739359404	-0.4924516411	-0.73658552	0.8665957824	1.073416212	0.2199028475	-1.359852901	1.086745565	0.2446204229	-0.6248419764	-0.8319795941	0.4010510257	0.7680969364	-0.5295566262	1.645727108	-0.6646114839	-0.4068364865	-1.462431934	0.1444359867	0.4729956063	1.632573843	0.1272702862	1.92561299	-0.3331290667	0.6159955131	-0.5699245423	-0.1490381736	-0.7979347387	-0.1710848616	2.420349579	1.423878554	0.5925549219	0.9564306039	0.821812472	-0.5409592804	-0.07599077504	-0.2245221426	1.740787118	1.261612151	1.988842631	-0.02022814227	-1.902854021	0.4751451529	-0.3788491126	-0.249617582	-0.08847780181	-0.1765022938	-0.609816164	-1.023475013	1.24635966	-0.4535807516	-0.7279291173	0.01485783115	-0.9008671461	1.223675228	-0.6437901522	-0.8457398175	3.515788302	2.47521333	0.3471642828
-1.205220555	-1.785850298	0.3574397675	0.3150525251	-0.6952258409	1.046501708	1.381980706	0.1697321785	0.4822223518	-0.06014828983	-0.01995355792	-0.9172419436	2.426869574	0.1201781512	-0.1059626776	1.425268285	0.7086353634	0.6267374973	0.6996849564	0.01867087774	1.454794214	-1.954616756	1.502817521	0.8903560336	-1.387423087	-1.029291984	1.003106616	0.6075541556	-0.2788317315	0.4354261992	1.019127389	1.620893855	-0.9631470238	-1.661291691	-0.9376987614	0.003633333847	0.955011691	-0.04477952209	-0.3889488577	0.627042862	1.423892584	2.461356879	1.110188964	0.3935232556	-0.5764618823	1.456452465	-0.1318966521	-0.1000525144	1.436288668	0.4405439003	0.5443766589	-0.1230750623	1.483368527	-0.2399865133	-0.3295489235	-0.3419323023	0.4277092191	1.327243838	-0.1623021211	0.5776839445	-0.3862790432	-0.1357363438	-0.4624875332	0.6594022546	2.213592714	1.247712843	0.4416671187	-0.7603505574	-0.07079822302	0.3295770667	-0.8034415999	-0.1245449462	1.393370062	-0.6527638741	-0.7834778203	-0.7691068113	-0.7976126242	-0.807629334	1.593308555	1.577234336	0.6125564622	0.1580747299	-0.4651458221	0.02738916497	-0.9398300244	0.854063168	0.9925391494	-0.1767799342	-1.699999417	0.7396199185	-0.1907800644	-0.8526402144	0.8582694604	-0.181517247	-0.9067222805	-0.133723514	0.6908773945	-1.263593002	-0.2399013104	-0.781553279	0.7000501074	0.4444263204	1.042908687	-0.3300699098	0.1983210544	1.111991527	0.0822373365	-2.48984021	0.713361396	-0.3483605764	-1.266630939	1.476924907	1.098737864	-0.1219337674	0.9910913657	-0.2790417664	-0.3156570006	0.548901151	-0.1591097536	2.237050457	0.7582868007	2.240013374	-0.6603420428	-0.5431529942	1.224127582	-0.2976406848	-1.507038813	0.7556048729	-0.8145262623	-0.4173389453	-2.032624469	0.006799832283	-0.9442236027	-0.5921114234	-0.3285383181	-1.981484664	0.9623896788	0.4446308653	0.1718492364	1.17480858	0.3410694858	0.6320154836
-1.286241431	-1.019598958	0.6085629309	-0.007832834521	-0.5270494553	1.052731039	1.276466217	0.7678124628	0.5575085498	-0.02558219863	-0.1950647074	-1.462896516	-0.3859827777	0.9078184046	0.2650033009	-0.07583277065	0.1095712358	0.5133465838	-0.1699904539	-0.6116037153	1.354799673	-1.099518676	1.243722083	0.8318085394	-1.080988099	-1.236985188	0.9814848136	0.1605863259	-1.0638781	0.3181365487	0.5106977189	0.7470411313	-1.24515953	-1.625115182	-0.5579382806	-0.6658014341	1.102025054	-0.08290789037	-0.0766460289	0.9567935773	2.34296252	2.732612126	1.162852254	0.7542491909	1.600006895	1.490826346	0.7993707673	0.6381081182	0.7148150487	0.1979365553	0.8160647969	0.1796644119	0.9145560461	-1.377528151	-0.6289538864	0.2461693579	-0.1268483691	0.4119053726	0.6917612713	1.5673431	-0.7478519609	-0.1381304944	0.0741596624	1.014366371	2.280561842	0.3859305433	-0.6122973338	-0.8661246933	0.0805121046	1.256335175	0.3554229544	-0.7621127422	1.13546394	-2.563865695	0.04908353402	-0.09018628405	-1.163797848	-1.25428319	1.826383147	0.3525119911	1.349621056	-0.2103719905	-0.9717635155	0.6141360577	-1.817527698	0.5055999185	0.7831448759	0.1851084221	-1.745617958	1.01230657	1.564691681	0.217994446	-0.009537265659	1.002196943	-2.697936388	-1.018785773	0.9132538924	0.5851955514	0.007761994248	1.936095795	1.857397527	0.7492601502	1.670375002	-0.5725698281	0.5627082552	-0.2009553969	0.3786476054	-1.624771547	1.253788104	1.447322664	1.811558104	0.7976919381	1.928563053	-1.080615011	-0.4634223165	-0.3127736755	1.315827135	-0.586468306	0.7731012076	-2.15789531	0.70888991	1.440828825	-1.33861266	-0.07957620903	2.031018632	0.8996260203	-0.112627114	0.295848603	-1.280837523	-0.08515184335	-2.219413716	0.6773650066	0.2524776376	0.2398776107	-0.3300634006	-1.357171753	0.5448125499	1.227723053	0.4498066848	-1.197972271	-0.03382774091	-0.182967525
-1.320906678	-1.622439707	0.2074610858	1.121911028	-0.3363777031	1.179405604	0.8473904659	0.3073953384	0.8438356643	0.3902364057	-0.7471994361	-0.8156525029	-0.9368953417	0.6316817128	0.8068364249	-0.859195836	-0.698386277	0.3167312506	0.1931928717	0.2892844972	0.6798214956	-0.1225676016	0.7178033013	-0.1334730171	-1.001626449	-2.091230857	0.8365060589	1.592376571	-1.522988081	-0.9598919863	-1.383961962	-0.3666124277	-0.4316600784	0.7150319016	-0.450000038	-0.077086473	0.8526363327	-0.5951969774	0.457889154	-0.272779385	1.220416839	1.894666831	1.004015012	1.035977486	-0.2140202548	0.6466121735	0.5815767569	0.7823612565	1.426787769	0.2851100861	1.155404507	0.7486834662	-0.6663047254	0.3400606979	1.606110227	-0.5117205293	-0.6560386832	0.9586208956	1.062052707	2.098567104	-1.082964454	-0.3756591931	1.279617053	1.153389093	0.08980001385	0.08195437032	-0.270627338	-0.4041907192	2.083731669	0.7598211448	0.7110862206	-1.039426392	0.9266526859	-2.349229691	-0.2887920681	2.195275759	-0.8699813478	-0.5791585382	-1.241001721	1.012959236	1.013391474	2.321357831	2.097932742	0.1825032833	-0.8528524479	0.3446420901	0.1623944579	-0.9400045374	-1.655033761	0.7562064459	1.422643722	-0.3348905591	-0.2911214785	-1.072163895	-1.361287256	-0.6386084935	-0.2954842373	1.948466918	0.05118979693	1.030289566	0.7958477836	1.192060673	1.4898985	0.1593121497	0.05926347356	0.8128897175	-0.1785987375	-1.769086603	1.008403323	0.1637851817	1.903369181	1.308124461	0.6610169494	-1.589857162	0.01118744812	0.07161783891	-0.2859876916	0.369951231	0.04976734825	-2.397343912	-0.321844152	-0.4879112904	-0.3803444555	0.08105389771	0.1418705284	-0.3226747003	-1.289139442	0.4071839744	0.2337001701	1.212821563	-1.146589246	-0.1275444211	-0.7861118255	-0.3569496731	-0.6243793375	-0.9151608594	0.811576242	0.098003558	1.512005985	-0.8653193089	2.044476075	-0.2662059906
