melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113
-0.380097359	-3.968316154	0.1016689525	3.310453723	0.5135399448	1.342065319	1.132828692	0.1663728628	-1.748148353	1.013275506	-3.021807374	-0.6548125383	0.1839660052	-2.25845194	-0.3602825527	-0.9203431472	1.781225246	-1.220042111	-0.513062441	-1.727478876	0.1907425844	1.378195874	0.9058726466	0.3772409007	-1.004688937	0.4212311891	0.2972659513	1.471252847	-0.5421330695	-0.6173582155	0.03955434114	-2.393944833	0.4358938769	-0.2119501351	-0.2986362146	0.9671732796	2.646495661	-2.425230963	1.694313416	0.9776544425	0.1909743603	-0.8182625266	-0.1305011967	-1.141913436	-0.8324434069	0.2913678009	1.657945178	2.592028829	1.571385166	0.4473025622	1.540110241	-0.6406173182	3.165140597	-1.625648997	0.4735737501	1.6241969	-1.060340167	0.3787669123	2.069449213	-1.045274429	-0.5080001792	-0.01933542867	-2.074744148	0.166152325	1.923994403	-1.580986507	1.562895926	0.139844816	0.8691638386	-1.867307738	0.2426206818	-2.402355893	-0.4563019539	-2.013344043	-2.059489	-3.001248092	1.667179466	1.507636963	-2.198168376	1.487924994	-0.3100026047	-1.104302486	-0.3462171612	1.378581314	1.551682993	0.4075975453	2.636192701	1.181710452	0.9021202635	-0.07572827183	-1.879852936	-1.099662578	8.104586344	-1.210043738	0.7307764476	1.247271178	1.13271936	-2.131790886	0.01852424826	1.996667378	1.380352392	-0.1626968555	2.652971794	-1.769098806	1.347058417	-2.231425163	-2.27089789	-0.7864024574	0.8584022599	-0.5383639723	0.2839263949	0.2478627368	1.680757526	0.03933272074
-0.4848000766	-2.520689408	-0.2014977695	2.678709305	0.4481979547	1.55392935	0.5480847684	0.4675777358	-1.202645921	0.8269554742	-2.720813952	-0.01305538402	0.45008872	-1.502607933	-0.09678316788	-0.1267170448	0.6427270008	-0.8317107279	0.122860208	-1.238296927	-0.4652142863	-1.610855209	0.8873484914	0.684891728	-1.258952916	0.09414558983	-0.3866736159	0.899280179	-1.82547794	-1.196525803	0.8554164408	-0.6238649622	0.6020536196	1.232460983	0.530019303	1.378619429	2.60574175	-1.327942779	0.8958282147	0.8323906947	-0.5242455766	-0.3370241986	-0.1063201803	-1.739014533	-0.5303957404	0.4664817669	2.018758772	1.557422007	1.463541081	-1.584263397	0.8510757119	-0.1302461877	2.656756013	0.2088285327	0.40112412	1.094944786	0.05199600131	0.4635770355	1.749667437	-0.7069107416	-0.9228382174	0.495805571	-1.587218395	0.7360003423	1.049884335	-1.551831305	1.16636387	1.179881618	0.5226111173	-1.448585641	1.318683674	-0.2395311906	-0.7074357105	-1.536046693	-0.3944116959	-1.278366563	0.6198356902	0.1146734952	-0.5607198798	-0.04260108465	-0.1167570207	-0.388831844	-0.9712765454	0.2948223135	0.3245119872	0.8497113707	1.871237639	-0.8412767988	0.6097797889	-0.8991239228	-1.567617654	-2.294356984	5.294148631	-1.074118753	1.272660518	-0.9687382519	0.4243116297	-0.519516333	0.06712563011	0.7615229707	2.309716276	-0.9884916028	1.994903502	-0.8529572589	1.232217921	-1.8155212	-0.7815417684	-1.516057954	0.3792588175	0.4576187752	-0.5868628798	-1.608148342	0.5651222037	-0.2456709664
-0.32229752	-2.245528823	0.208680353	2.01619943	0.6893843453	1.38099978	0.6563183109	0.2540103876	-1.327212554	0.3252537108	-2.145080066	-0.113315523	1.062159425	-1.212411022	-0.08245091743	1.024389028	0.06783897435	-1.242858374	-0.3930358135	-0.9353691713	0.0582743324	0.2284261862	1.059664902	0.5591866598	1.107597556	0.3511221579	2.336494486	0.554238384	-0.794983424	-0.9859619333	0.8501322427	1.160924206	1.231712908	-0.3314466891	0.8003122146	0.5899891569	0.9706757978	-1.040393649	0.2109561877	1.748298709	-1.537873184	-0.9600156954	0.950483302	-1.607758426	0.1477902529	-1.421770593	1.451647145	0.4474706707	1.224173747	-1.368851889	0.6482641823	-0.2023681519	0.7060058248	1.671219691	1.166862411	0.8221940965	2.10548661	0.203329157	1.425221419	-1.406950539	-0.3259122962	2.470515428	0.4794163107	0.7194194002	0.8007641668	-0.05191106358	0.3235001042	-0.1155297499	0.799246569	-0.3213479459	0.2071430535	0.4284303139	-0.6931487245	-1.297192419	0.3237299619	0.1395275132	1.050160916	0.6980026606	0.4330489718	-0.04500396918	-1.437615537	0.7591875525	-0.08808172173	0.3246064907	-0.07181216048	-0.3462501576	2.661896092	-0.1447617327	0.9774269835	-0.2656329606	-0.07068796027	-0.9755500709	0.08573371049	-0.8175618759	0.02596014598	-0.6067995599	-1.55345944	0.2805261573	1.713904685	0.575874886	1.20668523	-0.2801441606	2.030680631	-0.2959749699	-0.4759324402	-0.6100437001	-0.2343942808	-0.9361563046	1.156893309	-1.232987869	0.06080164759	-0.9604589372	-1.301267054	-1.165396693
-0.2228500215	-2.115318419	0.2108456665	1.899691515	1.188819377	1.502878398	0.1118471944	0.1182645752	-1.293033388	0.003984386282	-1.46238864	0.8956937709	1.39533284	-1.542935754	-0.03418007254	1.209373431	1.634624048	-0.2527855473	-0.04578030612	-0.5541698531	0.7995971761	0.7576997813	0.2973335698	0.7652067752	1.464164996	1.296301462	-0.219104606	-0.3311734073	-0.5713294206	-0.9694557675	0.7428885264	0.5945280365	0.4897351014	-1.372358724	0.8565454434	0.2601897006	0.2366411046	-1.151913768	-0.2246562546	0.3451908915	-2.074728747	-2.028748441	1.25587658	0.1737544699	0.1371834812	0.3701477364	1.033142772	1.311065695	1.14553439	0.3414907258	0.007477488047	-0.2846276225	0.4798452644	1.380651079	1.223018301	2.2280437	2.412672926	-0.1620103445	0.2492713343	0.07604275436	0.7370086783	0.2996680491	0.4625913327	0.09975698081	1.472925402	0.4685027322	0.3332082669	-0.7106998244	-2.565466856	-0.2455918449	-1.32207907	0.4240715598	0.1746549057	-0.9287873177	0.865801951	0.1033838859	-0.16042147	-0.4413622286	0.3875882483	0.4761099399	-1.444769411	0.8928682061	1.597153613	0.4722522062	0.2370549423	0.2971311551	2.064135378	-0.1392707625	1.284109752	-0.8380849075	0.6919780425	-0.7050300726	-2.147106335	-0.5026169329	-0.6945775751	-1.840318424	-1.381464653	0.02251626163	0.3342899053	0.4993298752	-0.9803451363	0.1362091219	1.758391048	-1.428361411	-0.9456377174	0.02452743695	1.326339375	-1.559165943	0.7803791489	-1.6310196	0.1945653181	-0.7197206818	-2.297945778	-1.395639657
-0.2647358369	-1.98499548	-0.3978514866	1.857649878	0.7446268778	1.882929421	-0.03869560065	0.1939351309	-1.735258679	-0.115707757	-2.146908078	0.593885058	1.292100539	-1.476728518	-0.04699473732	1.354368241	2.007579779	-0.7787945606	-0.0308013178	0.447309485	0.9665911086	0.8316244078	0.9522996807	0.2368573748	-0.8259829914	0.6034359889	-0.8242232459	-0.02994091587	-0.466418045	0.02313538676	0.166166455	0.1843931294	0.0009251171938	-1.132756207	0.6310935435	0.6798905916	0.09430674858	-0.8054664812	-0.809021029	-0.6924223599	-1.809702479	-2.141867694	-0.9977543192	0.8785466021	-0.8740524982	-0.1467076324	-0.9526025134	1.510492496	1.210555899	0.3276608511	0.4532929836	-0.6036604412	-0.2807599416	0.3958550425	0.7449483625	2.109547922	1.94398059	-0.2675944325	0.2742011703	0.538421405	1.172395352	-0.7004054837	0.8325967904	-0.2772127289	1.822382868	0.8026749627	-0.7213921989	-0.4956366275	-2.724419397	-0.9136946018	-1.498123901	-0.004778042614	-0.2592799926	-0.411359911	1.044556282	0.1548156078	0.1404381599	0.3701947276	0.7284261458	0.539377599	-1.013634485	1.184167375	-0.2377968772	-0.0667510723	-0.7676466493	0.4609339627	1.810064174	-0.5033100811	-0.5443996263	-0.4444703161	0.4288820019	-0.9211774787	-1.885038542	0.7217619618	0.7545852684	-1.703469637	0.7779272533	-1.466852898	-0.1065348111	1.519380503	-2.11601784	0.1024460915	1.332296254	-2.204625376	0.06538026453	-0.0007677978643	1.425683001	-1.573493476	0.09800484002	0.03201165494	0.3546600011	-0.5138905268	-1.618303835	0.3444175778
-0.28287841	-1.518369301	0.2311100985	2.02513255	1.035961976	1.631677867	0.597294749	0.4720263452	-1.378192411	0.2724072549	-1.592621763	-0.3377102562	1.221562756	-1.100652761	-0.03415692733	1.327292331	1.293655582	-0.9480342429	-0.09428434462	0.5884116277	1.019143699	1.133011073	1.200557802	0.1324502101	-1.80774865	1.730070904	-0.7673392669	0.2709914762	0.1543894746	0.08846021484	0.6175314306	0.6017727632	1.224336521	-1.159453227	0.6163687088	1.256557436	0.476129946	-0.6061664575	-1.591189217	-0.4476974043	1.744306784	-0.9537953174	0.1103990925	-0.9339817658	0.005806421177	0.1596885549	-0.511112502	0.5711182631	1.406216081	0.5159850839	0.4001616586	-1.185025103	-0.2717301247	-0.5158074254	0.8859118633	1.106842231	0.9114363977	0.2544160621	1.247874431	0.5486218581	2.010024732	-1.363243062	1.989615007	-0.1824730282	1.343029221	1.465274174	-1.513333295	-0.124681405	-0.3181674077	-1.430668487	-1.349816586	0.181800529	-1.724264313	-0.02002337589	0.1068251041	0.5196472011	-0.2582149167	0.06198353995	1.055582386	0.512053216	0.2514718873	1.637128121	-0.1957158051	1.309773254	-0.4738852669	-0.9511482656	2.567254084	0.184139019	-0.344173615	0.182283431	0.01678230564	-0.4179095356	-1.740885799	1.425312126	1.671438637	2.173539153	2.096084077	-1.128563462	0.3435599301	0.9876497398	-0.8364970365	0.3960696991	1.425467902	-1.453632304	-0.1785872036	-0.7854736487	0.315035462	-0.8205026029	0.6429410489	-0.08211064555	0.9494463441	-0.08594205129	-0.2426923393	0.5520008077
-0.4364573842	-1.655209984	0.223887848	1.747264044	1.148587884	1.166310052	0.00788644595	0.1194607945	-1.05919784	-0.4742469908	-1.584801457	0.1161740009	1.366790551	-0.7072050643	-0.2204460482	0.7809710373	0.7933227399	0.1018538967	0.03764492496	0.9446949211	1.061751838	0.3477113293	0.8506008828	0.2274825162	-1.192402189	0.572699036	-1.179626041	0.21978279	0.02962952576	0.5736804635	1.438896813	2.205501293	0.9785571454	-0.317383016	0.123814724	1.343450211	0.6243051926	-0.4193911829	-1.198469964	0.9289895426	0.983543304	-0.7315302013	1.898895907	-0.3587028757	0.7749262611	-0.6835069013	0.4270633378	-0.6197545337	1.611033148	2.166420307	0.4812635692	-0.6581219845	-0.2228838402	0.8524333121	0.5644684733	0.08281524518	0.4211349273	-0.02057826546	1.279072341	0.8608095223	1.863072201	-0.9240511426	1.762076737	-0.7167691554	0.7490051111	1.756790156	0.7667534136	-1.593579647	1.274412519	-0.9048308714	-0.002146551694	0.5285887447	-0.9606504355	0.1433545796	0.6631351011	0.1855583409	-0.03449353144	-0.1016492104	1.066426893	0.8684382503	0.7162739338	1.810811919	0.4683500155	1.168308478	-0.1861231611	-1.53112762	1.849568974	0.6159472252	-0.6153754079	0.05759011918	0.8038251373	-1.220065126	-0.2483952323	1.809707643	2.481982864	1.710936502	0.4818164025	1.781444379	0.01619034642	0.3330472004	1.114841255	-0.9885942925	0.8970573032	-0.2373808818	0.2957453354	-1.313405432	0.9791639611	-0.07107407017	0.8672480619	0.4817345073	2.002942116	-0.3758833998	0.02298111682	0.1596440099
-0.433902863	-1.440773498	0.2631632067	1.326302999	0.6060735801	1.027951364	-0.02949657549	0.3445325087	-0.8002152598	-0.6958801492	-1.649810681	0.5359315086	1.440857228	-0.9496250905	0.1059189868	0.1040503733	-0.1698944138	-0.2385332848	0.2734194994	1.735316981	0.6601092039	0.003680628886	1.601731314	-0.3338451567	-0.2733942177	1.750315717	2.025628424	-0.08128949696	-0.276244658	0.4929553442	1.631206283	1.790881294	0.9801982173	-0.181839124	0.0359102567	0.03367540804	-0.7030525827	-0.6188248925	0.8751722878	0.6274019689	-0.2224313445	-2.065912136	0.7951223763	-1.179563846	-1.074756906	-0.1244564152	0.5981204562	-0.6783456642	1.681976224	2.872727204	-0.5438625326	-1.267793568	-1.529859961	1.61764986	0.5139659924	0.757994135	-1.52422553	-0.6412211011	1.026147103	-0.6624882353	0.7926141156	0.4447803803	0.7446134101	-0.8790240772	0.3435464304	1.131396888	1.528227262	-2.118165019	1.064178007	-0.4964704057	1.034985489	-0.7405849334	-1.340212045	-1.358065625	-0.1072637358	-0.7421834275	0.7529233758	1.091480699	0.4639772855	-0.271665171	-1.019638099	1.237736442	0.2064788106	-0.06087087605	-0.4153804348	-2.672270758	1.268496494	0.8727540475	-0.6298090082	-0.599683325	-0.07441475715	2.250559319	-1.026694669	2.530612348	2.739293511	1.365655379	-0.4253008024	0.5000375349	0.7528521629	-0.02034233426	1.921346776	-1.242510997	-0.584357765	-1.4623001	0.7570715362	-0.5508872577	-1.740613339	1.405038615	-1.308879151	1.390731814	-1.020539763	-1.114882213	-1.642481849	2.149597473
-0.2824232459	-1.00057172	-0.0850825787	0.8644242183	0.04787260863	0.9142167793	0.5390199344	0.2294989753	-0.1162297922	-0.4742055402	-2.153738545	-0.09805400504	1.194067316	-0.6673614927	0.1330490615	0.02790199769	-1.528368185	-0.2950198931	0.3651845517	1.840061725	-0.1031734807	-1.011443271	0.7660548982	-0.7086491358	0.6391210488	1.248268511	2.132301727	-0.2004698755	-1.212296188	-0.3872843501	1.036646485	0.96789551	1.754227561	-0.0904121294	-0.05985446439	-0.1173276396	-1.377671868	-0.1957858079	-0.4869022663	0.7320907022	-0.8987916232	-0.2728268214	0.5944860665	-0.9818240657	-1.549620364	-0.9196660807	0.4608886995	-0.06308719756	1.286808611	0.8708182507	-0.3368476704	0.2190241207	-0.3695055335	-0.07423899854	1.492214069	1.052351029	0.2840079418	-0.4045559622	0.4542965706	-0.3029177525	0.2735665876	2.930276276	-0.1085858556	0.4181046344	0.1735820964	-0.007888668184	-0.6562081824	-1.325593885	1.907691504	-0.2053822468	1.500165585	0.2150884247	-0.2254207351	0.03126924601	0.5844367111	-0.4303135822	0.7281744908	-1.559676271	1.032301716	-0.1565984276	-0.9137266405	-0.2112955621	-0.6028940505	-0.1083336113	-0.7619734586	-1.443527457	-0.6994540326	-1.487840277	-0.03071676692	-1.152377517	-0.753196078	-0.2368024658	-1.309244372	1.405499878	0.3127585459	1.179030253	0.4423506764	0.6172166101	-0.1523890962	0.3189411829	1.071270787	-0.1113779425	-1.275724927	0.6030577805	-0.2501718568	-0.02447180189	-0.1138601698	-0.3269239504	-2.655889007	1.559311001	-0.6154206617	0.5099860037	0.5008711788	1.109952003
0.02871910069	0.1581240772	-0.05161321445	0.02285153801	-0.433059371	-0.1391353685	0.1235044539	-0.2508539573	0.2308210981	0.1574666422	-0.7853130907	-0.1358695928	0.9369360919	-0.2212784886	-0.02422059798	-0.8814442536	-1.283380311	-0.3576171654	-0.2386525838	-0.5629844497	0.1650847981	1.176739357	0.08936412816	0.4640032172	2.152639003	1.322172095	-0.6815579805	-0.3312959596	0.01011999862	-0.3296721854	0.3506775621	-0.987483314	1.311138387	0.3698527632	-0.008074303589	-0.3079238016	-1.233501794	-0.4430790547	-0.289074747	0.6986253588	-0.3240212393	1.271806989	0.6808570454	0.4490263379	-0.1146258906	-1.750536875	-0.2936423216	-0.4078521318	0.5510006467	0.1854511515	-0.5737457345	-0.08407102879	0.4366950686	-1.229497094	1.917884884	1.149737611	-0.3048591673	0.165291449	-0.2921689418	-0.6557190528	1.155089507	0.8385340479	-1.193471033	0.5770203629	-0.3189519081	0.5479579658	-0.6608516955	-1.231672387	0.4961314112	-0.1922598268	0.04726746841	-0.1050926758	-0.6436709492	1.087902012	0.03178770807	0.2309962884	0.3431001559	-1.700973178	-0.01466389392	-0.1021819595	-1.376365182	-0.8159740355	-0.6690774865	0.9737423106	-0.4839487846	-1.116291893	-0.4928601303	-0.498534033	1.562635984	-1.100275123	0.07343038321	0.3386214345	-1.386408236	0.8851055211	-1.971715277	0.375539437	1.093791002	2.578642586	-0.07920440764	-0.8526251462	0.1147380397	0.4922138606	-0.7485138191	0.992814832	-1.480424199	0.0891233404	1.839362676	-0.7107181674	-1.276300027	0.4142480504	0.4285551498	1.95728068	1.85850259	-0.5078065915
