melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151	melodic_152	melodic_153	melodic_154	melodic_155	melodic_156	melodic_157	melodic_158	melodic_159	melodic_160	melodic_161	melodic_162	melodic_163	melodic_164
-0.6152538272	-0.6301259919	-0.01908785294	-0.6285348644	0.9457155798	-0.5816809475	0.6956254689	-0.7016775695	-0.4030922811	-1.459865717	-0.1483771509	0.3320012028	-0.1835859532	1.80646379	0.581572421	-0.3393013077	-0.8645443757	-0.7223151876	-1.185646972	-0.9975474687	0.07647216452	0.9309954206	0.6559705206	-1.035101365	-2.317318558	2.211963953	-0.1053032643	0.03926027225	0.1311213267	-0.8099082863	-0.5997712467	2.464221338	2.667029626	0.4834271795	-1.557989286	-0.4606421235	-3.235782456	1.003101971	-0.3352160054	0.7441981325	0.891377793	1.289231102	-0.829577163	0.2414838056	2.330292599	1.509791769	-0.4632391498	0.0304850773	0.1794123577	-1.539199635	-0.6583735079	-0.4497291362	3.51750475	0.9367299441	1.086987453	2.212815925	0.4549326528	1.239960605	-1.322993489	-2.036698725	-0.09488895232	0.6914010013	0.9075680233	-1.051251893	1.669996869	0.7845942008	1.811677575	0.3950179385	1.454484927	1.332196511	-0.2155042998	0.9700484286	-0.03907668664	1.495933144	-0.3960336089	-0.8122782279	-0.7766568931	-0.3100693527	-0.8271371071	2.101095416	2.064198396	0.678352222	1.94653753	1.404152939	-1.05027936	-0.7966217082	0.4312975776	0.03288772863	1.9947474	-1.149910348	-0.5184162809	-2.579058906	-1.209565431	-0.1655647434	4.663128684	1.405933329	1.749711274	-0.2730922308	1.523420102	0.5105368408	0.6199631052	0.5015999427	1.296974529	0.3711486822	0.2968949076	1.271884591	-0.2223930827	2.160764935	-0.2704982299	0.5302253027	1.185389812	0.7342793518	-0.4243813514	2.672382809	-1.09835254	1.957755975	0.1585734182	0.9647184302	1.550520722	0.8735901228	-1.083537533	-0.720716217	-3.223380794	0.08198707155	-0.8211641472	0.4293978008	0.8294122075	-2.139019236	-0.8711714726	-0.1012713136	-0.6469269645	1.074622536	1.492821883	-0.02057609975	3.302092645	1.045479395	-1.642534769	-0.2594633319	-0.4401472326	0.3130968016	0.1657125476	1.240488963	0.5535824939	0.3048377196	-0.6892523584	1.142511796	-1.036492547	-0.1944534833	-0.77846643	0.002521242934	-0.1895483186	-1.694717041	1.911352856	0.319471573	-0.7891139836	0.2724235932	1.989970489	0.8687705031	0.9945897707	-0.894646748	1.619706915	1.360668835	0.8349131616	3.114491677	-1.183897054
-0.3973576638	-0.3061468222	-0.248619589	-0.737663384	1.07413378	1.715612455	0.7885166122	-0.1317667148	-0.1962739481	-1.536319767	-0.2634639718	1.78958273	0.2194387442	0.5384042244	-0.3152305336	-0.5998615118	-0.7992034925	-0.8177287349	0.7268831537	-0.8439588552	-0.1307816963	0.9705453019	0.06576975268	-0.5732811565	-0.837735885	1.155533775	-0.09774189275	0.1482919872	-0.2866857526	-1.614402977	-0.6015028995	0.468178491	1.950659847	-0.9257546335	-1.157410066	-0.5214232468	-3.55990702	2.047512286	-1.471662431	-0.5903430748	0.0552410761	1.17751526	-1.256921583	-1.827250616	3.639516336	0.3376200334	-1.172060293	0.98329956	0.3030252758	-1.361526835	0.4088524714	1.09967	2.670355579	-1.262161294	0.297230276	2.142002352	-0.4050625303	1.237483211	0.6496451455	-1.131079492	-0.09683592881	-0.7334329799	1.347814793	-0.1314955278	0.2019754726	-0.1413010601	1.224083647	0.3213267833	-0.1065061127	0.3805562406	-0.4015605092	0.8642922135	-0.7997482549	0.07269982192	-1.40271189	-1.604601468	-0.8243378069	-0.1666927935	-1.131821888	0.07458789467	1.529077781	1.573597542	1.180484845	1.548104656	-1.237215568	-0.8842434094	-0.2198316068	0.3024693401	0.8859095474	-0.185518514	-1.177212083	-0.1905989895	-0.1745451181	-0.9457244022	3.422287379	0.1241387598	0.05904499331	-1.324914454	0.3600238205	-1.21726025	-0.07995484225	-0.6007762424	-1.006461447	1.877163402	0.243372935	1.383306668	0.5224132035	0.6779449721	-1.774034879	0.6576370223	0.4319388528	1.981297081	-0.591375656	1.597511823	-1.843319055	0.5672486342	0.9899041332	-1.293754282	2.735756947	1.052665665	-1.839601127	-1.088654251	-2.337267438	-1.091981315	-0.5578201972	0.9646350168	0.4814122663	-2.558836589	-1.853324046	-0.5084883177	0.4946541641	-0.5528658924	1.129148897	-0.1266421471	2.493338439	0.4472319634	-2.231904665	0.4267001581	0.123263541	-0.09103030951	0.7984460437	-0.779899309	0.5323023865	0.3278337585	-0.6944631745	-1.435897556	-0.7065535892	0.1543894145	-1.157296073	-0.2210987398	0.4880311764	-2.28166403	0.3190490232	-0.0710373951	-0.5718761228	-0.5180886978	1.662539292	-0.9762505239	-0.1048594872	-1.689414319	0.1832776927	-1.292983589	-0.6455307374	0.7834870704	-1.239465143
-0.6598507558	-0.4175777319	-0.1560839635	-0.7213465389	1.00097098	0.8737623658	0.1799547339	0.08960323425	0.6930549362	-2.090295268	1.630470867	-0.003271124248	0.2693161981	-1.016541483	-0.8575134188	-0.9442768072	-1.242249094	-0.9206564918	1.059040982	-0.6784155965	0.2964544503	1.189819585	-1.013903028	1.36464103	0.4011227972	-0.2430710866	0.02099755389	0.03250608693	-0.7495685689	-2.090853034	0.3511892177	-1.489976709	-0.1460256475	-1.159383293	-0.6088867111	-1.175368035	-2.116517339	-0.5113526554	-2.204631292	-0.7493525252	-0.6620212299	0.475961141	-0.6322978994	-2.217543694	0.1852640642	0.1991296838	-1.046711025	0.1635364762	0.6005460769	-1.266986335	0.4481884954	1.615835411	0.3525008942	-2.189756905	-0.2062118554	0.9035394738	-0.8812956406	0.2589114128	-0.1490792872	-0.3933329764	2.499805654	0.06356468114	0.1629832401	-0.1746707615	-2.108554874	-1.070723995	0.9919734223	-0.4136277142	-0.4042080434	-0.8585468894	0.2008223865	-0.06174581635	-0.6410075487	-0.7260084658	-0.04215787174	-1.400928173	-0.6449267542	0.04249465543	-0.2000081327	-0.3460076565	1.028470854	1.075618422	0.2488725786	1.375799276	-0.7715616719	-0.2569110752	0.09820105958	-0.4304401256	0.3242073482	-0.1049058008	-0.01114688537	-0.4993853892	-1.067353071	-1.109991443	0.5208721692	-2.056143956	-0.7556330766	-1.524010744	0.3853059154	-0.8512659362	-0.3761151672	-0.2657535905	-0.6089304995	1.204212262	0.8610374333	0.7155018318	0.5697324804	0.646505905	-2.128472785	0.5516509365	-1.687751494	1.364327163	-0.1186892977	-0.338087919	-1.941599305	-0.7494433779	0.383895205	-0.284967274	2.428772888	2.395274715	-0.4755011208	-1.123321947	-1.3065348	-0.3266556913	-0.2905897288	0.371070738	-1.007779688	-1.754726822	-1.083869877	-0.1874913531	0.453504821	-0.7315985011	-0.4552918839	-0.5955428663	-0.2676120407	0.1978054089	-2.240623924	-1.208922396	-0.4925012244	0.7547165282	0.7133416437	-2.048352769	0.4330805082	0.9771120238	-0.4136029866	-1.480749573	-0.1766653189	1.39983906	0.7207607429	0.162011243	0.08358848988	-2.214502227	-0.6349269855	0.4967805654	-0.7638003841	0.1753978046	1.309411391	-1.951336437	-0.9914502506	-0.3644477823	-0.05929355497	-0.714897317	0.1211907568	-0.02884753836	-1.379604488
-0.8257368059	-0.4683734634	0.08202673049	-0.4719937632	0.6451557268	-0.1659803012	-1.299546773	-0.4057088691	1.398446569	-1.92094754	0.4808900139	-0.6566012287	0.3359875645	-0.8783305806	-0.7888912943	1.824536476	-0.8519661113	-1.124391882	0.4340776874	-0.5018089704	0.5233190675	1.173708221	-1.369286751	0.7287491338	-0.8202383351	-0.5354476639	-0.02452328874	0.2903113729	-0.7725345288	-2.152191719	0.68812774	-1.355638978	-0.111596094	-0.9875519494	-1.386717806	-0.5985897416	-1.111366897	-3.114910837	-2.553130752	-0.2566578391	-1.291556891	-0.1633037155	-0.303638117	-0.5260516447	-2.200814657	0.6805346343	-1.298063397	0.4239672161	0.308956572	0.5223100283	-0.5381113804	0.2652685953	-1.120582826	-0.5531841974	-0.915005975	-0.07284983352	-1.390109677	-0.2097998128	-1.522868014	0.2475188489	1.578405724	1.187941113	0.05256392618	0.7137202473	-1.16873819	-0.9771955754	0.9997100053	-0.6369836284	-0.6694493272	-0.4722685341	1.622270594	-0.1349863892	-0.3539786337	-1.309104807	1.578134192	-1.096060169	-0.651379603	0.02397887855	1.129415182	0.5623993588	0.2627730008	0.4426451729	-0.9010431033	0.8048424391	-0.6024543906	0.1116892273	0.02577627598	-0.5217689051	-0.7291081181	-0.4370904051	0.6967952958	-0.9625586213	-2.233999628	-1.384747684	-1.477579064	-1.094287456	-0.8192749155	-1.849988412	0.6960985099	-0.2432827092	-1.591460529	0.1848185115	0.2038458469	0.3244108454	0.8641910341	-0.82492759	0.2623824296	-0.06857996698	-0.3960781634	0.6092163956	-1.716585882	-0.1377643499	0.6193987628	-1.314157021	-0.6123968158	-1.021967001	0.006317239951	0.4797369266	1.607116476	0.227418512	0.7062600833	0.4356963681	-1.680510405	0.002829166033	-0.2874569794	-2.198081085	-1.434986842	-0.5582632069	-0.7008134259	-0.07641736122	-0.1555873225	-0.2635686898	-0.7194731035	-0.9974922919	0.04847816688	-0.06057002863	-1.80679682	0.01066741631	-0.9611104189	0.3288867751	0.9192762162	-1.449966893	-0.3045341595	0.7912147778	-0.3240929266	0.07897788996	-0.98843596	0.4353309582	-0.0102259121	-0.09833494812	-0.6155724398	-0.2880259918	-0.2652975938	0.9706933729	-0.8614712982	0.965054727	0.6557361507	-1.021002274	-0.7646751032	-0.2812091461	-0.1054354198	1.4299442	0.8914278357	-1.876269763	0.1112962747
-0.6734371193	-0.4625578295	0.1452880779	-0.5173346516	0.6036285353	-0.6913594094	-0.9133274001	-0.03470795907	0.7288580088	-1.186078848	-0.6682222404	-0.9918793522	0.1193978259	-0.7019417227	-0.5489174933	1.65319172	-0.4185343464	1.92649377	-0.3972990016	0.3270660028	0.1426179383	1.268086558	-0.7717703218	-0.05536405707	-1.214080643	-0.9739868112	0.7320064792	0.09951195922	-1.196708408	-1.840110807	1.289637453	-1.053277753	-0.5376489725	0.1214554826	-1.559311269	-0.6614948354	-0.7766316104	-1.604354739	-1.937939584	0.1299711948	-1.473410264	-0.1129155156	-0.5837548473	-0.300184241	-1.030595439	0.05923308485	-1.210279133	1.214633666	-1.493101827	0.6207896688	0.8850102492	-1.909410798	-1.486840075	0.02971426014	-1.075972242	-0.1951821715	-1.996448353	-0.5657672535	-0.1517985043	0.5055481322	0.08977057287	0.3680009402	0.07506019722	1.489039146	-0.2182281795	-1.215769183	0.8697526078	-0.4350694327	-0.9811402512	0.3193837702	1.217680379	0.3557723486	-0.02103783261	-1.163064728	0.9291194937	-0.6694015457	-0.3982935939	0.1371902784	1.431147963	-0.1734313273	0.5423325066	-0.06739161979	0.1150351239	-0.2553154404	-0.484740749	0.746552308	-0.2100968058	0.1322580217	-0.854734716	-0.4052944282	0.5688840035	-0.143965931	-2.169836048	-1.275158437	-1.893518402	0.8369155233	-0.6104907032	-0.2196354571	-0.01142424507	-0.5814338687	-0.2970334379	0.3732620744	0.216929201	0.4177475487	-0.4347144997	-1.481791704	-0.05726265539	-0.3955466651	1.465027662	0.5285734355	-1.404730102	-0.9639351841	0.2154243166	-0.7291795731	-0.6709692041	-1.330140916	-1.462872877	0.8371962357	1.243920921	0.8084124881	0.4093772803	-0.326815311	-1.696493226	0.1201807613	0.176419755	-2.03093111	-1.633100663	-0.004312344259	0.07906438375	0.6596849938	-0.117159864	-0.7360005046	-1.102162515	-1.277635655	-0.405879428	-0.1564210949	-1.018210861	0.1315137344	-0.2318349081	0.8960649277	0.6480815257	-2.327916475	-1.298872181	0.5633236112	-0.8980898266	-0.2991191245	-1.764298693	-0.5427916182	-0.3743442064	-0.52011418	-0.4392960764	-0.04152946485	1.295592727	-0.4916597642	0.05895045509	1.448761542	0.114432132	-0.4685755997	0.5737495489	-0.4380359075	-0.22995856	0.5904483045	0.4309750799	-2.097069063	-0.9562864405
-0.3691729177	-0.2188350494	-0.2219646255	-0.5312029176	0.6758192315	-1.346643007	-0.9443894307	0.3506407034	-0.09078505882	-1.073561349	-0.6329983153	-0.9426344343	-0.2110434372	-0.5305949695	-0.1363301843	0.6468895547	-0.805428345	1.953255292	-1.039830087	2.283500752	0.2160841753	1.118908275	0.4782320139	-0.01166610266	-0.5640449242	-0.6986456366	-0.02922476734	-0.3505553492	1.510008673	-1.677180227	1.811596746	-1.313924773	-1.173091471	0.1908583883	-1.264472462	-0.1379989382	-0.9628099781	-0.9625794246	-1.543450489	0.542407717	-1.591077395	-0.3754847999	-0.3049985677	-0.7688980174	-0.105621453	-0.9140690244	-0.8697435833	1.352453007	-1.360994811	-0.7766448769	0.6233530283	-2.103850796	-0.783992887	-0.7811057378	-0.9037385678	-0.1400546567	-2.054248564	-1.08195581	0.9343165651	0.4418155471	-1.316106544	0.06745915244	-0.7584676285	-0.5951172496	-0.3474472896	-0.7037348623	0.3997655992	-0.01700399564	-0.6343371091	1.392340662	1.000832641	0.2632507905	-0.8275156087	-0.881570259	-1.361934044	-0.2065136867	-0.08704798416	0.713940684	1.299936052	-0.3373173427	0.6755155375	-0.5771637539	-0.3467219831	0.2682122454	-0.4914470319	1.070328989	-0.1139083244	0.93105818	0.6290533571	-1.048469359	-0.01433328247	0.6799467598	-1.709707949	-1.614697052	-0.9816716152	1.514795668	0.3469120278	1.489032973	-0.6865253428	-0.4395807506	0.4224654836	-0.5045973316	0.4106318414	1.982046211	-0.655144966	-1.200613428	-0.1011221245	-1.15310663	0.4836341118	-1.7592826	-0.4122038864	-0.7708203675	-0.628750987	-1.074260426	-0.7794779044	-1.192907994	-0.8828134131	-0.8927225965	0.1132870717	2.28105454	-0.2502761855	-1.178501649	-1.191950937	-0.1977355448	-0.1893302966	-0.8049035934	-0.4000170398	0.4366707809	-0.7215731816	-0.260043209	0.3085270391	-0.01047898967	-1.409072972	0.04111778203	-0.1335257117	0.1444138827	-1.378677626	0.3959934059	0.649005205	1.217970204	0.03829505559	-1.715756319	-0.2893332423	0.3061617278	0.1840241105	0.05083271324	-0.6850708028	-0.9797055828	-0.4753360689	0.2115610863	1.838806454	-0.7508056221	1.792504488	-1.318896417	0.6610884791	-0.4319027921	-0.1420539238	0.1924553581	0.6687448641	0.1000250591	-0.2282505539	0.5984231763	-0.8615035926	-0.54835269	0.04587423725
-0.3455788584	-0.1907784542	-0.2540921751	-0.5234064193	0.6119576196	-1.374719808	-1.150688113	0.6785127819	-0.6768043514	-1.496762087	-0.6878298632	-0.7909931972	-0.07851336919	-0.8081731562	1.263592185	-0.3101188954	-1.124352372	0.7687759997	-0.8939493963	1.553993595	0.5445257886	0.8518262989	0.8096656313	-1.348051071	-0.3858970085	-0.4351136752	-0.8504372722	-1.075120983	1.291940593	-1.814161167	1.833314126	-0.5818002916	-0.3575996487	-0.56168984	-0.6202119732	1.981247642	-1.36797775	-1.47177043	-1.179835144	1.229165331	-1.734594724	0.2092808708	0.2883180792	-0.9720080576	0.3023864389	-0.9275508278	-0.1440260012	-0.838618105	-0.2908398317	-0.2903275869	0.3407878255	-2.362694068	0.4593676716	-0.5467687526	-0.6796032621	0.4138562236	-1.007801133	-1.239318869	0.9435872488	0.5614935296	-1.486381254	-0.5885815956	-0.7837016248	-1.097653247	-0.2043936456	-0.2741943387	0.1652221879	-0.2088241727	1.501473259	2.261947427	-0.2467705768	-0.8568027789	-1.03383615	-0.4832963967	-1.335274278	0.7207403621	0.1017919456	0.7605314766	1.486771987	1.19811566	0.8076255999	-0.5731134883	1.404079975	0.1211401144	-0.3973705545	1.769410912	0.1452981574	1.125155289	1.168476447	0.4450680748	0.2624519125	0.9551757995	-1.502130765	-1.142088488	-0.2748534495	0.006290141168	0.3001766476	1.352122732	-0.789627653	-0.3745884689	-1.006837676	-0.2900807652	1.331391582	-0.9314517024	-0.4856185238	-0.5749281087	0.06813178295	-1.564200909	-0.0566964455	-0.7381161754	0.9504124589	0.1402683876	0.08286056537	-0.7710348428	0.02865042899	-1.160781198	0.1987355123	-1.589065573	-1.538242359	2.697564688	-0.3163959384	-1.125328524	-0.6618018541	0.2890042061	-0.7380268473	0.7233724283	-0.5358096859	1.324671377	-0.4053125632	-0.2743842822	-0.1865367838	0.4647068886	-0.2274951385	-0.1083550608	-0.4197667819	0.1512582038	-0.8959934863	0.005677067949	-0.277627519	0.2939064874	-0.2888960063	-0.7526018274	0.1873519645	1.529165663	0.9631164998	0.7954057273	0.7514254858	-0.7319424733	1.295544146	-0.270298024	0.927860838	-0.8400412986	0.5598027959	-0.8017550828	-0.8168617039	-1.655785737	0.06771440882	-0.1528491798	-0.7209752961	1.208330241	0.4438195306	-0.3621400116	-1.026987546	0.4014939253	1.154580653
-0.3856779541	-0.01741446111	-0.3321242678	-0.5049237022	1.182385668	-1.088839813	0.1427318366	0.2798614271	-0.7663704277	-1.497419722	-0.7815342356	-0.851061413	0.1783791662	-0.855052468	1.013484991	-0.4303404543	-0.370608296	-0.1228894534	-1.258033805	0.05070218627	0.1586562738	0.8229031633	1.463175568	-1.472275848	0.01116501078	-0.50184956	-0.09548724117	-1.564434469	0.9721761431	-1.881148255	1.079360707	-0.2365763649	1.090786562	2.158036182	-0.2241242363	1.760242093	-1.012876612	-0.04213974991	-0.2439820037	1.688272135	-1.337808702	0.3604042143	1.064401452	-0.5789961265	0.590994398	-0.1849058014	0.7941681638	-1.296514103	-0.0836696031	-0.3493586623	-1.123508783	-2.456214547	0.6444699476	-0.4187091772	1.036614311	0.6907545081	-0.7754800777	-1.165990317	1.141942556	0.4615063363	-0.003911657795	-1.391682749	-0.1683008793	-0.3517591156	-0.2891360109	0.1592989891	0.1427373275	0.2622590564	1.258861299	1.433795767	-1.899664083	-0.4617056224	-0.6268690549	-0.1071353842	-1.243768058	0.887180931	0.1868539568	1.009731565	0.7652131448	0.8524586113	0.1532466851	-0.3065656058	0.8771939695	-0.535858761	-0.06108382569	2.229944108	-0.2840725331	1.199763547	0.632533796	1.217596979	0.2397967438	0.440580954	-0.9097175019	-0.3681299177	0.1241787854	-0.9884807325	0.4127636607	0.6621285853	-1.299296607	-0.5208672053	-1.397075672	0.5164481127	1.029393042	0.3030056304	-0.03471050469	-0.5054288338	-0.2853778767	-1.289702612	0.0947690816	0.2802431763	1.711992321	0.4472690968	-0.1880582174	0.9138323744	1.540331564	-1.374645673	1.799415443	-0.332749951	0.03129152613	2.301166352	0.6163904753	-1.218517961	0.2557907357	-0.02938147588	-0.3431066841	0.6333351816	0.05419108882	1.44097656	-0.7527794927	-1.3559029	-0.331164076	1.250422833	0.3023335829	0.6713482909	-1.190508379	-0.01384502154	-0.162359371	0.63842736	0.3969326417	-0.8048919256	-0.3862947422	-0.705733827	0.6581155004	1.659833837	-0.3348413868	-0.2183981993	0.4759957621	-0.4764619264	0.2941772515	0.369852793	0.4390197155	-0.1211712077	-0.07046789966	0.2783974985	-0.2115962112	-0.5920425239	1.299893168	-0.287143085	0.002423372329	1.685141292	0.5351848294	0.0945764956	0.5254375961	-0.3272864771	0.6210177094
-0.5913963569	-0.03568422801	0.1714848554	-0.4032286317	0.5678969807	-0.7835183509	1.613498466	0.2608275856	-0.699658517	-1.340230524	-0.5442289798	-1.178134772	0.2810614566	0.009373246584	0.7127615056	-0.1661654584	0.1500390308	-0.5989662745	-1.283738773	-0.239904401	0.6789306902	0.6886894704	1.514877478	-1.400585929	0.2548444291	-0.7654341343	0.6154393984	-1.517555094	0.4200138669	-2.185771594	-0.4721413896	0.1993807762	0.6763562666	1.189925218	0.3954526399	1.910944575	-0.3888817932	1.253373152	0.1702971012	1.442959814	-0.5737353818	0.2617318018	1.185881195	0.2025360193	0.7177485081	0.4674041632	1.5271432	-0.6531175571	-0.3526460907	0.3662763984	-0.8382158034	-2.594188575	-0.006910393381	0.9166118534	1.61069595	0.4097452887	0.1449728267	-0.9007838651	-1.468962856	-0.0833557113	1.063097663	0.002242788397	-0.601802179	-0.2204297868	-0.08387473596	-0.3188671709	-0.07950916008	-0.3286999196	0.2477620232	-0.1896825245	-2.484710636	0.226357977	0.230159807	-0.4591283938	-0.8039609346	1.160185999	1.195092526	0.9027828513	-0.12373579	0.5443679809	-0.6232993384	-1.299821391	0.5742663305	-0.9677254809	0.1157782023	1.194174133	0.06207192848	0.8621977174	0.05963755973	0.9422411146	-0.4321894868	-1.027127297	-0.7055024604	0.7432119074	0.7579617685	0.1106526073	1.199545193	0.790483417	-1.26490859	-0.5634439076	-0.2265901283	0.1610550517	1.308860263	-0.3024185965	0.3598385199	-0.0560558246	0.007936289826	-0.8972518298	-0.4526062861	-0.7575497842	1.250415867	0.5679560279	-0.8596049647	0.100348076	2.58015629	-0.4600224385	1.846862896	-0.3001152805	0.7218064131	2.392074776	0.8790424057	-0.5423162411	0.3547133813	0.4083878959	-0.9367650384	0.2108398154	0.2291894271	0.9709740686	-1.044733395	-0.2567915447	-0.3421200957	1.688962448	-0.1447569843	1.623867644	-1.566274511	0.4790429218	0.4017715752	-0.6421706315	0.077187009	-0.7782906905	-0.1407888906	-0.5823209051	0.7481484743	1.088451252	-0.9012597824	1.179910451	-0.9065558159	-0.3045632858	0.1658891118	-0.41859637	1.219756275	1.19469021	-1.254979572	1.484829572	-0.1479769832	0.5812308536	1.241174307	0.2968334096	-1.621645904	0.4132583963	0.8707608003	1.646353066	2.220981788	-0.1102405592	1.179753542
-0.6029087328	0.1263139501	0.2835995022	-0.3070186794	-0.2095844816	-0.728780279	1.506901704	0.1815489989	-0.7731004931	-1.104241794	-0.486211591	-0.592652515	0.08173670934	1.924989746	0.9498645147	-0.3185463114	0.6774163589	-0.7576625624	-1.306484564	-0.2007390619	0.01734986068	0.5815843728	0.9196585013	-1.183510428	0.06356800434	-0.06488878158	0.3840451583	-0.9895778829	-0.06745203264	-2.617881777	-1.638091788	1.076524655	0.08231930907	1.49963039	0.558380098	1.638297771	0.07346072392	0.8923992038	0.7423833146	0.9813147441	-0.207252805	0.5741133663	1.132051976	0.5878993777	0.3101868898	0.6677444756	1.744345843	-0.07175793497	-0.7262173238	0.2905568923	-0.77164397	-2.733460304	-0.2969773488	0.6121872462	0.9152228927	0.6371478441	0.3827294414	-0.1657776418	-0.590261235	0.5944941357	0.7873700408	0.4933421933	-1.378604375	-0.6550452115	-0.3259537191	-0.145845814	-0.3277986449	0.04204930647	-0.1759775725	-0.7494464591	-2.984144511	-0.1680225105	0.5845675739	-0.4500379104	0.3975611962	1.273222132	0.7850066607	-0.4190920579	-0.7675977593	0.9428669207	0.02842888984	-0.8504065572	0.5890207199	-1.262734032	-0.3667868489	-0.1220523015	-0.05700136376	0.2736203345	0.0213836213	0.1580137599	0.4901999693	-2.137999688	-0.1496953054	1.002422843	1.020447419	1.924006408	1.723883038	0.7910947449	-0.1514439357	-1.103545522	-0.04124586695	-0.6392250426	1.608602861	-0.93175512	-0.4566864031	-0.1416954346	-0.05328715987	-0.1961021278	-0.8656883595	-1.030564948	1.17420296	0.3289449582	-1.086893729	-0.5613732079	1.465537401	0.4886625975	1.389490166	-0.9821067804	-0.2218894106	2.170571946	0.4358645538	0.2923506985	0.03438551602	0.1625915157	-0.6518254808	0.4307049518	0.4968421737	1.548565139	-0.9987069376	0.5996423704	-0.578395581	0.5584954412	-0.1789641775	0.5820752414	-1.261353715	0.5768588837	1.878390586	-1.89862511	-0.4726793501	0.5114557783	0.3765626063	-0.1202213815	0.2099571563	0.07211380482	-0.2115460238	0.7754970526	-1.413177236	-0.1805470251	-0.1719187599	-0.5233149703	0.9276482583	1.518039525	-1.524021444	-1.139706472	-0.6528721466	0.2474171182	-0.1037917454	0.613119664	-2.587394197	-0.5525992396	0.592252455	-0.2271381929	1.717781802	0.2472668635	1.369941962
