melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087
-2.299263808	0.0486903094	0.4252363443	0.4804525231	-0.8837335093	-0.2621092562	-0.6716750475	-0.2096237895	-1.148106686	0.07482467608	-1.216899889	0.9522094762	-2.286435426	1.166186247	-0.7980858089	-0.5833073815	-1.307452339	1.325096848	-1.098050364	-0.4762526388	-1.231150438	-0.3539532034	-2.084397678	-0.9102476041	0.9782926434	0.04102657058	-0.7747975897	0.8635744488	0.6513463431	-0.6182403742	0.6976950556	-1.511945114	-1.298238385	2.272756027	-3.012066565	-2.683873159	-0.3268274566	-1.744643519	-2.169847023	1.406077038	2.775074981	-1.00223551	0.964878979	-4.125432012	-1.557117666	-1.336689009	-0.8623927611	0.9833896677	-0.2598096003	0.1311607437	1.115624105	0.3773568513	0.226816105	-1.358046355	-2.115545107	-0.6279201787	-1.059250769	-0.9989904536	2.945614879	-0.1895079108	0.3860364339	0.2473974536	-0.2075005372	-1.015197498	1.450844856	-2.711810187	0.2767124127	-0.2768138208	-2.593120595	-0.7224953835	0.535981481	0.171098996	-0.9935114433	0.816903904	-2.612016071	0.1565971549	-0.2312495658	-1.133741574	-1.245026009	0.2239052745	-0.395950037	-0.6602067552	-0.6574879008	0.1067606251	-1.751116447	-0.4268291855	-0.8594710399	0.6651058133
-2.383734034	-0.1203493226	0.4134583623	0.7820028613	-0.8749452945	1.290180125	-0.5470288251	-0.0381099888	-1.428718766	-0.457627991	-1.245080252	0.314870065	-2.21215236	0.3666191541	-1.06568068	-0.2680808032	-0.379130536	-0.3000598901	-0.413279406	-0.9404431701	-0.4947366371	0.3820319766	0.3207463113	-1.076613465	1.409516398	0.553020609	-0.2624965721	1.25277908	1.590547493	-0.3505030642	0.1114358813	-1.428202934	-1.164206992	1.531607183	-1.83165476	-2.285175633	0.1933179394	-1.023456783	-0.5629207936	1.435154998	1.527237428	-0.943366537	1.998517012	-2.627686247	-0.7240049809	-1.622859367	-2.068625817	0.5813245528	-0.6715794924	-0.1554620081	1.462782591	0.1465561389	-0.8120511373	-1.72150454	-1.800400295	-0.781636878	-0.8471081026	-0.7153925348	2.904151914	-0.8186917168	0.7786412539	0.2889155341	-0.8529444	-0.1125620635	1.657305114	-1.415922059	0.6002789849	0.06433899864	-1.726898734	0.4247921259	0.9335409867	-0.01360334735	-0.01694251096	0.8241976006	-2.568721428	0.4495970163	0.03911824846	0.6147933289	-1.178166013	0.7581904803	-0.2614545741	-1.282996998	-0.2122172698	-0.9111310869	-1.699588804	0.4730483473	-0.9927018147	0.66279866
-2.418507788	-0.1054978506	0.4442914865	1.255874015	0.9806171754	1.192807885	2.21353738	-0.2575718555	-1.258778787	-0.1558530613	-1.162862652	0.2059871336	-2.100444234	0.475698119	-0.3517469268	-0.4932968543	0.4368027888	-0.840991875	0.3395915485	-1.300813324	0.277639197	1.202853203	1.457780808	-0.53521661	0.8416076954	0.8517182513	0.03195578678	0.6194882593	1.550523297	-0.2696975253	-0.1388999892	-0.4370962954	-0.8436866599	0.04586539839	-0.4983787206	-1.102221817	0.06994786112	-1.038279813	0.3874871881	0.2352152929	-0.4858364278	-0.9468568835	0.7125090156	-1.105362014	-0.3564417812	-1.106186197	-0.7244310876	1.507242229	-0.1244035974	-0.6628978639	0.3947990055	-0.9645772973	-0.4099896687	-0.6273578761	-1.392434097	0.3508253073	-0.7627306253	-0.0834136706	2.161205837	-0.6598398092	0.4352942902	0.2681883394	-0.577256737	-0.3877769951	1.038101323	0.105465269	0.05079100766	0.3984357341	-1.762925027	0.629193525	0.3878106156	1.021102179	0.2776436345	0.2213318227	-2.288252891	0.3156650023	-0.2570209093	1.122412204	-1.612578619	0.4850724863	-0.5404480647	-1.583839996	-0.0360694836	-0.9589781809	-2.204784734	0.7717030919	-0.1037127062	0.1877634418
-2.29652459	-0.1353975	0.5131631989	0.9060307954	1.900876674	0.5973911527	1.241369841	0.6114105329	0.04930614035	0.074864923	-0.329284206	-0.9613645573	-1.99006321	0.5606060539	-0.2826908021	-0.3658267557	0.5780276613	-0.8788811992	0.662290279	-0.8903168291	0.7477276538	1.149690298	1.122374922	-0.8270523442	0.1533281854	0.7933627842	-0.3414048201	0.7857867472	1.075219665	-0.003792049077	-0.4175300163	-0.1670003132	-0.5461975023	0.317660968	-0.7675998438	-0.8554328373	0.150793293	-0.9947538057	0.6492617633	0.3552635347	-0.5265984357	0.7587213115	0.03780328427	-0.2339690608	-0.3898599308	-0.6593688236	0.5205630166	1.389484141	-0.6881425646	-0.5717687614	-0.3335795289	-0.8601947451	-1.015384747	0.5641525599	-0.9875234037	-0.4532004481	-0.6745507945	-0.5432348844	1.343712497	-1.597748351	0.5916063213	0.2804912832	0.1704585213	0.556553309	0.6982172071	0.2615775054	-0.3823779512	0.09401893283	-0.7792183691	-0.181239119	-0.611109403	1.535139979	-0.1503600206	-0.05013089593	-1.277646049	0.1323548665	0.1173412668	2.3386102	-1.297918298	1.193267998	0.1015091778	-1.91216431	0.2320519991	-0.8097995061	-1.845288271	0.5809452946	0.7552662594	1.075627496
-2.077525883	-0.190270333	0.3125751023	0.7773226158	1.127403421	-0.05208963881	0.3485295706	-0.0376332367	1.990933579	-0.5689742693	-0.3073683714	-1.171202474	-2.054573053	0.6185094986	0.09815172661	-0.2038554645	0.5789473545	-0.5509701354	0.9202458154	-0.8189901183	0.7210151396	0.4081715088	0.7308292264	-0.6196006367	1.247116463	1.126847156	-0.4575647722	0.5147776609	0.8696442584	-0.8429823853	-0.6541474137	0.2973844515	-0.3120749744	-0.9117513125	-0.3688857656	-0.4427705152	-0.7666183069	-0.305153621	0.2182493297	0.8799170404	-0.5390905423	0.3385800571	-0.7289705603	0.3589535195	-0.6701418981	-0.5560614341	0.6625293054	0.7442219107	-0.1974413864	-0.8160548239	-1.141959093	-1.35660298	0.1523100159	0.5368002952	-0.7292207635	0.5510589252	-0.2352181496	-0.03285446006	0.4243313822	-2.055184664	1.422642933	-1.657115888	-0.5321407295	0.1677409709	0.5393691195	0.2234849595	-0.1785607864	0.1494853536	-0.4876641851	0.5622166558	0.0932081343	0.6787865623	0.05549157611	0.1891831832	-0.1905912505	-1.396060379	0.0304616556	1.598828036	-1.042329431	0.5433631589	0.3080568789	-2.311614642	0.2498197879	-1.114137145	-1.504904778	0.8413407757	0.4887120438	0.7408034392
-2.046239484	-0.1583721493	0.3892527291	0.5096225118	0.3746089708	-0.6885567628	0.2820288018	0.2828521203	1.67722316	0.1642736747	-0.4157393446	-1.099566999	-2.158921033	0.2088711408	2.095479732	-0.09636485497	-0.1741376789	-0.713397849	0.6436130782	-0.723985315	0.6508283238	-0.09021126657	0.2494971526	-0.3323478505	0.5818456838	0.2172757402	-0.106752173	-0.06537145494	1.282252255	-0.9853489297	-1.060157402	0.4363356521	-0.8343901751	-0.4722856158	0.2603570965	-0.5913436666	-0.3472668777	-0.5026978258	0.4714546333	0.7789339882	-0.6984725268	0.3867834837	-0.6160744949	1.373948048	-0.2094047577	0.3500625976	0.9916316614	1.529842666	0.01704015299	-0.8734313118	-1.719607975	-1.807315276	1.252480963	0.9749537568	-0.09386878667	0.8759853059	-0.32516727	-0.03254937908	-0.4588757365	-1.862030918	-0.3810079303	-0.9587147269	-1.089836008	0.1920502684	-0.03371287935	0.06366540315	-0.7677227122	1.581491659	-1.265745943	0.6529873292	-0.02468374806	0.2402072772	-0.5318173311	-0.1645820321	-0.31796425	-0.5549792984	-0.4033322578	0.564254817	-1.433186602	0.3910431497	1.291626165	-1.58055374	0.63940533	-0.8480819086	-1.973891831	0.6063967123	-0.03638594001	-0.1366246002
-2.173235981	-0.1004458785	0.4503389616	0.4149281801	-0.3912997675	-1.152452593	-0.8485618778	0.967234377	-0.3296459815	0.1282598756	-0.1398909697	-1.185517797	-1.857574435	0.3948002903	0.8660272631	-0.1273572028	-0.5980876641	0.4370766781	-0.1137866942	-0.4639301584	-0.1922327142	-0.6744252862	0.2423405768	-0.8574950394	-0.299139878	-0.2408071204	-0.787651578	0.02689822413	1.005317841	-1.053734546	-0.9109042212	0.368199702	-1.114446498	1.331832045	0.6415211804	-0.5006568587	0.03111072424	-1.199064963	1.065359899	0.9349839322	-1.11141278	1.858577949	-0.448046384	1.502437003	0.7082279227	1.42494654	-0.03133908252	1.75664081	0.3318509329	-0.6643872263	-1.847962679	0.01188049543	0.2055330488	1.000560516	0.3276708173	0.7332965439	-0.5782612418	0.3332163399	-1.197431475	-1.741750095	-0.3318250681	0.06827431468	-0.470262508	0.6461803521	-0.07597148295	-0.3410848788	-0.894637685	0.9664601426	-1.697957381	0.6589261141	-1.025773139	1.334299529	-1.556888927	-0.1773686921	0.2360631834	-0.1161089477	0.3899532057	0.2185432218	-1.436608636	1.361493923	1.309175924	-0.7489383131	0.3651474202	-0.2085290158	-2.077006248	0.1135677578	-0.6630596993	1.029827447
-2.213139062	-0.190393366	0.4621183563	0.4332810764	-0.8769964415	-0.978017574	-0.819450289	0.3284645203	-0.8081322777	-0.1433218819	-0.2337990353	0.480651998	-1.703025745	0.3677339082	0.04244818274	-0.08474627648	-0.8112466813	2.272802172	-1.228135274	-0.2545618343	-0.2410452732	-0.5202730845	-0.2328317656	-1.834973528	0.4648798407	0.09903606383	-0.9178348757	-0.6634487387	-0.03638371113	-1.716797462	-1.594214846	0.3054427947	-0.1954975082	0.04275799715	0.5248195008	-1.506980129	0.2046121313	0.6024655819	0.8288823654	1.002937736	-1.273283844	1.887120157	-0.5402984971	1.079259184	1.050279701	0.6351324084	-0.5722567878	0.5722966931	0.5384603106	-1.015115498	-1.56317074	0.9597711601	0.9807632513	0.2500554372	0.3910775192	1.054148577	-0.6961237218	0.4156999631	-1.582213996	-0.8013609892	-0.1772376106	-0.5835860686	0.2501288716	0.7544198981	0.4043076422	-1.0709106	-0.318954634	0.1147407804	-1.594548012	-0.03806022691	0.2841868304	1.69945825	-0.2830075807	0.05030706693	0.3579533163	0.1598554182	0.6153804796	0.2300930562	-1.511891696	1.84002854	0.1075538359	-1.186960214	0.1601088173	-0.3612126861	-1.498225178	0.3659368757	-0.04987420953	0.1418859989
-2.001526184	-0.1184352761	0.455183462	0.1349599385	-0.59543169	-0.3884063227	-0.5095846082	0.6070242641	-0.6737871523	-0.04116652111	-0.4475575335	1.408006522	-2.037219437	0.3124279683	-0.2052020039	0.07981356391	-1.173579957	0.6472003524	-1.088082523	-0.238005248	-0.2817541156	-0.5456267334	0.2695608178	-1.925988269	0.1600954277	-0.1395616228	-1.019641275	-0.5562905985	-0.1064374739	-1.863820434	1.644071074	-0.306445484	0.5850276612	1.124716829	0.6875328487	-0.4715725004	0.8059097687	-0.8996737291	0.3953766659	0.6178879587	1.161897396	1.850792016	0.700368996	0.6375086042	1.435613802	-0.0003450498931	0.5106338698	1.614032378	1.660660756	-0.9139230681	-1.301250604	0.01158794787	0.742660683	-0.2591615869	-0.4146516367	-0.2181508096	-1.029561629	1.021429925	-1.354056887	-0.4777974504	-0.6514601019	-0.1000780418	1.218044745	0.8490358735	-1.183642971	-1.379993176	-0.699158304	0.8496284789	-1.713813301	0.4112195036	-1.48676836	0.636217151	-0.3996152654	-0.5597246474	-0.7345435471	0.1826770621	0.3627374627	-0.0653321179	-1.251027317	1.847007028	-0.2997950863	-0.7898730453	0.5395464271	-0.0136790254	-1.260854327	0.8348953587	-0.8398706849	0.4525745547
-1.220692482	-0.1724871436	0.5122615428	0.6288973799	-1.064129174	1.007586119	-0.8738680091	-0.4296239172	-1.043660644	-0.7369085669	-0.3865058364	0.5824943627	-1.242769548	0.9793979577	-0.8590094755	0.06834439118	-0.9028439874	0.4772020501	-0.6893159565	-0.3057824456	-0.4125790672	-0.4404212767	0.8900807849	-1.292973834	1.443658451	0.3185594537	-1.466851963	0.4032357162	-0.1658104504	-1.372355694	1.633645063	-0.1173893691	0.6787855549	0.1445643767	0.3939554795	0.139299503	1.348508779	0.8433359529	1.299782813	0.4192308753	1.828951792	1.212889277	1.991617718	0.5136372677	2.095956337	0.03477914971	0.2547486213	0.4437745937	0.2142824111	-1.528629146	-0.6120106122	0.7893270006	-0.4282122157	-0.11010424	0.4390458497	-0.1170437746	-0.7691986883	1.073694846	-0.2263638442	-0.7357494403	1.093522942	-0.4812035453	-0.4680556259	2.121246992	-0.798145035	-0.6603090914	0.03662913602	1.124853837	-0.9878652962	1.01650216	1.257362524	-1.393612246	0.1019491564	-0.5899038135	0.00640494361	-0.732515018	0.9055274033	1.003240662	-1.065135754	2.593442691	-1.284368755	-0.3802237254	0.08363321317	-0.594585008	-1.415527775	0.315459229	-0.4559441694	-0.1065044352
