melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080
-0.6185310962	-0.7272377004	-1.037561805	1.89578491	1.257926922	1.197480736	-0.07885731084	-1.105273978	0.4868190908	-1.90062204	-0.3626283306	-1.717535515	1.305322559	-0.6687480946	1.303224201	-3.097019621	2.009888162	-0.3898558064	0.8660606941	-2.348961073	-1.742427904	-2.674590486	-1.38026659	-2.211068876	-1.209632047	-3.992284165	-0.5116019321	-0.9699618056	-1.204998565	-0.8045961438	1.105313991	-2.047045214	-0.7302226469	3.059744178	-2.063289412	-0.1540099437	0.8018405022	4.812608089	-1.19234622	-2.948557075	3.629775879	0.07652282177	-0.6565274774	2.966147449	-1.428218751	-4.059468238	-0.1883308556	0.2247918239	0.4433907304	-0.5593043381	-1.687931279	0.2197681907	0.09246241241	2.006845507	-1.290192433	1.994459622	2.399840326	-2.368693695	3.966998629	-0.7356590543	0.8407849392	2.318556646	-0.7760650821	-2.94058127	0.08436338069	0.3533197808	-2.076772051	-1.304637548	-1.673017381	0.0195238736	-1.589421347	-0.4048968242	-1.78626017	-1.25707834	-0.2227264264	-0.3260164975	-1.410560399	-0.1562056338	-1.067645433	0.3695883571	-0.5786610114
-0.9090005607	-0.107711119	-0.8419480039	2.029852867	0.4777730319	1.602177982	-0.5226690732	-1.867461436	1.048650473	-1.252386253	-0.6482159706	-1.860260829	-0.01580449419	-0.3442655886	1.639839251	-2.140824957	0.7810103231	-0.6147411891	0.2158581305	-2.0771979	-2.022229851	0.371308405	-1.364002939	-0.9568085324	-0.6578118694	-2.917587704	-0.4085020483	-0.0801181849	-2.480293689	-0.3247636296	0.816493278	-1.40032714	-0.1563006285	1.90661051	-2.388535705	-0.1097872314	0.9446279651	2.261332378	-0.5346960378	-2.228215954	2.889342206	-0.3198966723	-0.3065763745	2.463310293	-0.4128349212	-3.116645178	-0.05241360855	-0.2693020208	-0.1801695308	-0.7219564005	-2.445070252	0.3906339404	-0.05508893064	0.7486681937	-1.383503648	0.6326629174	2.502821099	-1.551308962	3.708578804	-1.422326629	1.950315041	2.245309002	0.1611195462	-1.507681722	1.044750054	-0.8954299037	-0.6674150816	-0.3386941171	-0.6093546942	0.5411487113	-0.6175167837	0.788508983	-1.469348509	-0.4159809224	0.5012985445	-0.600668859	-0.9877022627	0.4005665087	-0.936341877	-0.1190914946	-0.5732769113
-0.2160299765	-0.3996617804	-0.4658487159	2.017821167	0.3895390395	0.390474673	0.1864994205	-1.847224031	0.6248658527	0.2427147857	-0.9369946664	-0.8521800983	-0.5974938025	-0.3987686154	1.210311112	0.6832991959	1.543561961	-0.875937368	0.3706465078	-0.2315507819	-1.852321753	1.591743944	-0.7775089343	-0.4486381146	-1.693334905	-1.403687859	1.294929914	-0.6687681788	-2.533390414	0.298788663	0.8129542506	-0.08006880044	0.3635267392	0.3416730182	-2.079599449	0.2295634185	0.3136272235	1.14211753	-0.7675204105	-0.02599786385	2.902498839	-1.310550174	-1.602309168	2.112801889	0.2368972436	-1.163093583	-0.2847005013	0.1777995	-0.2101875549	-0.2477022406	-2.060616067	0.2845087948	0.09221646241	0.1342417403	-0.6327791178	0.5122004925	2.045674255	-0.7811794977	3.739961356	-1.031100866	0.8825720937	1.654895037	-0.4552634211	-1.443319931	0.4991254504	0.1282303323	-0.07710695235	0.7565219452	-1.476928474	1.141685246	0.648704548	1.076654315	-1.122240624	1.461698782	0.8286486334	-0.4195184774	-0.6158088606	1.704915969	-0.3040581562	0.2013921044	-0.9869713531
-0.1239288442	-0.4230626083	-0.2524988312	1.692826	1.200202644	1.562190955	-0.3765946161	-1.605740136	0.6763397022	0.7743338439	-0.8052502001	0.1863091268	1.074642886	-0.7643136887	0.1661061357	0.8029979253	1.020106589	-0.8919893882	-0.2227725929	1.002627533	-1.875256402	1.473384794	-1.011118125	-0.1838474276	-1.523926491	-0.07858146626	1.477305677	-1.188428703	-2.039099727	0.4218287142	1.032758053	0.04007189155	0.799608188	-0.3406199517	-0.06487633885	-1.18856947	0.702948047	1.039883375	-1.322212046	0.2698928267	2.25842346	-1.348497376	0.5957811843	2.012184992	0.5971776312	0.2017185727	0.3070715256	-0.5841328224	0.7054794117	0.2176408504	-2.161970905	-1.053828164	-0.302413193	-0.05643928217	0.2997657633	0.8680095336	1.263161249	-0.8829179557	3.229155847	-1.158399985	1.759149143	0.3896087707	0.864218044	-0.5745039877	-0.2157490163	-0.3819553133	0.2142917767	0.06789093563	-0.4832108236	1.755685156	0.1575476156	0.2379563086	-0.6753571389	2.165268458	0.5628314028	0.4286083742	-0.355017039	-0.07227685355	0.250002941	-0.8934159785	-0.2720036937
-0.3080337426	1.26261444	-1.007082923	-0.7134472837	0.8921891262	-0.8577479887	-0.5534643391	-1.905779231	0.8628483148	0.3473402672	0.2264521582	-0.4732639672	2.409159944	-0.7786819515	-1.258796404	0.1013991019	1.589904234	-0.9501020637	-0.5809558179	1.614876612	-0.93591237	0.5575685507	-1.946640129	-0.5858241083	-2.191429181	-0.1458175587	-0.2186590331	-0.9188442023	-2.708766578	-0.5312323137	1.100495101	0.3027009791	0.3909618901	-1.253280563	-0.7768726549	1.91508751	-0.5457318365	0.07663146522	0.2524687075	0.9223989711	-0.1402991726	-0.3616711996	2.326807614	1.648770565	0.2623174501	0.07278636674	0.7581901813	-1.01988036	-0.2458461592	-0.1343543223	-2.798054412	-1.865672994	-0.6703590058	-0.02714197107	0.495023144	-0.1898282719	1.590443948	-0.8963107955	2.077674854	-1.777701372	2.11400879	0.3887025187	3.309563552	0.1498382523	2.231133522	0.1329032612	0.7407629067	0.9686405267	-0.6959575929	0.4498339823	-0.8459222514	-0.9963510206	1.318109786	2.359156749	0.9697819213	-0.06565103482	-0.3704768714	-1.267359016	0.5461657286	-0.4846217394	0.438661577
-0.490872475	-0.5410688969	-0.9196344589	-1.151409233	0.7540912676	-1.205113997	-0.9104333634	-2.08175086	-1.573933586	-0.4731675417	0.53516676	-1.626759335	0.5217013947	-0.3971464357	-1.239219718	-0.8914164967	0.466041608	0.2065054798	-0.5159159665	1.269947212	-1.347333024	0.4126923626	-1.302126544	-0.452827653	-0.5728683351	-1.050306129	0.08540121685	0.6392086016	-2.354462782	-0.8100541184	-0.02511848727	0.1426394825	-0.4697162385	-1.306361219	0.9918317291	0.3170636195	-0.2974158634	0.3415014561	0.4064234981	-0.009150657764	0.5831581777	1.502618279	0.8734134893	1.342100821	-1.744368119	-0.2593934453	1.608699115	-2.255032179	-0.2749968945	0.7692520876	-3.452622121	-1.859903714	-1.609491909	-0.334623069	-0.107334368	-0.2114098994	0.5282540239	-1.506824502	0.7356162992	-1.396318952	-1.153274827	0.1997806057	3.292395401	0.5889801862	0.7586855614	0.8406764642	0.4838176063	0.5062919051	2.137213763	1.023734764	-1.197124904	0.7945636617	1.998301025	0.836193015	-0.2175283708	-0.9473229712	-1.086852494	-1.314828001	0.697429022	-0.247908437	0.499188183
-0.8288728983	-1.005874326	-0.5466693308	-1.054523973	0.2966202223	-1.218898345	-0.8568210729	-2.414516703	-1.338815536	-0.2665255564	1.176582493	-1.831366098	-0.6829283502	0.4108288862	-1.363174458	-0.8825592588	-0.2278386967	0.06134575548	-1.24577664	0.6171292289	-0.2731003433	0.8574082804	-1.046496647	-0.9932653829	-2.028650018	-1.296093342	0.02545476819	0.3931498478	-3.04843196	-0.5696096657	-0.5928477178	0.02446074268	-0.957003012	-1.042865198	-1.083410633	1.773835241	-0.9354999596	0.6035053044	-0.06374139924	0.2041321563	-0.02410121281	1.005997585	-0.1014209434	0.8206971519	-0.9462592312	0.4590821277	1.487729682	-0.7519960126	-1.330998182	0.6422676721	-2.219397662	-1.714815412	-1.285378279	-0.7438601833	-0.5794892552	0.2533010397	2.494511568	-0.9388029068	-0.155926022	-2.103586334	-1.459595597	0.8658754766	0.4307769584	3.124817823	0.8491269695	0.3260791188	0.2424612364	-0.7266152686	0.8040713294	0.4033523514	-0.3183660584	-0.1871290684	0.1566080873	0.1329394819	-0.2535878998	-1.883566815	-0.6211121295	-1.674040265	0.5309467462	-1.303130716	-0.3571745871
-1.011965167	0.4697215895	-0.5085046366	-1.434581443	-0.06264411116	-1.072655669	-1.132614068	-2.27141679	-1.625906451	0.08584969397	0.9660920973	-1.454839768	-0.5813094311	0.9579029933	-0.3277329846	0.4647131184	1.166533923	0.8436334344	-2.039483174	-0.06965842186	-0.7803998804	-0.9364228838	-0.9879133899	-0.8376198713	-1.92820511	-0.3934657829	0.3503491071	-1.283634627	-3.078723811	-1.19879677	0.1795752335	-0.4543315991	-1.515799774	-0.5741817852	-1.670290478	1.905464038	-2.07318554	1.718239863	2.216862254	0.4361810278	-0.5111951355	-0.1010987664	-0.8616273294	0.7610481324	-0.8347418553	0.3280836936	2.59864053	0.01379156456	-0.7009852094	-0.6225836273	-2.769725978	-1.62196963	-0.6409266085	-0.4860042917	-0.0691551163	1.182054112	2.548865293	-0.460010163	-0.7444849709	-2.287506515	-0.4875168599	1.187667237	-0.1971887151	1.002026293	0.5490345949	0.7618504311	-0.05019308723	0.357157036	-1.104508221	0.3724286142	0.4686126262	0.3039613603	-0.6499757852	-0.1167159431	-1.337373146	-1.519632769	-0.638658812	1.239908563	0.6716336516	-0.2005013583	0.930959214
-0.8208236154	1.1976564	-0.7215367741	-1.04360662	0.5913856051	-1.284431351	-1.30750923	-2.512503877	-1.004231324	-0.1527061512	0.7464047621	-1.268414655	-0.4769963288	0.302942964	0.1416355447	0.9125556919	1.418723013	0.8626837673	-1.059960963	-0.8052139996	-1.717674788	-0.560230127	-0.7356296969	-0.5180497292	-1.53441851	-0.3392667459	0.008628056268	-1.398150037	-3.107265531	-0.182927925	-0.3142804212	0.009162923161	-1.612713915	-0.8205518639	0.637932326	1.50306635	-1.162699898	1.292324235	2.262448591	-0.6185784466	0.870852333	0.2103539133	-0.1805048024	0.6529018378	-0.2728002235	0.8453951039	1.381934688	-1.052125861	-0.8609738277	-0.4119303953	-3.791964281	-1.755328394	-1.495885589	-0.4103712177	0.182942185	1.281000213	3.025751538	-0.2920500626	-1.440313478	-2.043781684	0.1561100239	1.658795648	1.543277938	0.261190325	-1.959636084	1.868916526	-0.5199252914	1.512695861	-0.07878562415	0.9750300761	1.042435857	0.4271974716	-1.15021168	-0.236693734	-1.644360249	-1.277202614	-1.166048002	0.7241434425	-1.307234626	-0.7842046822	-0.3029735154
-1.260782754	0.1744078208	-0.4744142529	-0.998318947	0.8731448494	-0.4753048898	-0.7912530625	-2.067372347	-1.390233954	0.2189295927	1.146945577	-0.6051418629	0.848038738	0.3097325636	-2.174125332	1.629047047	1.167286168	0.5351918363	-1.208482758	-0.6468592595	-1.477779655	-0.8851437337	-1.160965433	-0.382768768	-1.25537649	0.9873455074	-1.005096989	-1.472739762	-2.509891256	0.02535057765	0.2155262045	0.09875207412	-0.7137341237	-0.6284887708	-0.6479244077	2.705690113	-1.166974802	1.088047546	1.182070389	-0.2091816448	0.5271589365	0.1894290322	-0.07212544719	0.744919251	1.08461567	1.640098926	1.459823799	-1.326412466	-0.4271479349	-1.673174323	-3.671248255	-1.557558345	-1.11963693	0.4486925953	0.4194272503	1.130596417	3.276716828	-0.6488818534	-2.060350601	-2.678198433	-0.07812947299	1.100560624	2.211512404	0.2926256524	1.47708563	1.236225242	0.05768757733	2.728162632	-0.7946846587	-0.07343949967	1.217651946	0.3282940404	0.3796308668	-0.6475428551	-1.245990914	-0.4819713733	-0.6592919366	0.854801649	0.1403210438	-1.066509841	0.324033029
