melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151	melodic_152	melodic_153	melodic_154	melodic_155	melodic_156	melodic_157	melodic_158	melodic_159	melodic_160
-1.381146741	0.5915444397	-0.6779652405	1.806712345	-0.7680257573	-0.6778610798	-0.8148602249	2.475417555	-1.123998693	-2.38361134	-0.3530679035	-1.448211311	0.2582351293	-1.945932881	-0.56856767	-0.2822616883	-0.8877722447	4.136780196	-1.883038518	-2.323299072	1.341438813	0.2808432055	2.290918131	1.261496324	1.512412925	1.566392178	-2.334173564	-1.243274409	-0.292817134	0.3021487467	-0.9890424064	2.163371556	1.065321586	1.929225384	-3.081955939	-0.6175781826	-0.0109132061	-1.436788459	-0.4078737682	-0.2984345235	0.733409141	-0.1003882556	-3.000396028	0.7117257015	0.06697770852	-1.051981994	0.2261663885	-2.536766934	-0.8360300311	-3.438250118	2.671492151	-2.366706579	3.540113519	1.125779758	1.520655794	0.4555137574	-1.654508662	1.980462784	-0.9029316672	-2.493368257	-1.237257291	-0.4456647772	-1.726479786	0.2642269563	0.222745683	-0.406244321	1.529749693	-3.001223373	0.262090765	2.241488621	-0.002005452723	-0.9824814082	1.133277315	1.15661746	-0.5058318495	-4.672284742	1.169506756	-1.731687566	-0.7025068632	-1.720616714	-2.148026612	-0.6203346007	0.2608915762	-0.634192214	-0.5997720508	0.2986392682	-1.46394282	0.006842869578	1.343106035	1.732251692	-2.249761887	0.5246753961	-1.37199732	0.1478033268	-1.344500711	-0.03128178313	1.154149511	0.6116578309	-1.903767004	-1.748447941	-0.4545993345	-0.5653166981	-3.784899081	1.526774854	-1.842890997	2.201982871	-2.13902699	-1.489227289	0.4911334397	-0.4239613533	-0.4160334024	-0.2460918791	0.1931586792	0.1623760195	2.22817998	-0.5692947251	-0.5271726804	3.220681377	-0.377056126	1.547664475	-1.05082475	0.1310863964	0.04181330825	-0.6279855648	-1.659552047	0.048042185	0.5406231909	0.5315392452	-0.7610254465	0.2787850759	0.857808166	3.169064392	-0.5394264308	-1.095716723	-0.7059845439	-0.5899187883	-0.2478538938	-0.9555043876	0.3103909784	-1.910808827	0.1210170445	-0.5635892782	-0.8156733428	-1.823846892	-0.529350058	-1.148172859	-0.7871297164	1.502915725	-0.8313126844	1.126537692	-0.573049466	-0.8094344634	-0.06311178792	-0.7785810064	-1.04542977	-0.3212962211	0.3464557969	-0.1711731934	-0.30038458	-1.218045344	1.510089705
-1.927342189	0.2151198685	-0.6644091789	0.5858403057	-0.691397675	-0.5144419439	-0.7697283752	1.797341519	-0.8530944242	-2.799843436	-0.4867552138	-1.2614509	0.05167664492	-2.476251881	-1.087798364	-1.83808182	-0.003315749333	1.827990711	-1.681240504	-1.764897837	1.495987407	0.7804001099	1.446303122	0.8145715223	2.265339825	2.083619204	-2.460420192	-0.6699318034	-0.601308777	0.284866284	-1.004031938	2.196817849	0.3466706652	0.9562477227	-2.141838311	0.0155231144	-0.02316243006	-1.464443317	-1.010597533	-0.8503145587	-0.583613788	-0.8950013139	-2.203397148	0.4706657476	-0.6724624037	-0.6179051366	-0.04239514945	-1.172675001	-0.5581201939	-2.518363373	2.106999007	-0.7972545144	3.137790775	1.328047213	1.370482388	0.3930509269	-2.049891175	0.6249835451	-0.5703578198	-0.7355969428	-0.7961490714	-0.5115879999	-1.444105604	-0.3635856388	-2.037559875	-0.0728553012	2.093998228	-2.399325812	-0.9145823599	2.152468309	0.05933485795	-0.5169305605	1.659802105	1.604500178	-0.531098657	-3.280269532	1.351514258	-1.081456177	0.6787807875	-0.312040064	-1.700203287	0.5505788399	-0.3427949153	-0.4346135995	-0.643951572	0.5358541169	-0.6789196119	0.3631091628	0.8256573449	1.310367069	-1.981836432	0.2042062693	-0.9377478992	0.3535831832	-1.212181699	-0.2038362501	-0.08196710694	0.6877803439	-2.9175844	-0.9975389877	1.44472352	-0.4921122718	-0.8340550855	1.815412844	-1.084416284	2.616865456	0.428643291	-0.8008990859	1.051084063	-1.299894599	-0.4557085459	0.5674262041	-0.2722932808	0.4671331837	0.8480503636	0.4790671088	0.2399575308	2.218505031	-0.3342040904	0.6012553489	-0.7886462155	-0.2191248531	-0.2075239461	-0.8446815132	-1.61405088	0.06055173173	1.228459578	0.3012985738	0.3643692274	0.8231749837	0.9968016827	1.587057537	0.2158753994	0.1406306768	-0.4875373878	0.037799947	-0.5971979682	-1.681542697	-0.2065691642	-1.179695239	-0.8345523208	-0.13210404	0.2756947542	-1.336665742	-0.6231589108	-0.0880437	0.2000260542	0.4635706269	0.01816942602	0.5020835191	-1.004123967	0.1971892277	0.432852614	0.1133397869	-0.1903344277	0.1090496832	1.764834239	0.08581157856	0.2430858882	0.6535506314	1.577994069
-1.765625203	0.6106692133	-0.2746493579	0.0847289437	-0.2810111697	-0.6421205221	-0.8379514047	1.232212441	-1.356093789	-2.69187609	-0.8343799604	-0.769287278	1.116884247	-2.504207592	-1.258261355	-0.8802838216	-0.2923023076	0.821451117	-0.8072750859	-0.7385639327	0.1682278149	0.487967909	-0.3187495777	0.8681461805	2.424175397	2.246053368	-0.7697325438	-0.2794903304	-0.2649347659	0.7327396923	-1.450204481	1.360437262	0.4742361015	0.8973545155	0.6796169844	0.5259923038	0.816450914	-2.029710061	-0.3544398725	0.6649282578	0.03330075656	-0.8820822993	-0.06750025334	0.3299383787	-0.7312890142	0.003032271772	1.246333767	-1.063923531	-0.8613186654	-1.093427303	-0.05370310086	-0.326038904	3.409703932	2.005484749	1.761967424	0.3018657584	-1.028082671	0.06087803202	-1.673564883	-0.02553082686	0.1946834522	0.1692556045	-0.6274648414	-0.9022208033	-2.322326813	-0.5876130219	2.681300862	-0.8062661467	-1.793038735	1.490031582	0.3071780581	-0.4168420396	1.962080554	2.458816655	0.5801377593	-0.8817124867	0.8830059473	-0.780386196	2.621698235	0.9270471338	-0.53110502	1.123855432	0.2646040951	1.363114693	-0.3680391705	-0.2297324749	-0.1727383942	0.4816600787	-0.4307648961	1.302448075	-0.3314214968	0.6433414334	-0.7580531382	0.2879806046	-0.9568540514	0.4923422825	-0.4309746098	0.1555608431	-3.714583197	-0.662171811	0.5077275777	-0.6382240768	-0.1969147428	2.138690368	0.1974152803	2.500739288	1.238721045	-0.07371406543	1.434121756	-0.9296775736	-1.213629134	0.8299606866	-0.5903719525	0.4731607086	-0.264295127	-1.508125722	0.8530684011	2.198562204	-0.4593908696	1.787080571	0.09481712956	0.4602268516	-0.3609852989	-0.009249425925	-1.396670133	0.4533613273	2.130162626	0.4236399677	-0.2826886708	1.120949449	-0.02530863419	0.5417865975	1.013175381	0.01044275157	-0.3601127039	1.642726736	0.3506450358	1.015720457	-0.7308676685	-1.190666299	-0.8950912763	0.4965271768	0.4068801423	-1.928908815	-1.101314362	1.040181145	0.2717049233	-1.116648552	0.7812823315	0.9695352253	-0.2953522522	0.04207957293	0.4209213506	0.7996879539	0.3675056017	0.05072572777	0.5192777756	1.231850587	0.4696179995	1.576221654	0.6579963971
-1.5181131	0.6563541148	-0.1074147288	0.8728329409	-0.2046414856	-1.178058066	-0.7226275732	0.8440655626	-1.207376366	-2.599750425	-1.071361707	-0.8903513684	0.4144703022	-1.790439206	-1.200707557	-0.828997006	-0.5354909987	1.133601311	-0.1314382768	0.4080303142	1.427437628	0.7918230547	0.5942479947	0.4478196945	1.910874577	1.044101587	0.8536613277	0.1841222235	-0.380475038	0.7182207107	1.577898399	1.395550679	0.78877084	0.8747032175	0.7771652589	-0.5316064319	1.029860381	-1.679373668	0.2404958168	-0.623347059	-0.008892456233	-0.7968372873	0.4827056931	-0.1943996165	-0.5390617725	0.2638917194	1.892772857	1.24980249	0.1998470966	0.1354839178	-1.413563462	-0.2542038138	2.360936557	1.890057495	2.005553544	0.02836855727	0.4093900083	0.2848916521	0.4672134029	-0.4079708016	-1.200408661	-0.003182100205	0.0853106234	-0.3019374638	-2.461005576	-0.1623294015	2.794804306	0.5042811534	-0.6438399809	1.851625254	0.9979537371	-0.0263167345	1.530479556	2.752132278	1.323000514	0.07304399236	1.478378688	-0.4467638545	3.187289007	1.173796886	-0.1398969149	0.7808016076	-0.2722508241	1.043269449	0.07548532117	-0.1439189748	-0.4169659437	0.5658008803	0.2358522069	1.421199457	0.07642725429	1.485245714	-1.050495859	-0.3407143463	-0.720566818	0.336024495	0.8010931741	-1.017714696	-2.276712727	-0.7051127787	0.03510329782	-0.8007207632	-0.6141838628	0.3401113331	-0.3375849998	2.756609845	1.82538026	0.3096154023	-0.4811343001	-1.570771517	-1.555187621	0.7832140762	-0.9573668881	-0.3462698368	1.678840063	-1.788618647	-0.1185430771	1.301916826	0.1765020962	1.313921503	-0.4342029874	0.9710570821	-0.003666092667	0.228250386	-0.6121894834	0.3900806508	1.820507457	0.4657080614	1.30959862	1.097873262	-0.5598021762	0.3138015939	0.1639809158	-0.3103833809	-1.347225125	1.40991427	0.0646916296	1.079187698	-0.8144110528	-0.6934182285	-2.08986757	-1.991012151	0.9847767931	-0.5188543082	-1.92721033	0.4410203752	-0.8974720322	-1.054870971	-0.453015133	0.3046824886	-0.07346837602	-0.1870343641	-1.740235145	0.9434602542	-0.6060519533	-0.2572418323	-0.9858073264	0.9379668984	0.04351506773	1.168762878	0.4098863406
-1.706932244	1.123154018	-0.2681162607	0.7941828296	-0.5154940211	-0.2483530638	-0.04095940718	0.6172386997	0.2611613385	-1.868770176	-0.6318125005	-1.025569514	0.5375694519	-2.172359001	-1.884626795	-1.971267587	1.516538878	0.9287251412	-1.265665153	-0.04300126659	-0.8622189138	0.8257047841	1.869187835	-0.1001123637	2.156134349	-0.8982974827	1.003852223	-0.1589871172	-0.7110783381	-0.4848596528	2.941918211	-0.8019219782	0.3551178805	0.5699808276	-0.1122885304	2.483250577	-0.02829804152	-1.15735418	-0.1133024939	-0.7188646134	-0.5610374495	-1.15358836	0.8668205379	-0.9992955657	-0.6017311061	-0.3586629049	-0.08043458139	-0.9388189111	2.034048284	-0.2354635969	-2.632347021	-1.037748837	1.572165469	1.763771037	-0.3549099213	0.03631227011	1.0815017	0.3687580866	1.945435699	-1.001991822	-2.002178929	0.7174195805	0.5402895547	-0.7290122886	-2.688252848	0.5061255815	1.857923305	0.7672140784	0.07960884744	1.959806959	1.253252947	0.243231166	1.74558604	1.600158585	0.4319677985	-0.01595443042	0.8156067033	1.351899581	2.37813251	0.3295204768	-0.2973504802	0.5004690787	0.04470988705	1.160555525	0.7750523538	-0.2558576657	1.221880735	0.9431713252	-0.0253886663	0.01225037574	-0.2589744047	0.324591108	-0.4069227951	-0.1865300366	-1.332096528	0.05547482073	2.569280874	-1.341989637	-0.6159725876	0.4162460635	1.500150094	-0.2836522871	-0.3820706332	0.6558644176	0.3378391329	2.364783692	0.6507935285	0.2143158196	-0.05300051798	-1.318427891	-1.64287599	-0.01804096841	0.1082191109	-0.9278776269	2.464176388	-0.6846322666	0.3594999801	1.435183975	0.002193816072	-0.08010875403	-0.2669455131	0.9907732717	-0.577843305	1.568814163	-0.8839059096	-0.4591240339	1.760973081	-0.8230228914	-1.176401516	0.7775070991	1.096669183	-0.8938700074	-0.9784760954	-0.02987690473	-0.7714953608	-0.01496570124	0.6966820677	0.142446519	-0.09908391106	-0.2164068324	-1.549163979	-2.525591479	0.5843795011	0.5278177756	-1.10093918	-0.04583574122	-0.3598513887	-0.422456647	2.336369401	2.361123011	-2.871110451	0.5663354516	-3.151727693	2.989137205	-0.2403218698	-1.654726306	-0.7150594172	-0.09348303727	0.6687937611	-0.7329566005	-0.7714442256
-1.906081148	0.5157246605	-0.09587240765	0.8515592657	-1.252590588	-1.415175519	0.3561157847	0.09966253931	1.257075428	-1.984968084	0.5142495814	-1.534405636	-0.5419574359	-1.693102847	-1.468587444	-0.7198169623	-1.087859674	0.932208762	-1.865704511	-0.8179388364	-1.406429902	-1.101957122	0.3788192865	-0.6572368951	1.231584395	-1.763458917	0.5484007567	-1.828443995	-1.436017746	-0.5288066599	0.5953227268	-0.8212787441	1.186641485	0.4991452223	-0.9796989689	0.5093108378	-0.4976528681	-0.1322386613	0.1216554836	-1.2817583	-0.1065383249	-1.451092656	-0.135040073	-2.352471341	-0.4401035071	-0.5398604754	-0.1344422517	1.090568522	1.262839585	-0.7732390874	-1.955174506	-0.7186736231	1.342430855	0.464953561	-0.7504599054	0.5592037223	-0.0408345832	0.5003148566	0.5589922679	-1.341400308	-0.3968942694	1.000286131	-0.2657236737	0.1159556434	-2.299878696	1.510972996	0.8080915581	1.875273582	-0.458942086	1.937443866	0.6842410436	0.04050456956	1.363775949	0.750497963	-0.7581783024	-0.1167024085	-0.754571646	2.336632392	0.9673557457	-0.1985698819	-0.8927985535	0.5480832847	0.20639283	1.188046186	-0.3732457579	-0.5518628141	2.43467713	0.343656997	0.2517341666	-0.4621863835	-0.7094851776	0.7176129219	3.009787238	-1.481347485	-1.875354576	-0.7018762639	2.656053273	-1.313196247	-0.8490480996	-0.01928309945	-0.831286916	-0.546791507	-1.491670164	0.184202816	1.58906827	1.134376452	0.4539688366	1.044075113	0.1118099225	-3.198285057	-1.535201436	0.1881940928	0.09442283581	0.2730385452	0.665784865	2.008701423	0.1690092796	1.848538376	0.1149722421	1.056921469	-0.7679415464	-0.2872426115	-0.9891740633	1.336438589	-1.502073425	-0.744421299	1.067240458	0.005131103887	-0.732248486	-0.118649315	0.9077504614	-0.08404376	-1.388535061	-0.9596160719	1.0417108	-0.7437379581	-0.1618300723	-0.8621316913	-0.2442702235	-0.785341345	-0.6074339607	-2.193784038	-0.653914545	0.4224227331	1.009217377	-0.402186154	0.02009709796	-1.390408571	0.5169916601	1.856607526	-1.078734997	-0.7303774302	-1.777220145	0.6854624658	-0.2028916804	0.2426892232	-0.4052891597	-0.698617463	0.4382975054	0.2546343596	-1.217250302
-2.237143665	1.146798077	-0.7976785352	0.6316856371	-1.593051729	-1.19608026	1.041881974	-0.03496562405	2.030482814	-0.9884479127	0.433747755	-1.499901891	-0.4974202167	-2.100091692	-1.923480462	-2.723759005	-1.35660931	1.34662793	-1.856343697	-0.8020781113	-1.641172855	-0.9451705844	-1.242580918	-0.7641105386	2.760907752	-1.799705483	-0.2548134153	-1.81453263	-1.161165941	-1.02578675	-0.3260016944	-0.6841836533	0.3276268912	-0.1060223764	-1.462298975	2.530204305	-0.728689448	-1.122491546	0.1014569133	-1.13373535	0.3246752541	-1.998897953	-0.312657335	-0.7354079038	-0.5714851973	2.283002117	-0.2135954003	0.5211097542	-0.6546218833	-0.7431722142	-1.531443591	-1.595287552	0.04598590677	0.5961770974	-0.7380728588	0.621860301	0.02707322252	-0.2937630488	0.06242869443	-0.8801784576	0.7093553457	1.234675386	-0.1102568651	0.1022740185	-2.694275241	0.8851896076	0.1152468043	1.847260492	-0.7455974026	1.423393983	-0.1883561622	-1.453527946	1.977441846	0.2263466719	-1.353102588	0.3320578084	-1.490593559	0.775417254	0.3434273569	-0.2123510488	-0.1560354367	0.6434875197	-0.1187703897	0.3332923437	-0.3880604238	-0.007330660107	0.8348646984	-0.2252065126	1.272461841	-0.4061925002	-0.5571575167	0.5300957195	1.285352582	0.633907442	-1.550656326	-0.7248850881	1.158867928	-1.144702803	-1.665233877	-0.356314092	-0.4815169958	-0.4888052431	-1.016271355	-2.019064873	1.448977802	0.7217260352	0.4247969505	1.182587541	0.3161720379	-2.44908202	-1.200360653	1.126554157	0.6568465331	0.3525574963	0.2918943237	0.7672576446	1.073113396	0.5351201405	0.4083643119	0.566993067	-1.541411378	0.4968602999	-1.292412336	1.775325018	-1.219174155	-1.549167834	2.18423566	0.04148929057	-1.267883134	-0.3332666765	0.1633651934	-0.8392079677	0.9858028615	-0.2708359983	-1.028620343	0.1416291314	-0.5966893589	-0.8474769616	-1.353377525	-1.701953841	-0.8208323324	-1.543582787	0.2559037845	-0.6568689326	-1.792121656	0.4081647941	0.3575727764	-0.7825289682	0.5363648797	-0.3742110239	-1.242937182	-0.4537751088	-1.118513157	-0.0766965323	-1.184960184	0.549511614	-0.0935397197	-0.2945197805	0.1264739689	-1.542492117	-1.298257488
-2.199019632	1.184828874	-0.5486603195	0.694263153	-1.589743624	-0.1128950449	0.6427143329	0.4014819921	1.610914888	-1.600174071	0.2289475753	-1.628309846	0.1566513084	-2.217147847	-2.093496021	-2.329899196	0.1341290359	2.730506539	-1.617290545	-0.6331487133	-1.331093004	-1.209464505	-0.6492499977	-0.9512904523	3.012848576	-0.7906841266	-0.9857984811	-1.975554686	-0.6576758612	-2.000005201	-0.2341288822	-0.7875183067	0.2428414269	0.09429284871	0.01684048986	1.964226266	-0.7149889791	-1.43322958	0.6696178928	-0.7909333455	0.08482267304	-1.855830528	-0.2608155308	-0.5919706167	-0.3750283159	-0.2796536174	0.3560550645	-1.410029871	-0.4774685779	-0.1307676957	-1.244460328	-2.459831964	-0.8217088938	0.8963048338	-1.561243532	0.9244067412	-0.2085372305	0.02967626944	-0.7254981092	-0.5239004583	0.7711074967	1.306800689	0.7356126871	-0.4755646484	-2.440670199	1.654536789	-1.127403247	0.3528568892	-0.4906983592	1.681734969	-1.501772842	0.8688368646	1.899172465	0.498380893	-1.485770222	0.1931509833	-1.392367081	-0.005741600017	0.3128446931	0.5236024239	0.2075450522	1.204519377	0.6644981241	0.7300141056	0.2870947652	-0.3665865095	-0.8011287393	-1.480383734	0.2204916541	-0.3290168848	0.3676771813	0.4564108824	-2.483847449	-0.7801646548	-1.370123318	0.1850106293	1.042166735	-1.432330438	-1.615680402	0.02724720338	1.59279991	0.213267033	-1.918403341	-1.929814378	1.460265266	0.2900134294	0.1022893951	-1.477971817	0.5742973093	-1.578779372	-1.145398801	0.3795452806	0.3109895699	-0.5978241611	0.6155570168	1.056225911	0.6422925403	1.579816011	0.6952183783	0.752692253	-2.413434643	1.363712652	-1.835299279	1.936044416	-0.5945094506	0.3194699568	2.223276089	0.2461036088	-1.730155983	0.2297563832	0.2179165135	-1.674926683	2.697399213	0.8462823265	-1.829154531	0.537046035	1.447193449	-0.2785424442	-0.8728563204	-0.7563061657	-1.202685869	-0.7019169896	0.610121239	0.8924765955	-0.8497632562	-0.0806090316	0.8464508673	0.206650936	0.9740797268	-0.5576273446	-0.01114531427	-0.8329619961	0.3248115055	1.648225228	-0.09688133701	1.120044307	-1.010589943	0.3679060535	0.01091766744	-0.8300904052	-0.5433386193
-2.584259106	0.6010746586	-0.04945754374	0.9676214898	-1.718202933	-1.472844129	0.02656029774	0.8992772061	1.196465091	-2.199341322	0.7766081127	-1.565660242	0.934077214	-2.436052822	-2.091632867	-1.058377497	1.108016875	2.356565498	-0.895518647	-0.2631594943	-1.270231461	-1.279443433	0.01637162974	-1.522300986	3.368476191	0.2622196037	-1.862278503	-1.150012943	-1.310090046	-1.019681123	0.2875624153	-0.4471908011	0.5608475018	-0.6243088283	1.132151137	1.620719872	0.02424659048	-0.6717370579	0.4528727781	-0.9320113268	-0.7273797537	-0.1526367316	-0.4677169854	-1.421029719	-0.733639332	-0.8041343547	0.3285161083	1.106608356	0.7882772947	-0.2598237749	-0.6384179732	-1.388432515	0.1652275327	0.236380364	-0.5835415224	1.476996172	-1.22668905	1.267043865	-0.4118401324	0.8733331542	1.145086264	0.1359698299	0.9663350689	0.8559615335	-2.556539001	1.026445765	-2.069095079	-1.433176447	-0.5198592277	1.879184472	-2.109906805	2.092227672	2.393682938	1.342924516	-1.481808686	1.04359352	-1.233214007	1.328343894	0.8535726168	-0.3055460172	-0.3248374782	0.7912448834	-0.02123151505	1.694721393	-0.4643489464	-0.6028989285	-0.8482598578	-1.733884578	1.082439325	-0.2751914371	0.3997525541	1.212309855	-1.409984806	-3.304757306	-1.851978027	-0.3136392256	1.521263766	-2.043024203	-0.7925898765	0.1309185136	1.628053909	0.2163416348	-1.188683699	-0.01577760839	2.624012416	1.846659603	0.3106736612	-2.004920666	0.7134419147	-2.816451857	-0.5755456036	0.06071707384	0.2557700275	-0.1692204505	1.272080702	-1.096506906	1.67631583	1.495441321	-0.1690819804	0.9558814716	-1.87377655	0.585092661	-1.799779615	0.9244586251	-1.479560164	1.039021239	3.33590472	-0.5961106021	0.6887232525	0.2969870717	-0.02523941259	-1.565210074	1.57543142	0.1188476721	-0.9155792363	0.884772676	0.01487973014	-0.6268474242	-0.8122696426	-0.6745335952	-2.709911733	-1.600880518	1.759294217	0.7308722161	0.456448257	-1.404874914	-0.6209428352	0.8781932619	-1.83514757	-0.1466933452	1.057339582	-0.03198601372	-0.5847025435	-0.6878212607	-0.8404166606	-0.3974521602	-2.0429162	0.9755560581	-0.5054448583	-0.2626560209	-1.163569783
-2.169943988	0.423776613	-0.04164491867	0.8500045439	-1.815392924	-0.4971635383	0.2314134804	0.8978210617	1.679785465	-2.537366713	0.4074137903	-1.74827771	0.5871646641	-1.762960042	-2.346654175	-2.157972922	-0.2240518744	2.726559148	-0.6370556193	-0.3117042393	-0.3890766073	-0.7745625333	0.5229631685	-1.570172482	3.28427463	-1.958962779	-1.75909022	0.6568166393	-1.011847218	-0.6009846014	1.225402449	-0.4737803613	0.1080881776	-0.3057170081	1.991315904	2.253609388	-0.2035647891	-0.9208980425	0.4288293272	-0.7548350806	0.1013349346	0.1054199749	-0.1318930751	-1.286450448	-0.4417564464	-0.5395337406	-1.350790679	-1.675883383	0.0332211447	0.685038891	-0.8133865429	-1.98010963	-0.2673775344	0.7485312628	-0.7752808325	0.72849661	0.1376884991	0.2831842657	0.1287449021	0.3673564888	-0.09802700864	0.9435108173	1.463708348	0.07793753528	-1.730997945	0.3301255314	-1.695075078	-2.258402318	-0.09298197141	1.98288194	-0.03498049343	1.091994134	2.260051151	1.282904833	-0.5405620515	1.553544426	-1.21968777	2.820774369	0.7961772157	-0.2774440141	-0.08865633979	0.1830174433	0.2390457525	1.863554904	0.1238575269	0.576579664	0.4606928273	-2.573958333	-0.4892135839	-0.8050743711	1.13391113	-0.1380574231	-3.068459665	-0.3552117243	-1.855897046	0.4960383095	2.242001128	-1.407422771	0.4922762377	-0.2886215633	1.311225801	-0.1717513868	-0.5955750232	0.2000435072	2.220481684	0.8592943859	0.4584909153	-1.408304393	1.370113866	-2.06779813	-1.048761497	1.641494281	1.181462186	0.4026023584	1.13361459	0.5307680822	1.189580579	1.319520102	0.9111135271	0.6513781013	-1.847535268	0.307762966	-2.489776681	0.9302538894	-2.324336661	0.4409078803	3.06714095	-1.709643222	0.5278716891	0.2553747194	0.8955656629	-0.3613808714	-0.1397306514	0.431984074	-1.4187309	0.8311774714	0.1506100473	-1.124658044	2.08434745	-0.4994194848	-1.280236511	0.1431613009	0.1308078293	0.982494541	-0.2738885836	-1.784617697	0.4897351754	1.5084482	0.1007126893	-0.4125979513	-1.280345686	1.450047566	-1.990704863	0.855667095	0.3882995665	-0.05717436692	-2.380634449	-1.120427843	-0.1475798684	0.04498813069	0.5174383996
