melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139
-0.2848626116	0.5782676298	0.8496646149	0.1232789032	0.9725782424	-0.05473993624	0.8328633424	-0.266081923	0.3273985017	1.229109325	1.471900508	0.03340582779	-1.013505346	0.2095975616	-0.005620324525	-0.576429345	0.6114209262	-0.7893165126	0.114396183	-0.6750071364	-0.2406512607	1.51699923	-0.9211802704	1.951280196	-1.526748909	-1.211080519	-1.356337707	0.6415660488	0.1301916975	0.5604051985	1.593964925	0.3615231687	2.441231124	0.2355747349	1.867705468	2.279468384	-0.8487796479	1.169818323	-1.191272482	-0.0468509077	0.1900193148	0.6302468909	-2.052503721	0.7107535563	0.7752727779	-1.401075068	-0.9848515488	-1.6235264	0.3763609938	1.802175266	1.593124766	0.2590765165	-0.9506395935	0.779828793	-2.396391473	1.125984238	0.464036024	-0.129336179	0.7610295173	3.957301527	0.1230789637	-0.9054279498	-0.2889417656	1.301615412	-0.8418937109	1.527930696	1.152781193	-1.92537804	-0.5272504527	-0.1826318553	-0.2685517622	2.990020477	2.19874523	0.6734489323	2.529698573	0.7021830548	0.554173226	1.305183318	-0.9287945766	-0.2185749789	-0.4581334874	1.037115911	0.6049083862	0.7780510966	-1.74882938	0.8625102262	-1.059975759	0.6450765385	-1.88824944	-0.507606883	-1.07744021	0.7944488811	-0.5552058979	0.1153683253	-0.003790407478	0.1699883834	-0.3625344083	0.4834260786	-0.63285686	-0.6149203403	1.357817837	-0.5528985474	0.3368457024	-0.3887271097	2.85449475	0.8295173965	0.6197777281	-2.573929744	0.1721375039	-0.2172383478	-1.060752505	0.7576707675	0.6661634917	1.417408159	-1.346044652	0.4425166813	-2.116130521	2.073762728	1.389719987	0.5859583138	-3.075157746	-0.3581958571	2.316209111	0.7141635783	-0.5213881142	1.273479293	0.6909203906	1.269954554	-0.6076612715	0.0585450255	0.9524256134	-1.572416888	0.4926949425	-0.4978365365	1.245931162	-0.3564678574	1.421300288	-0.5275589771	-1.240902188	0.5814398362
-0.2754667194	0.5249046604	0.4537095081	0.06388419329	-1.570378566	0.1368299041	0.211121252	0.0691502155	-0.4435776299	-0.8921955442	1.007501232	0.4504817998	-0.9958794818	0.2980751481	-0.03194090758	-0.1195133569	0.6497040795	0.03272966581	-0.03884432465	0.07405390246	-0.03570962877	0.6610922787	-0.854462141	0.9401433622	-0.7180920848	-2.317941907	-0.8755168425	-0.3031819418	0.8056853831	-0.1245467227	0.2332861562	-1.331834396	1.671709795	-0.5966477756	0.5274099242	-0.2373159866	-0.9579226176	-0.5291819572	-1.73641484	0.0223348235	-0.7292998739	1.111991143	-1.458313208	-1.198532577	-0.1733233237	0.1639491351	0.6590784083	0.09779002237	2.384765688	0.08098924224	1.886273849	0.5914979521	-2.003718049	1.047177833	-2.403408611	0.1585493907	-0.2250873814	-0.007457975099	-0.03847261129	1.801380686	-0.8393599294	0.4419681387	-0.09664008428	0.06727426455	-0.9252175887	-1.246921291	0.9791658614	-0.7334961783	-0.8799722167	-0.04112830774	-0.5316187812	1.7504756	2.468342147	-1.232858815	0.362174208	0.6549965978	-0.160834291	0.7848747104	-0.6661276517	0.7713254035	-0.479955718	-1.263676963	1.109448246	-0.4593332686	-1.116223362	0.7572555753	-0.6545959092	0.6907971659	-0.9103201907	-0.9234983164	0.1753222228	0.01144923381	-0.9388587944	0.2421147831	0.8170885035	-0.7963042716	-0.4744651696	1.806536799	-0.7281649959	0.4275105673	1.427787286	0.4396238613	0.7508007704	-0.2433249039	2.293621683	1.030298689	-0.4692036375	-1.610077467	-1.294541923	-0.074723035	0.7192819003	0.9726464842	1.96080278	-0.0528735487	-0.6489005556	-0.280576236	-1.174507875	0.8786827957	0.2895323672	-0.2011402429	-1.826079966	0.298448786	0.879603698	0.1545116849	-0.9440926624	0.1207771592	0.4698372197	0.1039717019	0.3067714117	-0.5678246027	1.06567383	-0.8167030918	1.015275061	-1.231120205	1.072813329	-0.3254891118	0.7347707269	0.2750353213	-0.346727471	-0.7900669797
-0.4414693985	-0.09121249745	0.2745507486	0.002033994135	-0.7685031375	-0.3037855717	-0.04661419957	-0.3862756192	-0.1713426545	-1.001990852	0.4128530893	0.195413973	1.277141901	-1.111323556	-0.07173982042	-0.3660858479	-0.05138211262	1.607948761	-0.2376343836	-1.578855409	-0.374882248	0.7943717555	1.688849707	-0.09916859584	1.616681293	-0.8304226452	0.6916736374	0.576582476	0.006360824389	-0.4516500145	0.2076030868	0.38360937	-0.396602418	0.9785019257	-0.1750608036	0.08618616063	-0.4206295556	-0.9444731991	-0.3552763996	0.3863445347	1.36156799	0.8050669829	-0.7500176392	-1.902076586	0.6430463716	0.9791238882	1.310647327	0.273225871	0.9922580503	-0.4313833144	1.562817742	0.2394635967	-1.143804802	0.07063640693	-0.4503970955	0.7651007361	-0.2518666459	-0.3042580072	0.7529222216	0.8945970931	-0.530866657	-0.9946128413	-1.679656134	0.288275348	1.296362016	-0.008675201023	0.04236247869	0.9963336493	-1.130338528	-0.05256708659	-0.337255306	-0.1785730132	0.3134818261	-0.3581529355	-1.107005108	-0.287588073	-0.9519356116	-0.4429690958	0.573781179	0.7235758406	0.07614531006	-1.050424645	0.4860649798	-0.3027992541	0.1779044984	-0.4117861285	1.40613797	-0.3511270711	-0.9390032491	-0.06044387534	-0.1364484119	0.01773552138	-0.2532454967	-0.4100842133	0.175457068	0.004230877544	-1.284865136	-0.1476624253	1.161429512	1.341304114	0.2693182144	0.5948483591	-0.4150801658	1.615520032	1.263217545	-0.7485638095	-0.7690096226	0.2585969476	-0.3511232932	1.271262254	1.097674347	1.66196438	1.46210172	-0.5989334284	0.1684070671	0.9806788158	-0.4199492448	0.7693560527	0.2272616302	0.6631624058	-0.4013429397	-0.01314147065	-0.05014020226	-1.650333407	0.3569001303	1.047104325	0.5168837053	0.03450393771	0.8724749909	0.35036746	0.791188711	0.3528068578	1.325718297	-0.3805201585	0.7564811887	0.5486633774	1.402517233	0.8143701666	0.443364024	0.09900325616
-0.580020334	1.105752455	0.3191775045	-0.09695202843	0.5655821083	-0.0726371802	0.4650224893	-0.370315376	0.6649738389	0.6673524948	0.162265458	-0.663827218	-0.7461825018	-1.080011822	0.1694419653	-1.469796656	0.84720071	-0.2658201054	0.1933212289	-1.227925514	-0.8620498286	1.28432632	1.220930945	1.394692326	0.1070318865	0.1172194687	1.003760445	-0.004179231133	0.3734822561	1.320148575	0.5889628023	-1.410881582	-0.8584301842	1.374730184	-1.405005899	1.342512698	0.3603433857	-0.1501430933	-1.220736972	0.9024008963	0.5274263986	0.8004229037	-1.146090854	-2.414788947	0.654121366	-1.35752213	-1.712163062	-1.164325065	-1.588396814	-0.5066811082	1.03933135	0.2020355483	0.2043546476	2.209911626	-0.3941762545	0.6983448491	-0.1905948433	-0.6518853372	-0.7277188097	1.032469762	2.100463508	-0.2439827645	-1.615206478	-0.20786987	1.496062726	1.139135704	0.415428026	-0.6863898922	-0.3139115796	-0.2640578313	0.7606313814	1.711920742	0.4158790623	0.1386726045	2.281672855	0.7940785629	-0.2424276214	-0.2480727063	0.5309883098	-0.36954248	0.3270653534	1.687767489	-0.3704159369	0.4941773871	1.15409434	0.3000385084	1.208914693	0.2715736333	-0.7725957184	0.9424543107	0.9152403511	0.2546123389	0.5132438683	-0.09699914897	0.0725469545	0.868184865	-1.940619654	-2.241559634	0.8728492525	-0.4809743576	-0.6834617378	-2.070474158	-2.479773814	-0.1667198484	0.9745509879	-0.9804579843	0.9161296508	-1.590126433	0.06062578065	1.182293127	-0.0982630518	0.02095804735	1.248571634	0.2432825913	0.7164471281	0.7523417622	-0.2269278892	-0.3633059072	-0.460316426	0.6497373905	-0.4577368176	0.5388488316	1.531848727	-0.06936707277	1.128125142	1.595618409	0.5473993607	0.2408374226	-0.08024653694	-1.576509489	-0.7045543163	2.095510699	0.1712102402	0.6976493426	1.471355569	-1.535476229	0.4552579414	-0.9013105879	-0.8613729422	-0.1339692373
-0.4303849183	-0.1503806214	-0.2504989935	-0.5214372565	-0.5680574306	0.01123241171	0.6622400107	-0.485996797	0.5918864784	-1.545435144	-0.246081984	-0.204994583	-0.7907780399	0.1471513154	-0.1358235581	-0.2941059794	-0.09412734409	-0.3518222989	0.0929526366	-0.6568293019	-0.7734120545	0.6859847919	-0.6453480089	0.7131831102	0.0377807911	-0.9587612021	1.474300108	0.5324499632	-0.2549130921	-0.8599884879	0.0992691851	1.185060589	-1.109209497	0.1562310061	0.2298905011	0.7018603632	1.396272126	-0.8887940162	-0.2083280838	0.2067954829	0.4263873414	0.7568283278	-1.051677886	-2.127068995	0.2857328714	-0.8279115626	0.3791520278	0.4760996873	-0.0652204603	-0.4795118639	1.132041314	-0.6451965183	0.785707429	0.6532805729	-0.3183768148	0.6816070954	-0.5738337125	0.5813770094	0.1667128966	0.3508146525	0.6275685832	1.193556814	-1.435236609	0.8716741074	0.2821347846	-2.145696063	-0.1863335091	0.9487347783	0.5916597397	-0.2208645233	-0.8581631741	0.7420505724	0.4037622863	-0.2639738668	0.2154212723	-0.3662216002	0.4745203282	-0.447968424	0.7194644809	0.4450134974	0.9968240226	-0.7413641802	-1.559653927	-0.08121826382	0.7548912398	-0.4167903369	0.5608651576	0.4997469819	0.769586115	2.38168763	0.5728145713	-0.4424617882	0.6259837461	0.6827993608	0.369971076	-0.6807673474	-0.812108675	-1.398756884	-0.4853602177	0.0241461401	-0.04231089264	-1.304768108	-1.645496101	0.3696903165	0.8277880713	0.2433108969	-0.90091957	0.1921071833	-0.7473902989	0.2974264158	-0.2442744266	-1.398717451	1.676362294	-1.087445823	0.6877573463	-0.6314122715	0.8376295082	-0.08023667934	-0.4573672576	-0.7272803083	-0.2763740975	-0.4928440447	-0.8095957879	-0.1395322068	-1.179511159	1.194865328	-0.04417491994	0.07329769752	-0.08162596439	-0.6937289156	0.3653224108	1.386308216	0.01604776023	0.9147573604	0.878740874	-0.533950844	-0.2192166929	0.1605788812	-0.3114076367	-0.3594213192
-0.5916149118	-0.8200199167	-0.2765849877	0.05541793607	-0.2795930991	-0.1724171591	-0.3533816147	-0.9109293992	0.8675819281	-0.51258862	-0.3605850796	-0.524326295	-0.8709167707	-1.020095934	-0.227114897	-0.9851301646	1.279082832	-0.8694186077	0.127340536	-1.827928925	-0.933772121	-0.1045484108	-0.8865139883	-1.005453135	-0.7458172565	-0.5338754295	1.689829715	1.085259624	-1.060388947	-0.05894603809	-0.0450631266	1.490056817	-0.901610535	0.5199671423	-0.01219226258	1.275250081	-0.6129647887	-0.1049291271	0.04903656117	-0.4079644126	1.558528995	0.1935511487	-1.213474901	-1.727888196	0.6806473214	0.4359869876	0.2458478655	0.5566461342	-0.7664011539	-0.05164437133	0.766234867	1.058601033	1.215696823	-0.1119820765	-0.1015315722	0.6978355174	0.1312642415	1.13933515	0.06709066021	0.4672541796	-1.192197619	-0.6322694261	-0.2280414458	1.679562647	0.6015179082	-1.208594222	0.2502308928	0.8559193724	0.2151811172	-0.8464573764	0.9265967962	0.00474210283	-0.2277236255	-0.3313134439	0.3696153351	-0.7404659409	-0.7560106613	-1.076866894	0.9863690967	1.990588335	0.8945126525	-0.1639446673	-1.697774879	0.37924908	0.9324547046	0.05805271326	1.22649271	0.3686777597	-0.3602480791	0.9600426516	0.05303910005	-0.3719045278	-0.05975622477	0.01909738966	-0.2815219318	-0.618277419	0.3641026957	0.7467996836	-1.286948644	-0.08061805415	-0.754786951	-0.6804343797	0.2561522384	0.4286816888	0.8260430318	0.5024468124	-0.06506228159	1.575001817	1.160519587	0.3654377	-0.04852796113	-0.1669824404	0.9152757576	-1.043969004	0.6053767295	-0.1089710054	1.180194792	0.3537914502	0.1365609084	-0.1456998549	-0.3222367042	-1.438000855	-0.1961573797	-1.058761667	0.5361196537	-0.5901144798	0.8961328714	1.548369588	-0.5644050031	0.3574141679	-0.5274606152	-0.2306236907	0.5277608501	0.2405764756	0.6592749815	0.7352902896	-0.2905575006	0.003506123085	0.03535746331	0.8276941586
-0.3755356154	0.1350427186	0.09712492976	-0.3559903195	-1.798148489	0.01596787678	-0.2851544244	-1.064861203	0.7641753346	-0.1273216858	-0.8599188825	0.2355064133	-1.037830722	0.1754840031	-0.1315777899	0.1723287398	-0.7039287157	-0.2347080057	0.2078694311	-0.6034895256	-0.4414633314	-1.052517235	-1.380534468	-0.861534632	-0.9376645143	-0.8823642452	0.7028397318	-0.4929824387	-1.394466933	0.5589827653	-0.4347671749	1.986314	-0.3611658389	-0.6677025456	-0.8257265227	1.238454355	-0.2939225871	-0.1728913335	-1.188353946	-0.1637517611	-1.21295959	0.3075648662	-1.053577263	-1.148022988	-0.07404545126	0.6887321494	0.3573054785	-1.020352603	1.52830438	-0.7193561952	0.9962175808	-0.5806104608	1.726517107	-1.137726914	0.1271592469	-1.808903104	0.05123957027	-0.6447825196	-0.5160158609	-0.5636572672	-1.710172935	-0.3883662009	0.1532943359	0.746973245	0.2166146979	1.509716651	1.023618981	0.5261156792	0.7679411104	-0.6145216627	0.399446303	1.676950247	0.1962424226	-0.3526977875	-0.1115972933	0.7721077232	-0.6662598592	-0.8645611738	1.043673503	1.196619369	-0.05621333632	0.02296757656	0.4024436082	1.630087373	0.6161748872	1.346672604	1.590885309	0.5282086881	-1.758094931	0.5969066073	0.1578811068	-1.003144366	-1.048240606	0.3262999728	0.3584111305	-0.2112768635	1.418222929	1.354399369	-1.745988529	-0.3515321428	-0.7685891641	0.9401078785	1.472099658	-1.465474253	0.04905102565	-0.7611734713	-0.2951757605	0.374281382	1.553324284	0.331594206	0.01412981274	0.08950746096	0.6040583799	-0.232675034	-0.19495604	0.557225641	1.283059397	0.8792031247	-0.7467282806	-0.5197992015	0.406122164	-0.4229433255	0.5431969348	-0.6138468607	0.8445549934	-1.006998424	2.110213746	0.174540471	-0.1473244469	-0.331659081	-1.29014681	-1.109528471	0.7551457515	-1.229693977	0.7315433502	1.308270954	-0.1055229007	-0.9736722087	-1.78487049	-1.22853945
-0.3734849305	0.05990131384	-0.1971950801	0.05901530846	-0.9911924622	-0.158387561	-0.01424442495	-0.8633907341	0.7694595686	-0.8606209142	-0.5950238344	0.9526516597	1.160799837	-1.353053124	-0.1750841278	-0.4238005107	-0.04969994176	1.393576628	-0.4644267123	-1.835579568	-0.5939239028	-0.9257136134	-0.8708573053	-0.8913228528	-0.498526722	0.3898929797	0.374365738	-0.02638609211	-0.7985351622	-0.5988248324	-0.6518162582	-0.6656249701	0.6723077965	-0.470191812	0.6160595446	0.5579036822	-0.4042644405	-0.525893637	0.1627403364	-0.5925879864	0.7160464147	-0.1549501654	-0.7790275321	-0.5826821006	-0.3170415374	-0.7905370159	-0.8646317253	-0.4819024528	1.316366822	-1.574002794	0.3207110024	-0.06516328106	1.422016571	1.39532504	-0.1058635096	0.3475455271	0.8705734676	-0.3638524911	0.1127801675	-1.34788383	0.1140235943	-0.2269359116	0.5175884961	-0.4126004427	-0.8375166795	-1.050186261	0.2988349688	0.5031374298	-1.32506581	-0.5192924492	-0.7656356071	0.1906039864	-0.4444302353	-0.219211734	-0.9547528805	-0.2616714974	-1.028806995	-0.4689998678	-0.7129550527	0.4856430779	0.4490941983	-0.1430328904	1.332180441	-1.15822844	1.731656741	-0.04856884382	1.149559904	0.6466509722	-1.087054185	-0.4335485836	1.100813591	-0.04785945776	-0.8264275832	-1.251180199	-0.8921943785	0.8931879359	0.1507344304	-0.5711715204	-0.3276131864	0.3491303754	-1.497443479	1.190964256	2.115762961	-0.5178512775	0.001173354004	-0.3122863268	-1.553358412	1.361051566	0.3406767476	0.6501459861	2.182482128	1.173670454	-0.7874587248	-0.2275362557	-0.01164196285	0.2580085122	1.130833024	0.3880696522	-0.2286265121	0.4325336328	1.287514063	1.457508313	-1.1419931	-0.5524551534	1.632217207	-0.4402035631	1.534447637	1.069999364	0.3332391365	2.576706131	-0.03227115888	0.479172752	-0.07780990921	0.101113639	0.9413095463	1.023158057	0.8237688958	0.7951230812	-1.530375284	-1.228402351
-0.4261697419	0.02224434602	-0.06916648871	0.03971972502	-0.02032887835	-0.07450558976	0.7312494804	-0.6685820449	0.9399113928	0.3821141193	-0.1496728277	-0.6446388869	0.7349485849	-1.235207991	0.09226352037	-1.398922163	0.9352349294	0.0425582707	-0.6197567854	-1.909282784	-0.9331495672	-0.9653285869	0.9914828646	-0.05677472612	1.018453475	0.01218334861	0.6304905441	0.8447260705	0.2590974506	0.1777120412	0.3141652663	-0.666429297	-0.7181822879	-0.1991266051	-0.4689821915	-0.05775363042	-0.6448780087	0.1272589301	-0.06716799784	-0.4975340898	-0.2211580682	-0.3554415784	-1.554504251	0.1997090425	1.155053114	-0.5578553488	-0.9846343303	-0.8132801823	-2.364051849	-1.92732274	-1.052477902	0.5628811627	1.155038313	-0.9687074581	0.3669806062	-0.1258844179	1.468027976	-0.2188514395	-0.641011345	-1.708318211	1.04987599	-0.1698699848	-1.187770459	-0.7027308952	-1.548501326	1.148593954	1.138801509	-1.138164653	-1.503441684	-0.0438751991	0.4488371028	1.981780262	-0.4128298118	-0.5694022989	0.7583752142	0.6440388408	-0.7433482502	-0.7241505553	-1.684558568	1.464126106	1.499109138	0.3287753522	1.740788509	0.7975926657	1.693046826	0.4328090177	1.510097118	0.2183451795	-0.540269981	-0.1049744395	1.618482405	1.14666274	-0.6559447893	-0.658056031	-0.7448122932	1.716334791	-0.3459825043	-2.799519971	1.539329537	-0.341496506	-0.9636978827	0.3115554153	0.1958781919	0.6551584706	0.6882149172	-0.7385781804	0.5130832274	1.752794292	0.09516906887	-1.070153643	1.100551638	2.409476168	-1.371148186	-0.1454712732	-0.211471573	0.05126999566	0.8696837023	-1.903485796	0.07569181043	1.069133534	0.199579626	1.438681846	-1.144095967	-0.3992476243	1.161875152	-0.2241589156	1.56514798	0.9033370176	-0.665684658	1.054621353	-0.5549631846	0.8083168603	0.2228328588	-1.217591769	0.8873669137	-1.126028161	0.2966338224	0.3278414307	-0.930084649	-0.2330441607
-0.3113408559	0.1780814735	-0.308604858	-0.3377482981	-1.095938023	-0.08726357342	0.1107533846	-1.606231318	1.085302634	-1.489275963	-0.2463160754	-0.3162909062	-0.5181444517	-0.474873783	-0.1521736773	-0.3465804457	-0.3472687899	-0.9190228797	-0.3428459722	-1.642614507	-0.6852721327	-0.7300670408	0.6881922886	-0.3863305787	1.826752591	0.3603453435	0.7753758291	0.7377167777	-0.8079977349	0.4259405626	-0.5185946805	0.111102348	-1.015555784	1.109127467	-0.3124064058	-0.825354628	0.7371232732	-0.5018575495	0.656275999	-0.877577847	0.2792662509	-0.2631997539	-1.615081825	1.058935142	1.65705395	-0.7938696301	-0.4552654214	0.01607565661	-0.4497310825	-1.806117004	-1.026243732	-1.41124582	1.24293323	1.422354349	-0.4940554521	0.2206766254	0.2471118217	2.620666084	0.04887845753	-2.239788634	0.2464046509	0.2054346477	-0.3052203152	-0.3873084904	-2.836306512	-0.2362946292	1.253219044	-0.002058249756	-0.7842796987	-0.06819945485	-0.9659516408	1.0814982	0.6591129583	-1.036233297	0.311936492	-0.2088196641	0.1836098809	-1.111725657	0.1584520692	2.010020169	1.178962785	-1.143884259	-0.1600946965	-0.7453611685	1.643560936	-0.4217057032	0.09795524922	0.4715090554	0.8786851588	0.1214525518	1.876845811	0.7689015722	-0.2549372097	0.7266390277	-0.5763371121	0.02438435715	-0.07556526525	-0.8076667628	0.5249748789	0.8002135218	0.9989092901	-0.6954839288	0.2783975528	0.2829699924	0.6245309596	0.1491560723	0.55671246	2.229903972	0.03035004975	-0.3626100997	-0.1253175134	-0.9708932295	-1.096084015	-0.3778297022	0.7092095656	-0.7447786076	0.3767923355	-1.144913622	0.5466311816	0.6683202731	0.6216374447	-0.5510669696	-0.8116361116	0.7732705883	0.3599312734	0.2141472998	0.002168000635	0.8740480805	-1.077443014	-0.2409554277	-0.2551399376	0.9215357112	0.09757777389	-0.03512050746	-0.4274118615	-1.345930462	1.416788355	-0.9042050276	0.3113507558	-0.08784850307
