melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135
-0.3648946441	0.8789968411	0.9554072485	0.490718865	-0.102388356	1.17535687	1.524472282	0.07613216714	0.4415834236	0.2707643542	-0.4272594742	0.6185338428	1.074366974	0.7219804935	-0.7019019914	-0.3283224565	-0.7475260514	0.3892196437	-0.2979726157	-0.3764275002	0.5441941031	0.6359451978	-0.1026408201	2.415531892	0.03055286986	-1.684677521	0.2980992446	-0.8284639908	-1.112179595	1.214840074	-1.746005071	0.6325735737	-0.2871234316	-1.304353413	-2.378857517	-0.1238878544	-0.2941678063	-1.532688668	0.3574980843	-3.189315914	0.8254995658	-0.4763958535	-1.097429777	-0.346520302	-1.278237786	-0.1548279611	0.6230671668	-0.7531395484	1.657383183	-1.934319927	-0.761815947	0.09637995571	1.106815361	0.4581020718	-0.2141416707	0.7451757009	-0.2821661605	0.2252268225	0.112903714	-0.5778541285	0.8400961008	-0.9627871981	-0.3154566104	-1.406591274	-0.03078257526	2.504970259	-0.5934239255	0.4072727524	2.050029739	-1.719041799	-0.5848912398	-1.415948045	1.226520196	-1.122913693	0.4382079445	0.6037756835	0.437360569	-1.279821092	0.7138753663	1.238965391	-0.5048245804	0.2556642649	1.322911597	0.7195601412	0.627377164	-0.6002376269	2.078630224	2.285235429	2.087642611	0.08571936099	-0.03660485203	-0.1724256572	-0.7957409744	1.005967242	-0.3694433772	1.157113641	-0.9035278437	0.4752136677	1.197341523	-0.5333040086	0.5478299588	-0.001664313286	2.989631799	1.212139221	-2.802211736	-0.7665970979	-0.8296419074	-1.799505205	-1.738070915	1.920202216	-1.297863907	-0.8496351437	0.4092673138	2.956326808	-0.968380091	-0.6113514637	-0.463976398	-0.3892389123	-0.4441886633	-1.075997765	-0.6881081305	0.5200546393	0.4627589998	-1.555625119	-0.1074028588	1.74942045	0.4343147978	0.2892442628	0.4580982623	-0.3810546945	-0.5054551691	-0.7456722222	2.265900369	-1.470497374	-0.3272812994	-0.07556721021
-0.5945950043	-0.7021876239	0.3470676973	-0.34721075	-0.7894399637	0.7745594194	0.5246306287	-0.9176537374	0.8498959736	-0.08369169342	-0.8586616063	0.2029196658	0.5400998362	0.5441901599	-0.7361405988	0.5043463689	-0.6690133085	-0.4099991857	-0.6692504467	-0.5154375051	-0.03786349819	-0.02528596724	0.3269532572	-0.7276207549	-0.6900430673	0.6384485575	-0.5344333787	-0.8019346432	-0.1589896775	-1.231047043	-0.7734183463	0.3707195291	-0.8002398721	-0.1964734486	-0.8025419199	0.461242986	0.1646686795	-1.325753713	0.6219046532	-0.9277873837	2.317438514	2.342522272	-1.308853375	-0.4219469894	0.4165626607	0.431033258	0.9153560646	0.086203053	0.351186552	-1.216147458	-0.1472831342	0.6164327383	-0.1816348594	0.2284155496	-0.2927827206	-0.09301267684	-0.03426340041	-0.2844184513	0.6375395203	-0.5590359794	2.045579855	0.4983157599	-0.8937142519	-1.337492645	-0.7344204166	1.047566269	-0.1575625232	0.7718757999	0.2510892491	-1.469103908	0.1494618319	-0.9088348294	0.848432364	-0.1978066234	-0.4866970466	-0.5340368409	1.025052521	-0.0576557404	0.6460861176	0.09016833391	-0.00994553842	-0.2433193262	0.09431271237	1.088593456	0.6972223957	-0.4950603754	0.3811728861	-0.7696803338	0.2234599792	-0.32758115	0.02989353995	-0.7842877819	-0.3385121866	0.7511425435	2.647128917	0.9826306533	-1.040754936	0.7688499194	-0.0461142492	-0.5605534277	-0.6152208856	0.6308338015	-0.06396357962	0.4245277791	-2.679290805	-0.6914454936	-0.4620600704	-1.609856264	-0.687181783	0.1803830163	-0.1593552699	1.034020453	-0.9770415004	1.897300396	-0.1100575428	0.2084301101	0.1570236637	0.2274125877	-0.3884179945	-0.4665269137	-0.2346666577	-0.335086654	-0.03882689108	-1.827681005	-0.125561858	-0.5857334564	-0.1853529472	-0.2378706525	1.282713805	-0.0295711822	-0.1368527548	0.3657734852	0.7892838031	-0.8423632243	0.04144161981	-0.5567351861
-0.588249027	-0.9872010964	0.4426076694	-1.179009473	-0.9350343119	0.6504192783	-0.7981027791	-0.2250913369	1.969290425	0.2331819665	-0.4317378209	-0.0951480138	1.154725098	-1.521960824	-0.4943759205	0.2605363424	-0.7222776959	-0.5865104491	0.7335359779	-0.373822754	0.1962345246	-0.08595976337	-1.211799112	-0.7527615802	-0.3768641572	-0.3201161552	0.2559800921	-0.2364665809	1.133692289	-0.2053310417	-0.2474087203	0.766198496	0.7607160172	0.4286700166	-0.1462155656	0.04439560172	-0.02353430385	-1.413293259	-2.063384697	0.3424918298	-1.234584112	0.4959491027	0.2808675511	-0.3125031351	0.7143842927	-1.14425962	0.5131141568	-0.6054854416	0.05376499795	0.246079591	0.2963931304	-1.029059504	0.2910786988	0.1164873492	0.5357447325	-0.5252651746	-1.491544558	-1.285868576	0.6532904938	-0.1858880644	-0.6968874812	3.16442157	3.208141853	0.008229894508	-0.2586772777	0.9993984504	0.210539163	0.4492977102	-1.040864774	-0.3174298389	0.3988330557	-0.03098699225	-0.2944034146	-0.5313040391	0.9073196828	-0.2878792371	1.44254343	-0.2939610446	1.066965541	0.2673776523	0.2956301309	0.4189607987	0.02095412301	1.393214656	-0.4744987934	-0.5655181801	0.9196891551	-0.01398717574	-1.414157906	0.7363692396	1.030190066	1.053760976	0.257568255	0.5652161863	-0.1363328386	-0.410770216	-1.187085867	0.7263609361	-0.07757848308	1.721770754	-1.021008429	1.566711025	-0.2267957593	0.7737212317	-0.1301269766	-0.5795580263	-0.05848174705	-0.1180415428	0.3025942034	-0.4434049103	0.6672895884	1.437633343	2.735539688	2.294948339	-0.3338689733	-0.5187394201	-0.6885125638	0.6805837698	1.120389338	1.653865891	0.91434315	-1.286750896	-0.1592134924	-1.084456826	-0.3504806892	0.3459713475	-0.3357967268	-1.539599051	0.06257725211	-0.414495468	-0.2187395934	-0.08353961475	-0.2324911897	0.0932470219	0.6075833834	0.6160390626
-0.5265343223	-0.7695078793	0.2620650701	1.463954202	1.238366624	0.7480766661	-0.3336572263	0.3851212605	0.4708489913	-0.4699914003	-0.08912429158	-0.04015910537	0.5459004296	0.1846218142	-0.3535139171	0.4046513046	-0.6139584872	0.2950764833	-0.2392153507	-1.279035505	-0.1600867236	0.3336931328	1.069759975	-0.01002764469	-0.3759932985	0.8337456727	0.2792815289	-0.7094873537	-0.2096795534	-0.2473357753	-0.6693693194	0.336967818	0.8937285461	0.8905288125	-0.2135321597	0.7255244594	-0.1138538871	-0.2710108387	-0.6901451285	0.9954107346	-0.3742105315	-0.2533886117	-0.1869504112	-0.7212025822	0.08108367493	-0.3438729736	-0.05855099144	-0.3360285858	-0.6365279129	0.9710962287	-1.047058704	-0.4040503446	1.40464561	-0.9085437715	0.1823299474	1.671750418	-0.5250640091	-0.4871706351	0.4939874341	0.07518189583	-1.00429685	-0.6738793256	-1.389009533	0.3856848066	0.1237231806	0.3602380234	0.08890028336	0.08385685201	0.3982092936	0.5791590304	1.176439652	0.1842993949	-0.7352153629	0.5252479989	0.722077762	1.65976944	0.4490363917	0.3439599856	0.05518169604	-0.06496038077	0.349441435	0.3897597995	-0.01964098697	1.45111058	0.5123670997	-1.212311341	-0.4820130501	-0.2487818915	-1.742859028	-0.9550405798	0.2986271401	0.1021799472	0.2982166092	-0.1319827384	-1.21185117	-0.647615503	0.1206164014	0.5689033084	0.4876812853	-1.62367757	-1.444502753	1.007951389	0.7332309976	0.1398320044	-0.864456518	0.2271868663	0.9480387762	0.7559674445	-1.588387685	0.1306990213	0.03139897301	-0.06068674015	0.1806581976	2.379340819	-0.2034431179	-1.447282064	0.1999452484	0.3241742191	0.4133476102	-0.1354525518	0.3404284355	1.519750463	0.4143469051	-0.547132466	-0.2474256466	1.177478002	-0.05468872629	0.220770913	-0.7585464289	-0.6223794106	-0.5358821129	-0.9652186717	-0.9465283979	1.532070063	-0.7260665441	-0.2398531039
-0.7336637276	-1.35858332	0.09448592632	-0.9571076969	-0.7900984844	0.2790662174	-0.004073602294	-1.096926835	0.5435064028	0.01374764386	-0.3002962778	0.1735969006	0.5512202245	0.2234904656	-0.4532998485	-0.1424843462	-0.8770152469	-1.307374186	-0.05897857899	0.2243283736	0.05594745988	0.5392546355	-0.746793007	0.09698121874	-0.2991595357	1.118770043	0.08487271669	-0.2233913054	-0.1258499379	-0.9332916414	-0.1091329508	0.7609075042	1.525828627	0.7663309904	-0.545621835	1.115438702	0.1589193189	-0.733697398	0.6653907275	0.8404503219	-0.4230579138	-0.2530528429	0.5698031985	-0.0816784267	1.062387822	0.3575087381	-0.6034006922	-0.1273211233	-0.04556498147	0.251449784	-0.7779272613	0.2818974476	-0.4603687083	-0.7292932984	0.3919089416	-1.177938036	-1.620149629	0.1161557822	1.335169739	-0.03414518496	0.9953202194	0.3680591557	1.042776022	0.3810682859	0.1771421723	0.1722773996	0.2299246789	0.1867312781	-0.05907130205	1.425343248	1.509484152	0.3310400599	-0.4729524298	3.347483116	-0.9398329453	-1.118998536	1.224260363	-0.5333426102	-1.541620818	-0.7450719799	1.342567368	0.5912623323	-0.7163888458	1.277573791	-0.361372493	-0.7631452389	0.3388879995	-0.8694861193	-1.14661748	0.01335587376	0.5361007826	-0.5992989166	-2.757536938	-0.8727960641	0.2025424938	0.007568328725	1.228503603	0.1490372798	0.628296077	1.652851551	-0.6623572689	-1.94436473	-0.7287085303	0.8022917097	-0.1337567956	0.3662295747	0.7912448034	0.8564513064	-0.4147395239	-0.8109127436	0.3085262917	-0.8757593304	-0.513908712	1.774415316	0.5094164843	-0.2451259613	0.1368414442	0.4866429801	1.030425066	0.3402448653	1.556518653	0.6040210881	0.2044291672	0.1570458235	0.506969329	0.6040318463	-0.1084095793	-0.6244017281	0.6295888087	1.028479617	-0.4840248363	-0.3390759821	0.1145716691	1.02662452	-1.221407805	1.270018938
0.2205436169	0.2629068301	0.8008023832	-1.250631125	-0.9844571565	0.1713345852	-1.143636791	0.335585381	0.5536208494	0.07037916312	-0.211285046	0.5012215704	1.152303321	0.7392643916	-0.3600136853	-0.1616629114	-0.7819977044	0.03234616921	-0.1366008035	-0.9661400283	0.4361735788	-1.126010796	0.7165653473	1.049524328	0.4486009258	0.7018824889	-0.3916534542	0.0293688789	-0.5514497549	-0.102414327	0.2565909561	-0.4498567754	0.8174100998	0.2760949596	-0.8348409098	1.064826326	-0.4058588096	-0.6188537533	-1.399083858	-1.893084955	-1.128668036	0.7150714494	0.6177823178	-0.5904168127	-1.10935887	0.1978323931	0.05405392188	0.01470963539	0.962596289	-1.364610338	-0.8157691608	-0.171088077	0.2995196772	-0.4581418337	0.2724575269	-0.5371186987	0.7744788896	1.222675465	-0.1192373032	0.2632483502	-1.560695324	-0.2645615091	-0.4849960762	1.015737187	0.1604329601	0.3360104942	-0.4476311936	0.9111680005	-1.101037713	1.413119304	1.013065663	0.6148987444	-0.3273677731	-0.6214393397	-0.7469146322	-1.068949098	1.336828011	0.6789673008	0.4607986119	-0.2187715409	1.481771329	0.06318603154	0.2787589217	2.015914427	0.9443659007	-0.6997389263	0.7421460302	1.105889913	1.091576008	0.5316405202	0.4162188175	0.6559195855	1.758323992	0.7676277443	0.4807694137	-1.110777709	0.3744253561	-0.2095161295	0.5859601858	0.4091880514	0.1382093894	-0.5814697296	0.7273938996	-0.4514069047	-1.173574436	0.4488864396	-0.1815036279	1.870584867	-0.08726808282	1.060060825	0.4750297577	0.4653327271	1.216811072	1.189268308	-1.175661194	0.1428356901	0.1860335609	0.1174533086	1.100808597	0.894086262	0.4132616841	-1.257642518	0.5194534194	0.9771299654	0.1869984032	-0.2899287615	0.6540556426	-1.320691501	-0.5715688438	-1.117198862	-0.8993831948	-0.07007596329	-0.8414897975	0.7994000299	-0.1513532938	-0.2997684231
0.5395376212	0.08208913669	0.1099519956	1.34385438	1.22734025	0.2233740021	0.529811985	0.1226128938	-0.09142042768	-0.3214032832	0.1589256629	0.5225480576	0.4819373488	0.9828388396	0.3198492983	0.3336247525	-0.5654573573	0.4510081557	0.006084059256	-1.378331611	-0.1365420309	-0.7738329714	1.887425571	-0.6373609531	0.4079278808	0.9847007174	0.3100721462	0.06081323807	-0.2578292773	-0.2447137361	0.2431281194	-0.2665561746	0.4703629507	0.2495557509	-1.461492253	1.837477331	0.7196723391	0.546839177	0.3029374676	-0.930036405	0.05143164451	-0.5481865596	1.138698293	0.2913327534	0.315073854	-0.7797521148	0.5479775122	0.8180807383	0.04119597856	-0.1439447253	-0.4281682019	0.4814836267	1.282411434	-0.4780909147	0.1892439675	1.950839725	0.8190123626	1.041508732	0.2729757664	0.6121785347	-0.4288088609	-1.151906317	-0.9060896026	1.077558243	-0.02745862878	0.4962379385	-0.6008362587	0.8400586499	-0.2052905427	1.94081669	1.235873409	0.5788881407	-0.9051486036	0.2993108028	-0.2161291792	1.762679741	0.8052541414	0.6097280864	-0.03841329313	-0.02106326541	1.531381359	0.1155774392	0.7427728272	1.906683338	0.2584554265	0.5996347114	-1.00969703	-0.2669793536	1.05690653	-0.2337961131	0.8996222862	-0.2749282226	1.528933382	0.5967088515	-0.9256715432	-0.1435203891	0.9710378906	0.4619676276	-0.3679166952	-0.7127405776	-0.2564356672	-0.2519862554	0.9555361433	-0.2394292458	-0.4226815301	0.8339300009	-0.3052333667	2.119643177	-0.2379172702	0.4169334329	-1.213167636	-0.7165541621	0.4561290038	0.9322589542	0.206560031	-0.6325645002	0.3079149685	0.0354577659	2.029532457	-0.5841957845	1.420518541	0.8151435566	0.4352089665	-0.4289351225	-0.09578895568	0.6440017158	0.4857951189	0.5403583231	-0.02862395807	-0.6541974054	-0.9968494529	-1.374109907	-1.23463352	1.270801664	-0.4611807353	-0.3601250966
0.2325053687	-0.4965664141	-0.09785349893	-1.470829133	-0.8319241252	-0.2310163501	-0.1448580656	-1.130648021	0.8778464803	0.4956456553	0.06807342764	0.9967816344	0.3544451697	-0.8420428193	0.2000793787	0.03397950172	-0.5458103917	-0.8801653171	1.057788499	1.272149547	0.4995271866	0.4178804092	-1.720646505	-1.126761085	0.7655532338	0.6490997244	0.7292892345	1.441965376	0.5959702716	-0.7552845743	-0.08328575689	0.5360349676	0.5191887531	0.1418194338	-1.539859572	0.9818633226	1.992774212	-0.3985864779	0.8890044862	0.9312958782	0.6797133186	0.365056656	2.626034952	1.163190913	0.9263743009	0.7376374025	0.3334109859	0.3424310503	0.1374874994	-0.1670824612	-0.3349815675	-0.6305913558	-0.3446680856	0.6161812212	1.049599727	-1.721308888	-1.905985038	0.4387378146	0.6258004663	0.1065335885	0.8735095649	2.372948907	2.725408327	0.6118551986	0.3094266233	0.7385077662	-0.6465725679	0.8686039078	0.3950955999	1.889715465	0.6024365041	1.949394116	-0.7376676172	0.3030986036	0.8908739029	0.8441298011	0.536654342	0.1502523766	-0.3632061952	-0.0198577107	1.186870126	0.198999266	0.1741111605	1.894877818	-1.949929951	0.1520469099	0.1706133569	0.0123939663	0.2972799333	0.5524104004	0.8968940439	-0.004798999054	-1.558137801	-0.7695596813	-0.5556976501	0.2072049222	0.8111055201	-0.6852263467	-1.333397591	2.775217926	0.1042489076	-1.857996679	-0.9614897969	1.071749738	0.1130210658	1.759400318	0.5696147503	2.257212178	-0.4015417162	-0.6425697716	-0.163611814	-0.5995393528	-0.283126133	1.125380552	0.9798126691	-0.002975210593	-0.1169940655	0.2954325809	1.355763367	1.231504176	2.028078613	0.1346417973	0.01774620561	-0.9352841217	0.8431760434	0.2404700483	-0.1483829735	-0.1113098094	0.2723747181	-0.1213635599	0.04215266683	0.2014291888	-0.9712626851	0.4713961801	-0.8215451805	0.9887941476
-0.574474927	-0.4532819561	0.3442560114	-1.357761217	-0.7023396408	-0.2217192687	-0.9623811347	0.8454606193	-0.3140821466	0.04048198265	0.1084932867	1.093657655	0.4516176866	-0.7455603467	0.5296446359	0.6647078521	-0.5568551321	0.8703402876	-0.1939850187	0.1132464006	0.824411109	-1.177425587	0.4192999532	-0.07775321347	0.6402712776	0.9507759973	0.1983492386	0.4053138109	-0.01509323388	-0.4106053211	0.6918965168	-0.7132745236	0.8886779238	-0.09937162978	-0.5389947631	1.046718618	0.5218891837	0.2898036579	-1.258989157	1.515476319	-0.8470352067	-0.2216428446	1.873364765	0.4740702045	-0.2685688847	0.08765775934	0.2112095372	1.701403321	0.4082130921	0.0709887291	0.0207036198	0.2074254125	0.2133525652	0.6734191537	0.4681714915	-1.382640254	-0.668176629	0.9861072369	-0.8708470383	0.754842489	-0.4939951327	-0.09443256192	0.1518639821	2.138556695	0.3666187877	-1.322967217	0.3177159257	0.826102038	-1.006886236	1.658479038	0.2222246998	1.451214623	-0.5134066174	0.2374100596	0.6171956875	-0.6512410452	-0.4042678661	-0.03012906557	0.005088488988	-1.634268003	1.672614834	0.3845380476	0.7337765427	0.4216775595	-0.06703649666	0.05762445268	-0.07964545968	0.7323782011	-0.06671850068	0.4082842529	1.10062061	0.3093939326	2.151817609	0.1477612726	0.6536028241	-0.3608776894	1.39320694	0.4386885907	0.3711502807	-0.4837129375	0.9950776003	-0.2129248641	-0.03879013829	-1.04186477	-0.2559311121	1.343327043	0.3100373661	2.178092747	0.05914098328	0.1286371114	1.150260775	0.8860397389	0.5940116023	0.770912146	0.186844639	0.6542106137	0.2378152403	-0.28982739	0.5864576337	1.060568054	0.5256265716	-2.16171978	0.550178723	0.2907096209	0.4177264449	0.2205612017	-0.2692643488	-0.4207907291	-1.882984892	-0.9588132537	-0.2500127981	0.3640975425	-1.942214179	1.727208715	0.7576178357	0.04488728037
-1.325067302	0.1846347843	0.3095005499	1.738806521	0.1909641207	-0.1810404692	2.00588591	-0.3363995752	-0.04997369293	-0.2161524211	0.07129507654	0.8664195708	-0.1555848201	0.5232413845	0.6405419254	0.568109982	-0.6234792165	0.3591056233	-0.6215197814	-0.8766920627	0.5236305066	-0.7612910415	0.9309544156	0.5812787523	0.6555064904	-0.5658786379	0.4457668788	-0.0402086397	-0.9097327979	-0.1571345505	0.465270703	-0.4457860317	0.115821208	-0.5096459445	-0.0862944957	1.891983879	0.4670686659	0.4536832152	0.7580005519	0.357322236	0.8144625375	-0.08989801722	1.462059238	1.439802968	1.228946088	0.1898239605	-0.1813116668	1.342686169	0.1724550578	0.9289009518	0.2310643142	1.458173559	1.952333559	0.07527840495	-0.6196887728	2.722264597	2.477823941	0.1562872486	0.2699482659	1.071532837	0.5019868614	-1.154512209	-0.7978366037	1.808710834	-0.4957773424	-0.9281642009	0.4428592719	0.9113878071	0.03705628505	1.589145629	-1.193465008	-0.08509323538	0.3233955306	0.8618798799	-0.5652049875	0.717824251	-1.197625818	-1.261988688	0.2213032902	-1.399442824	1.501288636	-0.4753457385	0.7262507606	-2.629022945	0.2088852041	0.1195095157	-0.1876841357	-0.2854182162	-1.159950774	-0.01600819688	0.7853728278	-0.2052756432	1.246165759	-0.4733154444	-1.023008771	2.048191519	2.491277333	0.6527443003	0.5908583025	-0.2308228382	1.914089875	-0.4958262181	-0.3180175122	-0.7000208995	-0.3417878605	0.8600104601	-0.8421269172	1.652665854	-0.6441891963	1.170460467	-0.4684370723	0.6666257301	-0.4148424129	0.1093155892	1.329360851	1.247897808	0.1137814747	-0.5183112973	0.8370377702	-0.2253481712	0.7582177688	0.7792349064	0.4693227609	0.8283035116	-0.8712713169	1.314238783	0.1826774548	-0.05261840373	-1.904166333	-0.5566786051	0.3676755771	0.2171509222	-0.4332102194	-0.6266804063	0.2491540559	-0.8004443149
