melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081
-0.9219833002	-1.213305759	-1.036542981	-0.2168618102	-0.6681006905	0.3465861613	0.9758451064	0.4222934409	0.6610780032	-1.216105682	0.6543680211	2.150185691	0.05266720869	-1.727310677	-2.345786945	-0.03974778469	-2.610185487	1.24057298	-2.316487713	-0.389945919	0.2790568121	-0.9415214389	-1.330787599	0.1776043437	2.891764386	0.0466975328	-0.9655756727	0.1903619814	2.230075316	-0.8620231384	1.617503584	-0.1225483469	1.985775751	-1.083276758	0.6432420774	-1.361273556	-1.055930523	-0.7337358134	1.755847035	1.09601679	0.3995559714	-0.922449947	0.01492031088	1.958217796	0.1282716493	-1.459424476	0.2492590494	-1.946319655	-2.400272894	2.073376118	-0.368279142	0.7886879331	-1.840825508	-0.05250933795	0.4072121277	-0.1268203576	0.4296850728	-1.048289888	0.4952991709	-2.570805248	-1.621814144	-1.24118213	1.372696216	0.0821295442	1.025866143	-1.168956439	-1.000828771	0.2304300369	-1.4258503	-2.29210133	2.642386546	0.05511045329	-0.05358636956	0.4026160477	3.368955224	-1.054027722	-1.374326694	1.082490674	-1.278196749	-1.997404717	0.06654258073	0.1968752423
2.027245003	0.9794602372	-1.37696997	0.7504812309	0.3685338131	-0.7492011355	0.2836022543	0.5068665296	-0.1003751789	0.8802914515	-0.7788782261	-0.613090996	-1.118933063	-2.075840771	-1.880095582	0.659699146	-2.2868721	-1.34327493	-2.124680311	-0.7630573963	0.07863111715	-0.9414622606	0.6296563602	-0.8525503896	0.5126823212	0.3495695056	-1.064554329	0.4400870939	2.314613496	-0.4760835821	2.29991599	-1.100159906	0.9305443501	-0.2503813508	-1.119708979	-0.8299258529	0.22778657	0.4574943359	0.8679444115	1.459669931	-0.5533620242	-0.7832026652	-1.91173013	0.7697951332	-0.2303934021	-1.07962606	-0.1375204829	0.2132146722	-2.32262605	1.701089322	-0.0179214766	1.398426516	-0.8565433946	-0.2438077776	1.302609108	-0.8917087233	1.011654875	-1.956957625	-0.7468568941	-0.697887064	-1.233962399	-2.583657423	0.5400921185	-0.2191294665	0.9141177839	-0.04276765644	-1.846791956	0.3849723502	-1.837691517	-0.5331485088	2.334346296	1.547438796	0.1947801704	-0.5852565556	0.3487470901	-0.4672465112	-0.5449436388	-0.5612235943	-0.8834355386	-1.597274936	0.4927301633	0.4292150412
-0.9667926067	-1.134083539	-1.40759704	-0.01275266807	-1.374895261	1.220057873	0.4234367237	1.273915832	1.660301746	-0.6740416951	-0.8669243098	-0.8913162359	-0.2842494226	-0.07632482815	-0.7556442618	-0.468884262	-1.281452411	-1.151172153	-0.8841580954	0.1005133509	0.3852947007	-1.080229375	-0.8021664257	-0.1297144068	0.8610469791	0.7217991595	0.2731930478	-0.5265287318	3.062659695	-0.7469700552	3.371559591	0.006673961364	1.565234011	0.9047442836	-0.7197635342	-0.793195974	1.490350269	-0.1149694958	1.857091319	2.216925112	0.1380943264	0.9307017219	1.467823777	1.13403003	0.4493568594	0.6033565753	1.159368862	1.74631319	-0.6729671619	0.8647742399	0.4564360344	1.616164174	0.8446929858	0.7210348212	-1.595974666	-0.2487995247	1.762157347	-0.4377468554	-1.063376831	-1.22553808	-0.1674489873	-0.6556484273	1.037926026	0.5045638158	0.4090143315	0.5299329274	-0.5220016055	0.232805876	0.225220773	1.068415642	0.8912576847	-0.1921870296	-0.4623736197	1.152165855	0.4452034928	-0.1086998834	-0.7417913018	0.08106941224	-0.7954584561	-0.8091750607	1.402719264	0.8526497139
-0.5918924203	-0.4296962141	-1.572537437	-0.6996916405	1.057025448	-0.3487268011	0.8098048201	1.976826045	-0.1192248261	1.467560447	-0.1411132187	1.389620314	-1.489257187	-0.06728987573	-0.2472252321	1.892132436	-1.142804733	0.8469006279	-0.5404703846	-0.6483740304	-0.03865821895	-1.980540282	2.069465905	1.107586107	1.371456297	0.1353401699	0.3330536553	1.867562549	0.8024849841	1.422768364	0.8850422764	-0.8083399699	0.4159181923	-0.1639789003	1.993240086	-1.350429877	2.28405003	1.070311129	0.5637378787	2.009832973	-1.370998405	2.056639444	0.9626192259	0.1027717869	-1.266584426	0.7617640181	1.220481687	0.3243778655	0.245654535	-0.7870697263	0.3370631007	3.127043228	-0.330900812	1.12130359	-0.4690280537	0.8792560705	1.08954384	-2.36503838	0.3070952395	-0.002999941359	0.9226342822	0.3553787107	0.07816969649	0.2918450239	-0.37293782	-0.4717096386	-1.085804216	0.4832404522	-1.280117767	1.563281153	0.4931762815	-0.05565193667	-0.8079999285	-0.6812612065	-0.815694139	0.1274524983	-2.307135544	-0.3297757767	-0.9625475478	0.403598209	2.344855848	-1.162351759
-0.9637851527	-0.3585959561	-1.25112027	-0.9902217879	1.086959629	-0.956185936	0.4365628853	-0.1884099508	-1.065346827	0.1460621828	0.7150876267	1.388259025	-0.6312267854	-0.3797311886	0.2322671123	1.698776798	-0.7297310537	1.29200789	0.003700608043	-0.05397566	-1.449970456	-1.57340943	-0.412878246	0.6847469107	0.7118495749	-0.4404520854	-0.3926808198	-0.5935361052	-1.002558939	2.309402581	-0.06516390246	0.9382293997	0.2845413176	-1.487809346	1.05219601	0.09642309374	0.9469717942	-0.6363113951	0.3306397793	0.8322674417	-1.298891551	2.115191085	-0.6530223029	0.274431325	-0.08815545336	0.167170294	0.5575209698	-1.061012327	0.7403777556	0.1526129601	-0.411311436	1.474047445	1.286858584	0.09327088052	0.8384352919	0.6029533697	0.3541546682	-2.483446492	0.5735341365	-0.5342369486	1.245992088	0.1261945072	-0.2824416157	0.7895536538	0.1077534376	-0.2564396235	-0.7258575616	-0.2135215046	-1.335208888	0.6940287959	1.119877302	-0.901352597	0.2628829112	0.09056522656	-0.02838085206	-0.357059731	-2.150806548	1.33054202	-0.4313540491	0.7027123584	2.24744645	0.4964406775
1.679595213	1.153435808	-1.544112931	-0.4065002377	0.6636203063	-0.3356753475	0.3097320354	-0.8609270943	-0.770192907	0.6393185695	-0.5857730933	-0.2199810721	-1.172866467	-0.9761014061	0.4181284389	-1.595460106	-1.020694239	0.2081542872	0.5340098165	-0.4450139945	-1.731429241	-0.9736683714	0.1653480367	-0.2526893125	0.4240393869	-0.2472725398	-0.3375981075	0.5078217802	-1.487628833	0.4108700139	-0.4659696346	-0.2378697272	0.9513317284	-1.736164904	-1.141022303	-1.867423684	-0.2579507999	0.4151701173	0.5930357433	0.2393486297	-1.036679007	2.02046094	-0.07211410827	-0.1692010468	-0.373162775	-0.1104590619	-0.3124765198	0.1845321727	0.3138809328	0.5037339512	0.4170168423	2.028640041	0.1353514976	-0.534785325	1.040311547	-0.7236337545	0.6253965989	-1.538949359	0.2525344716	-1.037961873	0.7511854377	-0.9563132247	-0.08830048218	3.156441744	1.186836184	-0.5592245115	-1.558150788	0.5049135461	-0.7182410783	0.1311842314	1.281115912	0.05832427023	-0.8313446407	-1.14854892	0.6977193342	1.286154124	-1.223902857	-0.2517861245	-0.2228628949	-0.4992076057	2.186720427	-1.702236658
-0.4180022419	-1.237162248	-1.325593701	0.2203644632	-1.542622789	1.479168543	0.1238692354	-0.001406602724	1.936629265	0.02968116761	-0.7812863651	-1.836998964	-0.9923876386	0.44435478	0.3219136087	-0.09609787826	-0.3380510786	-0.8005437739	-0.172690345	-0.4004448254	-0.8527480824	-1.031529717	-0.2343325522	-0.2375762284	0.4184108989	0.323036581	0.9976463505	0.3321853639	0.1077590046	-1.171678927	1.265683015	0.5977619153	0.8662741002	-1.526102689	-0.8471247004	0.03536889302	-0.07587410071	0.4158667487	-0.1420667301	0.2109156798	-1.039479482	2.103502599	0.6925721818	-0.03798619843	-0.7357647936	-0.1219687289	0.3945248411	1.320530139	0.6529932104	0.4552954772	0.9385341175	1.202423633	0.6418682369	-0.2691888593	0.4747050963	-0.8363449265	0.5357598617	-0.9868200426	-0.2187637423	-0.4664562889	1.696015674	-0.3489164067	0.5855179325	1.368608617	-0.04289507942	0.8164279912	-0.7243416323	-0.2102616808	0.8438200732	1.140161562	0.1547196618	0.09932363345	-0.04347506276	-0.8175583781	-0.5511171005	0.5490011399	-1.443179337	-0.3047447422	-0.3919258875	-1.234561622	1.648040554	-0.1097373234
-1.057615032	0.270185434	-1.478180477	-0.8001444955	1.257135333	-0.890840695	0.03609680887	0.3394660696	-0.1665483944	1.004724128	-0.5852652834	0.669924977	-1.004577321	1.629326621	0.2717388453	1.214987464	-0.9373552086	-0.4373974205	0.4023689797	-0.4108170437	-0.0806114419	-1.092926077	-0.4463405769	1.078412008	1.213905339	1.089644119	2.471003793	0.410310709	0.5925308789	0.8485691954	1.551835908	-0.3110049161	0.4950090771	-0.5202307075	0.6032158653	-1.71959725	0.1924516086	0.6355028211	0.07743434305	2.24950114	-1.163239473	2.675362478	0.173018087	-0.7663864885	-1.207589499	-0.5057212513	0.3678859834	1.037282878	1.187440663	0.1947254528	0.9326392327	0.7911985406	-0.5189287456	-0.4429435204	0.08638264038	-0.2802294824	0.7226841005	-1.546078552	1.445057988	-0.3287754687	1.488995372	1.420793638	1.059322522	2.771667766	-1.011851957	-0.710069725	-1.066219768	0.6211199333	0.6084265882	2.538337689	0.004147649092	0.9526355687	-1.615202394	-0.7173950747	-1.213142772	0.0481523634	-1.927083312	-1.729117196	1.149934021	0.4967287125	1.750029295	-0.4490430489
-0.4964018406	1.503168673	-1.444222344	-1.135436603	1.412864388	-0.7439940211	0.03602275437	-0.8202981535	-0.9727171691	0.2143823311	-0.4268249969	2.480472221	-1.032820324	1.858552829	-0.965983616	-0.1054525254	-0.8139016567	0.4035754259	-0.6017018795	-0.3470129823	-0.6121478109	-0.8124782794	0.3024829411	0.990012514	1.601602658	0.2064741361	0.9560278762	-0.5717831496	0.557759454	1.56172367	1.2023059	1.212585474	-0.2427145263	0.1904426621	0.2267783384	-0.2070684164	-0.345716316	-0.126821081	-0.484728835	0.6954454374	-1.483358957	1.850214012	-0.6658953621	-0.5511373028	-0.7825322264	0.8126138232	-0.01186259616	-0.005992593497	0.8772707933	0.2072235912	0.6857225281	0.5565425864	-0.8296706653	0.1145573273	1.028489537	1.137339782	0.06487326584	-1.256729358	0.3305695206	0.03427610302	1.30955711	0.7651621261	0.391219584	1.848461194	2.037201685	-0.3361754324	-1.641004721	0.6329010651	0.4347238975	2.163425606	0.08835174231	0.5308297546	-0.1994255181	0.7801415478	0.3555225606	0.7952119434	-1.130435672	0.03543254699	0.7876358368	0.6046395267	1.770717544	0.320564649
0.1380701577	2.095984059	-1.503234971	-0.9990002984	1.117323906	-0.5518497694	-0.2695549886	-0.6828812891	-1.633133477	0.1929327763	-0.6479242326	1.484432185	-1.205903378	1.447692464	-1.056948535	-0.6236557099	-1.455574267	0.238258683	-0.09701896302	-0.4982965533	-1.299155458	-0.5434002255	0.7727028848	-0.117083202	0.7911106734	-0.7672064101	-0.400947262	-0.327961541	-0.004998750031	0.9016887344	0.1522460324	-0.09990795119	0.02993634761	-0.0977058954	-0.3288728357	-1.851427053	-1.632192754	0.6301970445	-0.4139844157	-0.6979276799	-1.41316011	0.3168995354	-0.156309453	-0.8952477005	-1.317083328	0.1697077103	-0.6052259361	-0.5238636051	0.3402202188	-0.6126515549	1.260119425	0.2784548929	-1.376698507	0.517433449	0.7321797758	0.4875303531	0.1252744759	-0.9952795299	0.1768155753	-0.7618783182	0.05357762489	-1.027894498	0.02873640724	2.353119943	2.798676999	-0.6139316086	-1.726945871	0.8509935245	0.5671709262	1.351048353	0.8266956626	0.3041730624	-0.749191118	0.273956321	1.232054894	0.5806443655	-1.573904681	-0.2948121386	0.5187172992	0.5913720664	1.891181943	-0.9763537918
