melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140
-1.327396219	0.6462150578	-1.012183762	-0.7073029511	2.622832018	-1.08928699	-0.8563813401	-0.07870515788	0.4224534334	-0.653315505	-0.705833882	0.6854630001	0.118339404	-2.4772368	2.092392384	0.7545654981	0.3471225013	-0.8128500289	-2.238969157	-2.004633942	-2.166184323	0.07974058031	0.354696379	1.692278088	0.6653559438	-0.2331825438	-1.682556655	-2.589969091	3.295798668	0.4386840961	-1.048889901	-0.1751744098	0.7897140996	-1.435400121	-0.07420960581	-1.044947281	-0.7281974673	0.1042674235	-0.07268005711	0.5078940579	0.06813874766	-1.574646351	2.032236902	-0.3694654384	-0.1510755784	0.08056031043	1.218160703	1.194978408	-0.4513694321	-0.9299723474	2.298923973	1.769529862	0.4959278673	0.06096952392	-1.10770744	1.55863875	-0.9074392036	-2.003262472	-1.382900931	-0.7991218986	-0.5122709255	-1.287846247	-1.347464001	0.02796971364	1.362925199	-0.1140171005	-0.5080083301	-0.8221718999	1.785501108	0.9420848373	-0.7730747969	-0.5728293699	-1.0426951	-0.1647020568	3.412358834	2.056715309	0.7118268251	-0.008328587437	-1.080517643	0.7149832256	0.6608089736	0.1315996781	2.052357012	-2.354713992	-0.6176871039	0.7063005451	-1.742575265	0.7221938143	-0.9446676968	0.3586773415	-0.106960128	0.1771912116	-2.188184974	-0.003698278619	-2.164446052	0.4861285112	-1.03198244	0.3677076162	-0.7520685975	0.5583525465	1.389359102	-0.6382412037	3.710588125	-1.164712191	-2.296215825	-0.8103698517	-0.02482614901	-1.523283174	-1.25971009	-1.293905809	0.6097413795	-0.6529447987	-2.265922578	-2.195798019	-1.239354029	-0.8859151879	0.1169205018	-0.6500295991	-0.8742617169	-1.014827939	0.7748550934	-2.303853806	-0.08006014786	-0.1704290746	1.675097004	0.5409464524	-0.4350088735	-0.1914039306	-1.13696009	0.128421451	0.7200727212	-1.868467355	1.38524635	-0.7587907134	2.065432244	-1.774186412	-0.4955994681	-0.7124554672	-0.4369072486	0.9039578882	0.1423005186
-1.186558746	1.058331487	1.928692662	-1.253643995	1.402434559	0.7797243475	-1.352083968	-0.06786733426	-0.3880502393	0.2917892906	-1.523888594	-0.7610694853	1.085552811	-1.923291635	0.4767586655	0.1036942749	-0.7313920323	-0.3318771197	-2.251128855	-2.188661626	-2.208795147	-0.7932507652	-0.4294551913	-0.5895721933	1.019183977	-0.3106307813	-1.432143475	-2.703343213	2.639497467	0.7893632164	0.2130448498	0.2997081955	-0.6214780063	-0.4958195848	-0.7227750329	0.5136166115	-0.8380862749	-0.5377001408	-1.93105317	-0.205671493	0.8009580412	-0.5966518989	-0.3447985467	-0.1164307047	-0.1365431267	-1.538371494	-0.5704979766	0.7936531029	-1.10812097	0.01731949534	-0.100754334	1.462833125	-1.347542633	-1.841887914	-2.190541795	-0.1523561284	0.9052221676	-1.445758913	-0.9109136678	-0.2713207581	0.240522834	-1.124496954	0.5760017883	0.06523981893	1.309424269	0.1850636293	0.3982512604	-0.04571844171	0.985213591	0.2910217243	-0.7413128936	-0.3002108423	0.5541706292	0.7511713941	-0.1268926374	1.363054601	1.215492024	1.124400049	-0.04450723652	0.7531397268	0.3711125671	0.3248908085	1.788885855	-0.925507363	0.6863844628	1.135082205	-1.288487189	0.3919937965	0.3133044927	0.4903485426	0.2515044974	-2.131361921	0.8196595228	0.8579083597	-0.9770756396	-0.01492260781	-0.9231257752	-0.09593265708	-0.4705155458	0.002300112886	-0.01993922111	0.6309000708	3.306655272	0.4679767216	-0.7654940901	-0.4491205154	1.102058018	-1.145839051	-1.736237361	0.9249183676	-0.9207434388	1.650521082	-1.704577271	-0.876316888	0.3792628168	-1.465575637	-1.000092912	0.08701549343	-1.926472124	-0.5159877262	1.683093273	-3.221144393	0.241060569	0.7389452068	1.448315394	-0.8101064662	-0.4526066148	0.9043012377	-0.9954327236	0.2796505848	0.9654744041	-1.837307467	-0.005842764774	-0.4619920869	0.4147208622	-0.7992790316	-0.2083149722	-0.2755137647	0.7095908252	0.0008260791393	1.333398734
-1.218022774	1.088804792	-1.012952448	-1.133650786	1.354563656	-1.182344811	-0.9294464677	0.5666116405	-0.6774334216	-1.070432281	-0.7413948644	0.1356530504	-0.1268221104	-1.583984426	1.150267231	0.9820129969	0.2446314037	-0.9251241486	-0.7989080565	-0.174290306	-1.080766577	0.2574387035	-0.04428093312	-1.296260467	1.588268505	-0.6772186233	-0.9457159004	-1.293616257	1.57305338	1.751434472	-1.175508915	-0.5894853382	-0.9828261327	-0.7662073013	-0.07327229264	-0.8719782875	0.9380788781	1.302773779	-1.863292517	0.98661652	2.114761075	0.1019266781	-0.9172071021	-0.7001396597	1.470885742	0.9742965244	-0.0001690008893	-0.4299717566	-0.9128749112	1.545917079	-0.6128507074	2.359351542	-1.423554875	1.469057174	-1.865958478	1.000150386	-0.4345447353	-0.08978779364	0.7198140497	1.063617077	0.7544503469	0.7181232882	-0.06345742409	-0.1458796948	1.330379682	1.328643159	0.1432166479	0.6484580231	0.9155479817	2.124518501	-0.8614345837	0.3530154709	0.8046285005	1.213049142	0.2997609318	0.9101348224	2.021804479	-0.8687948772	1.21123795	3.376125228	-0.7876658794	-0.2334057977	0.6106095998	0.2351846775	0.03697090586	2.170787648	-1.041654226	-0.3097306495	0.5143048596	-0.6839299536	-1.13283061	-0.4130472946	2.712110901	0.7506874018	0.6950941429	0.09343274681	0.02898227314	0.3102234906	0.3601575006	1.978089286	1.789920203	-0.1667196799	2.536469066	-0.330033407	1.435981898	-1.617930796	2.03118346	0.01532035826	-0.1106694799	0.05647806049	0.4668538734	-0.3189740482	-1.49735248	0.3331219072	1.699480232	-0.1941420818	-1.575834428	-0.1662415416	-1.344383342	-1.117677715	0.0118932844	-2.892183652	1.777331455	1.158347521	2.14599412	-0.9166323747	-0.3499962902	0.6856988464	0.129907283	0.8789866561	1.782453185	-0.6432932263	0.1687724689	0.6960542842	0.155737664	-0.5640650818	-0.7002302003	-0.2879585341	1.404101321	1.30408721	1.746972872
-1.542832365	1.399190539	-0.6686891015	-1.451602764	1.045330354	-0.5253851347	-1.622977714	0.3135710186	-0.04290635255	1.210370513	-1.137402065	-1.092355702	-0.7850283342	-1.664081097	1.167565556	-0.04282958643	0.2687967883	-0.8340745078	-0.2985038028	0.02284343999	-1.042858183	-0.2294173906	1.353353218	0.798376779	1.158055744	-1.244212872	-1.31585616	-0.3726854888	0.4094388174	2.020343602	1.143742047	1.597094089	1.443214539	1.900493083	0.6927547418	2.536375538	0.7497896476	-0.6811363439	-0.01899922141	-0.6464679933	0.8048499639	-0.4175852408	0.3644370186	0.6514737542	1.613277345	2.020059455	-0.7040347058	1.471004198	-0.595401767	2.34172496	0.8453717706	1.045850441	-0.9066264859	0.2542054954	-1.461826635	1.962019346	0.6322581565	-0.1680932895	1.539617428	0.5418792687	-0.05748379328	1.616769172	-0.1572656984	1.565176264	-0.4826869157	1.701647066	-1.022654926	-0.4328096081	-0.2704788782	-0.4932040824	1.270044834	-0.3658667927	0.09123057384	-0.9219557521	0.9333325265	0.9584036421	2.765004821	0.796305757	-0.4922879742	1.549854169	-0.9174700466	0.8429937499	0.4588657217	0.6109121972	-0.07281196343	2.623400881	0.1229479787	-0.5602841727	-0.5424218053	-1.411507863	-0.791940448	-0.1628070077	-0.1076178007	1.921037843	-0.08055252687	-1.146117666	0.6380033883	-0.2569682193	0.7611487506	0.770674689	0.5616451813	-0.3126556588	-0.2514044616	-1.285150688	1.577512657	-0.3534105951	2.032285905	0.3974256367	1.378812202	1.136010731	0.3507921814	0.812540141	-0.9958757565	0.3890163969	1.46221991	-1.326654925	-2.012090477	1.319001958	-0.7598057018	-1.160223481	-0.3321542005	-2.075830967	0.9309625983	0.8163773478	0.9834438548	1.012812338	-1.941973279	0.7656224021	-0.1897492942	-0.3098587017	-0.6509231461	0.1143689244	0.4195984687	-0.798116974	-0.6838972827	-1.084250244	-0.5684936013	-0.5161959459	-0.8811010576	0.4983132764	0.2145259435
-1.244356058	1.1629435	-0.9591281697	-0.8906002362	0.4583455779	-0.3546780746	-0.9171015014	0.4854190826	0.3642041006	1.275690011	-1.122367334	-0.7614146265	-1.010098532	-0.8621989306	0.9406777717	0.1055223798	0.8130404276	1.049755339	0.04942689295	-0.473309694	-1.469418638	-0.2795849026	0.912727293	1.05514407	-0.06396819555	-0.7348440967	-0.4835702232	0.4077643183	0.8478071051	1.348027481	1.30481111	0.4003033646	1.050820866	2.104374122	-0.3776125772	-0.1410751553	-0.6296669083	-1.124471124	0.7111198486	-0.4836202988	0.05121996833	-0.6063659621	0.5493388644	1.282329849	0.4202326396	-0.05130508869	0.385354441	-1.03698068	-0.0816125337	1.419259427	-0.1666555341	-0.8276352867	0.5012758286	-1.818277529	-1.096475167	0.2728022841	-0.8468670289	-0.3547153236	1.111692647	1.258968262	-0.7416776595	1.557028733	-0.8237882721	1.088519934	-1.36262174	-0.5392035335	-0.2480029454	-0.9527481886	0.001432400486	-0.9488725149	-0.1521207013	-0.4056070296	-0.2477792559	-1.343668699	1.058003123	1.095761369	2.071484551	0.5109363822	-1.347035915	-0.5547328066	1.505028928	2.069762625	0.1753522698	-1.443566061	-0.4060248049	1.646402656	0.1593454009	-0.009085926285	-0.4842984502	-0.8838706506	1.177810211	-0.05362152932	-1.640548744	0.3531319798	-0.8518480253	-0.4631483145	1.072304238	-1.652682549	1.323708984	-0.9794414521	0.6897394672	-0.4839937837	-0.8146417976	-0.8977611455	0.838750053	-0.08191026312	1.628690248	0.2670410006	2.528464599	-0.9054609117	-0.5089931532	0.01706972559	-1.554589675	0.364197063	0.5108154454	-1.579962077	-0.6871730104	-0.2046307838	-0.5499780929	-0.205252463	-0.6837568844	-1.14728569	0.95455134	-0.5542250975	0.389640364	-0.7019615416	-0.9135152436	-0.4454481281	-0.625599945	-0.9738110794	-0.470992749	0.9592406063	0.2825971738	0.8466951257	-0.1694729811	-0.6754865843	-2.204227861	-0.1683534957	-0.1725263649	-0.1592255213	-0.1167237225
-1.359585162	1.32719065	1.654954402	-1.550595406	0.9551889761	0.987969334	-1.426529448	0.3735749344	-0.6486657203	0.7615382109	-1.497310083	-1.201654941	-0.3358840176	-0.7345449981	0.7026682428	0.6515850239	-0.2148194847	-1.090896013	-0.08448843218	-0.9786465393	-1.535209115	-0.3563424958	0.5705789137	-0.5143874856	-0.759885209	-0.3227517418	-1.42334954	0.6284596515	1.148405337	1.199002838	0.6402925999	-1.33470207	-0.670790743	0.4474510074	-1.495276702	0.7356407214	-0.3213597773	-0.2237818614	-0.04210819433	-0.2258840358	-0.6034376627	0.1947990904	-0.1236361608	0.3893896165	-0.7915773078	-1.220786036	-0.1163509777	0.6913418227	-1.140386099	0.3057557442	0.05154190142	-1.356096668	-0.5902289141	-0.429206647	-1.799330307	0.0356880178	-0.3675468156	0.5307836244	1.085871973	0.274631666	-0.07295833121	1.482209457	0.6148275243	-2.16964506	-1.03774967	-0.8924396667	1.008137314	-0.4591611052	0.5673330404	-2.014413928	-0.5472872854	-0.2687636872	-0.1237638791	-1.060315059	1.142299279	0.9939587263	1.895937734	-1.032358789	-1.475683345	-0.5058508514	-0.5401770944	2.001987703	1.047544	-0.4302833543	-0.1006510745	-0.1962289188	0.5449598237	2.085006896	-0.3079433389	0.924879009	-0.3016410362	-1.970354124	-0.3021150907	1.493874803	-1.606140953	-0.7887825323	1.193922944	-1.331842335	0.8818191032	-0.4298649386	2.043598793	0.9003719348	-0.8560576411	-0.7806535682	0.7380431166	0.4295462834	1.963136174	0.182191402	2.292674932	0.5662833596	-0.488464078	0.2175003231	-1.895437893	1.289637608	1.406088191	-0.6262372931	-0.310913718	-0.6943051321	-0.7621366546	-0.9206007313	1.1107874	-2.383373045	1.198993245	0.1903891104	-0.02395056254	0.09638904903	-0.4655382855	-0.227878622	-1.254982321	0.6357080867	-0.5885640062	0.7627580318	-0.1580638042	-0.03508369045	0.3438388376	0.01709204649	-0.2234336104	-0.2321233873	0.5437685086	1.145046175	1.542183635
-1.096861009	1.000240219	-0.435860893	-1.344593717	0.6802823453	-1.225724439	-1.25397217	0.1593372983	-0.6156116972	-1.403572272	-1.514006971	-0.8561656996	0.125681942	-0.1041063811	0.7901484145	0.491564666	0.4062005264	0.2135112971	-0.1361798645	0.4181327363	-1.505270117	1.113265939	-0.2847097771	-1.777762889	-0.009980643779	-0.8463668949	-0.6677477398	0.6549443265	0.2092379846	0.7033910839	-0.2136487793	-0.3819490714	-1.081163945	-0.8940608221	-1.29723482	-0.2020151976	0.9553365629	1.278378663	-0.5072396917	2.117010579	1.144893204	1.135497519	-0.1090989708	0.1291156353	-0.6066725249	0.8687780384	-0.376018206	0.3851027171	-0.5825729192	0.3393890546	-0.9038852324	0.3530473731	-1.35795241	0.06597341448	-0.8110516123	0.3975517775	-0.4387046608	0.8335208894	0.5191227503	0.6857166572	0.7034657777	2.095825562	0.3139040769	-0.3462908642	-0.3654727794	-1.596438835	-0.3199582698	0.4153140882	0.3608005622	0.296747588	-0.4027820519	-0.2350174306	0.2964993207	-0.3735737234	-0.6443796741	-0.2077704678	0.7711139172	-0.1756717866	-0.730892721	0.5280686535	-0.1344751908	0.106916244	-0.9328244491	1.554903768	-0.5227651336	0.1849897344	-0.3498317758	0.8658647481	-0.003033441589	0.5935391728	-0.886472389	-0.3325400451	0.1609732715	0.2451012579	-0.007909103208	0.3465469888	0.6869973301	-1.080916562	0.9077957514	1.21833696	-0.5204741569	0.2672973497	0.2327675785	-0.7119635706	2.037033502	-1.460095481	2.064110944	0.5758372037	2.454584837	-0.1036469844	-0.5582293953	0.4775678241	-2.186190332	1.067208072	1.927980989	0.5427283457	-1.633459269	0.6055905161	-0.0796488955	0.007085900916	-0.03243034398	-0.9431070118	0.6589547538	0.4679835787	0.0701439963	0.6080169733	-0.1401384106	-0.1670511705	0.4087138599	0.04603573702	2.132546496	-0.190179095	-0.4964494778	0.3216654785	0.07439366538	0.8485651744	0.6882044656	0.7115837032	0.2915033837	-0.635163501	0.6210596429
-1.271560911	1.148310896	-1.019857233	-1.37545665	0.747213786	-0.1249932506	-1.609603501	0.5933156767	-0.760381261	1.448627544	-1.560618567	-1.018466304	-0.6992729754	-0.2223606041	0.9193042668	1.268139087	0.4501111373	-1.543166964	-0.3663809195	1.479318126	-1.623901334	-0.9394100657	1.140018546	0.7690130767	0.7903128511	-0.7624450035	-1.583519018	0.3989698811	0.6683798667	1.429011006	1.048104326	0.7320091754	0.363868989	0.7274883653	-0.1293975598	-0.7635554807	2.386298332	-0.972409729	0.5546964319	-0.5147444683	1.374818737	-0.06019598475	-0.3498455905	1.279235643	-0.1601333054	0.5427237214	-1.492716503	0.6977464796	-0.9711590982	0.5844756273	0.9972949265	1.32130753	-0.06602253643	-0.2462843809	-0.9846165959	1.287187465	1.453345718	1.259235352	-0.3127127538	0.1396635275	0.7038047384	2.728186817	-0.362841087	0.3330459869	-0.2823011762	0.5170800784	-1.022025144	0.5117697966	0.2213185267	-0.5042460709	0.5468630488	-0.1148199213	-0.08811291087	0.5385876836	-0.789881542	0.7746987091	0.6064658645	0.9979428925	0.2616166836	-0.869360608	-0.837012595	-0.107652839	0.9706836098	0.9741153605	0.8176875686	1.587322339	1.050883771	0.158679189	-0.8660834915	1.025098056	1.320014138	-1.278614199	0.9597512039	0.7759566861	-1.07380266	0.4915719102	1.043906452	-1.691177709	1.61506591	-1.436827113	0.3461859892	0.5210571599	-0.6502750201	-1.026460978	1.939990113	0.4800905001	2.484014483	1.241743667	2.143584636	0.4715574003	1.096377648	-0.4054894168	-2.033988177	1.34639553	2.565807666	0.5433618545	-0.3063235904	0.1269966633	-0.5213393223	-0.5523646462	-0.3538142805	-0.5061445074	0.7993961021	1.398414868	-0.234912307	1.243269436	-1.364439703	0.8549670052	0.6313611434	0.4539072211	1.720534686	-0.9033598891	1.148222479	-0.1785964496	0.3803612495	1.234567597	1.223633893	1.164526316	-2.097200761	-0.03161247186	-0.318982737
-1.361388802	0.8025840626	-0.5863228246	-0.7499304791	0.5947068952	1.562403303	-1.172170247	0.6625937327	-0.5563243008	1.373601945	-1.438942857	-1.18404183	-0.850646647	0.1613120749	0.8083139497	1.037633525	0.714658526	0.6125326863	-0.9946471094	1.728309855	-1.825455217	-0.2054707928	0.8796526503	2.161972806	0.297914265	-0.7571313623	-0.7998190368	-0.7419035438	0.6072587513	1.149834876	0.06403374637	-0.8218590441	0.9250005283	0.8642887494	0.2886712481	0.288008667	1.012214848	-1.064853722	1.231223681	-0.6870961502	0.7074834017	-0.02712419653	0.2922479848	1.835143451	0.4583183536	-1.207742472	0.413052731	-0.1840300228	-1.549293153	0.1101923611	0.2273597623	1.432755987	1.959553623	-0.04487452253	-0.3407362555	0.870558472	0.1200084343	0.3259553617	0.6948662273	-0.6641949602	-0.06579547541	1.505705428	-0.7803326866	-1.025227967	-1.364697617	0.04216776376	1.496236748	-0.4069803024	-0.1888279946	-0.6309818239	-0.0290553533	-0.4042681987	-0.2274195057	1.296514238	1.103241004	0.2865026807	0.6571909726	1.024636913	1.601835393	-0.5992058935	0.3806195934	-0.05438123994	-0.3138870992	-0.1086029959	0.2967537007	0.6232265441	0.7821668632	0.6739631845	-0.5771261009	0.2784299155	0.9561759622	-0.5515214168	0.01098163959	0.3012969325	-0.5463520337	-0.2002762032	0.9452177285	-1.869226998	1.647389708	-0.9417495229	0.5307860927	1.048732241	-1.00157471	-0.2494555841	1.877539772	0.4117724592	2.204913823	-0.1608690504	2.305136079	1.379735756	0.8564650067	-0.627346521	-0.5098112041	0.9481516958	1.871337196	0.2378084856	1.331533029	0.3043803581	-0.3977553874	-0.7900530832	-0.09567538838	-0.276009356	0.9162506296	0.5106284076	-0.6865025162	0.4743500964	-0.7657141122	0.2995062648	0.3653572531	0.4138437432	1.719078052	-0.6046456707	0.08707543884	-0.01057001232	-0.1673645071	0.4214057564	-0.394846634	-0.2130211948	-1.586953102	-0.5419494376	0.2909869416
-1.127015932	0.7867421067	-0.03903275364	-1.139143224	0.7017866033	2.274334837	-1.334470568	0.1650637084	-0.7942696889	1.012916511	-1.403362908	-1.206777884	-0.607570571	0.194073678	0.1624239573	0.8760582258	-0.1976805455	-0.8291780374	-1.318020456	1.14634716	-2.021545868	-0.5107541273	0.276572108	1.337064834	-0.8405766846	-0.4709221704	-1.034237599	-0.779717704	0.4999217672	1.153253554	0.6379439189	-0.7746279393	0.6995286338	0.5305812077	-0.8017234508	0.852776195	-0.7929666474	-0.6783619596	0.745792337	-0.9536760627	-0.4229364116	-0.09082396125	0.6535662205	1.120419538	0.08236680254	0.01449484932	-0.217686414	0.1028194785	-1.835819592	-0.9869097815	0.2485153917	0.6100016167	2.132035686	-0.2807394784	-1.188508735	-0.1994282784	-0.7726316717	0.4532925662	0.5503888947	-1.252302437	0.2388758916	0.2034226048	-0.6622578677	-1.450779688	-1.438506733	0.04596350162	2.626947457	-1.372549933	-0.3747357221	-0.8268329902	0.06379744503	-0.204988806	-0.4292353072	0.3476186631	0.8718727505	0.663621002	0.5830233538	0.1100206953	-0.06203265374	-1.01514672	-0.152620336	0.1624869444	0.7398161144	0.8410123793	0.6041385389	-1.992929092	1.153445535	0.2913045066	-0.4607934423	0.7104610714	-0.07530376945	-1.370404392	-0.6511865107	0.280543067	-1.308365044	-1.041459685	0.6103888144	-2.193586136	0.6711698681	0.3512579488	2.60374774	1.562464583	-1.158751895	-0.4238151386	1.076054595	0.9941920981	2.055375842	-1.342042725	1.43828402	0.3061642697	0.6193266897	-1.135124814	-1.039459359	0.6971213238	1.620988271	0.6467932388	1.571233191	1.28751939	-0.6852738606	-0.8329817852	1.653487383	-0.04683642054	0.01876619952	0.5740246917	0.2156427114	0.3947503541	-0.9497162152	-0.6114686711	-0.528098112	1.24060502	0.1694317867	-0.8986704446	0.08585088709	-0.002036599845	0.9943670091	-1.310692015	-0.6567504376	0.4894415704	-0.5677371771	0.2420656474	0.6191907392
