melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151	melodic_152	melodic_153	melodic_154
0.3421126949	-0.6689500482	0.186943738	0.598248715	-1.350566961	-1.509134639	1.159634789	0.4354213782	-0.6416844213	-1.226106637	-1.357902002	-0.1451468654	-0.6645782253	-0.2880561982	-0.5430328489	-0.01518110377	0.2235166631	0.4437545404	0.8992311096	-0.5416386233	-0.1114562646	-0.2126950237	0.1129256995	1.40102958	-0.5558417503	-2.175744473	-1.398441272	-1.216252462	2.526647195	-0.2747552713	-1.602445936	0.1301683534	-1.42916081	-1.561162345	-0.6249030807	1.421033189	-1.032888566	-0.7092749238	2.338678714	-0.5837253446	-1.109899565	1.601384916	-0.7293434329	-0.4193590148	-0.373661175	-0.1415654321	-0.123207321	-2.087450639	-0.8768364643	-2.544615904	1.085987525	-1.364301848	-2.242518081	-0.4533750626	0.04030646071	0.4003332947	0.6389549807	-0.8640389663	1.237255253	2.066197804	-1.527276114	-0.8822458083	-1.980215432	0.3855831327	-1.348050202	0.6408968218	-1.214419325	0.5285151118	-0.2532092566	0.01848819388	0.2694685974	-1.341665298	-0.6944429702	0.8247483753	0.03466155024	0.03035478978	0.1654329303	-0.263426795	-0.859361384	-0.9918133452	-1.785119474	-1.047085588	-1.405747635	2.457218056	-0.1837676839	0.4390030404	-1.484359755	0.9707591094	-1.470213016	0.3855774224	0.405339939	0.7970262928	0.2582426434	-0.02038125523	-0.3450024153	0.3214534186	-1.036205767	0.2904510383	-0.4925004656	0.06708765275	1.05105787	-0.8148143006	-1.632412816	-0.9557921717	-0.9490336516	-0.2796820933	1.237763881	0.1293600186	-0.5551623591	-0.258409207	0.1664325016	1.122715008	-0.5160257934	0.04892389291	-0.8027563961	-0.8576150726	0.4325981846	0.5612961843	-1.797019356	0.2043654081	0.09148528561	-2.288321763	0.6259237382	-0.8511557152	0.6623185277	-0.4521937204	-2.550365928	1.956150159	-4.020441232	0.1733595473	1.502179677	-0.1850778398	-0.301615092	0.01981187068	0.3965121564	0.9310467066	-0.4158661341	-0.1252233106	0.499686543	-0.05901267302	1.009074381	0.6637015591	0.5530193531	-0.5100413555	-0.3918145198	1.236378435	1.83182447	0.2417065729	0.09083867583	-1.097833321	0.7501987962	0.2983036856	0.5420472021	-0.0759359717	1.133128472
0.2865672789	-0.3370375243	0.3351357907	0.389380134	-0.3100583626	1.20381779	1.082918359	0.3463535744	-0.5720289117	-1.4324336	-1.2707913	0.1713510443	-1.05043707	0.1179928063	-0.457003621	-0.9046825053	0.7733798929	0.228777886	0.834996829	-0.05476250886	-0.5961705482	-0.3410224668	-0.86001554	0.5649854076	0.5598199047	-1.926056354	-0.6342863913	0.6322841296	-0.3982256157	0.4829389243	0.542365602	0.5027617652	-0.4371547761	-2.238779064	-0.2276587746	1.847578565	-0.4001316173	-0.3289011789	-0.3349194593	-0.9582346909	0.1270108025	1.399882281	-0.5460296947	-0.3132100399	-0.9747483866	0.303947603	-0.4969705247	-1.664169346	0.5732121548	-1.893812841	-1.109456638	-1.0917174	-1.204394739	-0.522396888	0.8951993005	0.8641514623	0.1055673082	0.285821168	1.243156255	-0.3491410602	-0.5667974297	-1.223306515	-1.908037497	-0.4582121214	-2.008123299	1.172829194	-0.6487204146	0.6055952951	-0.07855852549	1.012672767	-0.07145430643	-1.614213926	-0.2960783265	1.298204505	-0.5178060183	0.2699677961	-0.3399220646	1.579019457	0.06105310823	-1.099136715	-0.9636986391	-0.5818878229	0.5815909782	2.729312313	-0.7661874514	0.1809852956	-1.446753723	1.350282246	-0.8505585857	0.8307719167	1.319998071	0.6860540551	1.29043984	1.020602191	0.4628517861	-0.4467739274	0.1757207517	0.2794894162	0.277590881	0.5353001178	-1.112492229	0.07765495318	-1.56637131	0.3309833383	0.4023805204	0.2834235422	2.776662602	0.1938598671	-0.8992139511	1.245271821	1.831174666	0.7218793698	-0.09361318908	0.6831511114	-0.8045067257	0.2642627036	1.429457209	1.383775564	-0.1280891685	-0.5747953618	0.7139476859	-2.521253983	0.1958181234	-0.4463906542	-0.204604862	-0.3509468327	-2.244827079	1.584947655	-2.935413344	-0.4497475514	1.723834858	-0.4979920236	0.1902970383	-0.06533222487	1.044069423	-0.3153167811	-1.051114222	1.373223169	0.2690193419	-0.8735566911	2.494189078	1.053981541	0.4408881694	-1.810505924	-0.0246131313	1.28821944	0.05058572124	0.6611497938	-0.4208624807	-0.4773790837	2.237217727	1.502504812	1.028847536	0.2705306433	0.4827461251
0.3534224779	-0.9078173467	0.7814928972	0.8181185467	0.203820721	-0.06345558298	1.029403706	-0.04471616835	0.2320107001	-1.880639312	-1.042644988	-0.02030512474	1.2933778	0.3813024532	-0.02138840894	1.827172319	0.1788630241	0.4550931083	1.129122134	0.4555970304	2.376395479	-0.4842309442	-0.2002256078	0.7092530203	1.228642757	-0.3927085492	-0.6068680352	1.156707396	-0.7772163685	0.5286456161	1.68156122	-1.022365653	0.4788598097	-1.791818723	0.6096149279	1.543687373	-0.8564802696	-0.1944945897	-0.7936725623	-0.8314739283	0.3743802988	1.537135448	-0.2775185206	-0.9774168508	-0.5472759746	0.5485063689	0.01446934474	-1.053452769	0.5319703775	-1.525173354	-0.7517435621	-1.349116023	-0.5943387871	-0.8587563763	0.8530862011	0.555499075	-1.094212762	1.581258267	1.672516872	-0.3598606015	-0.2838821724	-0.7777632899	-1.292488894	-1.05602272	1.248956281	-0.4011614128	0.03497200094	0.7291835575	0.9248498518	0.2521331197	0.4511975079	-1.057561153	-0.918787623	1.09146303	0.5663154064	0.7788167893	0.05918996264	-1.008067148	1.023377878	1.528523523	-1.769219019	-1.139511073	1.215240414	0.4560814511	-0.6330973551	0.3072829135	-0.132762734	1.885575517	0.447327665	1.230039553	0.02134687804	0.7156633392	1.859399127	-0.6778675582	0.1928298321	-1.136974967	0.03625897426	0.6709497524	-0.8983229392	0.5609066622	0.5155093029	0.8351526552	-2.314662357	1.094588868	-1.048555964	-0.4392682132	1.732244909	0.1944588339	0.3352529136	-0.6110551206	2.658991078	1.691415197	1.417728909	1.563817995	-0.01431399328	-0.3132868899	-0.8664427128	1.37896387	-1.075589855	-0.3232313	0.4559255979	-2.205718679	0.5787736359	-0.2721344073	-1.456953464	-0.2766657804	-0.6587063311	1.271232888	-0.3202400113	0.697220462	1.097911972	-0.3187929959	0.6803716489	-0.6765894878	-0.5794977228	-0.2932507417	-2.200566962	-0.3103913131	1.092094813	-1.400551264	2.13407908	0.8403155231	0.4123935894	-0.5841069759	0.222639183	1.236805384	0.4176676954	0.003504869351	-0.7846541666	-1.090284594	0.2139622835	0.3880302212	-0.107876403	1.501953162	-0.5144680093
0.1388043725	-1.338357869	0.9060769875	0.6556708564	-0.1398195686	-0.7379765082	1.146411703	0.8732578215	-0.08001247428	-1.611407515	-0.7329207122	-0.4760339191	0.07394953278	0.06066185291	-0.7586535942	0.6300275596	-0.4982208704	1.725885428	1.637607054	0.924275342	1.636603387	1.231536461	0.4764293721	0.3513944244	1.45248728	0.7493471956	-0.352635743	1.429441393	-0.7717987973	-0.3098646358	1.524588419	-0.3932226639	0.5461002264	-1.141554125	-0.08631964014	0.3674256068	-1.679429712	-0.02753344346	-0.1640101789	1.023509547	-0.1777940227	1.32897461	-0.9956900222	-1.152622078	0.7849552124	-0.02560794529	-0.05887235898	0.2221747072	0.5952935525	-1.051954569	1.835277245	-1.493861143	-0.1697549245	-0.7421168639	0.7109296006	0.4013965989	0.07884525831	1.885358043	1.460401294	0.4868456095	-0.645564321	-1.058968081	-0.4793868561	-1.545986318	1.407131455	-2.084404461	-0.2246217374	0.8602855013	1.002430366	0.4223500558	0.7599914921	-0.4826228832	-0.8936290707	0.9253661667	1.521906966	1.084145709	0.7828614261	-0.6176633812	1.235562855	1.133467047	-0.9739419219	-1.012302366	-0.5539364997	-2.123528086	0.4815776542	0.07591251239	1.098727785	2.095164556	1.740981531	0.1860097602	-1.536880726	1.067060955	1.62453519	-0.8915724548	-0.2755112268	-0.9119542981	-0.8947949584	0.4323906533	-1.214710228	-0.9239519423	1.449041449	1.191022732	-1.745286033	0.212815296	-2.381546117	-1.304733091	1.053077818	0.7870211402	0.1123447059	-1.050061823	1.835743009	1.448266232	0.5215169781	1.046568506	1.103425684	0.06988574918	-2.524637793	0.3260637801	-1.699616968	-0.9847913086	-0.7255720204	-1.789297688	0.4114835978	-1.494091854	-0.5335651347	-0.5839046802	-0.1285973378	0.6081404219	1.691295335	0.6921212689	0.7303418661	-0.7560083526	1.781270882	-0.08446822152	0.362039852	0.5231425554	-0.1720985137	-1.696271047	1.167363214	0.04970218163	0.9212063662	1.27684821	0.2882197749	0.8089068195	1.887684721	0.007605292259	0.642329606	1.033699995	-0.2605909949	-2.277553777	-0.4009540611	-0.9337674858	-1.766631896	2.302110485	-1.253120679
-2.022098532	0.7369375713	2.599252066	-0.3758621391	-1.461463635	-1.01878246	-0.138227622	-0.5989976826	-2.551027476	-2.084664293	-1.566957231	-0.8197058807	-0.8417067988	1.898006424	-4.033999177	-0.8265037604	-1.37400622	3.818616331	0.3941675901	1.218504714	-0.3193581346	0.2503769236	-0.2606450919	-1.299212938	0.9280589114	1.132833419	0.03184071401	2.034440541	0.3703797418	-1.156106728	1.337711249	0.6524454041	0.7418266317	-1.8740384	-1.301484249	-0.8680393427	-1.925869212	-1.068594748	0.2946988528	1.076143219	-0.5932731637	-0.3594210498	1.14046836	1.557671765	-1.532412289	-1.45090446	-0.2539199306	1.034788855	-0.218170093	-0.2840613695	0.6736952929	-1.553950998	0.4518493576	-0.263726265	-0.07276469631	1.144681476	2.729778452	2.209549544	-0.09046982342	1.902786803	-0.4918368812	-1.068895074	0.3283547722	0.3992263353	-0.6089799463	-1.283054509	-0.6420537106	1.649518975	1.308348353	-0.2250479614	-0.6197577113	1.411819528	-0.6869499532	-0.3305433315	1.524914659	1.637217844	0.4855422442	0.4757155536	0.3581435256	-0.1153802896	2.312164612	1.227989176	0.07180239622	-2.860128269	-0.1028633054	0.4338935627	1.963459583	0.8382613732	-0.2246938172	-1.399009833	-0.1399765714	1.34053345	1.959428451	0.6377015633	-0.4141899622	1.431196992	-0.5828275997	-0.3287213073	1.348023525	-2.633034268	1.577539695	0.3238359509	-1.687239194	-2.438070594	0.4913752094	-1.550228887	-1.048473819	1.277871852	-0.1564616183	0.7849833043	-0.3498514555	-0.6562545794	-0.4919155157	2.13687674	2.840917123	0.900907518	-0.7536526149	-2.201262509	1.249984177	-0.3361695885	-0.1158861999	-0.09551769759	-2.174489406	-0.4216685331	0.5847195505	0.4733907599	-0.8923219186	0.6373288293	2.742704308	0.3936345597	0.7187826207	0.8993989601	-0.001424782366	-0.4080423322	1.199964142	1.18749331	3.101365604	-0.8001194911	0.8807293741	0.8802654918	-0.2453847951	0.6057840516	1.201871336	1.356979796	1.443473001	0.1339663805	-0.8234127021	1.112140495	1.481676932	-0.4874039223	0.5695716034	-0.747723132	-1.105944835	1.977191094	1.444941236
-0.9015665361	0.8336625994	1.477531776	0.1002946892	1.230651743	0.03612812342	-0.1437446339	-0.2744500958	-0.5100444454	-2.285005368	0.1952216561	-1.209356953	1.84077598	-1.409533904	-0.2061405969	2.395715289	-1.387696776	0.08617970408	-0.540251787	-0.4934239597	-0.1340287546	-1.269388094	-0.1446067507	-0.3450479663	0.5369123152	0.1146760207	-0.09613277097	1.556627787	-0.2731848085	0.7113994311	-1.144626069	1.165970857	0.7580043551	-0.4145784112	0.1698262574	-0.7553197629	-0.5375528867	1.509484877	0.1520647445	-0.6388928434	-0.7244688392	-1.040839439	-0.9833422139	0.1194213965	-2.048116921	-0.6567114777	1.161651452	1.158305602	-0.466830416	-1.092986056	-1.460291654	0.3251928448	0.9381496416	0.2678521042	0.2585613336	0.2291074377	-0.9332190792	2.860591776	-0.05082617393	0.417756139	0.05969102729	1.716660786	-0.7162410669	0.2159577608	-1.941208038	-0.3398202149	-0.5504953697	1.266733154	0.9129409772	1.131812325	-0.04681183981	2.206756438	-0.6915983161	0.1255793906	1.756210612	-2.457298585	-0.9658694439	-0.6752258812	1.275241126	-0.2901086099	-0.008619475647	2.582206534	1.05451795	-0.2641959064	-0.4215653477	-0.5213319114	1.303338932	-1.498082102	0.1864162606	0.6178699396	-1.683206245	1.768870848	1.701173302	0.516400848	0.3828955073	1.472030327	0.2030170719	0.1776607349	0.5898367038	0.2783251829	-0.1312614312	-0.09826949931	-0.5686729198	-0.4032025986	0.9536340214	0.7442623355	-1.098879689	0.6526317867	2.160590553	0.1494044773	0.4803274819	0.8357460592	-2.162148218	0.2856079002	0.01504866748	1.93064908	1.365471759	-1.320762707	0.3573498079	0.1739109825	0.5048121388	-0.08846863636	-0.08038466435	1.492344344	1.544858645	-0.2461371241	-4.337012995	-2.102560554	-0.0481375793	-0.08076381637	0.989166674	0.5184440011	-3.059541157	1.298063071	-0.4746984104	-0.1446601024	1.145478602	1.172511848	0.3518525986	1.189684982	1.403211179	2.84088841	2.222356864	-0.6306036526	0.3042555772	1.852442391	-1.756082447	1.746074494	0.09281289349	0.9066580461	1.818915614	1.964710194	-1.884218507	0.125511688	0.05017249373
-0.3857435621	0.597690357	0.5408529855	0.8961324325	-0.9677265792	1.171374176	-0.2683146671	2.527728043	0.5372084245	0.767364999	2.597540993	-0.1403707689	-1.026385476	-0.3944954799	-0.3977026723	-0.4557748316	1.351939019	0.7848762074	2.230179656	0.4323584224	-0.9533574563	1.686143027	4.256400833	-0.7845163483	0.09963920697	0.5902152247	0.9720357985	1.735611443	-0.09761719043	1.066196581	1.210882295	0.3542676023	1.562955244	-0.2117456505	1.055999838	0.08281930072	0.6188680574	2.422840369	0.1994299786	-1.482289438	-0.6201170324	-0.7943521322	-0.3299886334	0.455460439	-0.9337735343	0.236557588	1.118052884	1.270758062	-0.6933519576	-0.4913383209	-1.41459504	1.386296305	1.142720028	0.868244321	2.400570633	1.269211135	0.5589920003	1.67315247	-0.4795300852	0.9165142426	0.1487702701	1.3940517	-0.6296519503	1.68809187	-0.4689769166	-1.014715086	1.167996923	0.6297837782	0.5667052117	2.592200463	-0.4299413866	0.9046849614	-0.4533565506	0.6356401473	0.3643419555	-2.004976482	-0.4359497292	-2.064365426	1.513177957	0.4583183045	-0.788139029	-0.5932869942	0.8689383696	1.899551765	1.046251135	-1.741739715	-0.722681747	-1.94744188	0.6607747885	-0.3300897256	-2.625903239	-0.3680387257	2.653456045	0.03484331113	-0.1535837817	-2.185886529	-1.212279239	1.767585236	0.9487073228	-0.4496894792	0.7092577385	1.850817297	1.084406937	-0.8311312883	0.2814472031	1.376829556	-0.202286127	-0.2773962718	-1.07146096	1.326686747	-0.1110366792	2.123944962	-1.112368173	0.246501071	1.577863672	2.178540507	-1.578941642	1.062972341	0.3257591468	-2.324620942	1.772299392	1.087947953	2.026801268	2.222472901	2.306756677	0.197973307	-3.547726198	-1.376775044	0.9363847127	-1.050608023	-0.07625602355	-0.2873364921	-1.660490869	2.380734185	-0.9922776397	0.2821089097	1.996586874	-1.154453075	2.087520754	0.5205078443	-0.09438221602	2.794135673	1.134863529	-0.8923358024	0.3565922957	-1.72425164	-1.014317569	3.230867802	-0.2519562101	0.05986952083	-0.5848957167	0.8713368721	-0.9214014773	0.4095701362	-2.108862911
-1.837411226	2.521679272	1.552130965	0.09965281538	1.512278998	0.4885155388	-0.5123199685	0.6188657306	-1.613127056	-0.5571202214	0.2580732611	-0.7151395362	1.369441417	3.72544371	-1.33227399	-0.66995438	0.3330379003	0.6274994569	1.495448169	0.2143746508	-1.112409604	0.7334933336	2.857557744	0.6171615765	1.065372689	2.489545224	0.6573374574	2.714551925	-1.099236862	0.1852260954	4.214038488	-0.6767827645	2.655356827	-0.1202840605	-0.9460608816	-0.150584852	-0.180693493	0.3647383917	-0.7639457771	0.1210148609	1.570180937	-1.083170842	-0.2208729273	4.445180995	0.4869681401	-0.1773816723	0.6168904666	0.2714712981	1.610785944	0.04675546581	-1.146215769	1.313097398	-0.8614822395	-0.5995687403	0.2456578678	2.902336173	-0.4975122389	1.1676476	-1.667716895	-1.425602963	0.9066319599	0.6766205636	-1.522318891	0.6757339545	0.3294316768	-0.9478056423	1.495991616	0.1830229726	2.778352892	1.627170468	-1.277840067	0.489977966	-1.768016009	1.801831287	-0.605145927	0.7004953363	-0.0745370731	-0.4107910871	2.437368899	1.144086741	5.723840735	-0.4229468824	0.9939235903	1.203483647	4.260463488	-0.3130893336	1.607281876	0.2527915858	-3.979888171	1.041674302	0.981066614	-0.814785094	1.337024948	0.1087843536	-0.7815612153	-2.104700618	0.2810512689	3.17651377	0.4798000849	-0.2920602426	-2.231903519	1.346386028	2.099739296	1.779309796	-0.7964970833	1.100837927	0.2401998309	-2.742028838	2.279772076	-0.254798487	-0.7123338977	0.2141932832	-0.459558558	1.081719338	0.5813803454	-0.07960541522	-1.150335105	1.531030353	3.680708146	1.27791875	0.5563920223	1.039455826	0.8562361581	-0.6165715562	-0.6214471898	0.3853263424	-0.1668978547	0.6449777718	2.758592398	-0.9312400456	0.08859014719	2.419925511	0.8428157875	-0.1935547125	-0.336952741	-0.7053590354	1.808406517	-0.2421280153	0.9125995653	-0.4528851862	-1.820776048	1.861460611	1.257786596	0.9032510409	1.539042863	-1.067226456	1.318406276	0.2499209145	-0.4237423324	-0.4553981155	-1.185174156	-1.369520253	0.8425398613	2.006500552	-0.840082877
-2.677939948	2.902052425	2.165083608	-0.6947587201	1.655455043	1.334192537	-1.426831945	-0.4256785207	-2.500949444	-2.198722015	-0.1447692716	-0.9642462375	-0.5034559697	2.72878431	-4.239762047	-1.50327449	-0.2567108655	2.129665352	0.1308521472	-0.6854106024	-0.9002801998	0.1544940291	-0.6675728886	-2.84624061	0.9327760304	3.183991404	-0.3402203212	2.863320369	-0.6764791886	-0.4911014773	3.784898562	-0.2056001877	0.6610164221	0.7331380054	1.162917602	-0.9392400262	-1.490020667	0.2976328586	-1.395242197	-0.8818046647	0.6430817464	-2.603354845	0.4268065998	2.180647395	1.020798733	-1.14230411	-0.1398849305	-0.9188675121	1.236041833	-1.367474532	-1.360783939	-0.1650970829	-1.780718714	-0.7700230497	0.4446742128	3.240844756	0.6191844678	-0.2287244749	-2.57198106	0.2123306631	0.4755504091	0.8235423017	-1.457637568	-0.2299075169	0.3200931779	0.5956720421	-0.1615347145	0.0281529865	2.442478062	-0.10063518	-0.6254980548	0.195255207	-1.598168291	1.07927355	-1.621184392	0.6860288592	0.902278482	0.1337225221	2.339621037	1.127566184	4.252368031	0.6805104055	0.3531147531	-0.9662393124	3.158408704	-0.2067794762	3.156922737	-0.1650538776	-2.335667263	0.3167963647	1.371138592	-1.713071239	-0.5793676907	-0.4028909525	-0.6931168576	0.7478914372	-0.3823357788	0.5726126848	0.9654454418	-1.3349666	-2.101850373	0.1589771572	0.3863628294	1.545899196	-1.716522251	0.6627962971	-2.981598479	-0.4062580115	0.6295810269	0.7423213181	-0.682964718	-2.281678463	0.03654996532	0.6850354978	0.5534743488	-2.007996598	0.5839248831	0.2529151686	2.935028372	3.088358087	-0.9704853786	0.7342286977	-1.25205598	-0.4458781026	-1.359206354	0.7066680007	-2.527668877	-0.5992433741	3.033626407	-1.376616017	0.5561092971	0.0928781388	0.1322385398	-1.061806073	-1.153764162	-0.9189850482	2.76088709	0.2129955426	-0.9544826809	0.2966219668	-1.450319161	-1.104488774	-0.01064869697	-1.339765197	1.450606358	0.4072828358	0.4175539734	-0.4345632368	0.2411987978	-0.9291362922	-0.5466227891	-1.788780217	1.821257842	1.697927376	1.010696756
-3.0273966	2.373667543	2.348901534	-1.03665271	0.247900549	-0.3897988009	-1.388600915	-0.8017786116	-2.075712071	-2.277276281	-0.4857454656	-1.114623911	0.01370868611	1.437355823	-4.701484008	1.430375917	-0.7941846866	2.343768779	0.6529096976	-1.644598849	1.16018477	0.1133552625	-0.8531756644	-2.051803384	-0.4688028973	1.154957853	-0.06435181789	2.409480689	-0.1548057757	-0.4914012487	1.345530839	-1.079994646	-1.701620846	0.4408313125	0.5778447905	-0.8045325141	-0.597437125	0.1089132068	-0.9029545582	-1.52091648	-0.5078430708	-4.074442219	1.144091516	1.745466388	0.4519193305	-0.8896205929	-0.616581098	-0.5712334314	-0.09217055333	-1.634889136	0.2603254812	0.2702355388	-1.721873756	-0.5126283935	0.3911113797	3.231327463	-0.4763179085	-0.8674623428	-1.317233747	-0.5249768975	-0.7217656844	0.004343721497	-1.37186652	-1.227636278	-0.4331605195	-0.3024497673	-0.332553757	0.09073759947	1.65890443	-0.1014577721	0.1787400259	-0.3107422507	-2.027143119	-0.04442308834	-0.7051452042	0.5122928179	0.8580580791	-1.178997445	1.274103413	1.63354147	-1.475018642	-0.6138498474	-0.5712095443	-1.242785734	-0.9218327433	-0.3617979253	1.871360226	-0.4079919518	0.4089741941	-0.5026559394	-0.7517194653	-0.2196417768	-1.175118949	-0.7646972525	-0.8982370155	-0.03343792711	0.3226370711	-0.6191506168	-0.2194165896	-1.130461457	0.1987270022	0.2942564668	-0.05893657038	0.8722145102	-1.447936758	1.133957251	-4.480804181	1.394334219	0.9748391529	-0.6540455921	-1.93165726	-0.8603566116	1.01210557	-0.132358789	-0.1078984735	-0.9371053115	-0.4550170463	-0.08022416049	1.003223011	0.0159351138	-1.029900458	-0.7271125156	-0.6997474701	0.3995586288	-0.4317855193	0.5000043248	-3.647669621	-0.2824387432	2.68570746	-0.09790334774	0.5119761524	-0.3911174338	-0.1230695378	-0.7726656242	-1.928421029	-1.563101494	1.327319191	-1.338231086	-1.409646388	0.2488951453	-1.543673316	-0.2732151486	-0.7190256163	-0.9449976977	0.298782164	-0.7893330048	0.7165185967	-0.46236492	-0.3292053993	-1.888471785	-0.6228399221	-2.00262777	0.4575411311	1.10481643	-0.8296393588
