melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067
-0.3115137956	-1.008842151	0.4373684474	-0.3204205418	1.536184243	-1.027858058	-0.9982805784	-0.4044285367	-0.2848368744	2.089670977	-1.117289172	-0.5067029201	-1.999712326	2.070408671	-0.6422371171	-0.1916787944	1.716535916	-1.429125695	-0.7277897513	-0.7588544069	-0.5800351488	-1.22015217	-1.559559431	2.9121745	-0.3359638225	-0.1071448306	-1.118867019	0.878837521	-1.573903762	-0.1376464458	0.08978448814	0.1150160044	-2.841043212	1.950155872	-0.4486162017	-2.104149563	-0.2621678037	-1.725437056	-1.04559568	-0.2296475477	0.7832512738	-0.4322669149	-1.044549265	-2.292175052	0.5166460234	-0.619705603	1.665917349	-0.2339369425	-0.6559349493	-0.1228771273	-0.8218633104	-0.4201339401	-2.886768298	-1.696576672	1.187996872	-0.3811923924	-2.201327682	0.1215480241	-2.153010742	-1.384795328	-0.4993404362	-0.1845150113	-0.1043612946	0.06832886549	-0.636197565	0.7064240276	1.289788638	1.933425268
0.9870078364	1.598742362	-0.6086721873	0.7656942806	-0.6327262271	-0.05600567061	-0.8293341702	-1.357549099	-1.157883065	1.250874002	0.1596589908	-1.206234287	-1.540331087	2.34234466	0.3900241355	0.1067751753	0.7921077194	-1.312823725	1.843192126	-0.2761233027	0.8995453627	-0.5332525577	-0.7403709177	2.040589163	0.5547200577	-0.7737726687	-0.6596185568	0.7277986178	0.966758371	-0.3142476214	0.02404680118	0.7687520223	-1.23132131	0.781859404	0.7242899986	-1.435248563	-1.680552896	-1.990724158	-2.094853365	0.3330641014	-1.800475673	-0.325478001	0.1160156581	0.2190857253	2.011908234	-2.060367185	1.553557138	1.339610503	1.393460031	0.9416483794	-0.8743701285	-1.12987601	-2.070187648	-0.1043964948	1.217377861	-0.5305205812	-0.007295232083	1.594527599	-0.612368499	0.3329163644	1.781342597	0.8733037464	1.432712873	1.529180717	-1.356857721	-0.2011114228	-0.2144010942	1.66341013
0.1514010044	-0.3840863202	1.26053222	-0.9125724355	1.869930209	1.147195742	-0.2254122088	-1.800683318	0.525885088	-1.290842448	0.4916509118	0.9427183781	-1.60755158	1.747957188	1.270263612	-0.9700662241	1.935941117	-0.158904398	1.880456513	-0.2651965941	1.462224378	-1.305433722	0.2606858187	-0.4753068811	0.7090583124	-0.2211536077	-0.5966350874	-1.156714318	2.383165238	-0.1811837304	1.273270839	0.531430765	0.06605624728	-1.012488635	-0.8221547536	0.5337228339	-1.345284697	-1.625705288	-0.2417426344	0.09187192621	-1.517040172	0.8400420717	1.581641705	-0.02804304163	0.8498259425	0.7219250544	0.560102926	1.074614644	1.206847026	0.01421415831	1.991128497	-0.8972776507	-0.2920682801	0.8367863336	0.5494605338	1.544841347	-0.3635990608	1.579312935	-0.8783514775	-0.7556209667	-2.56347353	0.3068768049	1.141523833	-0.5408053631	-0.4540507125	-1.363043166	0.2413496877	2.12468006
-1.075375859	-1.092154868	-0.8675387281	-0.1841480818	-1.228654697	1.588131043	0.9080110567	-2.005184626	-0.5194661036	-1.969031159	0.9407942229	1.354597409	-1.675731758	0.4705915478	0.143181977	-1.680743926	-0.3319931717	0.4532489929	1.593493093	0.7476256427	1.079676657	2.331557313	1.365765542	-1.813817196	0.4833217277	-0.2834125887	0.05082107185	0.05918726161	2.534402326	-0.4250479237	0.04756082353	0.6026810027	0.3422764178	-0.1186992149	-1.177351408	1.679233665	-1.185720212	-0.9100058209	1.330169673	1.339062262	-0.1275818851	-0.8863677635	-0.707267621	0.281858156	-0.183467534	0.3323454388	-0.841399737	-0.5562769005	-0.1160407622	-0.1970014528	0.293469553	0.6491055439	0.9559950563	0.291551441	1.522863918	-1.187779625	0.752550405	1.329338818	1.372943719	-1.283008043	0.5214001471	-0.9039317124	0.6917526575	1.989847631	-0.1906243526	-1.269910245	0.1083521083	0.7730687165
2.141780853	0.8813243134	0.9361378866	-0.02623251793	-0.4369076162	1.818387986	0.1001830648	-1.470863457	-0.667428222	-2.019602	0.07135809148	-0.9453935747	-1.599093543	-0.2239253271	-0.6813996311	-2.220620413	-1.504187134	-1.124625971	0.07880983861	-0.06506530918	-0.3283600715	1.287699477	1.369012756	-1.53144432	0.7256782953	-0.6622149691	1.035692462	0.4544009117	1.622435955	-0.3305283837	-0.6834099704	-0.1879434888	0.2306027214	-0.4364156757	-0.13537165	2.523840227	-2.298224872	-0.004739827056	0.8291306248	-0.2392251384	-1.274096431	-0.7356982842	-0.2107026789	0.8100416119	-0.00390668066	-0.8102917044	-0.8386162798	-1.837562769	-1.364647695	0.4078387416	-0.1221973926	3.69115384	1.553350758	-0.4366625962	0.6330019614	-0.5010032041	1.396727508	0.3205532881	0.2564379375	-2.020358622	0.3119869459	0.1162707306	-0.6896071584	0.2726336636	-0.175929199	0.4753226773	-1.130836359	3.602432301
-0.9002615138	-1.382282479	-0.8330445506	0.3570061929	-0.3408143142	1.993707938	1.822700242	-0.6494335691	0.7545301333	-0.8359194437	0.5582942683	-1.105814288	-1.519249979	0.5532160032	-0.1625134136	-1.406431594	0.3525439307	-0.2899053947	0.1955522773	-0.8002118759	-0.9885547251	0.2302700848	1.344669836	-0.3018418976	1.447581728	-0.4795255583	0.640209049	0.3774777478	0.8590593886	0.9374620932	-2.154159677	0.04654787624	-0.07323126519	-0.1860623052	-0.8978696488	2.617330305	-1.174420134	-0.5044985796	1.255390041	0.2027489766	-0.309058478	-1.32682218	-0.6645598843	-0.7924266917	1.550169422	-0.8844970331	-1.066330343	-0.9234179512	0.3171782826	0.1274227237	0.1776596931	0.81492314	2.162219455	0.8626071478	1.382679176	0.4474495436	0.8403288846	-0.7509632288	0.5537195139	-0.4037584456	-0.5994319761	1.572408861	-0.2328103288	1.522623369	0.2556260985	-0.7022661462	0.4013590859	4.168078979
-0.1955993249	1.778182561	-0.6739243127	1.279597886	-1.420029521	1.910896337	-0.4418026273	-1.206585231	-0.8978757888	-1.358733512	-0.2249510858	-0.5138824133	-1.126462971	0.4269258084	0.847954343	-2.098684176	-1.369440283	-0.3129862664	0.6076509576	0.6527683074	-0.07696278777	1.324354595	1.673162736	-1.277218318	1.193617724	-0.8353517601	0.7808175207	1.606678403	0.5641512032	0.9619540982	-1.765084725	-0.3759765178	0.4144606302	0.6168663317	-0.8404534217	2.598324272	-1.231497306	-0.918736315	1.533440521	0.6229335018	-1.279840124	1.576938292	-0.5317959318	-0.5101299748	-0.3858017956	-0.6699662156	-0.5717000735	0.4635789608	0.8935297707	-1.006959314	-0.901283245	-0.177174158	1.315440215	0.8319556007	0.6602013902	0.1612970269	2.479914829	-0.4970944006	-0.3912749399	-1.467571238	-0.9937448359	1.199798563	0.7038653154	0.4459668482	0.2972349862	-0.005853709638	-1.052885814	3.030734696
1.184738649	0.5740354987	1.823385521	0.1185308037	0.002881866876	1.159252566	-1.010615792	-1.554053967	-0.2349800573	-2.096094165	-0.3106712574	-0.6962691914	-1.213308107	0.2139803974	0.7875344403	-2.050572788	-1.053954889	-0.3024537681	-0.1255141861	-0.06090127004	-0.4972993171	-1.357078551	1.276987528	-1.770567748	0.4128173386	-0.678264517	-0.5706423385	-1.291899914	-0.0231202052	-0.2400898586	0.9016164231	-0.9686891156	1.124366184	-0.4731039174	0.0443674503	2.293756705	-1.92023887	-0.4674810621	1.989299132	0.3848305539	-0.4629022281	-0.1356767788	-0.174258554	-0.6206328037	-0.6564840505	0.5542882573	-0.1209964596	-1.452287354	0.8100012187	-0.4268147704	-0.1809559481	-0.516530554	1.32328474	0.1620413554	-0.1969106874	0.06423938377	2.212569158	-0.3281999453	-1.549032478	-2.019681388	-1.594824745	1.526304122	-0.02828920484	-0.556900658	0.7546145665	-0.5779619385	-0.6634098535	4.072823494
-0.9331264199	-1.002603969	-0.2114286692	-1.230792591	0.5014080627	0.5382347432	-0.08434250962	-1.621977655	1.87569371	-2.164446931	0.6027281294	-1.002556677	-0.1938949658	-0.1768016931	0.7249269938	-1.487244271	-0.260850754	0.718835488	0.8598808744	-0.1652349335	-0.1019627726	-0.1088753103	0.5856565576	-1.595410659	-0.4327506507	-0.6848950015	-1.048547544	-0.6018663856	0.4815355502	-0.1129331213	0.6645578278	-0.8195509519	1.703236487	0.7206783626	-0.1016700754	1.517518289	-1.301430201	-1.545627684	1.875336016	-0.4467021919	-0.8203142534	-1.21669699	0.6000810611	-0.5116999519	0.6606793052	0.3171783305	-0.3869800248	-0.7664315954	0.9995614502	0.2184139091	-0.2044280274	-1.210664664	2.416606585	0.749505433	1.189993813	-0.9090993126	2.463307851	-0.8710498614	-0.3380294466	-1.130237169	-0.513878891	0.4823918135	0.1947431736	0.311696513	-0.1310613409	0.3172949452	-1.396496658	1.608477511
-0.01486688912	0.1443422419	-0.1551751215	0.4785875986	-0.1572253641	-0.0938191816	0.2867973965	-1.634851703	1.530085365	-2.156276784	0.193376728	-0.6770013077	0.7489979577	-0.4260691411	0.7647904543	-1.980820212	-1.326718825	0.2846501538	0.1008159733	-1.025112497	-0.7975938998	-0.4841648159	-0.1634978471	-2.062038893	-0.6590318502	-4.340188686	-0.1606768511	-0.3284739347	-0.87492236	-1.007002783	0.6265437441	-2.819828038	2.206450139	0.6634801901	0.7419796373	0.4727951885	-2.390210593	-2.705440649	1.471945057	1.22137733	0.1572325671	-1.347210784	1.43136054	-0.8248666624	0.272913732	0.07805527032	-1.43101373	-1.137074497	-0.272420056	1.031776254	0.5398155608	0.03096367726	2.109727507	1.032477587	2.465545359	-1.732778728	1.191844076	-0.843866931	-1.456739986	-1.068999229	-1.372061851	-0.657020092	-0.4158070434	4.140035598	1.666264198	-1.589503534	-2.297618027	-10.85780752
