melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093
-0.1016739685	0.5144572646	0.828964786	-0.2509263382	-0.1428371905	0.5043756911	0.4922697811	-0.88342084	-0.1867204678	0.7908070369	0.3474519381	0.6416555885	-0.1780549341	-0.4094693816	0.145038758	1.327705382	-1.006064967	-0.4875283037	-0.2550525121	0.1241422175	-0.241349746	-0.6075419236	0.2519468755	0.4972718207	0.5605439211	-0.8319536509	-0.5800903796	0.978942467	1.77395542	0.9377229353	0.7261122685	0.04468082352	0.3110708697	-0.09011258508	-0.8659885925	1.075187738	0.682802307	-0.2451786931	-0.4517193667	-0.2719438066	-0.09468539248	-1.000523765	0.2099761584	-0.2225710367	0.670608731	-0.379483028	-0.5192823638	-0.4355989206	-1.015216182	-0.8394219818	-0.3507304046	-0.09075362858	0.7149545868	-0.7351371014	-0.6687134981	0.1004312875	0.5495072895	-0.1708973519	-2.020886936	-0.8187816016	-1.500245465	-1.087947016	2.195693142	-0.6748151513	0.3012114814	0.3216805919	0.7878814508	-1.066824948	-0.04220649391	-0.4766826981	-0.5382766209	-1.265678823	-1.154200399	0.09453832506	0.06384894369	-0.7418465245	0.5085039384	0.1873851219	0.6549449169	1.188881415	0.5542181123	-1.497372958	-1.000589009	0.3057618513	-0.1340390991	0.4451475727	-0.181371859	-0.2633749343	0.4959878517	0.6503336849	-1.246769101	-1.133470396	1.884601785	0.9731296763
-0.003596151969	0.9348141924	-1.21482104	-0.6016369432	-0.006742326295	0.1657149957	0.4749828472	0.3010946878	-0.2198936749	0.4815165778	0.01752565772	-0.7997700942	-0.1469776766	0.1460066619	-0.02627790108	0.9864808179	-0.1521162857	0.192623228	-0.8570879244	0.2134866908	-0.1312433814	0.548147123	-0.3478147872	-0.05365732646	0.5058374899	0.1973788836	-1.04630982	0.6982215867	1.149025425	-0.3257078828	-0.4596552456	0.1954778685	0.3350621388	-0.7795312213	1.787637666	-0.02196194472	-1.166072955	1.182057779	-0.3977743781	-0.5970396131	-0.7393993306	0.7904176357	-0.6007103084	-0.1818731033	-0.1661640304	-0.3175988413	0.172052686	-0.7154062723	-1.30294113	-0.3465670646	0.7165571565	0.2994029166	0.6472419625	-0.2349592049	-0.9455001191	0.3390584297	-0.1598871074	-0.4180965413	-1.693335185	-0.9444080576	-1.934412389	0.04967292466	1.105046778	-0.9006317776	0.1742197776	0.6779046827	-0.5286933341	-0.3149497426	0.181110734	0.4895490389	-0.2536398507	-1.73666719	0.9736484241	0.1038101854	-0.3553498082	-0.6719559742	-0.5907368611	0.0007632083359	0.2526753459	0.6681646102	-0.4708312943	0.2712305466	-1.145924199	0.2290718238	-0.603336803	0.5376383351	-0.07214175796	-0.5920193294	-0.5162219985	0.3875103134	-0.2544040705	0.8751309548	-0.1721053805	0.5434581389
-0.6155790951	0.155942523	0.5013539874	-0.002418465333	0.4724778633	-0.09636501462	0.1891128519	1.192243062	-0.2102317926	-0.3958968179	-0.715475502	1.6823144	-0.389952948	-0.3733195264	-0.3934377387	0.2913023876	0.8004250194	-0.1351732625	-0.3695769538	-0.08756367382	0.1672956272	-0.01290844607	1.041062918	0.9913863044	0.1587437632	0.915977692	-1.261226992	0.9477390694	0.7623885663	-0.377003294	-0.5128168119	-0.8881747092	-0.08801677929	0.1982930902	0.3944634558	-0.3660402161	0.3932267106	0.6407888862	-1.091847578	-0.1345207952	-1.363179515	-0.04368654114	-0.7880470354	0.1253903831	-1.495413098	-0.25567198	0.9097021848	0.5494302108	-0.6063794665	0.1313340942	-0.3213628452	-0.379312453	0.5829682733	-1.372531423	-1.057201569	1.016932053	1.172056241	-0.4994454976	0.1957323724	-0.04754439639	-1.834325241	-0.1907941122	0.3529853507	0.535816396	0.06837148674	0.2779585604	0.5547257161	0.9553024791	0.3274522764	0.267054915	0.9984039521	-0.5303194322	-0.6869097051	0.3329772742	-1.419342508	0.2521371283	1.232978838	0.2300566467	-0.3811576844	0.1609828413	0.8992140559	-0.3344827829	-1.096464394	0.2006702079	-1.562487673	-0.01867561154	-0.7656873214	0.7355623017	-0.2410321231	-0.2889203557	-0.09822563327	0.01558259781	0.1426102005	-0.4382123814
-0.6064309675	-0.7496227335	0.2574669812	2.097527005	0.1044118292	0.01056916427	0.1086671108	0.01120827416	-0.9036387831	0.0450695385	-0.3332257593	-0.7617760019	-0.4938817028	0.6418175329	-0.6360002137	0.2407549215	0.06225227977	-0.5414408225	-0.02485134124	-0.3896755917	-0.2851861903	0.2413169229	0.7077497846	0.419657254	0.05701066817	0.6899283042	-0.6249364927	0.7844149834	0.6780200233	0.6777766211	-0.384748591	-0.8811755062	-0.02306962164	-0.1673237586	-0.8648934224	-0.4776270884	-0.4931439174	0.797095986	-1.456533994	0.2092526184	-1.254393847	0.7396761849	0.3908731888	0.769624179	-0.7667386146	-0.4301161596	0.3413685074	-0.2314269257	-0.4956759156	-0.157111456	-0.8980794572	-0.7185449854	-0.2055282065	1.258667721	-0.9521699083	-0.3129943009	-0.009500503523	0.5204767031	0.4659147067	0.6217484062	-1.279050983	0.4262756551	-0.03176317535	-0.2360699345	-0.8477353827	-0.4712896166	-0.3885005874	2.01746557	0.6447956702	0.7352898653	1.195464427	0.4153125837	0.714004373	-0.4118663766	0.1124578375	-0.8653167268	0.9189932646	1.014365126	0.03930106548	-0.06991899013	0.2925132692	0.3651706433	-1.295175379	0.9991269879	-0.1873325777	-0.07764716701	-0.7444953962	0.1830650154	-0.3370027846	-0.5295744081	-0.1006258992	-1.339890802	0.2391601562	-1.531535932
-0.2364207374	-0.3369754202	-0.9784379533	-1.205237133	0.3401944497	0.06813533537	0.5082711358	0.5078623621	-1.036484338	1.225137348	0.1801499847	-0.7633103939	0.08727983143	0.0591083244	0.2018696913	0.5090282209	-0.1798583262	0.1055852028	-0.2770082377	-0.06338101657	-0.5978516416	-0.05153571085	0.5481502433	-0.5205288163	0.2126281674	0.3064407651	0.2997935826	0.9156024054	0.8585010278	1.525735501	0.7779216878	-0.8360785156	-0.01443987976	0.1718759576	-0.7040199176	-0.4258384114	-0.6231957442	-0.8923423853	-0.8429457615	0.3177017392	-0.5466338945	-1.500792592	0.8741435762	0.8973778899	0.7562122301	-0.317284913	0.189258744	-0.9311830036	-0.9195350723	0.2627476863	-1.715227567	-0.3617754285	0.01167507969	-0.1631066825	0.5235735546	-0.754801143	0.3943551828	0.6638182601	-0.08046168038	-0.2010025077	-0.5801735237	-0.4311515743	0.157655163	-0.4171919089	-0.5899244984	-0.4052752895	-0.1737981384	2.023904812	-1.640115545	1.008716021	0.6518172602	0.3915668859	-0.7628623378	-0.2211926578	0.7342116995	0.6009944755	-0.7174364278	0.5414115009	0.5296400684	0.1350523986	1.232755527	0.2102447437	-0.8099820835	0.4550368413	-0.1771533435	0.03112742878	0.03109638466	-1.363446239	-0.6525094522	-1.031495695	-0.03582430153	0.5711838226	-0.342265158	-1.07741342
-0.1280153771	0.02521403447	1.242720763	0.2759213636	0.6032708788	0.161615036	0.3924463673	-1.270005831	-0.7679533375	0.7948394728	0.1150373614	-0.1000580819	0.1449021204	-0.7457878167	0.4882505424	0.7916572945	-0.2997195165	0.3541744407	-0.5662089747	0.8028599344	0.4918292456	-0.4505414479	-0.3535981494	0.6622950584	0.4946860857	0.5677889342	-1.201289189	0.7412251805	0.2981511564	0.1328432517	0.01778996415	-0.8114814571	0.4507285365	-0.3081920923	-0.5544719243	0.1538108547	-0.4636919699	0.6912863508	0.1229381427	0.4167240697	-1.237096169	-1.006534061	-0.4068704684	0.4053656859	1.180736472	-0.4361101266	-0.01033842841	-0.9258331636	0.3210984387	0.3491320545	0.09016219115	-0.2315570974	0.07735933527	-1.634675713	-0.2748528345	0.4682619181	0.2557332188	0.6797469818	0.7161261015	-1.019473208	-0.4406994037	-0.7032463935	0.469018119	-0.8304427053	-0.2181799443	-0.2356167934	0.3098311829	2.41652587	-0.9483907162	1.349315349	-0.1833096486	0.703886373	-0.1073154916	0.8747690882	0.5487822112	-0.3798671227	-0.8222397642	0.3237786539	-0.1052386634	0.2591435474	0.7364033664	-0.3937246165	-0.9356476807	0.4972600489	-0.09976826348	0.68657719	0.151363167	0.2966615099	-0.2646375582	-0.5846103383	-0.3950272279	0.496548423	0.885695119	-0.4229584451
-0.4893022488	0.1124661709	-0.6358948643	-0.2354813037	0.7616927007	-0.3856194045	-0.1065420165	0.734413111	-0.2946138963	-0.2174497176	-0.584496875	0.2005757666	-0.5204945119	1.118744945	-0.2051834494	0.3099085419	1.384099806	0.49123087	-0.5031219367	0.5400958626	0.4551683514	1.108688457	0.1068180398	0.2367828012	0.03310620418	0.2312984856	-1.417406549	0.5796640573	0.03510148111	-0.199362535	-0.7042094287	-0.4041511042	0.3540324454	0.1494454023	2.62725453	-0.2847260428	-0.9743168992	1.437819519	-0.3336996821	0.42514626	-1.379418808	1.392041868	-0.8336441149	0.7424839496	-0.1517678944	-0.2537564427	0.8158688762	-0.2366020328	1.490386469	-0.507663167	-0.08659262261	-0.1419778263	-0.08253289316	-1.017061588	-0.197661233	0.421535886	-0.09791631208	-0.2804820684	1.14625205	-0.2003373324	0.007810187014	0.7418552312	0.2389055555	0.6374631275	0.09307975104	-0.5964577324	-0.3708517571	2.758721889	0.3250412734	0.5788073599	1.00135423	0.6139859117	0.7503171156	-0.4945234583	-0.6388253751	0.6613942619	0.02927592385	0.1065134305	0.05687072745	0.8392874283	-0.8575490121	-0.9481820097	-0.949559541	0.8247566018	-0.8078933735	0.4761304513	-0.7325502722	0.4124010216	0.0006231544704	-0.7917676495	-0.5430060319	0.06227397974	-0.07087137469	-0.905254846
-0.9288895873	-0.3784497999	0.6434021786	-0.2227557964	0.6717389664	0.0372532265	0.1053514043	0.8574114127	-0.4496001446	-0.4309295459	-0.07641157423	1.913195128	-0.4335829754	0.08344852305	-0.1614365447	-0.1549374385	0.2093388189	0.3582889653	-0.1251959809	0.04256315249	0.1141811362	-0.6776798691	0.8893212886	0.6231675865	0.005401144773	-0.3234607611	-0.8713972437	0.5845137433	0.5147956725	0.6773582334	-0.2318983209	-0.8056437276	-0.1676875917	-0.1284376692	-0.269770981	-0.1108974911	0.5109527028	-0.1292139099	-1.268445733	0.311890814	-0.1942950582	-0.1834117187	-0.4397801409	0.7977132971	-1.135692495	-0.08759641294	0.8754277858	0.3330598537	1.764485571	-0.1821238743	-1.289898225	-0.6613027963	0.09777777846	-1.386110212	0.9928811535	0.913669469	0.04521151982	-0.7911329043	0.6122908783	0.05486854523	0.08311162984	-0.3791506395	-0.09403022675	0.6677036335	-0.6887441537	-0.2623645516	0.207425842	1.502743087	0.4858466893	0.1444580222	1.447610988	0.4431827466	-1.547768369	-0.5409261421	-1.715205269	0.6543437077	1.008483687	0.4314030894	0.3382647813	0.5801050674	0.517261839	-0.9416729376	0.2700196371	0.577060265	-0.8134853009	0.09694842572	-0.6250087248	0.3395372073	0.166970005	-0.9903435485	0.5302029591	-0.4560574927	0.2617476168	-0.3081556154
-0.6094386489	-1.096579863	0.212203834	1.952130681	0.2328181906	0.6225387925	-0.2557905903	-0.4988292097	-1.149947344	0.5060167164	0.3956219701	-0.8649797951	-0.1120753166	0.7917780341	0.1852909511	0.03034848317	0.2471259727	-0.06172557942	0.3584283949	0.0747597959	-0.8224271433	-0.3895840033	0.9728901148	-0.1015669876	0.1163249761	-0.7837129467	-1.3393405	0.3579785656	0.4712313885	1.664219562	0.2190136627	-0.8771715718	-0.1313472602	-0.7625520116	-1.117953534	-0.143832815	-0.7450437359	0.2629501885	-0.8534657972	-0.3791880174	1.290755842	0.6528609171	0.986965001	0.940165402	-0.9087624327	-0.6408278276	0.3925724622	-0.2174318837	1.741611345	0.1912421113	-1.170582828	-0.1663097975	-0.1033040637	1.418910243	1.722056611	-1.097877357	-0.5711756111	-0.6754216063	-0.07231916327	0.3717983655	0.8663085996	0.1027447167	0.06129540503	-0.2110551643	-1.793706642	-0.7851870927	-0.6276918512	0.8595214243	0.5851104396	0.5853848762	1.393494133	0.2799475741	0.585280688	-1.021964093	-0.2391816341	-0.05790806025	0.03452742583	0.9381684389	-0.4191859249	0.4994546557	-0.3069990298	-0.5722758479	0.6279558499	1.300237058	0.007085160769	-0.2980320338	-0.4721099157	-0.2868146563	-0.127618601	-1.11708848	0.4366227438	-0.1145102765	0.2432668319	-0.8728884641
0.3454253855	1.406718411	-1.374358187	-1.651457752	0.5474875264	1.140145747	1.628003432	0.5062339069	-0.7649889214	1.809307193	1.457972285	-0.4085427246	0.7496568547	-0.2680901867	1.261685954	0.4645989568	-1.10258731	0.5675221742	-0.9780646873	2.712175347	-0.8059753422	-0.1728415134	-3.040314295	-1.745693209	-0.3333490852	-0.8717250063	-0.03475643706	0.5730041952	0.7191593154	2.817250008	0.1557707182	-0.5276581213	-0.1799109279	1.772329056	-2.135542319	0.9620324334	-1.040349151	-0.8204723684	0.5210501516	-0.7094852974	1.686673256	-2.370119364	0.9620975636	0.1947543262	0.0006453060922	-0.6540820724	-0.9949647652	0.02190364608	1.74892717	-0.4250494792	0.8900595809	-0.2304419989	1.915107802	1.083611343	3.020588443	-1.948222993	-1.931389731	-0.7795131721	1.178580608	-1.410948989	2.200907239	-0.2769076117	-1.610178057	-0.2312983962	1.511698476	0.9930880255	-0.259556909	-0.1509804591	0.173758916	0.0492883707	1.667115895	-0.329082048	-0.9283211213	-0.6793796195	1.527899168	-0.2433746461	-1.166701391	0.2100697256	-1.199251465	0.196037375	1.805246208	-0.389151211	1.102214073	2.121457906	1.927131015	-0.2600662799	0.4199908955	-3.98875927	-2.075971909	-0.4542193265	0.6917921497	1.729460532	-1.165037558	-2.074430035
