melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084
0.9841996469	-0.8992570966	1.163011801	-1.072626037	-0.1345664767	-0.09898774435	1.885424879	-0.6047313404	-0.1794249774	0.3831449745	-0.04427142666	-0.3792582663	-0.6189847377	-0.1408239026	-1.213670584	-0.4164011934	0.4686117893	-0.653942849	0.5605807497	1.00785158	-1.003988272	-0.1260619992	0.1243948772	1.27130038	1.927692768	-0.9006843256	-0.8400600609	0.6785152902	-0.8943386218	1.973427804	-0.5425920103	-1.034276363	-0.9849652664	0.2716045128	-1.166169743	1.057627494	0.8888505339	-0.8296455415	0.7358220882	-0.3759521048	-0.5504508146	0.03017397967	1.699612443	-0.03565243345	-2.172390243	1.416545434	-3.14772919	0.4557551574	-0.5382737561	-0.3627635179	2.164017996	-0.1601629544	-1.2461678	-0.9646762566	-1.850065976	-0.799992366	-1.478053877	0.1773122737	0.2862075651	-0.9037999332	-2.829223939	1.65545573	-1.374031957	0.4358973637	1.023841702	-0.5822254232	0.08309945503	0.1511708637	1.271524961	0.3710975959	0.5068561189	-1.297782059	-0.9285623041	-0.02077645437	1.233290304	0.9292138022	-0.5578995875	-0.4504644593	-0.8498472061	-0.5297412533	1.018832247	-0.8345298718	0.9461071535	0.5562018112	0.2348603326
-0.7226057981	0.03244614129	1.312382892	-0.7953027869	-0.1234557639	-0.93874904	1.042113538	0.9618659879	0.7697966057	-1.297802355	0.6626282337	1.591213306	0.3220855566	-0.8914635296	0.5517432598	-0.02976595573	0.4491717391	0.5167200244	0.113573719	0.289884348	-1.19710131	-0.9238127743	-1.18926467	-0.255040476	0.3899841917	-1.507499633	-0.8683749794	-0.7874296564	-0.2628809619	1.265356375	-0.2286972082	-1.64109372	-1.274335927	0.03137164372	-0.7477763888	0.6294992254	-0.7527312666	-0.2028710903	-0.1099949567	-0.8680440181	0.3871344138	-0.08549898486	-0.2480166911	-0.528154533	-0.9721406269	1.180845266	-2.427773013	0.09243538359	-1.426855837	-0.7362449385	1.849463818	-0.7456774959	-0.9511213102	-0.9357452932	-0.3009046683	-1.124933147	-0.8971784987	-0.2310820032	-0.2538209701	-0.8895568856	-2.658435229	1.990381565	-1.012733452	-0.5410362735	0.8621257755	0.450677798	0.8324919852	0.3332387456	0.7962892427	0.9376069374	1.659274825	-1.149385934	-0.3804724	-0.6616017088	0.8300080833	-0.826720506	0.6033122366	-1.54296786	0.2319598239	1.131968009	0.5051067427	-0.4213507386	1.918164167	-0.1558676698	-0.03920644614
1.78660512	-0.6772875095	1.073383645	0.4944951024	-0.3017205452	-1.363956008	1.350374166	-1.185106954	-0.03873044238	-1.129953833	-0.7751800473	-1.131241832	0.9015850133	-0.3449684827	0.193340332	-0.5224771024	-0.9790942986	0.6723349957	-1.019601999	-0.5020727198	-1.281908159	-0.909032584	-1.58810167	0.1726986343	-1.728014507	-2.066005034	-0.4016684627	1.704480229	1.339210569	-0.8045386501	-0.8217904883	-0.7054512838	-0.8950875148	-0.913521227	-0.01138600494	-0.1360780416	-0.8647248949	0.5282178983	-1.022977655	-0.7345878322	0.6473987392	0.522015268	-0.04956881701	-0.2884073849	-0.2477416701	0.6294958795	-1.29223227	-1.386967488	-0.6672128187	-1.155995236	1.653541509	-0.1027314376	-0.3830182246	-0.3850549101	-0.3029369701	-1.369538825	0.6670827451	-0.7911559226	0.4019825756	-0.1078109065	-1.501749895	0.5509446582	-0.4342182946	-1.515520614	1.246413968	-1.235238736	-0.05945329354	1.154928483	0.2721713033	-0.09721815844	0.8724257987	0.2912758444	0.08824225881	-0.02159468636	0.6969368918	-0.307154388	0.5399655012	-1.544235774	-0.2218425071	0.06336512773	0.07877263079	-0.0226611234	1.25017488	-0.6356356266	-0.80269255
-0.8998983764	-0.004407746922	0.7691462924	0.2573357697	-0.5019562951	-0.839415902	1.53584149	0.6694914709	-1.177414168	-0.6968118011	-1.64564791	-0.7020034967	-0.2508569511	0.05197122624	0.04565376032	-1.652039338	-1.236672753	-0.5937333746	2.011879351	-0.5390218762	-1.146338251	-0.6377411168	-1.1957487	-1.515940487	-1.77931619	-2.003545788	0.4207335701	-0.6690662676	1.793106233	-2.519675911	-0.9907056336	-0.1038036324	-0.8394784216	-1.005591496	0.2962118606	-0.2681134992	0.4278905307	-0.7392742361	-0.9267697889	-1.063368153	0.4387630374	0.9657525965	-0.8011404387	0.2375920389	0.4841149818	1.115644723	0.4647402681	-1.325446579	0.5515346298	-0.5186684811	1.381409395	0.5311481809	-0.451662937	-0.1806078856	0.7266878266	-0.5101247225	1.787363525	0.1893945872	1.640771791	0.8280440983	-1.397255858	-1.165077804	0.2311387408	-0.7276088081	-0.2599852118	-1.543561437	1.571362893	-0.1244983787	0.3862592035	-0.759556778	0.4951386461	0.7954585554	0.2807159523	-0.005202805079	0.3490385931	-1.089694825	1.143503433	-0.4372881661	-0.5000302856	1.076652495	-0.2523605465	-0.101843597	1.099982808	-0.1751554106	-1.219437204
0.5303346588	-0.9497939757	0.8787299605	-1.143157362	-0.301897597	-0.5627400164	1.406128197	-0.6146595867	-0.5923457705	-0.04173925568	-0.7831051162	0.2782902822	-0.701427904	-0.6826126452	-0.81103534	-0.5940859763	0.5497555715	-1.142721954	0.5203330527	0.07445055896	-1.016165009	-0.2767254254	-1.043906497	0.8635812967	-0.7506014553	-1.587202184	-0.2907482861	1.863725166	1.968814462	-1.637946592	0.7310329761	-0.2749232303	0.0157477073	-1.15466535	0.8836637055	0.07484736564	1.060508387	-0.7283062236	-1.135150586	0.887588988	-0.2475102364	0.06871804997	1.053579166	0.9077538306	0.6141754021	1.218430009	1.015124197	-1.448509771	1.208823159	0.3175045072	1.971365648	0.05081215224	0.397151801	-0.1947558856	-1.918263149	-0.8143243039	1.68680796	0.8475170278	1.082999002	0.187833143	-0.4530089132	1.260061143	1.166201879	-0.5487614244	-0.7315739979	-0.4480516947	0.4708942632	0.2102523356	-1.423908478	-0.1677010323	0.3374102918	0.6434077921	-1.342070542	0.4062700069	1.043903576	-0.02699651735	1.405175842	-0.3114242738	-0.4009348059	0.9827064435	0.8219494809	1.151486295	1.532550106	0.1225421424	-0.5671562566
-0.1758527203	0.6618718851	0.9014044179	-1.396382437	-0.1990209344	-1.463332064	0.9813297044	1.797022078	0.1680951215	-0.1579008378	-0.04597124535	1.256911013	0.2952604354	-0.9457016159	0.8715914054	-0.1657125233	-0.550441005	-0.7613468839	0.6105052826	-0.2403989489	-0.8888239248	0.5101569772	-1.227720707	-0.6450783412	-0.94439409	-2.460724003	0.05790431991	-0.6443966979	1.912919536	-0.9694033415	0.7332562575	0.6084010989	0.6823388948	-0.1540316746	1.262620257	-0.2740007974	0.3990039387	-0.4690129248	-1.114632467	-0.7525253508	0.6517989101	0.4526534967	0.002224364069	1.294499308	0.8726909857	0.8704171793	0.8733635685	-1.548189711	1.329798907	0.6413273168	1.591247239	0.2681077363	1.157878418	-0.122367261	-1.16343868	-0.9400763846	2.006891383	0.3876424377	0.9346576052	0.1597543778	0.1382287793	0.3463105028	2.182341633	0.1338425229	0.596898067	1.036564566	1.242333692	0.3700507803	-1.613956541	0.8923940374	1.539393201	0.6326647811	1.108082546	-0.5030122664	1.490633786	-0.9073347495	1.022779279	0.1563196367	0.6374813272	1.572215555	0.1037137673	0.8192889318	1.545018745	-0.2412358074	1.364434432
1.184838332	-1.068160068	0.6794014883	-0.1461835244	-0.2120743776	-1.47726453	1.719508007	-1.356762869	0.5144446253	0.03381506549	-0.9190176855	-0.8523615012	0.4523440122	0.3806762892	0.9127569497	-0.8234921795	-0.7550428754	0.56211647	-0.8310325057	-0.92962725	-1.224242242	1.293923742	-0.3997500405	-0.08431418636	-1.476944521	-1.321709492	0.8332974542	1.612008601	1.676546937	-1.607822873	-0.5916947554	2.238034038	1.951262221	0.2741692902	1.736308907	0.1561011643	-0.3045988637	-0.0872640528	-1.168477756	-1.252179053	-0.1336062621	0.2073328313	0.2945687543	1.480967871	0.9652902531	-0.05792820949	1.52118096	-0.3262566441	1.657373988	0.8956655841	1.645689671	-0.1008783874	1.543337844	0.7007600714	-0.5393170553	-0.2770986805	1.667546791	-0.8223951419	1.286981204	-0.1977001416	1.534912002	-0.5553090251	1.470066121	-0.07718594728	0.9882605579	-1.879897444	0.3926933373	0.3636860195	-0.9144260668	0.1300404214	1.847359587	0.8936335851	1.372244675	1.598497971	0.5243290684	-0.2722096509	0.130838532	2.288864568	0.03874447437	-0.1043182103	-1.163682906	1.282796216	1.691361831	-0.3084798395	1.483367156
-1.485592681	-0.8709854226	0.4636823011	-1.421926164	0.001366023541	-0.121989415	1.640124721	0.1325871528	0.003812479607	1.331997909	-1.324984327	0.7270464283	0.1618483305	0.7248821081	-1.739601544	0.05487896717	0.1069056189	-0.6013481051	1.609540055	0.2857998683	-0.5369401294	1.223374201	0.6691536751	-1.570076376	-0.325413578	-1.325535512	0.1793439742	-0.2037215434	0.7641005491	-1.584699616	2.254916619	1.732837963	0.5839447058	-1.193113867	1.338511294	0.3227463401	0.7692619783	-1.712587261	0.1187979198	-2.166795226	0.5377418663	0.01309887076	-1.667543539	0.7845426684	0.5481879486	1.205071268	0.9163658648	0.7342553801	1.387350426	1.345731991	1.919287732	0.624280711	0.6587203519	0.5343629987	2.249059123	-0.9193719384	2.318633285	0.0715417749	1.537119597	0.9029835711	2.089698884	-0.6079632168	1.672409075	-0.6047065155	1.582037845	0.5635224087	2.171327781	-0.8522046965	0.4331639101	0.288760547	0.3292595788	0.7194634533	0.5059767666	-0.4364061823	1.522060824	0.1933202309	0.5103309722	4.412752317	-0.4288822153	0.5333484814	0.2812695552	1.174873711	0.6778307724	0.4464527185	0.6899174404
-0.5089823974	1.868041423	-0.03762796949	-2.044648095	0.09790815912	1.264115961	-0.04478444567	0.07189303812	0.2376270658	-0.06958377315	-0.5229200024	0.4850918472	1.903745551	-0.8712246827	1.714868918	5.600856432	1.929762889	-0.6183289752	1.169445874	2.720260767	2.165462453	1.301342763	0.8874703739	0.679701826	-1.750615469	1.223917544	0.3736164338	-0.5413287909	0.9463248006	-1.591896622	5.040271042	1.100210947	0.887623154	-0.6361006384	0.258197173	0.8756071963	1.232738351	0.610980969	0.1855330634	1.334384271	0.7196527939	-1.555883325	2.98564404	1.156301458	0.7853090985	0.6651465469	0.8347522266	1.444903036	-0.09241923538	-0.5096068871	-0.9784051154	-1.105288721	4.946642158	1.187957425	0.4441116247	-0.3718499024	2.216906034	1.727875705	-0.00343929378	0.9483733562	2.621813136	-3.237941709	2.470647167	-1.060360691	0.2057057956	2.875384	-1.835731131	-0.2859975913	0.2176061808	-0.9346251505	-0.9787309658	0.09544692898	5.584063546	1.767604156	-2.841951284	0.6712420098	-1.669717622	4.273989549	0.9472190984	6.003887299	-1.3857869	6.31338942	4.519970659	-0.5131807239	1.759563095
-1.480286395	-0.6567173302	-1.425937513	2.393474962	-0.5823006208	1.241881126	-1.7027056	-1.088172659	0.160281308	-1.106033248	0.014251745	0.9036566263	0.9884203876	-1.315119355	2.370778469	4.436506016	2.479988171	0.2574175679	0.5804924511	0.8861245981	1.021620816	2.781607317	2.072304119	1.681788651	-1.656607599	0.3270323124	1.824682329	-1.735425606	1.898789013	-0.8920897088	4.933219322	2.238260439	0.1528159603	1.391996063	0.6405369337	0.4664517251	-0.3365821195	-1.421133494	-2.165957276	4.571218629	0.4134419913	-1.702991749	2.60856332	-0.04107747502	-0.0389909555	-0.6335341334	0.5645260763	1.998975423	-0.6300742696	-2.386937341	-0.9973008216	-0.921074875	3.317301945	0.5568622093	2.629580366	1.389439158	0.2944553343	0.4517362209	-0.7651107061	1.833939315	3.443818422	-0.2332997171	1.29730681	-0.5364215669	-0.7845722757	1.704909899	0.9303488628	-0.002243831774	-1.815872637	0.4179929441	1.41893845	1.123794725	2.641933065	-0.3142621411	-2.369161968	-1.688856139	-0.3915841189	0.4052451099	-1.171647575	1.531318443	-0.7281730436	3.916336159	1.104415202	-0.2390904058	-0.3441478831
